User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Marie-Agnes Strack-Zimmermann,@MAStrackZi,2019-05-29T14:30:11.000Z,"Finde die Stimmung hier auf #twitter doch etwas aufgeheizt und habe deshalb ein kleines Video „entworfen“. Selbstverständlich zur freien Verfügung. Bitte scheuen Sie sich nicht, es zahlreich zu verwenden. Danke. #Servicetweet #rezo #annegate #habeck #cdu #spd #nahles 
@fdpbt
 @fdp0:01
73.7K views",51,167,1.2K
Johannes Vogel,@johannesvogel,2021-05-14T19:00:09.000Z,"Ich freue mich sehr, dass 
@GydeJ
, 
@MarenJasper
, 
@DanielaKluckert
 und 
@sandra_weeser
 heute erstmalig in den Bundesvorstand gewählt wurden und unser Team verstärken!  #bpt21",3,4,139
Marie-Agnes Strack-Zimmermann,@MAStrackZi,2021-05-14T18:23:39.000Z,Ich danke herzlich für meine Wiederwahl in den FDP-Bundesvorstand und freue mich auf die nächsten zwei Jahre. ,43,7,467
Marie-Agnes Strack-Zimmermann,@MAStrackZi,2021-05-14T18:05:11.000Z,"Kurze Info der Parteitagsregie: Wer ab jetzt auf dem 
@fdp
 #bpt21 sprechen möchten, bitte einfach direkt Wolfgang #Kubicki anrufen. Er erledigt alles Weitere. #vielzutun #servicetweet",11,8,256
phoenix,@phoenix_de,2021-05-14T15:47:15.000Z,"Die #Bundeswehr als #NATO-Bündnismitglied müsse besser ausgestattet sein, so MdB und 
@fdp
-Verteidigungspolitikerin 
@MAStrackZi
. Trotz des Abzugs aus  Afghanistan blieben Fragen des Einsatzes und der #SicherheitsPolitik relevant. #bpt21 #StrackZimmermann 
@fdpbt
 @bundeswehrinfo",2,3,23
Marie-Agnes Strack-Zimmermann,@MAStrackZi,2021-05-14T15:22:43.000Z,"Herzlichen Glückwunsch an 
@c_lindner
 für 93% nach starker Rede sowie an meinen tollen Kollegen 
@johannesvogel
 für erstmalige Wahl zum stellv. 
@fdp
-Bundesvorsitzenden. Schön, dass Du an dieser Stelle dabei bist. Freue mich auf 1 starken, von Inhalten getragenen Wahlkampf. #bpt21",7,,220
Deutschlandfunk,@DLF,2021-05-10T22:36:42.000Z,"Die Grande Dame der FDP  - 100. Geburtstag von Hildegard Hamm-BrücherDie Grande Dame der FDP - 100. Geburtstag von Hildegard Hamm-Brücher
Hildegard Hamm-Brücher trat 1948 der FDP bei, für die sie lange Jahre dem Bundestag und der sozialliberalen Regierung angehörte – und schließlich als Bundespräsidentin kandidierte. Doch hier musste
deutschlandfunk.de",14,59,259
Marie-Agnes Strack-Zimmermann,@MAStrackZi,2021-05-11T06:08:55.000Z,"Israel wird von den Hamas beschossen und dem deutschen Außenminister fällt wieder einmal nichts besseres ein, als phrasenmäßig „beide Seiten“ zur Mäßigung aufzurufen. Ein absoluter diplomatischer Tiefpunkt. Heiko Maas ist eine völlige Fehlbesetzung.Auswärtiges Amt
@AuswaertigesAmt
Regierungsorganisation aus Deutschland
 · May 10
Außenminister @HeikoMaas zu #Jerusalem: Wir haben uns in den letzten Tagen mit vielen unserer Partner um Deeskalation bemüht. Wir können letztlich nur beide Seiten auffordern, diese wirklich explosive Lage zu entschärfen. Dazu kann auf beiden Seiten beigetragen werden.",190,405,2.5K
StreamD Radio,@StreamD_Radio,2021-05-10T18:00:00.000Z,"Mi Häzz, Minn Stadt, Mi Leedcher

Heute zu Gast: Dr. Marie-Agnes Strack-Zimmermann MdB (
@MAStrackZi
)

https://streamd.de/radio/",,1,4
BueroBerlin,@berlin_buero,2021-05-08T21:23:28.000Z,"Für die letzten Sitzungswochen 41 Beschaffungsvorlagen dem Parlament vorzulegen ist auch eine Idee aus dem Orbit.

Zweite Amtszeit?! Sorry, aber die sehe ich nicht.Annegret Kramp-Karrenbauer und ihr umstrittener Berater: »Das Problem heißt Nico mit Vornamen...«
Annegret Kramp-Karrenbauer wollte sich wohl mit einer Großreform der Bundeswehr für eine zweite Amtszeit empfehlen. Doch der Schuss droht nach hinten loszugehen. Welche Rolle spielt ihr wichtigster...
spiegel.de",7,9,23
Fraktion der Freien Demokraten,@fdpbt,2021-05-09T06:53:48.000Z,"Heute ist #Europatag und Start der #Zukunftskonferenz für #Europa! Was wir uns für eine handlungsfähige und zukunftsgewandte #EU wünschen, das zeigen euch unsere Abgeordneten heute am #9Mai! Gyde Jensen and 6 others",17,38,168
Marie-Agnes Strack-Zimmermann,@MAStrackZi,2021-05-08T16:50:32.000Z,"Meinungsfreiheit darf und muss auch über die Schmerzgrenze gehen. Dazu gehört allerdings auch, dass man dann auch harte Kritik ertragen muss als Reaktion. Nicht persönlich, nicht verletzend - aber hart.",9,24,887
