User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
FDP NRW,@fdp_nrw,2021-05-14T15:28:58.000Z,"Wir gratulieren dem neuen stellvertretenden Vorsitzenden der #FDP 
@johannesvogel
 zur Wahl beim #bpt21! „Brauchen in Politik langfristige Antworten!“, so unser #NRW-Generalsekretär. #vielzutun",,5,37
FDP,@fdp,2021-05-14T09:12:27.000Z,"Jetzt geht es los. Der Bundesparteitag der Freien Demokraten beginnt! 
 Jetzt einschalten  http://fdp.de oder http://youtube.com/fdp #bpt21 #live #VielZuTun",1,12,48
Manfred Todtenhausen,@MTodtenhausen,2021-05-12T11:28:00.000Z,"Heute morgen hat sich mein Kollege 
@Lambsdorff
 bei 
@phoenix_de
 sehr sachkundig aber auch klar zu #IsraelUnterBeschuss geäußert. Sehr sehenswert! https://phoenix.de/sendungen/gespraeche/phoenix-tagesgespraech/mit-alexander-graf-lambsdorff-am-120521-a-2152225.html?ref=aktuelles…",,1,2
Manfred Todtenhausen,@MTodtenhausen,2021-05-11T12:37:54.000Z,"2022/2023 ein Jahr in den #USA verbringen?

Diese Chance bietet der Deutsche Bundestag auch für das kommende Jahr für Schülerinnen und Schüler sowie für junge Berufstätige. Ab sofort kann man sich bewerben unter: https://bundestag.de/ppp

#wuppertal
#solingen
#remscheid",,3,4
Marco Buschmann,@MarcoBuschmann,2021-05-09T06:56:31.000Z,"Und wieder ein Punkt mehr für die 
@fdp
 bei Kantar (früher Emnid). Jetzt klar vor #noafd. Schwarz und Grün verlieren jeweils leicht. Die 
@fdpbt
 macht weiter mit:
Freiheit&Rechtsstaat
Wirtschaftlichen Wiederaufstieg stärken
Staat modernisieren aka digitalisierenWahlrecht.de
@Wahlrecht_de
 · May 8
Sonntagsfrage zur Bundestagswahl • Kantar/BamS: GRÜNE 26 % | CDU/CSU 23 % | SPD 16 % | FDP 12 % | AfD 10 % | DIE LINKE 7 % | Sonstige 6 %
➤ Übersicht: https://wahlrecht.de/umfragen/
➤ Verlauf: https://wahlrecht.de/umfragen/emnid.htm… #btw21",44,36,461
Manfred Todtenhausen,@MTodtenhausen,2021-05-03T09:00:37.000Z,"Trotz Kurzarbeit haben 2020 über 1 Million Menschen ihren Job verloren. Wirtschaftsminister Altmaier kümmert sich - um seine eigenen Leute. Kurz vor der Bundestagswahl lässt er übermäßig viele Versorgungsposten in seinem Ministerium schaffen. 
https://t1p.de/mb71",,,6
"Hagen Reinhold, MdB",@reinholdmdb,2021-05-03T06:36:40.000Z,"""Grundrechte müssen wieder greifen, wenn es keinen Grund gibt, sie einzuschränken"", so Volker Wissing, FDP-Generalsekretär. Dass das Impfen so lange ging, sei eine Misere.Wissing: ""Grundrechte sind keine Privilegien""
""Grundrechte müssen wieder greifen, wenn es keinen Grund gibt, sie einzuschränken"", so Volker Wissing, FDP-Generalsekretär. Dass das Impfen so lange ging, sei eine Misere.
zdf.de",,3,27
Manfred Todtenhausen,@MTodtenhausen,2021-04-28T16:35:21.000Z,"Neben dem Vereins- bzw. Handelsregister sollen sich Vereine und Mittelständler zukünftig auch in das #Transparenzregister eintragen. Dass das nicht automatisch und digital gehen soll, wollen wir als 
@fdpbt
 nicht durchgehen lassen: https://t1p.de/aqpi
#Bürokratismus
#Ehrenamt",1,,4
Christian Lindner,@c_lindner,2021-04-27T09:59:46.000Z,"Unsere #Verfassungsbeschwerde gegen pauschale #Ausgangssperren ist in Karlsruhe eingegangen, eben wurde sie öffentlich vorgestellt. Wir sind für wirksame Maßnahmen gegen Corona, aber dabei müssen Grundrechte gewahrt bleiben. CLDownloads zur Pressekonferenz
fdpbt.de",682,322,2.6K
Christian Lindner,@c_lindner,2021-04-25T08:02:59.000Z,Heute ist #Navalny 99 Tage in Haft. Es darf nicht in Vergessenheit geraten. Über die Einstufung als extremistisch wird der Anti-Korruptions-Stiftung und anderen Organisationen Nawalnys nun der Prozess gemacht. Ein schwerer Schlag für eine demokratische Opposition. CL,343,114,1.1K
Manfred Todtenhausen,@MTodtenhausen,2021-04-23T13:23:27.000Z,"Weil der Bundesumweltministerin Wasserstoff aus Müllverbrennungsanlagen nicht sauber genug ist, drohen in vielen Städten geplante Projekte wieder eingestampft zu werden: https://t1p.de/faew

#Technologieoffenheit
#Wuppertal
#Remscheid",,1,3
Manfred Todtenhausen,@MTodtenhausen,2021-04-22T13:43:53.000Z,"Heute sehr interessante Debatte zum #Infektionsschutzgesetz im #Bundesrat. SPD- und CDU-Ministerpräsidenten haben das Gesetz ebenso kritisch gesehen, wie wir gestern m Bundestag:Mediathek
bundesrat.de",1,,3
