User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Ulrich Schneider,@UlrichSchneider,2021-05-11T22:29:28.000Z,"„Würden Sie mich ausreden lassen, dann würde ich antworten, Herr #Lanz“ Diesen Einwurf von 
@Janine_Wissler
 sollte das 
@ZDF
 zum Titel der Sendung machen.",34,164,1.4K
Matthias W. Birkwald,@MWBirkwald,2021-05-12T14:52:24.000Z,"Na zumindest war er ehrlich! Zwischenruf, MdB
@ZwischenrufMdB
 · May 12
Nach einem Zwischenruf von @MWBirkwald (LINKE):
—W. Kubicki (VPräs.): »Sie sind ja noch dran, Herr Kollege Birkwald.«
—@MWBirkwald (LINKE): »Ja! Ich freue mich schon, Herr Präsident!«
—@Kai_Whittaker (CDU/CSU): »Die Freude ist nur einseitig!« [19/222]
#bundestag",1,,
Dietmar Bartsch,@DietmarBartsch,2021-05-10T11:59:14.000Z,".
@DieLinke
 ist die Anwältin derjenigen, die zu wenig verdienen und zu viel zahlen. Wir sind nicht die Partei der Stellschrauben, sondern der radikalen Reformen, um das Leben der Menschen zu verbessern. Wir wollen mehr, weil mehr möglich ist. 
@Janine_Wissler
 #zweistellig #btw21",89,103,679
linksfraktion,@Linksfraktion,2021-04-27T12:01:53.000Z,"„Die heute vom Kabinett beschlossene Nullrunde für Rentnerinnen und Rentner im Westen und die Minierhöhung im Osten sind angesichts steigender Preise und Mieten mitten in der Krise verantwortungslos“, so 
@MWBirkwaldNullrunde für Rentnerinnen und Rentner: Nein, Danke!
„Die heute vom Kabinett beschlossene Nullrunde für Rentnerinnen und Rentner im Westen und die Minierhöhung im Osten sind angesichts steigender Preise und Mieten mitten in der Krise verantwortungslo...
linksfraktion.de",3,9,24
Matthias W. Birkwald,@MWBirkwald,2021-04-23T10:13:43.000Z,"Eine gute Rente ist finanzierbar! Neue Zahlen des BMAS auf unsere Anfrage zeigen es! #RentenniveauNullrunde für Rentnerinnen und Rentner? Nein Danke! - Matthias W. Birkwald
In der Neuen Osnabrücker Zeitung zeigen Dietmar Bartsch und ich heute auf, was eine Wiederanhebung des Rentenniveaus auf 53 Prozent einbrächte und vor Allem, dass diese Forderung auch finanzierbar...
matthias-w-birkwald.de",3,1,
Matthias W. Birkwald,@MWBirkwald,2021-04-20T10:52:22.000Z,"Unsere Position dazu:Zunehmende Steuerbelastung von Rentnerinnen und Rentnern muss politisch auf den Prüfstand! -...
Matthias W. Birkwald: „Trotz der zum Juli 2021 drohenden Rentennullrunde im Westen und der Minianpassung von 0,72 Prozent im Osten werden nächstes Jahr 2.000 Rentnerinnen und Rentner erstmals...
matthias-w-birkwald.de",,4,5
Matthias W. Birkwald,@MWBirkwald,2021-04-20T10:52:21.000Z,"Super Steuerkonzept des DGB v. a. zur Renten(doppel)besteuerung. Morgen ist dazu unser Antrag ""Rentenbesteuerung vereinfachen und Doppelbesteuerung vermeiden"" 19/10282 im Finanzausschuss. Am 19. Mai entscheidet der Bundesfinanzhof.  #dgb #Rentenbesteuerung https://dgb.de/dgb-steuerkonzept…",1,7,14
Matthias W. Birkwald,@MWBirkwald,2021-04-10T11:27:23.000Z,"Vielen Dank für das Vertrauen! Ich freue mich auf einen einigen und engagierten Wahlkampf! 
 #linkelvvDIE LINKE. NRW
@DieLinkeNRW
 · Apr 10
Mathias Birkwald ist mit 84 Prozent (175 Stimmen) auf Listenplatz 2 gewählt. Wir sagen herzlichen Glückwunsch @MWBirkwald 
#linkelvv",11,3,58
Caren Lay,@CarenLay,2021-04-09T15:00:01.000Z,"Warum die AfD weder in der Wohnungs- noch in der Sozialpolitik die Interessen der oft bemühten ""kleinen Leute"" vertritt, haben 
@katjakipping
 und ich in einem gemeinsamen Papier zusammen gefasst. https://caren-lay.de/de/article/1623.soziale-k%C3%A4lte-und-treten-nach-unten.html…
@linke_sachsen
 #btw2021 #noAfDSoziale Kälte und Treten nach unten - Caren Lay
Es soll Leute geben, die glauben immer noch, die AFD kümmere sich um die Sorgen der „kleinen Leute“, wenigstens um die der armen Deutschen. Doch auch das ist ein großer Irrtum. Caren Lay und Katja...
caren-lay.de",7,15,49
linksfraktion,@Linksfraktion,2021-04-07T11:32:22.000Z,".
@dietmarbartsch
: Deutschland kann sich kein Steuersystem aus dem vergangenen Jahrhundert leisten. Fairness statt Ellenbogen! Deshalb: Große #Steuerreform! Laut 
@iw_koeln
 entlastet 
@dieLinke
 bei der #Einkommensteuer wie keine andere Partei kleinere & mittlere Einkommen.",16,28,158
