User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
"Manfred Behrens, CDU",@Manfredbehrens,2015-08-09T08:30:52.000Z,Hallo Welt!: Willkommen zur deutschen Version von WordPress. Dies ist der erste Beitrag. Du kannst ihn bearbei... http://bit.ly/1goDkFX,7,,3
"Manfred Behrens, CDU",@Manfredbehrens,2015-03-09T00:25:07.000Z,Akupunktur und TCM: Die Akupunktur (=Nadelstich) ist eine etwa 5000 Jahre alte aus China stammende Therapiemet... http://bit.ly/1CStdCH,1,,2
"Manfred Behrens, CDU",@Manfredbehrens,2015-03-08T22:02:32.000Z,Hallo Welt!: Willkommen zur deutschen Version von WordPress. Dies ist der erste Beitrag. Du kannst ihn bearbei... http://bit.ly/1BmlMjN,,,2
"Manfred Behrens, CDU",@Manfredbehrens,2013-09-19T07:02:14.000Z,Noch 3 Tage bis zur Bundestagswahl 2013 – Beide Stimmen für die CDU!:  http://bit.ly/14lhEkY,1,,2
"Manfred Behrens, CDU",@Manfredbehrens,2013-09-18T16:26:37.000Z,Wahlkampfstand in Haldensleben. “Manfred Behrens – Für Sie in den Bundestag”:  http://bit.ly/14j6LA7,,,1
"Manfred Behrens, CDU",@Manfredbehrens,2013-09-18T05:57:18.000Z,Bundeskanzlerin Angela Merkel in Magdeburg: Am Dienstag besuchte die Bundeskanzlerin Sachsen-Anhalt. „Die CDU ... http://bit.ly/16k2oCt,1,,1
"Manfred Behrens, CDU",@Manfredbehrens,2013-09-17T06:28:13.000Z,Angela Merkel – Die Bundeskanzlerin kommt nach Magdeburg: Bundeskanzlerin Angela Merkel ist zur 150 Stunden-Bu... http://bit.ly/16fu2Ai,,,1
"Manfred Behrens, CDU",@Manfredbehrens,2013-09-16T08:28:49.000Z,“Deutschland ist stark. Und soll es bleiben.”:  http://bit.ly/1gmxyOi,,,1
"Manfred Behrens, CDU",@Manfredbehrens,2013-09-15T08:58:52.000Z,Noch 7 Tage bis zur Bundestagswahl 2013 – Beide Stimmen für die CDU!:  http://bit.ly/1ezywuQ,,,1
"Manfred Behrens, CDU",@Manfredbehrens,2013-09-14T13:38:56.000Z,Manfred Behrens – Für Sie in den Bundestag:  http://bit.ly/140IK0r,,,1
"Manfred Behrens, CDU",@Manfredbehrens,2013-09-13T07:12:04.000Z,Manfred Behrens bei den 24. Landessport- spielen für Behinderte und ihre Freunde: Kürzlich war ich in Burg zu ... http://bit.ly/1bcIpMM,,,1
"Manfred Behrens, CDU",@Manfredbehrens,2013-09-12T09:02:08.000Z,Manfred Behrens empfängt Feuerwehren & Ehrenamtler in Berlin (Deutscher Bundestag): Um den Feuerwehren & Ehren... http://bit.ly/1g3C6cb,,,1
"Manfred Behrens, CDU",@Manfredbehrens,2013-09-11T09:44:20.000Z,Feierlicher Spatenstich – Neubau der Ortsumgehung Bebertal (Landkreis Börde): Gemeinsam mit Thomas Webel und R... http://bit.ly/1b4ibvG,,,1
"Manfred Behrens, CDU",@Manfredbehrens,2013-09-09T06:51:03.000Z,Manfred Behrens in Colbitz – Heidefest mit Bockbieranstich: Kürzlich war ich in Colbitz (Landkreis Börde) zu G... http://bit.ly/1e7xsOs,,,
"Manfred Behrens, CDU",@Manfredbehrens,2013-09-03T07:30:56.000Z,Auftakt Plakatierung Neuenhofe (Börde): Die Plakatierung in Neuenhofe ist angelaufen. Ich danke Bürgermeister ... http://bit.ly/15SsvDa,,,
"Manfred Behrens, CDU",@Manfredbehrens,2013-09-02T10:18:55.000Z,Auftakt der Plakatierung in Samswegen: Gemeinsam mit Ortsbürger- meister Burkhard Wohlfahrt und Praktikantin V... http://bit.ly/17DjSyM,,,
"Manfred Behrens, CDU",@Manfredbehrens,2013-08-31T09:42:52.000Z,Manfred Behrens – Auftakt der Plakatierung in Oebisfelde-Weferlingen (Börde): Auftakt der Plakatierung in der ... http://bit.ly/17v6OeS,,,
"Manfred Behrens, CDU",@Manfredbehrens,2013-08-30T14:32:25.000Z,Manfred Behrens beim Jubiläum des Schützenverein Wolmirstedt: In Wolmirstedt engagieren sich zahlreiche Mensch... http://bit.ly/12TmPrC,,,
"Manfred Behrens, CDU",@Manfredbehrens,2013-08-29T06:34:30.000Z,Ehrenamtler im Einsatz – Die DLRG Ortsgruppe Genthin (Jerichower Land): Die Deutsche Lebens-Rettungs-Gesellsch... http://bit.ly/1566Js6,,,
"Manfred Behrens, CDU",@Manfredbehrens,2013-08-27T06:28:57.000Z,Auftakt unserer Plakatierung in Osterweddingen in der Börde: Kürzlich trafen wir uns zum Auftakt der Plakatier... http://bit.ly/1cbQgru,,,
"Manfred Behrens, CDU",@Manfredbehrens,2013-08-26T12:33:07.000Z,Plakate in der Einheitsgemeinde Möser (Jerichower Land): Zum Auftakt der Plakatierung in der Einheitsgemeinde ... http://bit.ly/1diLwEG,1,,
"Manfred Behrens, CDU",@Manfredbehrens,2013-08-25T11:37:58.000Z,Osterweddingen in der Börde wurde erneut zur Radrennstrecke: Bereits zum 17. Mal fand die beliebte Radsportver... http://bit.ly/14Rn4ki,1,,
"Manfred Behrens, CDU",@Manfredbehrens,2013-08-24T06:04:46.000Z,"Manfred Behrens, MdB – Bundestagswahl 2013 – Jerichower Land: Auftakt der Plakatierung in Burg im Jerichower L... http://bit.ly/1dbrGuW",,,
"Manfred Behrens, CDU",@Manfredbehrens,2013-08-23T07:14:56.000Z,Manfred Behrens – Direktkandidat im Wahlkreis Börde-Jerichower Land: Als Bundestagsabgeordneter für die Börde ... http://bit.ly/1axzLYN,1,,
"Manfred Behrens, CDU",@Manfredbehrens,2013-08-22T06:12:28.000Z,Bundestagswahl 2013: Unsere Plakatierung in Jerichow ist gestartet! Foto v.l.n.r. Jürgen Staschull (Ortsbürger... http://bit.ly/16OZg6v,,,
"Manfred Behrens, CDU",@Manfredbehrens,2013-08-21T07:32:42.000Z,Politisches Gespräch mit Minister Webel über Ausbau des Elbe-Havel-Kanals: Kürzlich erläuterte der Landes- min... http://bit.ly/14B6wgv,,,
"Manfred Behrens, CDU",@Manfredbehrens,2013-08-20T14:56:26.000Z,Manfred Behrens im politischen Gespräch mit Berufsbetreuer Christian Kästner: Kürzlich traf ich zum Gespräch m... http://bit.ly/1bPGGuk,,,
"Manfred Behrens, CDU",@Manfredbehrens,2013-08-19T11:24:02.000Z,Auftakt Plakatierung CDU Ortsverband Barleben zum Bundestagswahlkampf: Kürzlich startete der Auftakt unserer P... http://bit.ly/15ZTqIY,,,
"Manfred Behrens, CDU",@Manfredbehrens,2013-08-18T07:21:28.000Z,Bundesverkehrsminister Peter Ramsauer in Sachsen-Anhalt zu Gast: Das Hochwasser verursachte an zahlreichen Geb... http://bit.ly/15V5JX2,1,,
"Manfred Behrens, CDU",@Manfredbehrens,2013-08-14T06:55:07.000Z,Manfred Behrens beim Springreitturnier in Genthin (OT Mützel): Erstklassigen Reitsport gab es kürzlich in Gent... http://bit.ly/14JUBA4,1,1,
"Manfred Behrens, CDU",@Manfredbehrens,2013-08-12T08:40:20.000Z,Festveranstaltung zur Landesgartenschau 2018 in Burg (Jerichower Land): Kürzlich war ich zur Fest- veranstaltu... http://bit.ly/15touAC,,,
"Manfred Behrens, CDU",@Manfredbehrens,2013-08-03T15:38:56.000Z,Manfred Behrens im Gespräch mit Mitgliedern der Jugendfeuerwehr Ausleben (Börde): Die Gemeinde Ausleben befind... http://bit.ly/14RQrSn,,,
"Manfred Behrens, CDU",@Manfredbehrens,2013-08-03T09:04:51.000Z,Besuch im Deutschen Bundestag – Manfred Behrens begrüßt die Teilnehmer des Internationalen Workcamps des Grenz... http://bit.ly/1bVItl0,,,
"Manfred Behrens, CDU",@Manfredbehrens,2013-08-02T05:47:46.000Z,Manfred Behrens verabschiedet Helene Arndt aus Gommern in Richtung USA: Als Bundestagsabgeordneter für die Bör... http://bit.ly/15ixYER,,,
"Manfred Behrens, CDU",@Manfredbehrens,2013-07-26T14:52:13.000Z,"Manfred Behrens, MdB begrüßt die Teilnehmer           des Internationalen Workcamps des Grenzdenkmalvereins Hö... http://bit.ly/14far10",,,
"Manfred Behrens, CDU",@Manfredbehrens,2013-07-24T09:59:57.000Z,Manfred Behrens zu Gast bei den kleinen Forschern in Wegenstedt (Börde): Kürzlich besuchte ich in der Börde di... http://bit.ly/1bMgJON,,,
"Manfred Behrens, CDU",@Manfredbehrens,2013-07-23T06:04:29.000Z,Manfred Behrens lädt Sie ein! Bürgersprech- stunde in 39288 Burg (Jerichower Land): Liebe Bürgerinnen und Bürg... http://bit.ly/13W3LVw,,,
"Manfred Behrens, CDU",@Manfredbehrens,2013-07-22T06:59:01.000Z,Manfred Behrens mit Minister Thomas Webel in Haldensleben zu Gast bei der Wohnungsbaugenossenschaft “Roland”: ... http://bit.ly/13R9USP,,,
"Manfred Behrens, CDU",@Manfredbehrens,2013-07-19T11:31:07.000Z,Manfred Behrens stiftet Siegerpokal beim Parkfest in Möckern (Jerichower Land): Das Parkfest in Möckern beinha... http://bit.ly/13EZSUC,,,
"Manfred Behrens, CDU",@Manfredbehrens,2013-07-19T06:15:00.000Z,Neuer Radweg zwischen Ebendorf und Olvenstedt feierlich eröffnet: Ich freue mich über den neuen Radweg. Gemein... http://bit.ly/15OnZDk,,,
"Manfred Behrens, CDU",@Manfredbehrens,2013-07-17T10:22:56.000Z,Manfred Behrens bei der Sondersitzung des Innenausschusses im Deutschen Bundestag: Parallel zu meinen Wahlkrei... http://bit.ly/15FvU5S,,,
"Manfred Behrens, CDU",@Manfredbehrens,2013-07-16T12:04:46.000Z,"Manfred Behrens lädt zur Bürgersprechstunde ein (Freitag, 19. Juli von 10-11 Uhr, Wahlkreisbüro Haldensleben):... http://bit.ly/148GtSn",,,
"Manfred Behrens, CDU",@Manfredbehrens,2013-07-12T13:25:07.000Z,Manfred Behrens mit Minister Thomas Webel und Landrat Hans Walker beim Arbeitsbesuch bei der Firma Salutas Pha... http://bit.ly/1ayiDmi,,,
"Manfred Behrens, CDU",@Manfredbehrens,2013-07-10T11:08:41.000Z,Manfred Behrens bei der Blutspende in Wolmirstedt (Deuschen Roten Kreuz): In Wolmirstedt an der Raststätte B 1... http://bit.ly/12YP97l,,,
"Manfred Behrens, CDU",@Manfredbehrens,2013-07-08T08:26:07.000Z,Manfred Behrens freut sich über 30 neue Arbeitsplätze in Genthin (Jerichower Land): Kürzlich war ich mit Hartm... http://bit.ly/1afoQ6G,1,,
"Manfred Behrens, CDU",@Manfredbehrens,2013-07-07T06:14:18.000Z,Manfred Behrens mit Minister Hartmut Möllring zu Gast bei der Mittelstands- & Wirtschaftsvereinigung der CDU/C... http://bit.ly/17Yp25U,,,
"Manfred Behrens, CDU",@Manfredbehrens,2013-07-06T06:54:44.000Z,Manfred Behrens: Sommerfest der CDU Börde: Der Einladung zum traditionellen Sommerfest der CDU Börde folgten z... http://bit.ly/14ZZKBA,,,
