User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Manuel Höferlin,@ManuelHoeferlin,2021-02-03T13:16:45.000Z,"#Uploadfilter amtlich bestätigt! Wieder begeht die #Groko Wortbruch gegenüber den Nutzern. Besonders bedauerlich: Die geplanten Ausnahmeregelungen wurden derart beschnitten, dass sie faktisch wirkungslos sind. Die Regierung gibt eben keinen Bit auf digitale Bürgerrechte.",7,62,308
Manuel Höferlin,@ManuelHoeferlin,2021-05-10T20:05:15.000Z,"Dankbar für das Vertrauen! 
 
Ich wurde heute im 1. Wahlgang erneut als Beisitzer in den Landesvorstand der 
@fdprlp
 gewählt. 
Das gute Ergebnis motiviert mich zusätzlich in diesem wichtigen Wahljahr erneut alles zu geben. Nie gab es mehr zu tun! #@fdp #NieGabEsMehrZuTunManuel Höferlin",2,,20
Marco Buschmann,@MarcoBuschmann,2021-05-05T19:43:23.000Z,"#BVerfG hat heute weder über Eilanträge noch Verfassungsbeschwerden der MdBs der 
@fdpbt
 entschieden. Keine Entscheidung über Umgang mit Geimpften und Genesenen. Keine abschließende Entscheidung über Verfassungsgemäßheit von #Ausgangssperren.",117,88,617
Manuel Höferlin,@ManuelHoeferlin,2021-05-04T09:12:39.000Z,"Starkes Podium heute Abend beim digitalpolitischen Parteiencheck vom 
@eco_de
. Beginn: 18 Uhr, Link:  https://go.eco.de/oisA3jV. Ich freu mich, bis später!eco e.V.
@eco_de
 · May 4
Heute machen wir eine Reise durchs digitale Deutschland! 
 Auf dem netzpolitischen Parteiencheck sprechen wir über die digitalpolitischen Positionen mit: @SusanneHennig, @EskenSaskia, @TSchipanski, @KorkmazGT, @ManuelHoeferlin, @KonstantinNotz @anked. #wahldigital21
Show this thread",1,,3
Manuel Höferlin,@ManuelHoeferlin,2021-04-29T17:50:51.000Z,"Heute war ich bei 
@1730Sat1live
 zum Thema ""Digitale Pandemiebekämpfung"". Es ging nicht nur um die Luca-App; schaut doch einfach rein #coronaDE 
@fdpbtDigitale Pandemiebekämpfung - im Interview: Manuel Höferlin - 17:30live Rheinland Pfalz/Hessen
Die Luca-App steht in der Kritik. Über diese Kritik und die Möglichkeiten der digitalen Pandemie-Bekämpfung sprechen wir mit Manuel Höferlin. Er ist FDP-Bundestagsabgeordneter aus Rheinland-Pfalz und...
1730live.de",1,1,3
Manuel Höferlin,@ManuelHoeferlin,2021-04-29T13:39:46.000Z,"Heute tagt mit dem #Digitalrat mal wieder eines der zig Beratergremien der #GroKo. Doch die digitalpolitische Bilanz der Regierung bleibt ernüchternd. Es konnten kaum Fortschritte erzielt werden. Wir von der 
@fdpbt
 hätten eine Idee, wie es besser geht.HÖFERLIN: Digitalpolitische Bilanz der Großen Koalition ist ernüchternd
fdpbt.de",1,,10
Manuel Höferlin,@ManuelHoeferlin,2021-04-24T09:18:47.000Z,"Ich halte die #Bundesnotbremse weder für epidemiologisch sinnvoll, noch für verfassungskonform. Leider hat die #GroKo unsere Änderungsanträge abgelehnt und ein weitgehend untaugliches Gesetz verabschiedet. Deshalb ziehe ich, wie viele Kolleg:innen, vor das 
@BVerfG
.",1,,7
Manuel Höferlin,@ManuelHoeferlin,2021-04-13T07:40:01.000Z,"Wir Freie Demokraten 
@fdp
 wollen Deutschlands Digitalpolitik neu ausrichten! Wir brauchen endlich mehr Tempo. Das gelingt nur mit einem Ministerium für digitale Transformation. Meine liebste Kernforderung aus unserem neuen Wahlprogramm! 
http://fdp.de/live #vielzutun 
@fdpbt",2,2,28
Manuel Höferlin,@ManuelHoeferlin,2021-04-08T19:33:02.000Z,"Schade! Eine eigene Cloud-Lösung wäre ein Meilenstein auf dem Weg zu mehr digitaler Souveränität. Nicht nur mit Blick auf ein europäisches digitales Ökosystem, sondern auch mit Blick auf den Datenschutz. Es gibt viele gute Argumente für eine Lösung mit europäischen Partnern.Dietmar Neuerer
@dneuerer
 · Apr 7
#Microsoft steht vor Prestigeprojekt m der Bundesregierung – Kritiker sind alarmiert - https://hbapp.handelsblatt.com/cmsid/27072882.html… #datenschutz  ⁦@UlrichKelber⁩ ⁦@Peter_Schaar⁩ #dsgvo ⁦⁦@nhaerting⁩ ⁦@tj_tweets⁩  ⁦@JensZSPD⁩ ⁦@DJanecek⁩ ⁦@ManuelHoeferlin⁩",3,8,25
Manuel Höferlin,@ManuelHoeferlin,2021-04-05T11:22:25.000Z,"Selten so gelacht. Insbesondere durch die letzten Jahre zieht sich eine Spur unverhältnismäßiger Sicherheits-Gesetzgebung, die jeweils vom #BVerfG kassiert wurde. Eine Übersicht über das Gesamtmaß der Überwachung ist längst überfällig! #ÜGR #Überwachungsgesamtrechnungheise online
@heiseonline
 · Apr 2
Bundesregierung: Überwachungsgesamtrechnung ist überflüssig https://heise.de/news/Bundesregierung-Ueberwachungsgesamtrechnung-ist-ueberfluessig-6004760.html… #Datenschutz #Grundrechte",2,14,37
Dietmar Neuerer,@dneuerer,2021-04-02T07:31:56.000Z,"Digitalpolitiker fordern #EU-Gesetz gegen die #WhatsApp-Dominanz - https://hbapp.handelsblatt.com/cmsid/27062400.html… ⁦
@TSchipanski
⁩ ⁦
@JensZSPD
⁩ ⁦
@DJanecek
⁩ ⁦
@ManuelHoeferlin
⁩ ⁦
@vestager
⁩ ⁦
@tj_tweets
⁩ ⁦
@katarinabarley
⁩ ⁦
@AxelVossMdEP
⁩ ⁦
@moritzkoerner
⁩Digitalpolitiker fordern EU-Gesetz gegen die WhatsApp-Dominanz
Die EU-Kommission will per Gesetz die Marktmacht von Tech-Konzernen begrenzen. Deutschen Digitalpolitikern gehen die Pläne nicht weit genug.
handelsblatt.com",5,12,23
Manuel Höferlin,@ManuelHoeferlin,2021-03-30T17:32:08.000Z,"Das Gesetz für die Tonne. #NetzDG Die Studie von 
@PLiesching
 ist hier abrufbar: https://carlgrossmann.com/liesching-das-netzdg-in-der-praktischen-anwendung/…Arnd Diringer
@Arnd_Diringer
 · Mar 30
Das #NetzDG - ""Ein Gesetz für die Tonne""
Der aktuelle Beitrag meiner @WELTAMSONNTAG-Kolumne #RechtBehalten!  
Jetzt auch auf @welt-Plus verfügbar!
@PLiesching @ManuelHoeferlin
https://welt.de/debatte/kommentare/plus229408877/Recht-behalten-Das-NetzDG-Ein-Gesetz-fuer-die-Tonne.html…",,8,24
Arnd Diringer,@Arnd_Diringer,2021-03-27T07:31:50.000Z,"Das #NetzDG war von Anfang an umstritten. Ein wissenschaftliches Gutachten von Prof. 
@PLiesching
 belegt nun, dass die Kritik daran berechtigt ist.
Das Thema meiner Kolumne #RechtBehalten! Am Sonntag in der 
@WELTAMSONNTAG
. Mit int. Anmerkungen von 
@ManuelHoeferlin
 (
@fdpbt
).
@welt",9,56,172
Fraktion der Freien Demokraten,@fdpbt,2021-03-24T12:50:38.000Z,"„Frau #Merkel, wann trennen Sie sich endlich von dem MPK-Entscheidungsmechanismus, der systematisch Fehler produziert, weil hinter verschlossenen Türen, mitten in der Nacht, übernächtigt über das Leben von Millionen Menschen entschieden wird?!“, fragt 
@MarcoBuschmann
. #Osterruhe1:34
21.1K views",79,168,811
Manuel Höferlin,@ManuelHoeferlin,2021-03-25T08:12:49.000Z,"Das #NetzDG ist eine Gefahr für die Meinungsfreiheit und hat quasi keinen praktischen Effekt. Das will die Bundesregierung nicht einsehen, aber eine neue Studie von 
@PLiesching
 belegt es. Höchste Zeit, das NetzDG auf dem Schlechte-Ideen-Friedhof gescheiterter Gesetze zu begraben.heise online
@heiseonline
 · Mar 24
Studie: Netzwerk-Durchsetzungsgesetz bringt wenig und führt zu Overblocking https://heise.de/news/Studie-Netzwerk-Durchsetzungsgesetz-bringt-wenig-und-fuehrt-zu-Overblocking-5996973.html… #HTWKLeipzig #Hasskriminalität",1,11,21
Manuel Höferlin,@ManuelHoeferlin,2021-03-18T17:10:34.000Z,"Jetzt online; schaut doch einfach rein! :-) 
@fdpbt
 @franksitta
 @c_lindner
 @_lucaApp
 @darfichreinFraktion der Freien Demokraten
@fdpbt
 · Mar 18
Mit Smartphones gegen die Krise angehen?
Digitale #Kontaktnachverfolgung und eine einheitliche #App sind eine Chance, um schneller und sicherer wieder zu öffnen. Ab 18:00 diskutieren @c_lindner, @franksitta, @ManuelHoeferlin mit @_lucaApp & @darfichrein: https://youtu.be/17YWDMOXitE",1,,2
Manuel Höferlin,@ManuelHoeferlin,2021-03-18T08:21:51.000Z,"Herzliche Einladung für heute Abend! Fraktion der Freien Demokraten
@fdpbt
 · Mar 18
Mit Smartphones gegen die Krise angehen?
Digitale #Kontaktnachverfolgung und eine einheitliche #App sind eine Chance, um schneller und sicherer wieder zu öffnen. Ab 18:00 diskutieren @c_lindner, @franksitta, @ManuelHoeferlin mit @_lucaApp & @darfichrein: https://youtu.be/17YWDMOXitE",,,6
Manuel Höferlin,@ManuelHoeferlin,2021-03-11T11:27:40.000Z,"Eine vielfältige Medienlandschaft ist elementarer Bestandteil der Demokratie. Deshalb unterstütze ich die digitale Transformation im Verlagswesen. Doch das geplante Förderprogramm des 
@BMWi_Bund
 schafft ungleiche Wettbewerbsbedingungen und verhindert Innovation, statt zu fördern.Mario Thurnes
@Rioramscht
 · Mar 9
Subventionen für Medien? Ja, aber nicht so, wie es Wirtschaftsminister Peter #Altmaier vorgeschlagen hat, sagt @ManuelHoeferlin im BYC-Interview:

https://boostyourcity.de/digital-politiker-hoeferlin-analoge-geschaeftsmodelle-nicht-so-lange-wie-moeglich-am-leben-halten…",,1,2
Manuel Höferlin,@ManuelHoeferlin,2021-03-08T16:03:39.000Z,"Zusammen stark sein! Nicht nur heute ist #Frauentag. 
Gleiche Rechte für alle ist auch eine Aufgabe für alle. Deshalb unterstütze ich die Gleichberechtigung der Geschlechter. 
.
#YesSheCan #WeltFrauenTag #Empowerment #FreieDemokraten 
@fdpbt",,1,10
Volker Wissing,@Wissing,2021-03-04T17:40:07.000Z,"Unsere Spitzenkandidatin 
@Schmitt_FDP
 überzeugt, unsere Inhalte überzeugen und wir werden bis zur letzte Minute alles geben, noch mehr Wählerinnen und Wähler davon zu überzeugen, dass eine starke 
@fdprlp
 gut für Rheinland-Pfalz ist... Deutschland Wählt
@Wahlen_DE
 · Mar 4
RHEINLAND-PFALZ | Sonntagsfrage Landtagswahl Infratest dimap/ARD

SPD: 30%
CDU: 28% (-3)
GRÜNE: 12%
AfD: 9%
FDP: 9% (+2)
FW: 5% (+1)
LINKE: 3%
Sonstige: 4%

Änderungen zur letzten Umfrage vom 25. Februar 2021

Verlauf: http://bit.ly/UmfragenRLP
#ltwrp #ltwrlp",15,15,136
Manuel Höferlin,@ManuelHoeferlin,2021-03-01T07:58:28.000Z,"Heute öffentliche Anhörung zum IT-Sicherheitsgesetz 2.0. Durch neue Meldepflichten für Sicherheitslücken wird das Dilemma des #BSI immer deutlicher: Lücken schließen oder für die Sicherheitsbehörden offen halten? Viele Fragen sind offen. #ITSiGNeues IT-Sicherheitsgesetz: Nur Bürokratie gegen Hacker - WELT
Getrieben von Unions-Sicherheitspolitikern will die Bundesregierung das IT-Sicherheitsgesetz 2.0 unbedingt noch vor Ende der Legislatur verabschieden. Doch ausgerechnet Verbände der Wirtschaft, die...
welt.de",1,12,21
