User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Manuel Sarrazin,@ManuelSarrazin,2021-05-14T10:49:52.000Z,"Grenzverletzungen durch aserbaidschanische Streitkräfte in #Armenien absolut inakzeptabel.  und EU müssen sich aktiver für eine stabile und friedliche Entwicklung in der Region engagieren.

https://gruene-bundestag.de/presse/pressemitteilungen/armeniens-grenzen-sind-unantastbar…",5,22,36
Südosteuropa-Gesellschaft,@sudosteuropa,2021-05-11T09:49:45.000Z," Lernen Sie die neue kosovarische Außenministerin kennen: Verpassen Sie nicht unser Online-Gespräch mit 
@Peter_Beyer
, Muhamet Idrizi, 
@ManuelSarrazin
 und 
@MFAKOSOVO
 ! 
18.05.2021, 18:30 Uhr 

Info/Anmeldunghttps://sogde.org/de/events/kosovo-nach-den-wahlen/…Donika Gervalla-Schwarz: Childhood Emigrant Becomes Kosovo’s Top Diplomat | Balkan Insight
More than 40 years after leaving Kosovo as an eight-year-old girl, Donika Gervalla-Schwarz, the daughter of a Yugoslav-era Albanian dissident, has been appointed as the country’s new foreign minister.
balkaninsight.com",,5,7
Omid Nouripour,@nouripour,2021-05-12T08:31:22.000Z,"Replying to 
@TErndl
 @ABaerbock
 and 
@cducsubtIhre Position zu #Israel als Staatsräson findest du hier: https://twitter.com/baks_bund/status/1389258856761597957?s=21….

Ich bitte dich und alle Umfrage-Nervösen in demokratischen Parteien: Thema ist zu ernst für Wahlkampf-Fakes. Lasst uns uns zusammen für Sicherheit Israels und dauerhaften Frieden einsetzen. (2/2)",2,12,91
Manuel Sarrazin,@ManuelSarrazin,2021-05-11T17:00:37.000Z,"Das sind erschütternde und traurige Nachrichten aus #Kasan. Mein Beileid und tiefes Mitgefühl den Angehörigen und Freunden der Opfer. 

Мои соболезнования и глубочайшее сочувствие родным и близким погибших. https://spiegel.de/panorama/justiz/kasan-in-russland-schuesse-in-schule-mehrere-tote-a-dfa9617c-b124-4cb7-8cf3-03ab55f7c1c2… via 
@derspiegelKasan in Russland: Schüsse in Schule – mehrere Tote
Im russischen Kasan hat es einen Angriff an einer Schule gegeben. Offenbar sind Schüsse gefallen, auch von einer Explosion ist die Rede. Es soll mindestens neun Tote geben.
spiegel.de",,1,2
Manuel Sarrazin,@ManuelSarrazin,2021-05-10T17:37:05.000Z,"Die Zahl der politischen Gefangenen in #Belarus steigt täglich. Die EU muss viertes Sanktionspaket beschließen

#StandWithBelarus #StandByYou #FreeThemAll 
@Tsihanouskaya
 @LiberecoPHR
  

https://manuelsarrazin.de/2021/05/07/belarus-eu-muss-viertes-sanktionspaket-auf-den-weg-bringen…",1,3,17
Manuel Sarrazin,@ManuelSarrazin,2021-04-26T18:09:57.000Z,"Today I had the honour to send a very special letter of support written by Oleg #Sentsov to 
@ihar_losik
. We are with him!

#WeStandBYyou #StandWithBelarus #FreeThemAll 
@Tsihanouskaya
 @LiberecoPHR",2,3,18
Manuel Sarrazin,@ManuelSarrazin,2021-04-25T16:57:24.000Z,"Ich arbeite mit 
@tobiaslindner
 eng zusammen. Ein immer gut informierter und respektierter Kollege. Ich wünsche ihm Erfolg! #btw2021 #btw21 #gruenerlpDr. Tobias Lindner
@tobiaslindner
 · Apr 24
#Allesistdrin - auch für uns Grüne in Rheinland-Pfalz. Ich will mit Euch gemeinsam für das beste Ergebnis bei Bundestagswahlen und so viele Abgeordnete in Berlin wie nie zuvor kämpfen!",1,1,22
Omid Nouripour,@nouripour,2021-04-25T11:46:54.000Z,"Kleiner Tipp an meine lieben, Handbuch-konservativen Kollegen: auch außenpolitisch solltet ihr 
@ABaerbock
 & ihren klaren außenpolitischem Kurs ggü autoritären Regimen nicht unterschätzen. Auch das unterschiedet sie von den anderen K-Kandiaten.
#baerbockforkanzlerin #AllesistdrinFrankfurter Allgemeine
@faznet
 · Apr 24
Annalena #Baerbock spricht mit @fazbub und @SchullerKonrad über ihre Hoffnung auf Amerika, über Russland, China und den Weg zu einer Welt ohne Atomwaffen: https://buff.ly/3gBOucY",4,23,153
Manuel Sarrazin,@ManuelSarrazin,2021-04-25T09:08:48.000Z,"Ich möchte weiter für 
@gruene_hamburg
 grüne Außen- und Europapolitik gestalten. Dafür bewerbe ich mich um einen aussichtsreichen Listenplatz und dafür bitte ich um eure Unterstützung. https://bit.ly/3esP0rk

#allesistdrin #btw21 #hamburg #Baerbock #gruenehamburg #baerbockhabeck",21,23,196
Manuel Sarrazin,@ManuelSarrazin,2021-04-23T07:07:55.000Z,"Klare Haltung: ""Die Grenzen auf dem Westbalkan sind unantastbar und müssen es bleiben"" 

https://rnd.de/politik/neue-grenzen-auf-dem-balkan-wie-ein-non-paper-fur-aufregung-in-brussel-sorgt-JPS4XS3FD5ANJE44WYXIHBP7SU.html… 

#WesternBalkans #Erweiterung #EUNeue Grenzen auf dem Balkan: Wie ein Non-Paper für Aufregung in Brüssel sorgt
Niemand weiß, wer das Dokument verfasst hat, aber wer es gelesen hat, schlägt Alarm. In einem sogenannten Non-Paper werden neue Grenzziehungen auf dem Balkan vorgeschlagen. Politiker und Diplomaten...
rnd.de",1,4,17
Manuel Sarrazin,@ManuelSarrazin,2021-04-22T19:21:29.000Z,"Heute durfte ich in der Aktuellen Stunde für 
@GrueneBundestag
 eine Rede zur Gefahr einer Eskalation in der #Ostukraine halten. Meine Rede ist hier zu finden: https://youtu.be/frjuE9qwAPU (TS)",2,7,43
Manuel Sarrazin,@ManuelSarrazin,2021-04-22T10:08:21.000Z,"Am 24.4.2021, 14.30 Uhr laden der Grüne #Bürgermeisterkandidat für #Buxtehude, Michael Lemke, und ich zu einer virtuellen Bootstour durch’s #altesland zur Zeit der #Baumblüte ein. Von Buxtehude fahren wir auf #Este und #Elbe nach #Blankenese. #Live : http://instagram.com/therealsarrazin (TS)Michael Lemke für Buxtehude",1,,2
Manuel Sarrazin,@ManuelSarrazin,2021-04-21T19:50:03.000Z,"Thank you 
@Tsihanouskaya
 for standing with 
@ihar_losik
 and his family. We are together with you in solidarity #westandBYyou 
@LiberecoPHR
 @belarusrazamSviatlana Tsikhanouskaya
@Tsihanouskaya
 · Apr 21
Belarusian journalist & blogger Ihar Losik has been imprisoned for 300 days already. His wife Darya & daughter Paulina are waiting for him to come back home. 358 political prisoners in Belarus means 358 families suffering from the regime's repressions. #StandWithBelarus",2,22,186
