User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Marja-Liisa Völlers,@MarjaVoellers,2019-01-11T15:25:05.000Z,Der 200. Tweet sollte besonders sein? Ich widme ihn: #nazisraus.,25,8,179
Marja-Liisa Völlers,@MarjaVoellers,2021-04-28T14:05:49.000Z,"War ein guter Austausch. Hätte gerne noch länger gehen können! #bildung21 #bitkomBitkom_Bildung
@Bitkom_Bildung
 · Apr 28
Bei dem Thema #digitaleBildung sind sich unsere #bildung21-Speaker einig: 
Schule und Spaß! Wenn wir das schaffen, sind wir sehr weit in der Bildung.
Danke @cornelsenverlag, @spdbt und @BSK_aktuell für den Austausch und euer Input.",,,10
Marja-Liisa Völlers,@MarjaVoellers,2021-04-27T12:57:16.000Z,"Sehr geehrter Herr 
@RegSprecher
 , sehr geehrtes 
@BMBF_Bund
 ,

Reden Sie wieder nur über Schülerinnen und Schüler statt mit ihnen? 
Nicht ernsthaft! 
@spdbt
 @EskenSaskia
 @OlafScholzDario Schramm
@darioschramm
 · Apr 27
Hey @RegSprecher,

Das 2. Mal in Folge redet die Kanzlerin bei ihrer ‘Initiative Digitale Bildung’ nicht mit den direkt betroffenen - Den Schülern. 

Es gab nach dem letzten Mal genug Hinweise - Daher unterstelle ich heute pure Absicht. 

So gehts nicht weiter  #twlz",,2,10
Marja-Liisa Völlers,@MarjaVoellers,2021-04-24T12:12:14.000Z,"Ich war bei der Einweihung im November 2020 dabei. Gemeinsam mit vielen Vertreterinnen und Vertretern der Zivilgesellschaft haben wir der Opfer des Nationalsozialismus gedacht. Ich bin sehr wütend! Stiftung niedersächsische Gedenkstätten
@MemorialsNds
 · Apr 23
Die nächste Schändung eines Gedenkortes: erst vor 6 Monaten wurden in #Nienburg 4 Stelen zur Erinnerung an die NS-Opfer errichtet. Jetzt wurde eine der Stelen aus Panzerglas mit großer Gewalt zerstört.
Show this thread",1,,10
Marja-Liisa Völlers,@MarjaVoellers,2021-04-23T21:28:34.000Z,"The World is flat... #thomasfriedman 
@darioschrammfarhad manjoo
@fmanjoo
 · Apr 23
students in Germany (from what I’m gathering maybe students in all of Germany??) were apparently asked to analyze a column of mine on a big exam and I am getting lots of messages saying either thanks for helping them get an A or ... ruining their lives
Show this thread",,,2
Marja-Liisa Völlers,@MarjaVoellers,2021-04-19T19:36:45.000Z,"Ich mag ja „Warten auf Godot“. Aber hier geht’s nicht mehr um die Menschen und unser Land, sondern nur noch ums #ego einzelner Männer...!  #NieMehrCDUCSU #LaschetvsSoeder",1,4,28
Marja-Liisa Völlers,@MarjaVoellers,2021-03-19T07:30:02.000Z,"Naja, ob Herr Söder da so die beste Alternative ist...? Sage nur #sauer ...
Ich bin ja für 
@OlafScholz
 ! Stabilität, Stärke und Souveränität Dagmar Freitag
@DagmarFreitag13
 · Mar 19
Oh... Was nun, Herr #Laschet?",,4,25
Marja-Liisa Völlers,@MarjaVoellers,2021-03-18T19:50:56.000Z,"Wie viele kommen da bitte noch?? Das ist nur noch beschämend. Und nein, das sind keine Einzelfälle mehr... #Maskenskandal #Lobbyismus #CDUCSUChristian Deutschländer
@CDeutschlaender
 · Mar 18
Der nächste, bitte: Der CSU-Bundestagsabgeordnete Tobias Zech legt sofort Mandat und alle Parteiämter nieder, schreibt er heute an Parteifreunde. Ärger um Nebenverdienste 2016 mit Beratungsfirma im Ausland.
Show this thread",,1,8
"Josephine Ortleb, MdB",@josephineortleb,2021-03-17T06:26:44.000Z,"Die 
@spdbt
 fordert einen unabhängigen Ermittler, um vollständige Transparenz bei #Maskenaffäre herzustellen. Da bin ich ja mal gespannt, ob die Union es wirklich so ernst meint mit ihrer #transparenzoffensive?!",26,33,302
Marja-Liisa Völlers,@MarjaVoellers,2021-03-16T16:30:27.000Z,"Die Antwort des 
@BMVI
 ist ein Witz. Mit Transparenz und der Beantwortung von Fragen haben die Herren es ja bekanntermaßen nicht so. 
@spdbt
 @Achim_P
 @s_schwartze
 @wiebkeesdar1
 #bmvi #scheuer",3,2,10
Marja-Liisa Völlers,@MarjaVoellers,2021-03-10T20:09:01.000Z,"Echt jetzt? Noch einer? Wie viele kommen da noch? Ich fasse es nicht. #Aserbaidschan #Maskengate #CDUCSUDER SPIEGEL
@derspiegel
 · Mar 10
Der nächste Bundestagsabgeordnete mit auffälligem Geschäftsgebaren: Der Thüringer Mark #Hauptmann macht sich regelmäßig für Aserbaidschan stark. Der Kaukasus-Staat schaltet umgekehrt Werbeanzeigen in Hauptmanns CDU-Postille. Jetzt bei SPIEGEL+. 
https://spiegel.de/politik/weiterer-cdu-politiker-wegen-aserbaidschan-geld-unter-verdacht-a-c2f14351-056b-42ad-bce0-0c15dcc763d2?sara_ecid=soci_upd_j5FMWycn2aPum0F4COc40xUTUfLybp…",1,2,23
Lars Klingbeil,@larsklingbeil,2021-03-10T14:19:39.000Z,#LoremIpsum #SozialePolitikfürDich,93,137,848
Marja-Liisa Völlers,@MarjaVoellers,2021-03-07T09:37:06.000Z,"Der Herr „Kollege“ Löbel zieht da ja sehr zeitnah Konsequenzen. Nicht! Danke dafür, dass das Bild der Politik durch solche Mandatsträger weiter diskreditiert wird! #löbelPaul Ronzheimer
@ronzheimer
 · Mar 7
Löbel weiter: „Mit Wirkung zum 31.08.2021 werde ich mein Bundestagsmandat niederlegen.“ @BILD",,3,17
Dennis Rohde,@DennisRohde,2021-03-05T11:44:47.000Z,"Wir haben viel Geld der Steuerzahler in die Hand genommen, um die Folgen dieser schrecklichen Pandemie bestmöglich zu bekämpfen. Es widert mich an, dass Kollegen aus CDU und CSU dieses Geld und diese Krise offenbar nutzen, um sich persönlich zu bereichern. #masken #corona #löbel",22,74,493
Marja-Liisa Völlers,@MarjaVoellers,2021-03-03T08:34:33.000Z,"Das wurde Zeit.tagesschau
@tagesschau
 · Mar 3
AfD wird vom Verfassungsschutz beobachtet http://tagesschau.de/inland/afd-verfassungsschutz-verdachtsfall-103.html… #AfD #Verfassungsschutz",5,1,9
Marja-Liisa Völlers,@MarjaVoellers,2021-03-01T08:57:23.000Z,"#OER FTW! Leseempfehlung Julia Reda
@Senficon
 · Mar 1
#Brockhaus-Deal – digitale Bildung vs. Lebensrealität in Deutschland. Bei @heiseonline erkläre ich, warum öffentliche Mittel für Bildungsinhalte besser in Open Educational Resources als in zeitlich begrenzte Nutzungslizenzen gesteckt werden sollten: https://heise.de/meinung/Edit-Policy-Brockhaus-Deal-digitale-Bildung-vs-Lebensrealitaet-in-Deutschland-5067499.html… #OER",,,3
Marja-Liisa Völlers,@MarjaVoellers,2021-02-26T11:59:22.000Z,"Der Corona-Kinderbonus kam 2020 dort an, wo er am meisten gebraucht wird: bei Familien mit kleineren Einkommen. Deshalb gibts jetzt nochmal 150€ #Kinderbonus für jedes Kind. Ohne Anrechnung auf die Grundsicherung. Das haben wir eben im Bundestag beschlossen. 
@spdbt
 @spdde",3,1,34
Marja-Liisa Völlers,@MarjaVoellers,2021-02-25T16:14:45.000Z,"Wie geht das bitte mit christlicher #nächstenliebe einher? #caritas #altenpflege 
@hubertus_heilSPD-Fraktion im Bundestag
@spdbt
 · Feb 25
Die #Caritas verhindert allgemeinverbindliche Tarifverträge in der #Altenpflege. Arbeitsminister @hubertus_heil wird nun die Pflegemindestlohnkommission neu berufen, um zumindest auf diesem Weg zu einer weiteren Erhöhung der Mindestlöhne zu kommen.
Show this thread",2,3,26
Marja-Liisa Völlers,@MarjaVoellers,2021-02-25T15:53:29.000Z,"Freiwillig tat sich nichts - deshalb gibt es jetzt die #Vorstandsquote: Große Unternehmen müssen mind. eine Frau in den Vorstand berufen, wenn dieser mehr als dreiköpfig & rein männlich besetzt ist.

Wir warten nicht länger. Frauen müssen alle Wege offen stehen! 
@spdbt
 @spdde",48,18,105
SPD-Fraktion im Bundestag,@spdbt,2021-02-23T15:56:35.000Z,"Diskussionen unter #Schuloeffnungen und #LasstKitasUndSchulenZu zeigen, wie sehr #DigitaleBildung allen unter den Nägeln brennt. Wie läuft es derzeit an den #Schulen? Darüber spricht 
@MarjaVoellers
 ab 18 Uhr live auf unserem Insta-Kanal mit Oberstudiendirektorin Silke Müller: ",19,11,21
Marja-Liisa Völlers,@MarjaVoellers,2021-02-22T12:51:19.000Z,"Und warum wird bei #bildungdigital des 
@BMBF_Bund
 über die Schülerinnen und Schüler gesprochen und nicht mit ihnen? Sie hätten garantiert auch etwas beizutragen, oder 
@bsk_presse
 @bskdaily
 @darioschramm
?SPD-Fraktion im Bundestag
@spdbt
 · Feb 22
""Die Bundeskanzlerin hat offensichtlich die Geduld mit der Bildungsministerin verloren und das Thema #DigitaleBildung an sich gezogen"", stellt @KaczmarekOliver fest. Nachvollziehbar, denn bei zentralen Zusagen von Ministerin #Karliczek warten wir alle seit Monaten auf Umsetzung.
Show this thread",3,3,19
Olaf Scholz,@OlafScholz,2021-02-22T08:18:15.000Z,"“Was ich damit auf mich nahm, wusste ich und habe auch damit gerechnet, dadurch mein Leben zu verlieren.” In diesem Jahr wäre #SophieScholl 100 Jahre alt geworden. Sie, ihr Bruder Hans & Christoph Probst wurden heute vor 78 Jahren von den Nazis ermordet. #keinvergessen #niewieder",66,256,1.4K
Leonhard Dobusch,@leonidobusch,2021-02-19T10:02:25.000Z,"Warum es falsch ist, €2,6 Mio. aus öffentlichen Mitteln in eine 3-Jahres-Lizenz für eine proprietäre Online-Enzyklopädie im Schulbereich zu stecken. 

Fünf Gründe. Ein Thread.Lilli Iliev
@lilliiliev
 · Feb 19
Scheint tatsächlich zu stimmen  WTF!
""[...] zur Förderung eines effizienten & verantwortungsvollen (sic!) Umgangs mit Informationen, Daten & Medien Drei-Jahres-Lizenz für Paket des Brockhaus Online-Nachschlagewerks erworben""
https://bildungsklick.de/schule/detail/26-millionen-euro-fuer-mehr-digitale-lernmittel-an-den-schulen…",37,802,1.9K
Marja-Liisa Völlers,@MarjaVoellers,2021-02-04T13:05:15.000Z,"Heute wäre Friedrich Ebert 150 Jahre alt geworden. Ein großer Sozialdemokrat, der beeindruckendes geleistet hat. #HappyBDayFritz!From 
SPD Parteivorstand",,1,16
SPD Niedersachsen,@SPDNDS,2021-02-01T11:08:19.000Z,"Die letzten Wochen zeigen: Länder und Kommunen brauchen einen Plan, auf den sie sich verlassen können. Ankündigungen, die anschließend fortlaufend geändert werden, erschweren Ländern und Kommunen die Arbeit und verunsichern die Bürger:innen.",,3,13
Achim Post,@Achim_P,2021-01-29T14:04:02.000Z,"„Die Antwort des Bundesverkehrsministers auf unsere klaren Fragen zur #Bahntrasse #Bielefeld-#Hannover ist absolut unbefriedigend“, so lautet das Fazit der heimischen SPD-MdB auf das Antwortschreiben des parl. Staatssekretärs im BMVI Enak Ferlemann. https://bit.ly/2YtvaUY (tap)Stefan Schwartze and 4 others",,8,8
SPD-Fraktion im Bundestag,@spdbt,2021-01-29T08:44:42.000Z,"Franziska Giffey: ""Mit diesem Gesetz machen wir das #Elterngeld partnerschaftlicher, flexibler, unbürokratischer. Und wir stärken Familien in unserem Land mit der bekanntesten und beliebtesten Familienleistung Deutschlands.""",16,10,29
