User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Mark Hauptmann,@MarkHauptmann,2021-03-10T13:44:51.000Z,"Hallo Hr. Brauns, die Antwort auf Ihre Frage habe ich bereits auf Abgeordnetenwatch auf Nachfrage eines Bürgers schriftlich beantwortet. Eine Verbindung mit dem # Maskengate lehne ich ab & habe die Abfrage meiner Fraktion zu diesem Thema bereits beantwortet.Bastian Brauns
@BastianBrauns
 · Mar 10
Wozu etwa gründete CDU-MdB Mark Hauptmann im September 2020 plötzlich die „HAUPTMANN GLOBAL CONSULT GMBH“ mit dem Geschäftsgegenstand „Vermittlung von Aufträgen“? #Maskengate
Show this thread",110,34,13
CDU-Fraktion im Thüringer Landtag,@cdu_fraktion_th,2021-03-08T13:31:49.000Z,"„Das Kabinett Ramelow muss jetzt handeln. Das heißt konkret: Schnelltests bestellen und parallel Konzepte erarbeiten“, fordert unser gesundheitspolitischer Sprecher, Christoph #Zippel. https://cdu-landtag.de/aktuelles/pressemitteilungen/2021/cdu-fraktion-fordert-umgehende-bestellung-von-corona-schnelltests… #Corona #Thüringen #Schnelltest #COVID19",7,2,8
Nikolaus Blome,@NikolausBlome,2021-03-06T20:34:46.000Z,"Mir ist nicht klar, warum die (berechtigte!) Wut allein bei Merkel und 
@jensspahn
 runter geht: Für‘s Impfen vor Ort, von hotline bis 2.-Dosen und flexible Resteverimpfung sind allein die Länder zuständig... #Impfdesaster",187,173,1.3K
Marian Bracht,@MarianBracht,2021-03-05T19:15:00.000Z," Nur in Thüringen sind die Menschen unzufriedener mit ihrer Landesregierung als in #RheinlandPfalz. Die Zufriedenheit mit #Dreyer nahm im Vergleich März zu Januar sogar um 10 (!) Prozentpunkte ab. 
 Zeit für den Wechsel. Zeit für #Baldauf. 
 #ltwrp21 #wirmachendas #tvduell",6,18,59
CDU-Landesgruppe TH,@cdu_lgth,2021-03-01T15:34:43.000Z,"Unsere Zeit stellt vielfältige Herausforderungen: etwa bei Digitalisierung oder durch zunehmende Alterung der Bevölkerung. 
@MarkHauptmann
 hält Weiterbildung neben qualifizierter Fachkräfteeinwanderung für die wichtigste Säule, um Fachkräfte zu gewinnen und Beschäftigungen zu ...",3,2,6
Mark Hauptmann,@MarkHauptmann,2021-03-01T14:22:15.000Z,"Lieber 
@matthiaszimmer
 wenn man wie meine Vorfahren & ich aus der Unfreiheit der vergemeinschaftlichen Armut (DDR) kommt, weiß man die freien wirtschaftlichen Betätigungsmöglichkeit jedes Einzelnen (Wirtschaftsliberalismus) zu schätzen. Warum dann ein Manifest dagegen? 
@MIT_bundmatthias zimmer
@matthiaszimmer
 · Feb 22
Erscheint Anfang März. Ein Manifest gegen den Wirtschaftsliberalismus in der CDU.....",23,17,86
Paul Ronzheimer,@ronzheimer,2021-02-16T18:12:46.000Z,"Laschet hat ausgesprochen, was viele denken. Er hat sich gg d Kurs von Merkel/Söder gestellt. Jetzt sollte er Verteidiger derjenigen sein, die „Alternativlosigkeit“ eines Endlos-Lockdowns anzweifeln. Die Kinder brauchen eine mächtige Stimme, die etwas verändert. Mein 
@BILD
 kom ",93,78,421
Mark Hauptmann,@MarkHauptmann,2021-02-16T19:11:34.000Z,"Wir haben die ersten Zauberer an deutschen Universitäten. Anders kann man den Vorschlag von der Dame nicht verstehen. Kaum zu glauben, dass Sie sogar Prof. für Energiewirtschaft sein soll. Mit dieser Expertise ist keine verlässliche #Energiewende für 
 zu gestalten.Thomas Bareiß
@Thomas_Bareiss
 · Feb 16
Na wie gut, dass der #Strom aus der #Steckdose kommt... dann kann ja nichts passieren! 
 @tazgezwitscher #Energiewende #Energie @CDU @cducsubt",50,11,15
CDU-Landesgruppe TH,@cdu_lgth,2021-02-15T19:00:08.000Z,"Der Bund investiert bis 2027 mehr als 100 Millionen Euro in das einmalige Kulturerbe der Thüringer Residenzlandschaft, fasst Christian Hirte die im Bundeshaushalt ab 2021 verankerten Maßnahmen zusammen. Mehr unter: https://t1p.de/4r6v",,3,7
Mark Hauptmann,@MarkHauptmann,2021-02-15T18:17:14.000Z,"Die #Verbotsparteien sind zurück: Gehts nach Grünen & Linken, dann wohnt niemand mehr im #Einfamilienhaus, sondern im Plattenbau in der Karl-Marx-Straße. Enteignungen von Eigentum, Selbstgeißelung & Symbolpolitik lösen kein einziges Problem.",2,8,39
