User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Klara Geywitz,@klara_geywitz,2021-05-13T19:35:26.000Z,"„Aus dem sozialdemokratischen Finanzminister... ist ein K-Kandidat geworden, der die Union in der Haushalts- und Krisenpolitik blass aussehen lässt.“  Für Olaf Scholz läuft es gerade ganz gut.
via 
@szSPD-Kanzlerkandidat: Für Olaf Scholz läuft es gerade ganz gut.
Für SPD-Kanzlerkandidat und Finanzminister Olaf Scholz läuft es gerade ganz gut. Das liegt auch am Corona-Virus.
sueddeutsche.de",31,48,266
Kerstin Griese,@KerstinGriese,2021-05-13T06:40:37.000Z,"Danke 
@OlafScholz
 für diese klare Ansage!phoenix
@phoenix_de
 · May 12
#Finanzminister @OlafScholz verurteilt #Hamas-Angriffe auf  #Israel. Sicherheit Israels gehöre zur deutschen Staatsräson. Lösung des #Nahost|konfliktes nur am Verhandlungstisch. Angriffe auf  #Synagogen in #Bonn & #Münster sind zu ahnden.  #Palästina @BMF_Bund @spdde
#Gaza",,4,24
Johannes Waldmann,@Joh_Waldmann,2021-05-12T18:27:38.000Z,"Mit 
@OlafScholz
 wird Deutschland auch außenpolitisch erstklassig vertreten! #P7Spezial #SPD",,2,50
Jasper Wiezorek,@wiezorekJasper,2021-05-12T18:39:50.000Z,"Als Kanzler muss man auch auf unangenehme und aggressive Fragen vernünftig antworten können. Dass 
@OlafScholz
 für das Amt qualifiziert ist, wird gerade einmal wieder deutlich. #prosieben",1,2,22
Lukas,@lurwus,2021-05-12T19:00:25.000Z,"Zum Glück ist dieses unmögliche Interview vorbei. Und 
@OlafScholz
 hat sich trotzdem souverän geschlagen. #P7Spezial",,2,38
Jannik Neuhaus,@NeuhausJannik,2021-05-12T18:49:06.000Z,"Unangenehm, wie 
@louisklamroth
 versucht überkritische Fragen zu stellen und an 
@OlafScholz
 scheitert. 
@lindazervakis
 macht das hingegen sehr gut. #pro7 #kanzlerinterview 
@spdde",1,1,27
Jan Fleischhauer,@janfleischhauer,2021-05-12T15:35:22.000Z,"Wer wissen will, was den Kanzlerkandidaten 
@olafscholz
 von der Kanzlerkandidatin 
@ABaerbock
 unterscheidet, bitte schön:phoenix
@phoenix_de
 · May 12
#Finanzminister @OlafScholz verurteilt #Hamas-Angriffe auf  #Israel. Sicherheit Israels gehöre zur deutschen Staatsräson. Lösung des #Nahost|konfliktes nur am Verhandlungstisch. Angriffe auf  #Synagogen in #Bonn & #Münster sind zu ahnden.  #Palästina @BMF_Bund @spdde
#Gaza",55,102,887
Rita Schwarzelühr-S.,@rischwasu,2021-05-12T21:14:13.000Z,"Unterschätzt https://zeit.de/2021/20/olaf-scholz-spd-parteitag-bundestagswahl-respekt-wahlkampf?wt_zmc=sm.ext.zonaudev.twitter.ref.zeitde.share.link.x… via 
@zeitonlineOlaf Scholz: Unterschätzt
Ehrlicher Respekt und echte Geschlossenheit – Olaf Scholz könnte nicht nur Retter der SPD, sondern auch Bundeskanzler werden. Im Ernst? Ja, doch.
zeit.de",,1,3
Klara Geywitz,@klara_geywitz,2021-05-12T19:59:17.000Z,"Ein Anker in unsicheren Zeiten - und ja, mit einer großen Portion pragmatischer Hartnäckigkeit. So ist das, wenn man einen Kompass hat. Olaf Scholz - mit Wumms ins Kanzleramt?
Obwohl die SPD seit Jahren in einer tiefen Existenzkrise steckt, scheint ihr Kanzlerkandidat Olaf Scholz bei den Wähler:innen besser anzukommen als seine Partei.
de.euronews.com",50,25,233
phoenix,@phoenix_de,2021-05-12T13:54:16.000Z,"#Finanzminister 
@OlafScholz
 verurteilt #Hamas-Angriffe auf  #Israel. Sicherheit Israels gehöre zur deutschen Staatsräson. Lösung des #Nahost|konfliktes nur am Verhandlungstisch. Angriffe auf  #Synagogen in #Bonn & #Münster sind zu ahnden.  #Palästina 
@BMF_Bund
 @spdde
#Gaza",138,239,931
