User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Joana Cotar,@JoanaCotar,2021-04-23T05:12:42.000Z,"Wie die Reaktionen von Medien, Politikern und sonstigen „wichtigen“ Leuten die Inhalte der Videos einfach zu  Prozent bestätigen und es nicht mal merken. #allesdichtmachen #niewiederaufmachen",22,200,1.1K
Robin Alexander,@robinalexander_,2021-04-23T07:17:27.000Z,"Ich wollte zu #allesdichtmachen nichts schreiben. Aber hier fordert ein führender SPD-Funktionär und Rundfunkrat des 
@WDR
  Berufsverbote für Künstler, weil ihm ihre Meinung nicht passt. Das geht nicht. Das ist verrückt. ",860,2K,6.9K
"Martin Sichert, MdB",@Martin_Sichert,2021-04-22T14:55:03.000Z,"Jetzt ist die #Notbremse UNBEDINGT notwendig weil ... dieselben Prognosen im Raum stünden?!  Andere Länder machen auf und wir machen zu ... Studien zeigen #Ausgangssperre bringt nix, wir machen sie trotzdem. Das ist einfach nur noch Verrückt! ts",,2,2
"Martin Sichert, MdB",@Martin_Sichert,2021-04-22T14:55:01.000Z,"Am 31. März (!) 2021 malte das RKI noch dieses Schreckensszenario nach Ostern. Demnach müssten wir heute (KW16) ungefähr bei Inzidenz 400+ sein. Seitdem hat sich an den Einschränkungen (bisher und zum Glück!) nichts wesentliches Verändert.RKI erwartet „explodierende“ Corona-Inzidenz nach Ostern
Die Sorge vor Corona-Mutationen wächst. Vor Ostern hat das Robert-Koch-Institut (RKI) einen Bericht zu den Virusvarianten veröffentlicht. Nach den Feiertagen sehen die Prognosen düster aus.
merkur.de",1,2,3
Stephan Protschka MdB,@AfDProtschka,2021-04-22T12:39:40.000Z,"Das #Infektionsschutzgesetz ist durch den #Bundesrat. Mit Zustimmung von #FDP und #Linke! Im #Bundestag, da dieser öffentlich wahrgenommen wird, haben die FDP und Linke noch dagegen gestimmt. Das zeigt die Verlogenheit dieser Parteien! Wir wollen #Deutschlandabernormal #AfD",14,147,307
"Martin Sichert, MdB",@Martin_Sichert,2021-04-22T08:03:46.000Z,"Mit 
@heribertprantl
 ist man selten einer Meinung und von der 
@SZ
 kommt wenig Liebe Richtung AfD aber hier hat er 100% Zustimmung ts

#Bundesnotbremse #b2104 #Grundrechtseinschränkungen #Demokratie #Rechtsstaat",10,5,11
"Martin Sichert, MdB",@Martin_Sichert,2021-04-21T14:11:30.000Z,"https://bild.de/politik/inland/politik-inland/top-epidemiologe-vom-helmholtz-institut-maulkorb-fuer-regierungskritischen-coron-76137338.bild.html…

#b2104 #Grundrechtseinschraenkungen #Corona 

Kein Kommentar dazu mehr. tsTop-Epidemiologe vom Helmholtz-Institut - Maulkorb für regierungskritischen Corona-Forscher
Regierungskritik aus dem Mund eines Wissenschaftlers – unerwünscht! 
bild.de",,2,6
"Martin Sichert, MdB",@Martin_Sichert,2021-04-16T10:52:31.000Z,"Sowas war vor kurzem noch als Verschwörungstheorie abgetan oder nach der #NiemehrSPD Eskia Sasken - als Covidiot abgestempelt  Man kann sich eine Pandemie auch zurechtbiegen - die Frage ist nur, wozu will die Bundesregierung dies?! #nurnochAfD tsCt-Wert: Wir müssen die Ergebnisse der PCR-Tests genauer auswerten - WELT
Ein positiver PCR-Test ist weder gleichbedeutend mit einer Corona-Erkrankung noch mit Infektiösität. Ein anderer Wert ist entscheidender. In Spanien reagiert die Politik auf diese Erkenntnisse – in...
welt.de",,5,11
"Martin Sichert, MdB",@Martin_Sichert,2021-04-16T10:34:36.000Z,"Der Mindset von #MerkelMussWeg - Opposition kritisiert, die eigenen CDU/SPD-Abgeordnete auch, Juristen im Kanzleramt (!) haben Bedenken, Ministerpräsidenten, Wissenschaftler sagen es sei falsch ... aber Merkel geht mit dem Kopf durch die Wand. #Demokratie-Verständnis adets",,10,19
Manaf Hassan,@manaf12hassan,2021-04-15T20:25:32.000Z,"Was wir aus der #Mietendeckel-Demo in #Berlin lernen:

⁃ Abstand (& teilweise Masken) egal
⁃ Lockdown-Lover en masse dabei
⁃ Politiker laufen mit
⁃ Extremisten auch
⁃ Polizisten werden angegriffen
⁃ keine Auflösung der Demonstration
⁃ das Corona-Virus ist politisch",71,833,2.1K
Fiete Kalscheuer,@FieteKalscheuer,2021-04-15T11:48:33.000Z,"Wichtige Regel: Es sollte niemals dem politischen Gegner vorgeworfen werden, seine verfassungsmäßigen Rechte zu nutzen.SPD-Fraktion im Bundestag
@spdbt
 · Apr 15
„Es ist kein Geheimnis, dass den Klägern aus Reihen der CDU und FDP die Sorgen von Mieterinnen und Mietern vollkommen egal sind. Im Gegenteil: Sie sind die Anwälte der Immobilienlobby im Deutschen Bundestag"", kommentiert @soerenbartol das #BVerfG-Urteil zum #Mietendeckel.
Show this thread",12,39,436
"Martin Sichert, MdB",@Martin_Sichert,2021-04-15T07:23:03.000Z,"Als ob es das erste Mal wäre! Der FaktenERfinder der 
@tagesschau
 u. ä. „Faktenprüfer“ gerieren sich wie das Orwell’sche Wahrheitsministerium und manipulieren die öffentlich. Meinung. Das hat nix mit Journalismus zu tun! Konsequenzen müssen her! tsZuschauer empört über Erklärung - So dreist rechtfertigt die Tagesschau ihre Corona-Karte
Nach scharfer Kritik an ihrer veränderten Corona-Karte rechtfertigt sich die Tagesschau mit einem Beitrag, der alles nur noch schlimmer macht.
bild.de",,1,7
Filipp Piatov,@fpiatov,2021-04-13T11:53:30.000Z,"Am 24. März warnte Bundeskanzlerin Angela Merkel vor der „dritten Welle mit der tödlicheren und ansteckenderen Mutation“.

Nun sagen britische Forscher, dass es „keine Hinweise“ gebe, dass die B.1.1.7-Mutation tödlicher sei.",130,331,1.5K
CNN,@CNN,2021-04-13T11:32:27.000Z,"The CDC and FDA recommend a pause for Johnson & Johnson's Covid-19 vaccine over ""six reported US cases of a rare and severe type of blood clot.""4:33
282.9K views
From 
New Day",134,796,1.4K
"Martin Sichert, MdB",@Martin_Sichert,2021-04-13T10:02:44.000Z,"Die Grundrechte-Logik der #niewiederCDU in einem Bild 

Demnach kommt der gläserne Bürger ja bald - wer nichts zu verbergen hat, hat ja nichts dagegen! 

Was unterscheidet uns (außer Ineffizienz der Regierung) noch von China?! 

#schönwetterDemokratie #Bundesnotbremse ts",,2,4
"Martin Sichert, MdB",@Martin_Sichert,2021-04-12T08:57:34.000Z,"Die 
@tagesschau
 berichtet mal wieder total ausgewogen. Dass die AFD auch gegen die Ausgangssperren ist wird nicht mit einer Silbe erwähnt. Als ob es die größte Opposition im Bundestag gar nicht gäbe. #wunschdenkenjournalismus ts",,6,21
"Martin Sichert, MdB",@Martin_Sichert,2021-04-08T09:02:44.000Z,"Gut die neuen (neo)Faschisten nennen sich auch „AntiFa“. Dann heißt das neue #Ermaechtigungsgesetz eben auch „Entmächtigungsgesetz“. Super Logik, einfach alles „anti“ bezeichnen und schon ist es OK. Na gut wir sind ja auch anti Merkel ;) (ts)

https://spiegel.de/politik/deutschland/corona-angela-merkel-will-bund-durch-infektionsschutzgesetz-mehr-macht-geben-a-4652d0f2-5dc9-479a-a742-0d1cc56e36eb…",,4,6
Tino Chrupalla,@Tino_Chrupalla,2021-03-31T12:34:34.000Z,"Beim Thema Impfung gibt es stets neue medizinische Aspekte, die bedacht werden müssen. Als Politiker trage ich dafür Sorge, dass es bei der #Impffreiheit bleibt. Etwaige Impfempfehlungen sollten individuell von Medizinern ausgesprochen werden, nicht von Politikern! #Vaxzevria",72,155,647
