User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Matthias Gastel,@MatthiasGastel,2021-05-11T06:54:17.000Z,"Gerne helfe ich mit Vorschlägen: Haushaltsmittel von #Straße zu #Schiene umschichten, Bahnstrecken #elektrifizieren & #reaktivieren, #Diesel-Subvention und #Dienstwagenprivileg abbauen, #Lkw-Maut ausweiten, #Tempolimit max. 130 auf Autobahnen, Verschärfung EU-Grenzwerte für #CO2.",5,8,52
Matthias Gastel,@MatthiasGastel,2021-05-12T14:08:43.000Z,"Ziele alleine im #Klimaschutzgesetz helfen noch nicht, diese tatsächlich zu erreichen. Dafür kommt es ganz maßgeblich auf den Sektor #Verkehr an. Hier braucht es ambitionierte Sektorziele und Stärkung der #Bahn, Bremse beim Bau neuer #Straßen und Verlagerung #Güter auf #Schiene.",2,4,14
Matthias Gastel,@MatthiasGastel,2021-05-10T15:30:57.000Z,"Herzlichen Glückwunsch an d. zukünftigen grünen Minister*innen 
@thekla_walker
 (Umwelt), 
@WinneHermann
 (Verkehr), 
@DerDanyal
 (Finanzen), Theresa Schopper (Kultus), 
@TheresiaBauer
 (Wissenschaft) und 
@mannelucha
 (Soziales). Plus MP Winfried Kretschmann. Ein starkes Team fürs Ländle!",,14,65
Matthias Gastel,@MatthiasGastel,2021-05-10T11:33:01.000Z,"Wie steht es um den #Regionalverkehr der #Bahn, was läuft gut, was ist kritisch? Wo besteht Korrektur- und Verbesserungsbedarf? Welche Aufgaben stehen für die #Verkehrspolitik von Bund und Aufgabenträgern an? Herzliche Einladung zu Teil 2 meiner ""Bahngespräche""! #Verkehrswende",,4,19
Matthias Gastel,@MatthiasGastel,2021-05-09T20:37:51.000Z,"Klasse, wie 
@Luisamneubauer
 dem #Laschet erklärt, was #Klimaschutz ist und was getan werden muss. Der Mann, der Kanzler werden will, ust ziemlich ahnungslos bei #AnneWill.",,6,59
Matthias Gastel,@MatthiasGastel,2021-05-08T13:13:43.000Z,"Zustimmung von 
@GrueneBW
 zu Koalitionsvertrag. Für #Verkehrswende durch Mobilitätsgarantie, leistungsfähigeren Bahnknoten #Stuttgart21, mehr #Bahn-Angebote und Strecken-#Reaktivierungen, Klimacheck beim #Straßenbau, mehr #Radschnellwege uvm. So kann #Klimaschutz gelingen!",6,9,69
Matthias Gastel,@MatthiasGastel,2021-05-08T09:48:30.000Z,"Winfried #Kretschmann auf dem Landesparteitag in B-W: ""Die #Klimakrise ist die größte Herausforderung, vor der die Menschheit steht. (...) Wir werden zeigen, wozu wir als führende Industrienation in Sachen #Klimaschutz fähig sind."" #ldkbw",2,4,18
Matthias Gastel,@MatthiasGastel,2021-05-07T07:26:29.000Z,Wir haben gemeinsame Überzeugungen: Nur mit einer starken #Bahn lassen dich #Klimaschutz-Ziele erreichen. Bahnfahren ist darüber hinaus aber auch eine tolle Art des Reisens. Wir wollen mehr davon. (2/2),,2,26
Matthias Gastel,@MatthiasGastel,2021-05-05T05:55:09.000Z,"Mein Newsletter: Gleisbelegungsplan zeigt Engpässe bei #Stuttgart21, Expresszug #Stuttgart über Flughafen nach #KirchheimTeck, unterwegs an #Frankenbahn/#Tauberbahn, S-Bahn nach #Nürtingen, Ausbau #Teckbahn, Urteil BVerfG zum #Klimaschutz
https://matthias-gastel.de/?mailpoet_router&endpoint=view_in_browser&action=view&data=WzM5LCIyNzgwMGFlODI5ZTAiLDAsMCwxOSwxXQ…",,2,8
Matthias Gastel,@MatthiasGastel,2021-05-04T10:04:12.000Z,In welcher Welt lebt eigentlich CDU-#Laschet? Im Handelsblatt-Interview malt er Schreckgespenster von abwandernder Industrie und „Nahrung nur noch importieren“ an die Wand. Und dann dies: „Es muss nicht immer das Lastenrad sein“. #Klimaschutz scheint für ihn keine Chance zu sein.,1,2,34
