User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Ernst Dieter Rossmann,@edrossmann,2020-07-01T08:17:51.000Z,"Heute beginnt die deutsche EU-#Ratspräsidentschaft. Wir 
@spdbt
-Bildungspolitiker*innen wollen #EU2020DE nutzen, um eine neue Bildungsvision für Europa auf den Weg zu bringen! Darum: 10 Forderungen für die Bildungs- und Forschungsunion Europa. 
@EU2020DE
 @wiebkees 
@KaczmarekOliver",2,7,16
MdB Ulrike Bahr,@MdB_Ulrike_Bahr,2018-08-24T10:48:39.000Z,"Heute startet der Plärrer! Und am Donnerstag, 6. September gibt es Gelegenheit, mit unserer bayerischen Spitzenkandidatin 
@NataschaKohnen
 und dem Fraktionsvorstand der 
@BayernSPD
 im Landtag zu sprechen. Kommen Sie ab 14 Uhr ins Binswanger Zelt!",1,8,21
MdB Ulrike Bahr,@MdB_Ulrike_Bahr,2018-07-12T11:35:56.000Z,"Wenn Roboter Menschen das Tragen und Heben erleichtern ... https://ulrike-bahr.de/news/mit-einem-exoskelett-auf-dem-ruecken-besuch-bei-german-bionic/… 
@germanbionic",,5,10
MdB Ulrike Bahr,@MdB_Ulrike_Bahr,2018-07-11T10:28:06.000Z,"Auch wenn es heiß ist, kann man gut über Politik diskutieren. Diesmal gibt es in der Pause ein Eis! Ich freu mich über viele Gäste am 31. Juli in der Stadbücherei!",1,2,
MdB Ulrike Bahr,@MdB_Ulrike_Bahr,2018-07-06T10:30:59.000Z,"Die CSU hat in verantwortungslosem Alleingang das Land lahmgelegt. Damit hat sie Vertrauen verspielt und der Demokratie geschadet. Es ist gut, dass wir nun zur Sachpolitik zurückkehren. Denn es warten wichtige Themen auf uns: Rente, Arbeit, Wohnen, Familie und Pflege! #SPDde",1,2,7
MdB Ulrike Bahr,@MdB_Ulrike_Bahr,2018-07-02T12:41:34.000Z,"6000 friedliche Demonstranten sind keine ""Linksfaschisten"". In Augsburg wurde am Samstag phantasievoll und gut gelaunt Kante gezeigt. Was Hans-Peter Friedrich getwittert hat, ist mit der Würde des Amtes eines Vizepräsidenten ...   https://ulrike-bahr.de/news/hans-peter-friedrich-soll-sich-entschuldigen/… #Linksfaschisten",1,20,40
MdB Ulrike Bahr,@MdB_Ulrike_Bahr,2018-01-29T11:49:25.000Z,"Ich freue mich auf unseren diesjährigen Aschermittwoch, der heuer ein Ascherdonnerstag sein wird! Herzliche Einladung zu dieser besonderen Veranstaltung mit Andrea #Nahles, MdL Harald Güller, Margarete Heinrich und mir!",2,1,2
MdB Ulrike Bahr,@MdB_Ulrike_Bahr,2018-01-25T13:10:45.000Z,"Wird in vier Jahren die AfD mitregieren, wenn die SPD-Mitglieder sich für die GroKo entscheiden? In meinem Wahlkreis haben wir unter anderem darüber lebendig und sachlich diskutiert.Hört die Signale! Lebendige Debatte mit MdB Ulrike Bahr
Wird in vier Jahren die AfD mitregieren, wenn die SPD-Mitglieder sich für die GroKo entscheiden? Schadet das Mitregieren dem Profil der Partei oder kann sich die Partei auch in Regierungsverantwort...
ulrike-bahr.de",,1,6
MdB Ulrike Bahr,@MdB_Ulrike_Bahr,2017-09-13T11:29:54.000Z,"Ich habe ein Video zu einer 
@YouTube
-Playlist hinzugefügt: http://youtu.be/KneOYhiRaNI?a Wählen gehen!Wählen gehen!
Am 24. September mit beiden Stimmen SPD wählen!
youtube.com",,,2
MdB Ulrike Bahr,@MdB_Ulrike_Bahr,2017-09-13T11:21:26.000Z,"Am 24. September mit beiden Stimmen SPD wählen!Wählen gehen!
Am 24. September mit beiden Stimmen SPD wählen!
youtube.com",,,
MdB Ulrike Bahr,@MdB_Ulrike_Bahr,2017-06-26T11:08:09.000Z,"Ich habe ein Video zu einer 
@YouTube
-Playlist hinzugefügt: http://youtu.be/p1mAWLhu2W4?a Hilfen für Kinder mit psychisch kranken ElternHilfen für Kinder mit psychisch kranken Eltern
Ulrike Bahr MdB spricht am 25. Juni 2017 im deutschen Bundestag zum Thema ""Hilfen für Kinder mit psychisch kranken Eltern""
youtube.com",,,
MdB Ulrike Bahr,@MdB_Ulrike_Bahr,2017-06-02T13:29:59.000Z,"Ich habe ein Video zu einer 
@YouTube
-Playlist hinzugefügt: http://youtu.be/IP1hxbllpgc?a Kinder und Familien von Armut befreien 2017 06 02Kinder und Familien von Armut befreien 2017 06 02 MdB Ulrike Bahr Rede
Rede der Bundestagsabgeordneten Ulrike Bahr im Deutschen Bundestag am 2. Juni 2017 gegen Kinderarmut und für Kinderrechte . ""Mir ist vor allem wichtig, dass ...
youtube.com",,,
MdB Ulrike Bahr,@MdB_Ulrike_Bahr,2017-05-16T10:45:41.000Z,"Ich habe ein Video zu einer 
@YouTube
-Playlist hinzugefügt: http://youtu.be/4XsOtxfzs3E?a GauriederGaurieder
MdB Ulrike Bahr ehrt Adolf Gaurieder, Genosse in Augsburg seit 65 Jahren.
youtube.com",,,
MdB Ulrike Bahr,@MdB_Ulrike_Bahr,2017-05-16T10:40:03.000Z,"Ich habe ein Video zu einer 
@YouTube
-Playlist hinzugefügt: http://youtu.be/gAPEO06SxUU?a 2017 05 08 Parteitag2017 05 08 Parteitag
Impressionen vom Parteitag des SPD-Unterbezirks Augsburg am 8. Mai 2017.
youtube.com",,2,3
BayernSPD,@BayernSPD,2017-04-28T13:51:01.000Z,"Gute & gerechte Arbeit geht gemeinsam! 
@stamm_fibich
, 
@reinhold_strobl
, 
@MdB_Ulrike_Bahr
 und Klaus Barthel stehen dafür. #GemeinsamGerecht",,5,8
MdB Ulrike Bahr,@MdB_Ulrike_Bahr,2017-04-13T13:18:57.000Z,"20 Wochen mit zwei Kleinkindern auf der Balkanroute unterwegs. Zu Besuch bei Flüchtlingen in meinem Wahlkreis.
https://ulrike-bahr.de/news/20-wochen-mit-zwei-kleinen-kindern-ueber-die-balkanroute-mdb-ulrike-bahr-besucht-fluechtlinge-in-koenigsbrunn/…",,1,3
MdB Ulrike Bahr,@MdB_Ulrike_Bahr,2017-04-11T07:49:53.000Z,"Warum Adolf Gaurieder sein Leben der SPD verdankt. Ehrung des Augsburger Genossen, der 65 Jahre Parteimitglied ist. https://spd-augsburg.de/news/warum-adolf-gaurieder-sein-leben-der-spd-verdankt-ehrung-fuer-65-jahre-mitgliedschaft/…",,,1
MdB Ulrike Bahr,@MdB_Ulrike_Bahr,2017-04-07T13:12:18.000Z,"Nachhaltige Familienpolitik: gute Infrastruktur, gerechte Arbeitszeitpolitik und Geld! Toller FvO-Termin mit MdB Rützel in Miltenberg!",,,2
MdB Ulrike Bahr,@MdB_Ulrike_Bahr,2017-04-03T12:12:07.000Z,"Gutes Gespräch mit MdB 
@stamm_fibich
 beim 
@FVBunterKreis
 Augsburg über Nachsorgeeinrichtungen und Finanzierungsfragen.",,,4
MdB Ulrike Bahr,@MdB_Ulrike_Bahr,2017-03-15T12:27:32.000Z,"Gute Diskussionen zur SGBVIII-Reform mit 40 Vertretern der Bayerischen Wohlfahrtsverbände bei meiner Fachkonferenz ""Quo Vadis Jugendhilfe""!",,,2
MdB Ulrike Bahr,@MdB_Ulrike_Bahr,2017-03-13T10:09:28.000Z,"So geht Demokratie! Sechs Kandidaten, sechs Visionen vom Landesvorsitz der Bayern SPD. Gestern Tourneestation bei uns in Augsburg.Gregor Tschung and Natascha Kohnen",,,1
MdB Ulrike Bahr,@MdB_Ulrike_Bahr,2017-01-30T12:14:56.000Z,,,,3
Lars Castellucci,@larscastellucci,2017-01-19T16:06:02.000Z,"den Leuten brennt der Zustand unserer #Demokratie unter den Nägeln. Wir brauchen mehr solche Veranstaltungen! #spdWie lässt sich die Demokratie beleben?
Wo nur noch wenige wählen gehen, steckt die Demokratie in der Krise. In Augsburg diskutieren Politiker und Nicht-Politiker kontrovers über Auswege.
augsburger-allgemeine.de",,1,2
MdB Ulrike Bahr,@MdB_Ulrike_Bahr,2017-01-19T08:49:16.000Z,"Ich habe ein Video zu einer 
@YouTube
-Playlist hinzugefügt: http://youtu.be/_keLRXS8nLA?a Die da oben - wir hier unten. Diskussion überDie da oben - wir hier unten. Diskussion über Demokratie
Fraktion vor Ort mit MdB Ulrike Bahr und MdB Prof. Dr. Lars Castellucci in der Augsburger Stadtbücherei
youtube.com",,,
MdB Ulrike Bahr,@MdB_Ulrike_Bahr,2017-01-17T11:07:10.000Z,"#npdverbot: Uns hält das nicht auf, gegen Psalter und Ausgrenzer vorzugehen. Aufklärung, Bildung, Zivilgesellschaft stärken!",,,1
MdB Ulrike Bahr,@MdB_Ulrike_Bahr,2017-01-17T07:52:52.000Z,"""Durch Handeln zeigen, dass Demokratie das Mittel für ein besseres Verständnis unter Völkern ist"", zitiert 
@larscastellucci
 George Marshall.",,,1
