User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
A. Kramp-Karrenbauer,@akk,2021-03-07T11:59:42.000Z,"Es gibt überhaupt nichts schön zu reden. Und Ämter ""ruhen"" zu lassen, reicht nicht. #Löbel und #Nüsslein müssen vollständig zurücktreten und ihre Mandate im Bundestag umgehend niederlegen.",1.4K,1.2K,11.6K
Mechthild Heil,@MechthildHeil,2020-12-10T21:31:45.000Z,"Kfd zu Missbrauch: Bischofsrücktritte auch ohne strafrechtliche SchuldKfd zu Missbrauch: Bischofsrücktritte auch ohne strafrechtliche Schuld
Frauenverband zu Vertuschungsvorwürfen gegen Woelki und Aktion ""MachtLichtAn""
katholisch.de",1,,7
Mechthild Heil,@MechthildHeil,2020-12-10T08:33:05.000Z,"Heute wird der Internationale Tag der #Menschenrechte begangen. Die #UN erinnert so daran, dass jeder Mensch das Recht auf Leben, Meinungs-, Versammlungs- und Religionsfreiheit hat. Wir engagieren uns für Menschenrechte, Demokratie und Rechtsstaatlichkeit überall auf der Welt.",3,2,6
Johannes Steiniger,@JoSteiniger,2020-11-26T11:55:34.000Z,"Wir erinnern uns: Rheinland-Pfalz war im Frühjahr Schlusslicht bei den Auszahlungen. Damals verantwortlich: Wirtschaftsminister Wissing.Volker Wissing
@Wissing
 · Nov 26, 2020
Die Bundesregierung hat #Novemberhilfen versprochen und im November noch keine Gelder 
 gezahlt. Die zugesagten 
#Corona-Hilfen müssen endlich auch fließen. Interview auf @wdr5...  
https://www1.wdr.de/mediathek/audio/wdr5/wdr5-morgenecho-interview/audio-fdp-zu-corona-beschluessen-wirkt-wenig-praxisnah-100.html…",,12,53
Stefan Hennewig,@StefanHennewig,2020-09-30T08:15:53.000Z,"Aus #AHA wird #CAHLA 

Ich nenne sie „CAHLA Corona“.
Eine Superheldin im Kampf gegen das Virus 
 C - orona-App 
 A - bstand
 H - ygiene
 L - üften
 A - lltagsmaske",21,35,125
Mechthild Heil,@MechthildHeil,2020-09-26T06:49:55.000Z,"Eva Lanzerath von der Ahr ist neue Deutsche Weinkönigin. Ganz, ganz herzlichen Glückwunsch aus der Heimat!",1,,3
Katholische Frauengemeinschaft Deutschlands (kfd),,2020-09-22T18:10:48.000Z,"„Nach 2.000 Jahren Kirchengeschichte wird immer noch mit zweierlei Maß gemessen. Wir Frauen sind noch lange nicht da, wo wir hingehören"", sagt unsere Bundesvorsitzende 
@MechthildHeil
 #MachtMeter
@dbk_online
: Jetzt seid Ihr dran!

#gleichundberechtig #kfdMachtMeter #PurpurkreuzMechthild Heil and 2 others",4,6,28
CDU Deutschlands,@CDU,2020-08-03T12:41:49.000Z,"Gerade in der #Corona-Krise leiden die Einzelhändler in den Innenstädten. Wirtschaftsminister 
@peteraltmaier
 will deshalb gegensteuern. Aber Jeder kann helfen, die Innenstädte lebendig zu halten: Kaufen Sie lokal! 
 http://lokalsupport.com 
Mehr Infos: 
 https://cdu.de/artikel/altmaier-will-innenstaedte-wiederbeleben…",111,35,92
Mechthild Heil,@MechthildHeil,2020-07-02T11:01:01.000Z,"Um die Folgen von #Corona zu bewältigen, die Konjunktur anzukurbeln und um ganz gezielt in die Zukunft zu investieren, hat der Bundestag heute den zweiten #Nachtragshaushalt beschlossen. #ZahlderWoche #wirhandeln",2,,
CDU Deutschlands,@CDU,2020-06-24T05:28:00.000Z,"Die CDU wird 75. 
 Wir erinnern in 120 Sekunden an 75 Jahre Verantwortung, 50 Jahre Regierung, 5 Bundeskanzler und eine Partei. Und wir wollen gemeinsam – auch mit Ihnen – weiter an einer guten Zukunft arbeiten. Deshalb: #kickoff2030. #75JahreCDU",1.3K,877,1.4K
Mechthild Heil,@MechthildHeil,2020-06-12T06:12:52.000Z,"Heute geht es los mit unserem #kickoff2030! Gemeinsam wollen wir in den nächsten Wochen Ideen
für Deutschlands Zukunft entwickeln. Die 
@CDU
 setzt auf Zusammenarbeit und Zusammenhalt. 

Hier mitmachen 
 http://kickoff2030.de",1,,12
Marian Bracht,@MarianBracht,2020-06-05T07:31:22.000Z,"Wir suchen Verstärkung! 
 Teamleitung Online-Kommunikation & Digitale Strategie (m/w/d)
 Referent (m/w/d) Strategische Analyse & Planung
 Referent (w/m/d) Datenanalyse
 Personalsachbearbeiter (m/w/d)
 Werkstudenten (m/w/d) CRM-Team
 http://cdu.de/jobs 
@CDUStefan Hennewig and 9 others",3,19,41
Mechthild Heil,@MechthildHeil,2020-06-04T07:44:48.000Z,"Ein sozial und wirtschaftlich starkes Land bleiben mit unserem #Kraftpaket #cduCDU Deutschlands
@CDU
 · Jun 4, 2020
Guten Morgen 
Wir starten in den Tag mit einem #Kraftpaket für Deutschland. Damit 
 gestärkt aus der Krise hervorgeht & ein wirtschaftlich starkes Land bleibt
Mehr Infos zu Senkung der #Mehrwertsteuer & vieles mehr auf: https://cdu.de/corona/koalitionsausschuss_juni2020…
#Konjunkturpaket #Corona
Show this thread
0:08
4K views",1,,3
CDU/CSU,@cducsubt,2020-05-29T17:00:07.000Z,"In Zeiten von #Digitalisierung und #Klimawandel: Wie sollten wir uns für die Zukunft aufstellen? 
@NadineSchoen
 & 
@ThomasHeilmann
 diskutieren das in ihrem Buch NEUSTAAT und in unserem ""Meet & Greet virtuell"" am Di 2. Juni ab 16 Uhr. Jetzt anmelden: http://cducsu.cc/NEUSTAAT",6,11,23
