User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Metin Hakverdi,@MetinHakverdi,2021-01-31T19:56:26.000Z,AfD bundesweit beobachten! Jetzt!,3,,21
Metin Hakverdi,@MetinHakverdi,2021-05-13T20:44:34.000Z,"Glückwunsch! 
@ErhardScherfer
 @Dericik76
 #bvb",,,3
Metin Hakverdi,@MetinHakverdi,2021-05-12T14:50:54.000Z,"Ich sag nur Urheberrechte!Henning Tillmann
@henningtillmann
 · May 12
Replying to @Nico
Übler Photoshop-Fake, Nico. Nicht einfach den Hund durch @MetinHakverdi ersetzen.",,,2
Metin Hakverdi,@MetinHakverdi,2021-05-09T14:21:57.000Z,"Wem vertrauen wir die Führung unseres Landes an? Wer sich mit dieser Frage beschäftigt empfehle ich, die Rede von 
@OlafScholz
 von heute zu sehen. Ich vertraue ihm. Ich wünsche uns, dass er der nächste Regierungschef unseres Landes wird. #spdbpt21",1,3,26
Metin Hakverdi,@MetinHakverdi,2021-05-09T12:03:23.000Z,"Parteitag 
@spdde
: Muss man mal sagen: Bisher ist das technisch ziemlich gut über die Bühne gegangen. Kompliment dafür schon jetzt an 
@larsklingbeil
 und das ganze Team für die Orga. Ich drück die Daumen, dass das bis zum Schluss des Parteitags so bleibt. #spdbpt21",1,,47
Metin Hakverdi,@MetinHakverdi,2021-05-08T15:30:54.000Z,"Morgen schon um 10.30 Uhr, damit wir um 11 auf‘m Parteitag sind. #spdbpt21Dorothee Martin
@Doro_Martin
 · May 8
Morgen früh starten @MetinHakverdi und ich mit unserem Sonntagstalk schon um 10:30. Es geht dabei natürlich um dem Parteitag der @spdde, um unser Zukunftsprogramm und um @OlafScholz! Seid dabei, drüben bei Facebook ? #spdbpt21 #ausRespekt",,,1
Andreas Dressel,@ADressel,2021-05-05T13:43:07.000Z,"Gerade jetzt sind Investitionen in die Kultur vor Ort wichtig
! Danke an ⁦MdB 
@Doro_Martin
⁩ & ⁦
@MetinHakverdi
⁩ für den Einsatz für 3 Mio.€ Bundesmittel für das #Goldbekhaus
 in #Nord! Gemeinsam werden wir in Hamburg die Kofinanzierung stemmen! ⁦
@CarstenBrosda
⁩",,5,29
Metin Hakverdi,@MetinHakverdi,2021-05-02T14:34:20.000Z,"Tomorrow at 12 pm ET - 6 pm German Time.American Council on Germany
@ACG_USA
 · Apr 30
Monday May 3 at 12:00pm ET, the @ACG_USA, @DeutschesHausNY & @NYUCEMS host a convo on German foreign policy w/ @MetinHakverdi, @GydeJ & @nouripour. Register here: https://us02web.zoom.us/webinar/register/6316197905906/WN_IhWIn2uQR2O0vCR1wtiSlw…  #acgalumni",,1,6
Metin Hakverdi,@MetinHakverdi,2021-04-30T18:34:55.000Z,"Die Union hat ein eigentlich unlösbares Problem. Lässt die Geschäftsordnung der 
@cducsubt
 hier ein Fraktionsausschluss schon vor der Wahl von 
@HGMaassen
 zu?",,,10
Metin Hakverdi,@MetinHakverdi,2021-04-30T13:04:38.000Z,"Monday, 6 pm, German Time.Deutsches Haus
@DeutschesHausNY
 · Apr 30
Join us Monday at 12 pm (EDT) when @ACG_USA, @NYUCEMS & @DeutschesHausNY present a conversation w/ @MetinHakverdi, @GydeJ & @nouripour about Germany's foreign policy priorities in this election year. Details here: https://as.nyu.edu/deutscheshaus/cultural-program/events/fall-20201/german-foreign-policy-priorities-in-an-election-year--and-beyond.html… Register here: https://us02web.zoom.us/webinar/register/1016197136362/WN_IhWIn2uQR2O0vCR1wtiSlw…",,,2
Bundeskanzler-Helmut-Schmidt-Stiftung,@BKHS_Stiftung,2021-04-28T17:00:01.000Z,"Wahlen sind diese Woche das Thema am Hamburger Podcast-Himmel. Unser Tipp: In #DerKrisenlotse mit 
@richelstauss
 geht es um das deutsche #Superwahljahr, bei Friedrichs Flaschenpost 
@FESHamburg
 mit MdB 
@MetinHakverdi
 um 100 Tage Joe Biden im Amt.Folge 38: Wie waren die ersten 100 Tage des neuen US-Präsidenten,...
Knapp 100 Tage ist die neue US-Regierung mit Präsident Joe Biden an der Spitze im Amt. Die Zustimmungswerte sind hoch und die Presse lobt den geglückten Start – auch der Hamburger Bundestagsabgeordnet
soundcloud.com",,3,9
Metin Hakverdi,@MetinHakverdi,2021-04-25T22:04:32.000Z,"Sach ma, #Clubhouse is durch, oder?",9,,61
Aydan Özoğuz,@oezoguz,2021-04-24T13:39:50.000Z,"Mit der Aufstellung von Falko Drossmann im WK Mitte steht nun das Team Hamburg der 
@spdhh
 für die Bundestagswahl 21! Auf geht‘s! 
@NielsAnnen
 @Doro_Martin
 @matthiasbartke
 @MetinHakverdi
 #hamburg #spd #spdbt",3,4,24
Metin Hakverdi,@MetinHakverdi,2021-04-21T12:21:55.000Z,"Danke an 
@ADressel
 für die Initiative und an 
@Doro_Martin
 für‘s Umsetzen.Dorothee Martin
@Doro_Martin
 · Apr 21
Haben wir heute morgen im Finanzausschuss beschlossen 
 twitter.com/ADressel/statu…",1,,5
FC Schalke 04,@s04,2021-04-20T20:30:59.000Z,Tut noch mehr weh als erwartet. Scheiße!,1.5K,3.6K,28.8K
Metin Hakverdi,@MetinHakverdi,2021-04-20T11:39:13.000Z,"Höre gerade, dass die 
@GrueneBundestag
 sich iS Infektionsschutzgesetz enthält. Stimmt das? Falls ja: Mir fehlen die Worte. Vereinheitlichung von Vorschriften, Schutz vor 3. Welle? Egal? Falls ich das richtig gehört habe, müsst Ihr da noch mal ran, liebe Grüne.",6,10,52
Metin Hakverdi,@MetinHakverdi,2021-04-19T22:44:57.000Z,"Also, 6 Enthaltungen muss man jetzt aber erklären ...",2,,12
Metin Hakverdi,@MetinHakverdi,2021-04-18T18:00:51.000Z,"The Eagle has landed ...Christian Wilp
@christianwilp
 · Apr 18
Ankunft zum Finale? @Markus_Soeder nach @ntvde -Informationen in Berlin gelandet. #Kanzlerkandidatur @ArminLaschet @RTLde",1,,2
Metin Hakverdi,@MetinHakverdi,2021-04-18T16:48:03.000Z,Vielleicht wäre es besser auf einen Kanzlerkandidaten zu verzichten ...,3,1,16
Metin Hakverdi,@MetinHakverdi,2021-04-18T10:49:00.000Z,"Wieso haben Sie den wahlkämpfenden Bundestagspräsidenten Wolfgang Kubicki in der Sendung? Ist der jetzt wahlkämpfender Journalist? Kommen als nächstes alle BundestagspräsidentInnen und/oder Fraktionsvorsitzende?
@ARD_Presseclub
 #Presseclub #ARDPresseclub",1,1,19
Metin Hakverdi,@MetinHakverdi,2021-04-17T21:41:35.000Z,"US Ambassador to China! Cogratulations Nick Burns!
US-Botschafter in China! Herzlichen Glückwunsch Nick Burns!
@RNicholasBurns",,,6
Metin Hakverdi,@MetinHakverdi,2021-04-17T20:31:22.000Z,"Ärgerlich: Hansi Flick macht Ernst. Er wird Bundestrainer. Damit hat 
@Markus_Soeder
 eine Option weniger, die er 
@ArminLaschet
 im Gegenzug zum Rückzieher anbieten kann. #Kanzlerkandidaten 
@cducsubt
 #tradeoff",1,1,20
Metin Hakverdi,@MetinHakverdi,2021-04-11T22:13:46.000Z,"Könnte 
@ArminLaschet
 dann noch Parteivorsitzender bleiben?",2,1,4
Metin Hakverdi,@MetinHakverdi,2021-04-11T13:09:48.000Z,"Ich will mich nicht über das Chaos zwischen 
@Markus_Soeder
 und 
@ArminLaschet
 freuen. Ich finde auch die Spiegeltitelseite nicht witzig. So ein Hin und Her um Personalfragen während einer Pandemie schadet der Glaubwürdigkeit der Politik insgesamt. 
@cducsubt",2,1,12
Metin Hakverdi,@MetinHakverdi,2021-04-10T19:14:00.000Z,"Noch n Kaffee? Der sonntägliche Politik-Schnack mit 
@Doro_Martin
 und mir.
Ab 11 Uhr auf Facebook Live. Morgen mit special guest 
@Holsteinsport
.Dorothee Martin
@Doro_Martin
 · Apr 10
Morgen um 11 h dreht sich beim politischen Sonntagstalk von @MetinHakverdi und mir alles um den Hamburger #Vereinssport. Mit Sportstaatsrat @Holsteinsport sprechen wir über Unterstützung & Perspektiven in/nach Corona. Wir freuen uns auf eure Beiträge!  http://Facebook.com/Dorothee.SPD",2,1,4
Metin Hakverdi,@MetinHakverdi,2021-04-10T11:57:57.000Z,"Mit 
@Toens_NRW04
 dann zu Schalke... #nurderhsv",1,,2
Metin Hakverdi,@MetinHakverdi,2021-04-09T21:26:44.000Z,"Da brennt der Baum. 
@cducsubt
 #Kanzlerkandidat",3,1,14
Metin Hakverdi,@MetinHakverdi,2021-04-09T18:37:05.000Z,Zu Null könnt Ihr Euch bei uns abschminken. Nächste Saison dann gegen Schalke. #nurderhsv,,,3
Metin Hakverdi,@MetinHakverdi,2021-04-08T22:31:23.000Z,"Achim, Wolfgang? Egal! #Lanz",1,,4
Metin Hakverdi,@MetinHakverdi,2021-04-08T18:10:29.000Z,Schmeckt der Spargel schon?,5,,18
