User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Norbert Kleinwächter,@NKleinwaechter,2021-05-11T10:17:17.000Z,"Migrationskurs krachend gescheitert: Die anhaltenden Migrationsprobleme lassen sich nicht länger negieren und so nimmt #Schweden Abschied von der ""Willkommenskultur"". Das sollte auch #Deutschland tun, Schluss mit unkontrollierter Zuwanderung! #AfD",5,48,108
Norbert Kleinwächter,@NKleinwaechter,2021-05-07T10:36:55.000Z,"#Grundrechte nur für #Geimpfte? Nicht mit uns! #AfDGrundrechte nur für Geimpfte? Nicht mit uns! - Norbert Kleinwächter...
+++ Grundrechte nur für Geimpfte? Nicht mit uns! +++Trotz gegenteiliger Versprechen, hat die Bundesregierung nun eine quasi Impfpflicht durch die Hintertür b...
youtube.com",5,15,31
Norbert Kleinwächter,@NKleinwaechter,2021-05-06T18:22:26.000Z,"Morgen live im Online-Bürgerdialog mit meinem Kollegen Rüdiger Lucassen. Schalten Sie ein und stellen Sie und ihre Fragen, wir freuen uns drauf! #AfD",3,3,8
Norbert Kleinwächter,@NKleinwaechter,2021-05-05T13:33:51.000Z,"Kommt bald der #Klimalockdown? Mit Vollgas in die Öko-Diktatur!
Eines ist klar: Mit einer Einsparung von zwei Dritteln der Emissionen sind ein effektives Wirtschaften und ein Leben in Wohlstand nicht mehr möglich.
#Gruene #Baerbock #AfD",4,5,7
Norbert Kleinwächter,@NKleinwaechter,2021-05-04T15:12:55.000Z,"Bundeskabinett beschließt ""Erleichterungen"" für #Geimpfte: Nur wer sich impfen lässt, erhält seine #Grundrechte zurück.

Ohne #Impfung darfst du nicht rein?
Keine Spaltung der Gesellschaft in Geimpfte und Entrechtete! #Deutschland, aber normal!

#NieMehrCDUCSU, nur noch #AfD!",2,3,19
Norbert Kleinwächter,@NKleinwaechter,2021-05-04T12:25:46.000Z,"Genug GEZahlt: Selbst die #Bild-Zeitung erkennt schon die schamlose Werbung der öffentlich-rechtlichen Medien für die Öko-Kommunisten! 

#Klimalockdown #Gruene #GEZ #AfD #ARD #ZDFSocial Media - So machen ARD und ZDF Stimmung für die Grünen
Bei den Mai-Krawallen ging es auf Berlins Straßen drunter und drüber und auch in den Social-Media-Abteilungen der Öffentlich-Rechtlichen!
m.bild.de",3,2,14
Norbert Kleinwächter,@NKleinwaechter,2021-04-23T09:49:27.000Z,"+++ Ein Student wollte einen Eilantrag gegen das neue #Infektionsschutzgesetz einbringen – doch Bundespräsident #Steinmeier kam ihm zuvor. +++

#allesdichtmachen #allenichtganzdicht #AfDSteinmeier bremst mit Blitz-Unterschrift Karlsruhe aus
Ein Student wollte einen Eilantrag gegen das neue Infektionsschutzgesetz einbringen – doch Bundespräsident Steinmeier kam ihm zuvor.
berliner-zeitung.de",3,16,21
Norbert Kleinwächter,@NKleinwaechter,2021-04-23T08:00:46.000Z,"Zum 65. Jahrestag der Zwangsvereinigung von KPD und #SPD zur SED - Die Genossen gratulieren Merkel zum Bevölkerungsschutzgesetz vor jeglicher demokratischen Teilhabe!

#Reichelt #BILD #AfD #lockdownfuerimmerDer Fall Julian Reichel: Die Linke ruft zum geistigen Bürgerkrieg!
Was sich seit Monaten vor unseren Augen abspielt, ist die Umwandlung eines demokratischen Rechtsstaats in eine Diktatur. Der vorläufige Schlusspunkt wurde gestern gesetzt. Ausgerechnet am Jahrestag...
vera-lengsfeld.de",1,2,6
Norbert Kleinwächter,@NKleinwaechter,2021-04-22T10:28:24.000Z,"Schön teure grüne Welt. Wer nicht in dieser Welt leben möchte, dem bleibt nur die #AfD!

#Baerbock #HabeckDie neue grüne Welt wird teuer: Was Baerbock und Habeck mit unserer Wirtschaft vorhaben
Die Grünen versprechen in ihrem Wahlprogramm eine „Energierevolution“ und umfangreiche Investitionen unter Baerbock und Habeck. Sie zielen auf die Mitte, die Handschrift der auf Regulierungen und...
m.focus.de",6,6,21
Norbert Kleinwächter,@NKleinwaechter,2021-04-20T19:55:55.000Z,"Auch wenn wir uns gut und gerne über #Baerbock und #Laschet lustig machen, sind diese beiden Kanzlerkandidaten doch eine echte Gefahr für Deutschland! #AfDBaerbock und Laschet sind eine echte Gefahr für Deutschland!
Auch wenn wir uns gut und gerne über Annalena Baerbock und Armin Laschet lustig machen, sind diese beiden Kanzlerkandidaten doch eine echte Gefahr für Deutsc...
youtube.com",5,10,37
Norbert Kleinwächter,@NKleinwaechter,2021-04-20T13:02:04.000Z,"Herzlichen Dank für das Abonnieren und Teilen.
Hier finden Sie meine anderen Social Media Kanäle:
Telegram: https://t.me/kleinwaechter
Instagram: https://instagram.com/norbert.kleinwaechter…
Twitter: https://twitter.com/NKleinwaechter
Facebook: https://facebook.com/Norbert.Kleinwaechter…Vielen Dank für 25.000 Abonnenten auf Youtube!
Herzlichen Dank für das Abonnieren und Teilen.Hier finden Sie meine anderen Social Media Kanäle:Telegram: https://t.me/kleinwaechterInstagram: https://www.in...
youtube.com",2,3,13
Norbert Kleinwächter,@NKleinwaechter,2021-04-19T10:12:18.000Z,"Annalena „Kobold“ #Baerbock wird Kanzlerkandidatin.
Schaut man sich die Umfragewerte der Grünen an, hat Sie auch gute Chancen Kanzlerin zu werden... und damit #Deutschland noch schneller in den Abgrund zu führen, als es die #CDU schon jetzt tut. Immerhin freuen sich die Kobolde.",10,18,75
Norbert Kleinwächter,@NKleinwaechter,2021-04-16T12:08:56.000Z,"Meine Rede zu den neuen #Riester-Plänen im #Bundestag:
""#Migration, wie Sie sie sich wünschen, ist ein Problem und nicht die Lösung für unsere #Rente!"" #AfDLive Rede im Bundestag: Migration ist ein Problem und keine Lösung...
""Migration, wie Sie sie sich wünschen, ist ein Problem und nicht die Lösung für unsere Rente!""
youtube.com",2,3,13
Norbert Kleinwächter,@NKleinwaechter,2021-04-16T10:33:48.000Z,"Ich frage den Unionspolitiker Stephan Stracke, weshalb das neue #Infektionsschutzgesetz einen Eingriff in die körperliche Unversehrtheit gewähren soll, aber er weicht nur aus. #Corona #Impfpflicht

#CDU #CSU #AfD #BundestagZwischenfrage: Eingriff in die körperliche Unversehrtheit, Unionspo...
Ich frage den Unionspolitiker Stephan Stracke, weshalb das neue Infektionsschutzgesetz einen Eingriff in die körperliche Unversehrtheit gewähren soll, aber e...
youtube.com",11,5,24
Norbert Kleinwächter,@NKleinwaechter,2021-04-15T19:13:56.000Z,"Das neue #Infektionsschutzgesetz der #Merkel-Regierung ist grundgesetzwidrig und ein Angriff auf unsere körperliche Unversehrtheit! #AfDEin Angriff auf unsere körperliche Unversehrtheit! - AfD Kleinwächter
Das neue Infektionsschutzgesetz, das verabschiedet werden soll, ist ein verfassungswidriger Angriff auf unsere körperliche Unversehrtheit und andere Grundrec...
youtube.com",2,6,18
Norbert Kleinwächter,@NKleinwaechter,2021-04-15T19:12:38.000Z,"Am Freitag, den 16.04. um 18 Uhr, gibt es wieder meinen live Online-Bürgerdialog. Dieses mal mit meiner Bundestagskollegin 
@MalsackWinkeman
Schalten Sie ein und stellen Sie uns im Livestream ihre Fragen! #AfD",3,2,9
Norbert Kleinwächter,@NKleinwaechter,2021-04-14T05:33:22.000Z,"Die #Diskriminierung beginnt - wie beinahe zu erwarten war, im linken #Berlin.Berliner Senat beschließt mehr Freiheiten für geimpfte Menschen
Ohne negativen Corona-Test einkaufen oder ins Museum: Wer in Berlin schon gegen das Coronavirus geimpft worden ist, bekommt künftig 15 Tage nach Gabe der zweiten Impfdosis wieder etwas mehr Freihei...
rbb24.de",3,11,22
Joana Cotar,@JoanaCotar,2021-04-13T13:00:29.000Z,"#EWG statt #EU.  Ein #Dexit heißt nicht zurück auf 0, sondern Zusammenarbeit da, wo es Sinn macht.",65,350,1.7K
Norbert Kleinwächter,@NKleinwaechter,2021-04-10T06:01:55.000Z,Viele Grüße vom Bundesparteitag der #AfD in #Dresden!,7,7,46
Norbert Kleinwächter,@NKleinwaechter,2021-03-31T11:16:35.000Z,"Kleiner Tipp an die Unionskollegen: Die Wunderwaffe heißt Konstruktives Misstrauensvotum ;-)

#Merkelmussweg #Merkel #AfDLaschet oder Söder: Will Angela Merkel gar keinen Kanzler aus der Union?
Den Kampf gegen Corona will Merkel um jeden Preis gewinnen. Doch will sie auch, dass die Union den Kampf ums Kanzleramt gewinnt?
bild.de",9,29,62
Norbert Kleinwächter,@NKleinwaechter,2021-03-24T10:44:46.000Z,"Das Krisenmanagement der Regierung ist völlig plan- und ziellos. Dafür füllen sich Unionspolitiker mal wieder die Kassen. Schluss damit, #MerkelMussWeg ! #AfD #gruendonnerstag #COVID19de #OsterlockdownMerkel macht Oster-Lockdown Total rückgängig - Pressestatement: ""Ich bitte alle Bürgerinnen und...
Das Bundeskanzleramt hat den geplanten Lockdown Total zu Ostern rückgängig gemacht und einen ""persönlichen Fehler"" eingestanden. Sie steht offenkundig mit dem Rücken zur Wand, ihre Presseerklärung...
tichyseinblick.de",6,12,30
Norbert Kleinwächter,@NKleinwaechter,2021-03-24T10:06:52.000Z,Heute wird in #Wildau das Zentrum für Zukunftstechnologien (ZFZ) eröffnet. Als Bürger der Stadt und MdB für Fragen der #Bildung und #Forschung bin ich natürlich dabei! :-) #AfD,2,4,12
Norbert Kleinwächter,@NKleinwaechter,2021-03-23T14:21:43.000Z,"Mit #Merkel geht Deutschland vor die Hunde!
#Osterlockdown #Lockdown #Gründonnerstag #Supermärkte #AfD #CDU #SPDMit Merkel geht Deutschland vor die Hunde! - Norbert Kleinwächter, AfD
Es geht dieser Regierung überhaupt nicht um die Reduktion irgendwelcher Inzidenzwerte. Was hier geschieht, ist ein Angriff auf unsere Gesellschaft und unsere...
youtube.com",3,10,27
AfD Brandenburg,@BrandenburgAfD,2021-03-23T06:45:00.000Z,"Unsere Listenkandidaten #BTW21 
PLATZ 1 Dr. Alexander Gauland
PLATZ 2 R. Springer
PLATZ 3 S. Kotré
PLATZ 4 N. Kleinwächter
PLATZ 5 H. Gnauck
PLATZ 6 L. Bilge 
PLATZ 7 Dr. D. Kaufner
PLATZ 8 B. Filter
PLATZ 9 Dr. D. Oeynhausen
+stellv. Landesvorsitzenden B. Bessin+D.FvLützow",16,22,155
Norbert Kleinwächter,@NKleinwaechter,2021-03-18T11:54:44.000Z,"Herzliche Grüße vom #AfD-Infostand in Lindenberg. Wir für #Brandenburg!Herzliche Grüße vom AfD-Infostand Lindenberg in Brandenburg
Gemeinsam mit Kathi Muxel und Rainer Galla auf dem AfD-Infostand in Lindenberg (Tauche). Wir für Brandenburg!
youtube.com",2,2,14
Norbert Kleinwächter,@NKleinwaechter,2021-03-17T15:52:42.000Z,"Gleich beginnt der Online-Bürgerdialog mit Kathi Muxel, Rainer Galla und mir!Online-Bürgerdialog mit Norbert Kleinwächter und Kathi Muxel
Diskusionrunde mit der Möglichkeit zur Teilnahme über Telefon
youtube.com",1,2,6
Norbert Kleinwächter,@NKleinwaechter,2021-03-17T12:45:53.000Z,"Danke an die Zuschauer und Fragesteller im gestrigen Stream. Die Landesgruppe #Brandenburg hat in den letzten Jahren im #Bundestag viel geleistet und ich freue mich darauf, auch in der kommenden Legislaturperiode wieder dazu beizutragen. - Euer Norbert Kleinwächter #AfD",4,3,16
Norbert Kleinwächter,@NKleinwaechter,2021-03-16T16:07:20.000Z,Heute um 19 Uhr #Livestream auf #YouTube mit Dr. #Gauland und Roman #Reusch: https://youtube.com/channel/UCQllUfyXPV9BqzNKoGZ3awA…,1,3,11
Norbert Kleinwächter,@NKleinwaechter,2021-03-14T12:24:58.000Z,"#Relax? Noch im #Bett? Angst vor #Corona?
#raus jetzt, #AfD wählen in #BadenWuerttemberg, #RheinlandPfalz und #Hessen! #Demokratie und #Freiheit #verteidigen!",6,11,40
Norbert Kleinwächter,@NKleinwaechter,2021-03-12T16:01:21.000Z,"Dienstag, 16.03. - 19:00 Uhr: Live Online-Bürgerdialog mit Roman Reusch und Dr. Alexander Gauland auf meinem Facebook- und Youtube-Account. Vormerken, einschalten und teilen!",1,7,12
Norbert Kleinwächter,@NKleinwaechter,2021-03-11T16:00:14.000Z,"Wie korrupt ist die #CDU/#CSU? #CDUKorruption #NieMehrCDUCSU 
#AfDMasken-Deals: Wie korrupt ist die CDU/CSU wirklich?
660.000€ kassierte Nüßlein für seinen krummen Masken-Deal. Und das ist nur die Spitze des Eisbergs! Wie korrupt ist die CDU/CSU wirklich?
youtube.com",2,7,26
Norbert Kleinwächter,@NKleinwaechter,2021-03-11T08:55:55.000Z,"""Und dann sind es noch drei, vier, schwere Monate: Juli, August, September, Oktober. Wenn dann unsere Umfrageergebnisse komplett im Keller sind, sagen wir einfach die #Bundestagswahl wegen #Corona ab.""
#Merkel muss weg! #AfD",13,53,133
Norbert Kleinwächter,@NKleinwaechter,2021-03-10T17:30:38.000Z,"In der Rechten Ecke mit 
@hallofraukaiser
 ;-)Kleinwächter und Kaiser in der ""RECHTEN ECKE""
+++ Die Rechte Ecke Folge 1: Mit Norbert Kleinwächter und Marie-Thérèse Kaiser +++Premiere heute Abend um 18 Uhr. Anschauen und teilen!https://youtu.be/fF3...
youtube.com",1,3,9
Norbert Kleinwächter,@NKleinwaechter,2021-03-10T15:35:22.000Z,"14,5 Mio. Euro Nebeneinkünfte in der korrupten #CDU/#CSU-Fraktion! #Nuesslein #NieMehrCDU #AfD",12,71,103
Norbert Kleinwächter,@NKleinwaechter,2021-03-05T12:33:07.000Z,"+++ #Verfassungsschutz oder Regierungsschutz? +++
Heute um 16 Uhr gibt es wieder einen live Online-Bürgerdialog, bei dem Sie mir telefonisch ihre Fragen stellen können. Die Nummer wird im Livestream eingeblendet. Ich freue mich darauf!
#AfD #verwaltungsgericht #Haldenwang #VS",1,5,12
Norbert Kleinwächter,@NKleinwaechter,2021-02-20T12:44:30.000Z,Herzlichen Glückwunsch an unseren Ehrenvorsitzenden Dr. Alexander Gauland zu seinem 80. Geburtstag! #AfD,5,3,21
Norbert Kleinwächter,@NKleinwaechter,2021-02-13T16:21:23.000Z,"Die #Bundesregierung will #Arbeitslose mit einmalig 150 Euro pauschal abspeisen. 
Am gleichen Tag spricht ein Gericht einem Arbeitsuchenden 129 Euro mehr zu - pro Monat!
Diese Regierung ist einfach asozial.
#AfD #BundestagGerichtsbeschluss: Arbeitssuchenden stehen 20 FFP2-Masken pro Woche zu
Das Sozialgericht Karlsruhe sieht Jobcenter in der Pflicht, Arbeitssuchenden wöchentlich 20 FFP2-Masken kostenlos zur Verfügung stellen. Es kann auch eine Geldleistung von 129 Euro zusätzlich zum...
rnd.de",6,3,10
Norbert Kleinwächter,@NKleinwaechter,2021-02-11T15:16:26.000Z,"Ich lade Sie herzlich dazu ein, Morgen wieder an meinem Bürgerdialog teilzunehmen. Sie können mir im Livestream ihre Fragen stellen, ich freue mich darauf! #AfD",2,10,23
Norbert Kleinwächter,@NKleinwaechter,2021-02-10T19:24:55.000Z,"+++ Mit der Legalisierung von illegaler #Migration, schafft die #EU-Kommission neue Migrationsanreize! +++ #AfDEU schafft neue Migrationsanreize! - Norbert Kleinwächter, AfD
Bericht aus dem Bundestag.https://www.saveurope.eu/
youtube.com",4,6,17
Norbert Kleinwächter,@NKleinwaechter,2021-02-04T14:26:52.000Z,"Ich lade Sie herzlich dazu ein, morgen wieder bei meinem Online-Bürgerdialog teilzunehmen. Stellen Sie mir ab 18 Uhr im Livestream ihre Fragen zum #Corona-Kabinett, einer möglichen #Impfpflicht durch die Hintertür und den neuen Beschlüssen der #Regierung. #AfD #Ethikrat",3,5,10
Norbert Kleinwächter,@NKleinwaechter,2021-02-03T19:03:22.000Z,"Es ist nichts schiefgelaufen? Es ist alles schiefgelaufen! Oder vielleicht doch nach #Plan? 
#Merkel #Macron #vonderLeyen #charlesmichel #AfD #Bundestag #CoronaEs ist nichts schief gelaufen? Impfung, Impfpflicht und der Great...
Es ist nichts schiefgelaufen? Es ist alles schiefgelaufen! Oder vielleicht doch nach Plan? Während Merkel ihre Fehler in der Impfpolitik nicht eingesteht, si...
youtube.com",2,1,8
