User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Patrick Sensburg,@PatrickSensburg,2021-05-13T09:28:48.000Z,"Spannender Artikel im #Zeit-Magazin über Franco A. Dass es in der #Bundeswehr rechtsextreme Netzwerke oder eine #Schattenarmee gibt, hat #PKGr intensiv geprüft und verneint. Die Fähigkeiten des #MAD müssen aber besser werden u. die Sensibilität gegenüber Verfassungsfeinden größer",,1,1
Jens Spahn,@jensspahn,2021-05-12T16:39:35.000Z,"Die Raketen-Angriffe auf Israel sind inakzeptabel. Der Terror der Hamas befeuert antisemitische Übergriffe, auch bei uns. Eine Schande, dass im Jahr 2021 -Flaggen in Deutschland brennen. Unsere Staatsraison ist klar: Die Sicherheit & Existenz Israels ist niemals verhandelbar.",456,175,2K
Paul Ziemiak,@PaulZiemiak,2021-05-11T12:16:28.000Z,Teile der Fridays for Future Bewegung rufen zum Boykott israelischer Produkte auf. Jede Form der Hetze gegen #Israel schockiert mich. Gerade für uns Deutsche muss klar sein: Wir stehen an Israels Seite - ganz unabhängig von der eigenen Parteizugehörigkeit!  #StandWithIsrael,352,294,1.5K
ACIPSS,@ACIPSS_Graz,2021-05-11T10:40:26.000Z,"Im neuen #JIPSS Vol. 14 Nr. 1: Cordula #Simon und Stefan #Auer über #Framing in Medien und Gesellschaft, die Unterschiede und Gemeinsamkeiten zur #Propaganda und mediale Repräsentation.

Bestellungen: https://acipss.org/bestellung/

Vielen Dank 
@Land_Steiermark
 @UniGraz
 #BIK",,2,3
Patrick Sensburg,@PatrickSensburg,2021-05-11T12:08:57.000Z,"Kein Denunziantentum, aber ein waches Auge - Reservistenverband
Bei der Kampagne „Reserve und Demokratie – Wir gegen Extremismus“ geht es darum, die Gliederungen unseres Verbandes und die Gesellschaft als Ganzes resilienter zu machen gegen verfassungsfeindliche...
reservistenverband.de",,,1
axel wallrabenstein,@walli5,2021-05-09T20:39:13.000Z,"Mein Eindruck 
@annewill
: 
@ArminLaschet
 versenkt 
@Luisamneubauer
 gerade ziemlich mit Fakten und Argumenten. #AnneWill",73,62,744
Dr. Peter Tauber,@petertauber,2021-05-09T15:54:53.000Z,"Seit Freitag bin ich nicht mehr Abgeordneter des Deutschen Bundestages. Zeit für einen Rückblick:Meine politische Bilanz
Seit 1991 engagiere ich mich politisch. Seit 1993 habe ich ein politisches Mandat inne – zunächst ehrenamtlich – und seit dem Jahr 2009 war im Sinne Max Webers „Politik mein Beruf“. Eine Berufung w…
blog.petertauber.de",28,29,356
Jens Spahn,@jensspahn,2021-04-29T11:19:19.000Z,"Zwei neue Rekorde: Erstmalig wurde an einem Tag mehr als 1 Prozent der Bevölkerung geimpft. Und mit knapp 1,1 Mio Impfungen gibt es auch einen neuen Tagesrekord.
Mehr als jeder vierte Deutsche (25,9%) ist so mittlerweile mindestens einmal geimpft. Es geht weiter voran.",608,393,3.7K
Reservistenverband,@DieReserve,2021-04-26T15:04:08.000Z,"Freiwilliger #Wehrdienst im #Heimatschutz: die ersten Rekrutinnen und Rekruten sind eingerückt und werden ausgebildet  (: VdRBw/Sören Peters) #fwdhs #deinjahrfürdeutschland #reserverockt #reservistenverband #wirsinddiereserve #bundeswehr""Das passt perfekt in meine Lebensplanung"" - Reservistenverband
Los jetzt, Tempo aufnehmen! Das sieht gut aus!“ Der Ausbilder treibt die Rekruten an. Sie tragen nicht nur den Feldanzug mit Stiefeln, Gefechtshandschuhen und Helm, sondern dazu noch eine zehn Kilo...
reservistenverband.de",,1,9
Patrick Sensburg,@PatrickSensburg,2021-04-19T14:09:38.000Z,"Herzlichen Glückwunsch lieber 
@merzcdu
 zu Deiner Wahl! Jetzt werden wir im #Hochsauerlandkreis geschlossen mit Dir Wahlkampf machen und auch wieder ein gutes Ergebnis holen. Meine Unterstützung hast Du. Auf gute Zusammenarbeit und eine erfolgreiche #bundestagswahl2021! #cdu #hsk",59,37,565
