User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Paul Ziemiak,@PaulZiemiak,2019-11-06T08:31:17.000Z,"Die Zusammenarbeit mit der #AfD wäre Verrat an christdemokratischen Werten. Die #Anti-Deutschland-Partei AfD ist völkisch und nationalistisch. Das bürgerliche Original sind 
@CDU
 und 
@CSU
.CDU-Generalsekretär Ziemiak: ""Höcke ist für mich ein Nazi""
Die AfD steht am Rand unserer Verfassungsordnung. Sie betreibt eine staatsfeindliche und rückwärtsgewandte Politik. Eine Zusammenarbeit mit ihr wäre ein Verrat an unseren christdemokratischen Werten.
spiegel.de",1.9K,749,2.5K
Paul Ziemiak,@PaulZiemiak,2021-05-14T18:49:57.000Z,"Unser Bekenntnis gilt Tag für Tag: Nie wieder Gewalt und Hass gegen Jüdinnen und Juden!„Wir stehen an der Seite Israels“
CDU-Generalsekretär Paul Ziemiak zu Flaggen, Protesten und Solidarität mit dem jüdischen Staat
juedische-allgemeine.de",57,27,164
Conrad Clemens,@ConradClemens,2021-05-14T17:21:22.000Z,"#CDU-Nachwuchs aus dem Osten: 40 Teilnehmer, Kandidatinnen + Kandidaten in intensiver Diskussion mit 
@rbrinkhaus
, 
@PaulZiemiak
 + 
@connectcdu
. Starkes Team, gut organisiert von 
@mueller_sepp
. Freue mich sehr, fast der Älteste zu sein!  #NachwuchskraefteOst",5,6,36
Paul Ziemiak,@PaulZiemiak,2021-05-14T16:50:13.000Z,"Herzlichen Glückwunsch zur Wahl, lieber 
@c_lindner
! Freue mich auf die weitere Zusammenarbeit mit dir und den politischen Wettbewerb um die besten Ideen für unser Land.",13,5,133
Paul Ziemiak,@PaulZiemiak,2021-05-14T11:32:22.000Z,"Herzlichen Glückwunsch und vielen Dank für deinen jahrzehntelangen Einsatz für unser Europa, lieber 
@ElmarBrok_MEPMunich Security Conference
@MunSecConf
 · 21h
Our Senior Advisor for European Affairs turns 75 today. Happy Birthday and all the best from Munich, @ElmarBrok_MEP.",16,2,33
Paul Ziemiak,@PaulZiemiak,2021-05-14T08:43:26.000Z,"Der #Impfturbo in Deutschland geht weiter! Jede Impfung schützt Menschen gegen das Virus und verhindert schwere Krankheitsverläufe. Danke für den großen Einsatz von 
@jensspahn
.Jens Spahn
@jensspahn
 · 20h
Großer Schritt nach vorn: Neuer Tagesrekord für Deutschland mit 1,35 Mio Impfungen am Mittwoch. So wurden am Mittwoch / Donnerstag fast 2% der Deutschen geimpft. Damit sind 35,9% (29,8 Mio) mindestens einmal geimpft und 10,6% (8,8 Mio) voll geschützt.",132,22,164
Paul Ziemiak,@PaulZiemiak,2021-05-12T13:22:29.000Z,"Aus Solidarität mit den Opfern terroristischer Raketen-Angriffe wird vor dem Konrad-Adenauer-Haus der 
@cdu
 die Flagge des Staates Israel  gehisst. Sie bleibt dort bis nach dem 14. Mai., dem Jahrestag der Staatsgründung Israels. #IsraelUnderAttack #staatsräson 
@IsraelinGermany",580,419,1.9K
Paul Ziemiak,@PaulZiemiak,2021-05-12T12:47:00.000Z,"Tankred Schipanski
@TSchipanski
 · May 12
Starker Beitrag! Danke @PaulZiemiak! @CDU @cducsubt ziehen mit u setzen viele dieser Ideen um. #wegenmorgen twitter.com/PaulZiemiak/st…",5,,9
Paul Ziemiak,@PaulZiemiak,2021-05-12T10:33:13.000Z,"Vorfahrt für Gründerinnen & Gründer! Wer Talente fördert, muss ihnen den Weg ebnen, damit aus Ideen reale Innovationen werden. Wir wollen als 
@CDU
 den #Gründergeist fördern & die 20er-Jahre zu einem Gründungsjahrzehnt machen. Mein Gastbeitrag dazu 
@weltErfindergeist: Die 20er-Jahre müssen ein Gründungsjahrzehnt für unser Land werden - WELT
Vor 80 Jahren erfand Konrad Zuse in Berlin den Computer. Wie kann die Politik heute Erfindergeist und neue Unternehmen fördern? Drei Voraussetzungen müssen geschaffen werden, schreibt CDU-Generalse...
welt.de",50,22,87
Paul Ziemiak,@PaulZiemiak,2021-05-11T21:15:40.000Z,"  Armin Laschet
@ArminLaschet
 · May 11
Habe gerade mit dem Leiter unserer 2020 eröffneten NRW-Vertretung in Tel Aviv @DrGilYaron telefoniert. Er muss heute mit seinem Sohn im Schutzraum schlafen, um sich vor den abscheulichen Hamas-Raketenangriffen zu schützen. Unsere tiefe Solidarität gilt Israel #StandWithIsrael  twitter.com/ZentralratJude…",25,23,291
Paul Ziemiak,@PaulZiemiak,2021-05-11T18:12:12.000Z,"Wir müssen #Europa weiterentwickeln! Über konkrete Ideen wird gleich um 20.15 Uhr diskutiert - mit 
@SusanneZels
, 
@YannickBury
 und 
@KLeikert
. Vor allem aber mit Ihnen, seien Sie dabei!CDU Deutschlands
@CDU
 · May 11
1/2: Nächste Runde am runden Tisch heute 20:15 Uhr | live auch hier auf Twitter. Unser Thema: ""Handlungsfähig und bürgernah: Unser ."" Gemeinsam mit Ideengebern von ""Dein Deutschland. Deine Ideen."" diskutieren wir, wie wir das #Europa der Zukunft gestalten. #zusammenmachen
Show this thread",8,5,31
DER SPIEGEL,@derspiegel,2021-05-11T16:07:59.000Z,"Der internationale Kanal von »Fridays for Future« hat auf Instagram einen Boykottaufruf gegen Israel verbreitet. Mittlerweile ist der Post verschwunden – die Klimaschutzbewegung steht dennoch in der Kritik.Israel-Boykottaufruf: Paul Ziemiak wirft Teilen von »Fridays for Future« Hetze vor
Der internationale Kanal von Fridays for Future hat auf Instagram einen Boykottaufruf gegen Israel verbreitet. Mittlerweile ist der Post verschwunden – die Klimaschutzbewegung steht dennoch in der...
spiegel.de",101,31,149
Paul Ziemiak,@PaulZiemiak,2021-05-11T12:16:28.000Z,Teile der Fridays for Future Bewegung rufen zum Boykott israelischer Produkte auf. Jede Form der Hetze gegen #Israel schockiert mich. Gerade für uns Deutsche muss klar sein: Wir stehen an Israels Seite - ganz unabhängig von der eigenen Parteizugehörigkeit!  #StandWithIsrael,352,294,1.5K
Karin Prien,@PrienKarin,2021-05-11T04:34:18.000Z,"Felix Klein bringt es nochmal auf den Punkt: ""Der Antisemitismus-Vorwurf ist ein scharfes Schwert und erfordert klare und eindeutige Belege. Wer diesen Vorwurf anführt, sollte sich seiner Verantwortung für die deutsche Geschichte bewusst sein.""
via 
@szBeauftragter fordert Beleg für Neubauers Maaßen-Vorwurf
Angesichts des Falls der Klimaschutzaktivistin Luisa Neubauer hat der Antisemitismusbeauftragte der Bundesregierung vor pauschalen Vorwürfen der...
sueddeutsche.de",248,240,1.5K
Paul Ziemiak,@PaulZiemiak,2021-05-10T22:09:23.000Z,"Die 
@cdu
 steht an der Seite der Menschen in #Jerusalem und verurteilt die terroristischen Raketen-Angriffe der Hamas. Der Terror muss sofort aufhören! 
#Israel  
#IStandWithIsrael",241,263,1.9K
Paul Ziemiak,@PaulZiemiak,2021-05-10T19:47:02.000Z,"Das sind Zahlen, die Mut machen. Die zeigen, dass wir das Virus besiegen können. Und die vor allem zeigen, dass es richtig aufwärts geht!CDU Deutschlands
@CDU
 · May 10
32,8% der Deutschen sind mindestens einmal geimpft, 24,4% weniger Infektionen zur Vorwoche meldet das RKI heute. So kann die Woche starten! ",34,6,94
Bodo Löttgen,@bodoloettgen,2021-05-09T21:10:37.000Z,"Wenn du „Vier gewinnt“ spielen willst, der 
@ArminLaschet
 aber jeden Zug ruhig, präzise und engagiert kontert und am Ende die Diskussion für sich entscheidet. #AnneWill #CDU #teamCDU",286,71,650
Paul Ziemiak,@PaulZiemiak,2021-05-09T20:46:46.000Z,"Fakten für 
@Luisamneubauer
! 
@ArminLaschet
 hat #NRW zu einem Klimaindustrieland weiterentwickelt. Mit sicheren Arbeitsplätzen. Er hat die richtigen Entscheidungen getroffen und die Politik ihrer Partei, der Grünen, korrigiert. #AnneWill",1.3K,307,960
Paul Ziemiak,@PaulZiemiak,2021-05-09T20:31:09.000Z,".
@ArminLaschet
 stark bei 
@annewill
: Wir wollen sozialen Aufstieg für alle möglich machen. Wir müssen Menschen aus Hartz IV herausholen und insbesondere Kinder mit Unterstützungsbedarf bestmöglich fördern. #AnneWill",493,94,458
Paul Ziemiak,@PaulZiemiak,2021-05-09T19:20:38.000Z,"Der CDU Bezirk Ruhr hat gestern nach 13 Jahren einen neuen Vorsitzenden gewählt. 
 an 
@TKufen
 und viel Erfolg
 an Oliver Wittke für 13 Jahre. Der Verband dankt Dir sehr und hat dich zu recht zum Ehrenvorsitzenden gemacht.",5,1,43
Paul Ziemiak,@PaulZiemiak,2021-05-08T10:41:38.000Z,"Die #Grünen wollen politische Mitte sein? Wohl kaum mit der #Linkspartei in einem Boot.Habeck schließt Linksbündnis nach der Wahl nicht aus
Der Grünen-Chef zeigt sich offen für ein Bündnis aus Grün-Rot-Rot. Dafür müsse sich die Linke aber zur Nato bekennen.
tagesspiegel.de",478,159,460
Paul Ziemiak,@PaulZiemiak,2021-05-08T09:50:13.000Z,"Herzlichen Dank an 
@HagelManuel
 für seine hervorragende Arbeit als Generalsekretär der 
@CDU_BW
. Mit seiner Leidenschaft und seiner Tatkraft hat er den Landesverband stark aufgestellt.",1,1,11
Paul Ziemiak,@PaulZiemiak,2021-05-08T06:32:00.000Z,"„Wir haben wahrlich keinen Grund, uns am heutigen Tag an Siegesfesten zu beteiligen. Aber wir haben allen Grund, den 8. Mai 1945 als das Ende eines Irrweges deutscher Geschichte zu erkennen, das den Keim der Hoffnung auf eine bessere Zukunft barg.“ - Richard von Weizsäcker.",51,55,205
Paul Ziemiak,@PaulZiemiak,2021-05-07T19:48:36.000Z,"Die Menschen in Sachsen-Anhalt vertrauen ihrem Ministerpräsidenten 
@reinerhaseloff
. Er übernimmt Verantwortung, setzt sich für die Menschen ein und führt sie in eine gute Zukunft. Wir als 
@CDU
 unterstützen ihn mit aller Kraft!CDU Sachsen-Anhalt
@cdulsa
 · May 7
Dr. Reiner #Haseloff: Unser Spitzenkandidat. Unser Ministerpräsident. Punkt.
 https://reiner-haseloff.de

#UnsereHeimatUnsereVerantwortung @reinerhaseloff",80,29,150
Paul Ziemiak,@PaulZiemiak,2021-05-07T10:45:09.000Z,"Helmut Kohl hat die Politik in Deutschland & Europa wie kein anderer geprägt. Auf sein Wort war verlass. Durch seine bodenständige und wertgeleitete Politik wurde er zum Brückenbauer und legte die Grundlage für ein friedliches Miteinander zwischen den Großmächten der Welt.0:19
4.6K views",135,23,83
Paul Ziemiak,@PaulZiemiak,2021-05-06T13:09:20.000Z,Kannste Dir nicht ausdenken.,1.2K,497,1.2K
Paul Ziemiak,@PaulZiemiak,2021-05-06T08:21:55.000Z,"Der #Impfturbo zündet!  
1,1 Millionen Menschen haben gestern ihre Corona-Schutzimpfung bekommen, insgesamt sind jetzt 30% der Deutschen erstgeimpft! Mit jeder Impfung drängen wir die Pandemie ein kleines Stückchen mehr zurück! ",36,15,171
Jens Spahn,@jensspahn,2021-05-06T07:38:21.000Z,"Zum zweiten Mal 7-stellig: Mit knapp 1,1 Mio Impfungen gestern sind nun über 25,4 Mio Deutsche (30,6%) erstgeimpft, 7,1 Mio (8,6%) haben einen vollen Impfschutz. Und mit über 200.000 Impfungen ein Tagesrekord bei den so wichtigen Zweitimpfungen.",309,137,1.5K
Paul Ziemiak,@PaulZiemiak,2021-05-05T14:44:13.000Z,"Für ihre aufopferungsvollen Taten, ihren ungebrochenen Mut und ihre unglaubliche Tapferkeit, erhalten die drei Frauen heute den Lew Kopelew Preis. Herzlichen Glückwunsch zu dieser wichtigen und symbolträchtigen Auszeichnung! (2/2)",4,1,26
