User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
"Paul Podolay, MdB",@Paul_Podolay,2021-05-05T20:08:16.000Z,"Heute ein treffen mit Joana Cotar und Joachim Wundrak, die sich als AfD-Spitzenteam bewerben. Der Generalleutnant a.D. Wundrak und Frau Cotar, MdB wollen als Spitzenteam in den Bundestagswahlkampf ziehen. Bei der AfD bestimmen die Mitglieder die Spitzenkandidaten für die BTW.",4,8,62
"Paul Podolay, MdB",@Paul_Podolay,2021-04-14T12:29:20.000Z,"Podolay: Massive Schädlichkeit von Corona-Masken bei Kindern festgestellt
Berlin, 14. April 2021. Wissenschaftler der Universität Witten/Herdecke belegten nun, dass medizinische Masken Kinder psychisch und körperlich beeinträchtigen. In der Studie wurden die Gesundheitsd...
afdbundestag.de",3,1,2
"Paul Podolay, MdB",@Paul_Podolay,2021-04-07T12:25:44.000Z,"Das hier sind behördliche Fakten über eine angebliche Pandemie.Podolay: Covid-19-Todesfälle laut RKI um 80 Prozent zurückgegangen
Berlin, 7. April 2021. Podolay: Covid-19-Todesfälle laut RKI um 80 Prozent zurückgegangen Nach aktueller Datenauswertung des Robert Koch Institutes sind die Covid-19-Todesfälle in Deutschland im Jahr...
afdbundestag.de",1,,
"Paul Podolay, MdB",@Paul_Podolay,2021-04-05T21:14:28.000Z,Spahn: Mehr Freiheiten für Geimpfte! Gesundheitsminister Jens Spahn (CDU) hat vollständig gegen Corona Geimpften Hoffnung auf mehr Freiheiten beim Einkaufen und Reisen im Rahmen von künftigen Lockerungsschritten gemacht.,2,2,6
"Paul Podolay, MdB",@Paul_Podolay,2021-03-26T15:56:27.000Z,"Dieses unethische Vorgehen mit Impfstoff-Experimenten an Kleinkindern ist sofort zu unterlassen!Podolay: Keine Impfstoff-Experimente an Kleinkinder
Berlin, 26. März 2021. Die Pharmakonzerne Pfizer und Biontech meldeten gestern den Start ihrer Impfstoffstudien an Kleinkindern im Alter von sechs Monaten bis elf Jahren, um Nebenwirkungen und...
afdbundestag.de",3,5,5
"Paul Podolay, MdB",@Paul_Podolay,2021-03-24T11:10:41.000Z,Nach diesen letzten Ostern Beschlüssen hat die Bevölkerung nun genug von Ihrer Richtlinienkompetenz!,2,,3
"Paul Podolay, MdB",@Paul_Podolay,2020-08-28T16:13:12.000Z,"Podolay: Medien haben differenzierte Berichterstattung bei COVID-19 vollkommen aus den Augen...
Das Netzwerk Evidenz-basierter Medizin e.V. fordert in einer Stellungnahme die Leitmedien dazu auf, sich an wissenschaftliche Standards bei der Berichterstattung und an Leitlinien zu halten. Das...
afdbundestag.de",1,,
Hans-Georg Maaßen,@HGMaassen,2019-12-29T09:24:22.000Z,"Es geht nicht um Entschuldigung. Das ist keine moralische Frage. Sondern eine rechtliche. Wann werden diese Damen und Herren Intendanten und Chefredakteure der ÖRR  für diese Verfehlungen zur Verantwortung gezogen? So einen ÖRR brauchen wir nicht! (hgm)„Oma ist ‘ne Umweltsau“: Tom Buhrow entschuldigt sich für WDR-Song - WELT
Mit einem Lied seines Kinderchors hat sich der WDR Ärger eingehandelt. Darin singen die Kinder über „ihre Oma“, die im SUV Opis überfährt und Discounterfleisch kauft. Nun hat sich WDR-Intendant Tom...
welt.de",419,1.2K,3.8K
Junge Freiheit,@Junge_Freiheit,2019-12-13T10:10:10.000Z,"Eine Mehrheit der Bundestagsabgeordneten hat erneut verweigert, den Kandidaten der AfD für den Posten eines Vizepräsidenten zu wählen.Bundestag lehnt erneut AfD-Kandidat als Vizepräsident ab
Eine Mehrheit der Bundestagsabgeordneten hat erneut verweigert, den Kandidaten der AfD für den Posten eines Vizepräsidenten zu wählen. Der AfD-Politiker Paul Viktor Podolay erhielt am Donnerstag im...
jungefreiheit.de",10,22,33
AfD-Fraktion im Deutschen Bundestag,@AfDimBundestag,2019-12-12T19:05:55.000Z,"Der Kandidat der #AfD-Fraktion für das Amt des #Bundestagsvizepräsidenten, Paul Viktor Podolay, hat auch im 3. & letzten– Wahlgang nicht die erforderliche Mehrheit der Stimmen erhalten. Erbärmlich, die Abgeordnete sind ihrer Blockadehaltung treu geblieben.Podolay: Abgeordnete sind ihrer Blockadehaltung treu geblieben
Berlin, 12. Dezember 2019. Der Kandidat der AfD-Fraktion für das Amt des Bundestagsvizepräsidenten, Paul Viktor Podolay, hat auch im dritten – letzten – Wahlgang nicht die erforderliche Mehrheit der...
afdbundestag.de",34,66,192
"Paul Podolay, MdB",@Paul_Podolay,2019-06-11T14:54:09.000Z,"Podolay: Wahlbeobachtung zur Präsidentenwahl in Kasachstan
Berlin, 11. Juni 2019. In Kasachstan wurde Kassym-Schomart Tokajew zum neuen Präsidenten gewählt. Er war der Favorit seines Vorgängers Nursultan Nasarbajew und erhielt am Sonntag 70,9 Prozent der...
afdbundestag.de",1,,
"Paul Podolay, MdB",@Paul_Podolay,2019-05-17T18:40:10.000Z,"Podolay: 70 Jahre Europarat
Berlin, 17. Mai 2019. Der Bundestagsabgeordnete der AfD-Fraktion und Mitglied im Auswärtigen Ausschuss, Paul Viktor Podolay, nimmt Stellung zum 70. Jahrestag des Europarates. Podolay erklärt: „Die...
afdbundestag.de",1,1,1
