User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
"Peter Aumer, MdB",@PeterAumer,2020-02-10T16:17:34.000Z,"Der vorgeschlagene Zeitplan Neubesetzung ist falsch. Eine Suche bis Sommer bringt Unruhe. Dass das nicht förderlich ist, können wir seit Jahren bei der #SPD sehen. Wenn bekannt ist, wer bereit ist zu kandidieren, muss schnell ein deutliches Zeichen gesetzt werden. #akk #cdu (3/3)",2,1,5
"Peter Aumer, MdB",@PeterAumer,2020-02-10T16:12:32.000Z,"Mit der Neubesetzung des CDU-Parteivorsitzes muss auch die Frage nach dem  gemeinsamen Kanzlerkandidaten bzw. -kandidatin geregelt werden und dazu ist es wichtig, dass die #CSU eingebunden wird. #Parteivorsitz und #Kanzlerkandidatur gehören in eine Hand! #AKK #CDU (2/3)",2,,2
"Peter Aumer, MdB",@PeterAumer,2020-02-10T16:10:23.000Z,"Ich habe großen Respekt für die Entscheidung von 
@akk
. Jetzt ist es Zeit, für einen echten Aufbruch in der #CDU. Es braucht eine Persönlichkeit mit Erfahrung, Kompetenz und Charisma, der die Menschen zutrauen, die Herausforderungen unserer Zeit anzupacken. (1/3)",1,1,6
German Embassy India,@GermanyinIndia,2020-02-06T07:29:38.000Z,"Indo-German Friendship Group from German Parliament #Bundestag with 
@juergenhardt
  @theliberalfrank
 @Gerold_Otten
 @PeterAumer
 @nouripour
 visiting Kolkata and Delhi.Walter J. Lindner
@AmbLindnerIndia
 · Feb 6, 2020
Excellent discussions of 6 Parlamentarians from Indo-German Friendship Group from German Bundestag with Foreign Minister #DrSJaishankar on development, governance, trade and global politics.",1,3,3
CDU/CSU,@cducsubt,2019-06-26T14:18:10.000Z,".
@PeterWeissMdB
 @PeterAumer
 erklären:  Großer Fortschritt bei Entschädigung von Terroropfern und deren HinterbliebenenGroßer Fortschritt bei Entschädigung von Terroropfern und deren Hinterbliebenen
Das Bundeskabinett hat heute den Gesetzentwurf zu einem neuen Sozialen Entschädigungsrecht beschlossen, das neue SGB XIV. Dazu erklären der arbeitsmarkt- und sozialpolitische Sprecher der CDU...
cducsu.de",1,2,4
Constantin Weiß,@constantinweiss,2019-04-09T06:48:45.000Z,"Replying to 
@ZwischenrufMdB
 and 
@PeterAumerNein, von Verstand. ",,1,6
"Zwischenruf, MdB",@ZwischenrufMdB,2019-04-08T13:09:00.000Z,"—
@PeterAumer
 (CDU/CSU): »Wir sehen Inklusion und Teilhabe als Bereicherung. Wir sehen Inklusion und Teilhabe als Chance.«
—@mueller_mdb (AfD): »Sind Sie von den Grünen?« [19/90]
#bundestag",1,1,5
"Peter Aumer, MdB",@PeterAumer,2019-03-17T16:43:50.000Z,"Wir wollen die #Grundrente, aber sie muss gerecht und bezahlbar sein.

https://br.de/nachrichten/bayern/soeder-macht-eigenen-vorschlag-fuer-grundrente,RKxZW6H…

#CSUliefert #Söder #AumerHörtzuPacktan",,,3
Mittelbayerische,@mz_de,2018-07-25T05:03:00.000Z,"Stau gehört in und um Regensburg zum Alltag. Ein Konzept soll Abhilfe schaffenVerkehrspakt weckt Hoffnung
Stadt, Landkreis, Bund und Freistaat planen ein Konzept für die staugeplagte Region Regensburg. Erwartungen daran sind hoch.
mittelbayerische.de",,2,5
Harald Schmid,@splendidturmoil,2018-07-18T06:27:50.000Z,"Spannende Diskussion gestern bei 
@PulseofEurope
 in 
@stadtregensburg
 mit 
@PeterAumer
 von der 
@csu
 über die #eu und den europäischen Gedanken.",,1,3
"Peter Aumer, MdB",@PeterAumer,2018-06-22T19:21:56.000Z,"Ein überzeugender Ministerpräsident 
@Markus_Soeder
 heute im #Presseclub in #Regensburg. 
„Entscheidend ist es, ob wir etwas für das Land erreichen oder nicht.“
„Wir müssen in unserem Land die Stimmungslage ernst nehmen.“",3,2,
"Peter Aumer, MdB",@PeterAumer,2018-06-13T06:57:48.000Z,"Machbarkeitsstudie zur Zukunft des Pfaffensteiner Tunnels wird in Auftrag gegeben. 
Bei einem gemeinsamen Termin mit Bürgermeisterin Gertrud Maltz-Schwarzfischer und Landrätin Tanja Schweiger haben wir dieses Thema besprochen.
Hintergrund:
https://mittelbayerische.de/region/regensburg-stadt-nachrichten/dritte-roehre-fuer-pfaffensteiner-tunnel-21179-art1658122.html…",1,1,7
"Peter Aumer, MdB",@PeterAumer,2018-06-06T15:05:37.000Z,"Peter Aumer im #Plenum:
„Wir geben Langzeitarbeitslosen eine Chance!“
#Arbeit #Soziales #Bundestag",,,2
"Peter Aumer, MdB",@PeterAumer,2018-06-06T15:05:27.000Z,"Peter Aumer im #Plenum:
„Wir bieten auch Lösungen für Vollbeschäftigung:
- Nationale Weiterbildungsstrategie
- Bildungspakt
- Fachkräftezuwanderungsgesetz“
#Arbeit #Soziales #Bundestag",,,1
"Peter Aumer, MdB",@PeterAumer,2018-06-06T15:05:14.000Z,"Peter Aumer im #Plenum:
„Unsere Soziale Marktwirtschaft beruht auf dem Prinzip fordern UND fördern.“
#Arbeit #Soziales #Bundestag",,,1
"Peter Aumer, MdB",@PeterAumer,2018-06-06T15:04:57.000Z,"Peter Aumer im #Plenum:
„Arbeit schafft Würde und Anerkennung“
#Arbeit #Soziales #Bundestag",,,2
"Peter Aumer, MdB",@PeterAumer,2018-06-02T06:27:14.000Z,"Heute ist Tag der #Organspende. Auch ich trage meinen #Spendeausweis immer bei mir. Jeder sollte sich bewusst ist dem Thema beschäftigen.
https://organspende-info.de",4,7,7
"Peter Aumer, MdB",@PeterAumer,2018-05-18T10:07:50.000Z,"Peter Aumer im #Plenum
„Sozialpolitik ist vor allem Politik der Mitgliedsstaaten,
dort gehört sie auch hin.“
#Arbeit #Soziales #Haushalt2018 #EU #Bundestag",,,2
"Peter Aumer, MdB",@PeterAumer,2018-05-18T10:06:47.000Z,"Peter Aumer im #Plenum
„Unser Sozialstaatprinzip: Wir setzen Anreize für #Arbeit,
nicht für Arbeitslosigkeit.“ #Soziales #Haushalt2018 #Bundestag",,4,4
