User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Peter Boehringer,@PeterBoehringer,2021-05-03T04:42:39.000Z,"Hinweis auf mein ""Hallo-Meinung""-Gespräch zur unfassbaren Verschuldung direkt vor unseren Augen 
https://m.youtube.com/watch?v=XzIBUwNilbk&t… 
@hallo_meinung
 #Verschuldung 
@BVerfG
 #AfDPeter Weber",4,3,9
Peter Boehringer,@PeterBoehringer,2021-04-26T06:12:32.000Z,"DExit = Zollfreiheit und Personenfreizügigkeit statt EU!
https://youtube.com/watch?v=tZygzszeIb0…
#DExit #AfD #Parteiprogramm",4,24,62
Peter Boehringer,@PeterBoehringer,2021-04-23T08:10:02.000Z,"Boehringer kritisiert: Schulden-Schlacht im Schnelldurchgang - Peter Boehringer 
https://shar.es/aoB1G3 
#Nachtragshaushalt #Schulden #AfD #Art110 #Art115",1,7,21
Peter Boehringer,@PeterBoehringer,2021-04-21T14:11:50.000Z,"Spontandreh Boehringer zum heute verabschiedeten Corona-Gesetz | #Berlin 21.4.2021 https://youtu.be/KUkmKklMH6Q 
Direkt an der Moltkebrücke ggü. Bundeskanzleramt 
#IfSG #AfD #BevölkerungsschutzgesetzSpontandreh Boehringer zum heute verabschiedeten Corona-Gesetz |...
Direkt an der Moltkebrücke ggü. Bundeskanzleramt #IfSG #AfD #BevölkerungsschutzgesetzMehr von Peter Boehringer hier: 
youtube.com",4,6,19
Peter Boehringer,@PeterBoehringer,2021-04-15T12:34:30.000Z,"Hinweis auf heutige Bundestagsrede zum Bundeshaushalt ‘21 (Nachtrag) über 60 Mrd. Euro und zur anhaltenden Corona-„Notsituation“ gem. Art 115(2)/6 GG
Irre: Wenn Rom und Athen bald Geld bei uns abbuchen
https://youtube.com/watch?v=FPGyc65gz08… 
#Haushalt #Grundgesetz #AfD #Nachtragshaushalt",3,12,25
Peter Boehringer,@PeterBoehringer,2021-04-09T05:11:05.000Z,"Grundrechte sind unabdingbar und müssen nicht er-impft werden!
https://youtu.be/Shz-ysQAdtc 
#Impfpass #AstraZeneca #COVID19 #Grundgesetz #Grundrechte 
@markusgaertnerGrundrechte sind unabdingbar und müssen nicht er-impft werden!
► Todesraten “im Zusammenhang mit einer Impfung” von 2000/2020 zu Jan/Feb 2021 um den Faktor 91 explodiert! https://www.pboehringer.de/todesraten-im-zusammen...
youtube.com",5,6,24
Peter Boehringer,@PeterBoehringer,2021-03-18T10:04:37.000Z,"Todesraten ""im Zusammenhang mit einer Impfung"" von 2000/2020 zu Jan/Feb 2021 um den Faktor 91 explodiert! - Peter Boehringer https://shar.es/aoIT2a 
@PEI_Germany
 #Corona #Impfdesaster",6,34,48
Peter Boehringer,@PeterBoehringer,2021-03-12T14:53:03.000Z,"Bundesrechnungshof bestätigt AfD-Fraktion – EU-Wiederaufbaufonds „überdehnt“ geltendes Recht - Peter Boehringer https://shar.es/aoEGsM 
#bundesrechnungshof #art125 #art310 #AfDBundesrechnungshof bestätigt AfD-Fraktion – EU-Wiederaufbaufonds „überdehnt“ geltendes Recht -...
Aufrufe: 1429Der Bundesrechnungshof bestätigt AfD-Fraktion – EU-Wiederaufbaufonds „überdehnt“ das geltende Recht Berlin, 12. März 2021. Der Bundesrechnungshof hat gestern einen Bericht zur geplanten...
pboehringer.de",4,18,39
Peter Boehringer,@PeterBoehringer,2021-03-10T21:11:04.000Z,"Auszahlungsstopp bei Corona-Hilfen zeigt, dass die Regierung nicht mehr Herr der Lage ist - Peter Boehringer https://shar.es/aoKVWX
#AfD #Coronahilfen #BundesregierungAuszahlungsstopp bei Corona-Hilfen zeigt, dass die Regierung nicht mehr Herr der Lage ist - Peter...
Aufrufe: 57Auszahlungsstopp bei Corona-Hilfen zeigt, dass die Regierung nicht mehr Herr der Lage ist Das Bundeswirtsch.ministerium teilte über seine Homepage mit, dass die sogenannten Corona-Hilfsz...
pboehringer.de",,2,7
Peter Boehringer,@PeterBoehringer,2021-03-04T14:52:50.000Z,"Nachtragshaushalt 2021 wäre vermeidbar - Peter Boehringer https://shar.es/aoiqPz 
#Grundgesetz #AfD #Haushalt2021",3,,8
Peter Boehringer,@PeterBoehringer,2021-03-04T06:23:39.000Z,"Meine jüngste Rede vor dem Deutschen Bundestag. Thema: Griechenland und seine Zahlungen an den IWF...
Video: https://youtu.be/4YopRVR9xa8 
Text: https://pboehringer.de/griechische-zahlungen-an-den-iwf-nicht-an-deutschland/… 
#ecb #iwf #efsf #Griechenland #AfD",2,5,13
Peter Boehringer,@PeterBoehringer,2021-03-01T09:21:47.000Z,"Hinweis auf eine Aufzeichnung eines Bürgerdialogs: 
„Boehringer, Felser & Rothfuß: ‚Vor dem Reset? Corona als Hebel zur großen geldsozialistischen Transformation‘ “ 
https://youtu.be/hH5-DUIrShM 
#GreatReset #coronavirus #Rothfuss 
@PeterFelser",3,3,12
Peter Boehringer,@PeterBoehringer,2021-02-25T14:44:33.000Z,"Die Regierung radikalisiert sich: EU mutiert zum extrem gut budgetierten Suprastaat 
https://youtube.com/watch?v=hfEU1prUpjA…
Hier das zugehörige Script. Es gilt das gesprochene Wort: 
https://pboehringer.de/schock-eu-mutiert-zum-extrem-gut-budgetierten-suprastaat… 
#AfD #Eigenmittelbeschluss #EU #VerschuldungSchock: EU mutiert zum extrem gut budgetierten Suprastaat - Peter Boehringer
Es geht hier nicht um Corona-Folgen. Es geht um eine Veränderung des CHARAKTERS der EU hin zu einem hoch budgetierten Staat. Über den Umweg „EU-Verschuldung“ bekommt die EU ein indirektes – aber...
pboehringer.de",2,6,13
Peter Boehringer,@PeterBoehringer,2021-02-17T15:26:28.000Z,"Meine Rede zu Aschermittwoch als Text:
„Das Idi-Amin-Prinzip der Meinungsfreiheit: Wo ist der Verfassungsschutz, wenn man ihn braucht?!“
https://pboehringer.de/die-wahrheit-einzige-politisch-verfolgte-in-deutschland/… 
#AfD #Aschermittwoch 
@AfD_Bayern",4,9,28
Peter Boehringer,@PeterBoehringer,2021-02-16T08:40:53.000Z,"Interview von Peter Boehringer durch Markus Lowien am 25. Oktober 2020 in Berlin
https://youtu.be/eX-PUHfOcCo 
@markuslowien
 #Grundgesetz #Menschenrechte #Freiheit",1,4,8
Peter Boehringer,@PeterBoehringer,2021-01-18T09:18:04.000Z,"Hinweis auf mein neues Klartext-Video:
Virtuelle Wahlen statt lebendiger Präsenz-Demokratie
https://youtube.com/watch?v=yLBPXHU2IXc… 
#corona #briefwahl #Demokratie",3,3,13
Peter Boehringer,@PeterBoehringer,2020-12-18T18:27:09.000Z,"Meine Einordnung zur Guterres-Rede im Bundestag heute:
https://youtu.be/c3NrsnWrSVk 
#Guterres #Impfstoff #AfD",2,3,10
AfD-Fraktion im Deutschen Bundestag,@AfDimBundestag,2020-12-11T11:46:39.000Z,"+++#Lockdown-Wahnsinn kostet uns monatlich 20 Mrd. Euro!+++ 
@PeterBoehringer
 appelliert zum Ende der Haushaltswoche eindringlich an die Regierung: „Man kann ein ganzes Land nicht über Monate lahmlegen, es ist einfach nicht finanzierbar! Die Regierung muss umsteuern!“ #AfD",27,57,190
Peter Boehringer,@PeterBoehringer,2020-12-10T20:08:37.000Z,"Jetzt Premiere des Bürgerdialogs mit Boehringer und Münzenmaier
https://youtube.com/watch?v=UYy2xg8wxx4&feature=share… 
#AfD #Corona #COVID19 #BNT162b2",1,,10
Peter Boehringer,@PeterBoehringer,2020-11-09T07:31:19.000Z,"Neuer Videobericht zu Corona-Klagen und zur möglichen Verschiebung der Bundestagswahl 2021
https://youtu.be/8SZVx7f6Hp8 
#Wahl #Bundestag #AfD #Corona #Untersuchungsausschuss #GEZ",2,4,17
Peter Boehringer,@PeterBoehringer,2020-11-06T18:49:04.000Z,"Herzlichen Dank für die vielen hundert Zuschriften heute! Meine klare Position zum unveränderten Erhalt der Bürgerrechte unseres Grundgesetzes lesen Sie hier:
https://pboehringer.de/infektionsschutzgesetz-gegen-buergerrechte/… 
#Grundgesetz #AfD #InfSchG #Coronaexit",4,10,57
Peter Boehringer,@PeterBoehringer,2020-10-28T05:20:46.000Z,"Vorstellung neuer Klagen der AfD-Fraktion im Bundestag - Peter Boehringer https://shar.es/abPUVD 
#AfD #Normenkontrollklage #Haushalt2020 
@BVerfG Stephan Brandner 
 and 3 others",6,21,48
Peter Boehringer,@PeterBoehringer,2020-10-27T08:49:05.000Z,"Gigantomanie und Weltentrücktheit beim Kanzleramts-Erweiterungsbau – Boehringer von unterwegs (9)
https://youtube.com/watch?v=ppCxi5vkIuo… 
#Kanzleramt #Berlin #AfD",7,14,40
Peter Boehringer,@PeterBoehringer,2020-10-20T05:53:09.000Z,"Interview mit der Jungen Alternative zu: Gold, Immobilie oder Bitcoin?
https://youtube.com/watch?v=ejCpb640Uvg… 
#Gold #Bitcoin
 #btc
 #AfD #Inflation",4,5,16
