User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Roderich Kiesewetter,@RKiesewetter,2021-05-12T08:51:48.000Z,"Seit Montag sind über 1000 Raketen/Mörser aus dem #Gazastreifen nach #Israel gefeuert worden. Der Raketenterror der #Hamas muss aufhören. Israel verteidigt seine Bevölkerung - zurecht. 
Die Sicherheit Israels ist deutsche Staatsräson! #IStandwithIsraëlNahost: Hamas schießt 1000 Raketen auf Israel – in zwei Tagen
Nacht der Angst in Tel Aviv und Gaza: Israel antwortet auf den massiven Raketenbeschuss der Hamas mit den schwersten Luftschlägen seit 2014. Es gibt Tote und Verletzte auf beiden Seiten.
spiegel.de",12,18,137
Jeremy Issacharoff,@JIssacharoff,2021-05-14T06:48:36.000Z,"Firing nearly 2000 rockets by #Hamas against #Israel continues. Israel must intercept the rockets, safeguard its civilians, neutralise #Gaza rocket production and ensure continued deterrence: 
@JIssacharoff
, Botschafter Israels, http://tagesschau.deJeremy Issacharoff, Botschafter Israels, zur Situation in Nahost
Jeremy Issacharoff, Botschafter Israels, zur Situation in Nahost
tagesschau.de",1,4,21
Henrik Bröckelmann,@henrikMSL,2021-05-12T17:03:56.000Z,".
@ArminLaschet
 in der 
@aktuelle_stunde
 klar gegenüber 
@HeikoMaas
: Im Moment, wo ein demokratischer Staat mit 1.000 Raketen angegriffen wird, ist kein Platz für diplomatische Floskeln. Da muss man klar verurteilen, was die Hamas getan hat. #StandWithIsrael",22,27,284
Ralph Brinkhaus,@rbrinkhaus,2021-05-13T07:51:46.000Z,"Die heutige Zeit ist oft schnelllebig. Vieles sieht man mehr nicht mehr bewusst. #Schauthin ist deshalb ein gutes Motto für den 3. #oekt, der die Gelegenheit bietet, innezuhalten, sich infrage zu stellen und wieder mehr Achtsamkeit für andere zu entwickeln. 
@OekumenischerKT",19,9,40
Verteidigungsministerium,@BMVg_Bundeswehr,2021-05-13T16:00:00.000Z,"Investitionen in die Sicherheit sind kein Gefallen an irgendjemanden - diesseits oder jenseits des Atlantiks. Sondern: Wir investieren in unsere eigene Sicherheit, um Wohlstand weiter schaffen zu können. Das machte Ministerin 
@akk
 in dieser Woche beim #LEG21 deutlich. #ICYMI:",,15,53
Roderich Kiesewetter,@RKiesewetter,2021-05-12T14:48:00.000Z,"Klimaland - Wohlfühlland - Zukunftsland??? Vereinbarung von #Ökonomie und #Nachhaltigkeit im Sinne der Bewahrung der #Schöpfung und des gesellschaftlichen Zusammenhalts sind doch gefragt und nicht Ideologie! ""Schicksalswahl fürs #Klima"" https://tagesschau.de/inland/bundestagswahl-umweltverbaende-101.html… 
@CDU
 @cducsubtUmweltbündnis will Bundestagswahl zu Klimawahl machen
Wenige Monate vor der Bundestagswahl melden sich die Umweltverbände zu Wort: Die Parteien täten nicht genug für die Klimawende - selbst die Grünen nicht. Auch die Bürgerinnen und Bürger könnten mehr...
tagesschau.de",1,,1
Jüdisches Forum,@JFDA_eV,2021-05-12T13:19:10.000Z,Mit dieser Art von #Antisemitismus werden wir als jüdischer Verein sowie Jüdinnen und Juden weltweit in Konfliktsituationen wie der aktuellen immer wieder konfrontiert. Sie bedeutet eine reale Gefährdung für jüdische Menschen u. hat nichts mit dem Konflikt im #NahenOsten zu tun.,15,74,279
Jens Spahn,@jensspahn,2021-05-12T14:16:26.000Z,"Gestern gab es zum 3. Mal mehr als 1 Mio Impfungen an einem Tag. Nun sind 28,5 Mio Deutsche (34,3%) mind. einmal geimpft, 8,3 Mio (10%) voll geschützt. Und mit 265.000 ein neuer Tagesrekord bei wichtigen Zweitimpfungen. Danke an alle, die mithelfen, das Impftempo hoch zu halten!",189,54,960
Verteidigungsministerium,@BMVg_Bundeswehr,2021-05-12T05:58:40.000Z,"#MehrTruppeWagen: Ministerin 
@akk
 möchte die #Bundeswehr für die Zukunft ausrichten. Dazu werden gerade Eckpunkte erarbeitet. Fakt ist: Notwendige Entscheidungen - nur weil Wahljahr ist - nicht zu treffen, sei unverantwortlich.",4,16,72
Nico Lange,@nicolange_,2021-05-12T06:42:17.000Z,"Heute startet die neue YouTube-Serie #DieMission. Sie gibt erstmals vertiefte Einblicke in die #NATO-Mission “enhanced Forward Presence” und zeigt Soldatinnen & Soldaten, die zur Stärkung & Sicherung unserer Alliierten & des Bündnisgebietes im Baltikum im Einsatz sind.",8,31,128
Ute Boehringer-Mai,@BoehringerMai,2021-05-11T23:07:15.000Z,"Replying to 
@BuchkolumneDiese neue Impf-Plattform 
http://sofort-impfen.de sollte sich (bei den hohen Fallzahlen 
) schnellstmöglich auch auf der #Ostalb #Aalen #Heidenheim herumsprechen...bei Ärzten und Impfwilligen! #ImpfenRettetLeben 
@LeniBreymaier
 @bennet_mueller
 @RKiesewetter
 @margit_stumpp
 ...",,4,7
Auschwitz Memorial,@AuschwitzMuseum,2021-05-12T03:29:22.000Z,"@RKiesewetter
 Please consider following 
@AuschwitzMuseum
 where every day we commemorate the victims & educate about the tragic human history of #Auschwitz.",,3,4
Ralf Fuecks,@fuecks,2021-05-11T21:37:52.000Z,"Bleibt die Frage, wie die Hamas zu diesem  Raketenarsenal kommt. Selbstgebasteltes Feuerwerk wütender junger Männer? Und woher kommen Waffen und Geld für eine Armee von 20 - 25.000 Kämpfern? Wer nicht fragt, bekommt keine unbequemen Antworten. /4Carlo ""Realism, Gedankenfetzen, and Rants"" Masala
@CarloMasala1
 · May 11
Just in case someone is interested in Hamas rocket arsenal (estimate: 10.000). On the bottom is the Qassam (range app. 17 km)",6,25,152
Botschaft Israel,@IsraelinGermany,2021-05-11T19:07:55.000Z,Jeder rote Punkt markiert einen Raketenalarm in den letzten 30 Minuten. Israel ist unter Beschuss.,143,780,1.6K
AJC Berlin,@AJCBerlin,2021-05-11T19:31:15.000Z,"Seit gestern haben palästinensische Terroristen Israel mit mehr als 700 Raketen angegriffen. Israel hat nicht nur das Recht, sondern auch die Pflicht seine Bürger mit allen notwendigen Mitteln zu schützen.

Unsere Gedanken sind bei den Menschen Israel. 

Am Israel Chai!",9,51,344
Roderich Kiesewetter,@RKiesewetter,2021-05-11T21:33:05.000Z,"V.a. sei dies der Fall gewesen, „wenn innerhalb der westlichen Allianz verstärktes Eingreifen diskutiert wurde“. Mit seinem Nichthandeln habe sich D ggü Partnern nicht als verlässlicher Partner erwiesen, für die syr Bevölkerung sei dies gewissermaßen eine blutige Enthaltung 2/2",1,,
Roderich Kiesewetter,@RKiesewetter,2021-05-11T21:30:41.000Z,"„Vorreiter moralischer Entrüstung“ https://zeitung.faz.net/faz/politik/2021-05-11/40ab44fdd1b295fb99abb152cd1c4a7b?GEPC=s3… via 
@faznet
 Starker Tobak: Deutschland habe wohl nicht zu jedem Zeitpunkt des Syrien-Konflikts abseitsgestanden. Lesenswerter Artikel 1/2„Vorreiter der moralischen Entrüstung“
Folgen der deutschen Kultur der Zurückhaltung am Beispiel des Konflikts in Syrien
zeitung.faz.net",1,,2
Paul Ziemiak,@PaulZiemiak,2021-05-11T21:15:40.000Z,"  Armin Laschet
@ArminLaschet
 · May 11
Habe gerade mit dem Leiter unserer 2020 eröffneten NRW-Vertretung in Tel Aviv @DrGilYaron telefoniert. Er muss heute mit seinem Sohn im Schutzraum schlafen, um sich vor den abscheulichen Hamas-Raketenangriffen zu schützen. Unsere tiefe Solidarität gilt Israel #StandWithIsrael 
 twitter.com/ZentralratJude…",25,23,292
Zentralrat der Juden in Deutschland,@ZentralratJuden,2021-05-11T19:38:05.000Z,"Unsere Gedanken sind bei den Menschen in #Israel. Sie sind einem erbarmungslosen Terror durch die Hamas ausgesetzt. Der Raketenhagel auf Israel muss aufhören. Wir stehen fest an der Seite Israels! 
 #standwithisrael",182,462,2K
Auschwitz Memorial,@AuschwitzMuseum,2021-05-11T19:00:01.000Z,"11 May 1937 | A German Jewish girl, Jutta Guttmacher, was born in Schlichtingsheim.

On 4 October 1944 she was deported to #Auschwitz from #Theresienstadt Ghetto and murdered in a gas chamber.",164,1.2K,5.6K
Botschaft Israel,@IsraelinGermany,2021-05-11T14:53:54.000Z,"Israel unter Beschuss. Ein Rettungssanitäter auf dem Weg zu Verwundeten muss auf dem Boden Schutz suchen vor Raketenangriffen der Hamas. 
@MdaisFrom 
Magen David Adom",14,21,70
"Carlo ""Realism, Gedankenfetzen, and Rants"" Masala",@CarloMasala1,2021-05-11T14:49:18.000Z,"Ich weiß nicht von wann das ist und ob Frau Baerbock das nochmal sagen würde. Und sicherlich kann man den Stopp von U-Boot Exporten nach Israel fordern. Aber dann beraubt man Israel halt seiner ultimativen Sicherheitsgarantie (basierend auf seegestützer Zweitschlagfähigkeit)toto
@josefheynckes
 · May 11
Ich wünsche mir einen Bundeskanzler, der den Nahostkonflikt verstanden hat und solidarisch an der Seite Israels steht. Ein Waffenexportverbot nach Israel gehört ganz sicher nicht dazu. @AJCBerlin
Show this thread",26,40,279
