User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Birgit Kelle,@Birgit_Kelle,2021-05-14T11:08:32.000Z,"WDR meldet ernsthaft, der Staatsschutz (!) ermittle in Köln wegen zwei verbrannten Regenbogen-Fahnen vor einer katholischen Kirche. Mir persönlich würde reichen, wenn der Staatsschutz breit ermitteln würde gegen die zahlreichen verbrannten #Israel Fahnen von deutschen Synagogen.",49,300,1.2K
Birgit Kelle,@Birgit_Kelle,2021-05-12T23:17:23.000Z,"Integration gescheitert. Tage wie diese bringen es bitter und deutlich ans Licht.The following media includes potentially sensitive content. Change settings
View",372,889,3.2K
Dregger Battalion,@YouthForAlfred,2021-05-12T20:46:24.000Z,Wieviel % der angeblich rechtsextremen Straftaten sind in Wahrheit islamistische Straftaten?,92,373,1.7K
Claus Strunz,@ClausStrunz,2021-05-13T07:53:37.000Z,"Stellen wir uns vor, dass in Gelsenkirchen nicht „Scheiß Jude“ gerufen worden wäre, sondern „Scheiß Moslem“, „Scheiß Flüchtlinge“ oder „Scheiß Schwule“. Das Land würde zurecht beben. Es gäbe tagelang Berichterstattung, Demos, Konzerte, Solidarität im Netz. Und jetzt? 
@bild",339,1.3K,4.7K
Tomasz Froelich,@TomaszFroelich,2021-05-12T22:22:15.000Z,"Der Versuch der Globalisten, den Globalismusbegriff zum „antisemitischen Codewort“ umzudeuten, dient dem Zweck, Globalisten nicht mehr beim Namen nennen und ihre globalistische Agenda nicht mehr angreifen zu können. Natürlich darf man sich dadurch nicht erpressen lassen.",14,128,443
Olaf Gersemann,@OlafGersemann,2021-05-12T09:01:19.000Z,"Finde das Land, in dem am 24. April das ""Bundesnotbremen""-Gesetz in Kraft trat. 
@welt",111,642,2.1K
Carlo Clemens,@clemens_carlo,2021-05-11T15:18:48.000Z,"Gemeinsamer Nenner für die 
@AfD
: pro Volk, pro Nationalstaat, anti-globalistisch. #GlobalismusGregor Brand
@GregorBrand
 · May 10
Wie ideologisch einseitig und wissenschaftsfern muss man sein, wenn man ""#Globalisten"" nur als angeblich #antisemitisch besetzten Code kennt? #Globalismus ist ein wichtiger Begriff der neueren Ideengeschichte, der international vielfach diskutiert wird. 

https://press.princeton.edu/books/hardcover/9780691168722/the-emergence-of-globalism…",1,14,68
René Springer,@Rene_Springer,2021-05-10T18:04:28.000Z,"+++ 117. Bericht aus dem #Bundestag online +++

Auch in dieser Woche möchte ich Sie über meine Arbeit und das Wirken der 
@AfDimBundestag
 informieren.

https://rene-springer.info/Rundbrief117

#afd 
@AfD",,,10
René Springer,@Rene_Springer,2021-05-07T12:00:21.000Z,"#Verfassungsschutz = #RegierungsschutzVerfassungswidrige Bewegung: Verfassungsschutz in Sachsen stuft Pegida als rechtsextremistisch ein
Vertreter aus dem Umfeld von Pegida dürfen nun beobachtet werden. Die Bewegung, heißt es, fungiere wie ein „Scharnier zwischen Extremisten und Nichtextremisten“.
faz.net",,2,2
René Springer,@Rene_Springer,2021-05-07T11:46:08.000Z,"Was vor einem Jahr noch als #Verschwörungstheorie galt, ist eingetreten. Wir haben einen #Impfzwang durch die Hintertür.Corona-Lockerungen für Geimpfte und Genesene gelten ab Sonntag
Die geplanten Lockerungen für vollständig gegen das Coronavirus Geimpfte und von der Erkrankung Genesene gelten ab Sonntag.
merkur.de",2,16,35
Martin Hess,@Martin_Hess_AfD,2021-05-06T09:51:08.000Z,"Ich bewerbe mich wieder für die Bundestagswahlen. Deutschland ist in Gefahr: Bürgerrechte unverhältnismäßig eingeschränkt, Wohlstand schwindet, Sicherheit durch Islamisten, Extremisten & Clankriminelle bedroht. Nur #AfDimBundestag kann die Wende bewirken!Martin Hess: Für Deutschland. Für Baden-Württemberg
Mein Bewerbungsvideo für die Landesliste zur Bundestagswahl 2021: Deutschland befindet sich in großer Gefahr und in einer gefährlichen Schieflage. Während Ab...
youtube.com",19,29,112
Zhang Danhong,@ZhangDanhong,2021-05-06T00:58:10.000Z,"Die GroKo schafft 71 neue Stellen in Ministerien, um vor der Machtabgabe ihre Parteifreunde zu versorgen. Interessiert das keinen Journalisten?",146,753,2.9K
René Springer,@Rene_Springer,2021-05-04T15:51:03.000Z,"Diejenigen, die Wohnungsknappheit, steigende Mieten und explodierende Immobilienpreise zu verantworten haben, treffen sich. Aber sie bleiben unter sich. Echte #Opposition mit guten Lösungen ist nicht dabei. 
@AfD
 @Das_Baugewerbe
 @GdWWohnen
 #wohnungsbautag",,14,37
Dennis Hohloch,@Dennis_Hohloch,2021-05-02T11:12:19.000Z,"1. #Mai in #Cottbus.

Vielen Dank an die mehreren hundert  Brandenburger, die unserem Demoaufruf zum #TagderArbeit folgten!

Starke Reden von 
@DanielMuenschke
, 
@KrahMax
, 
@Rene_Springer
, und Marianne Spring-Räumschüssel!

#Blau ist die neue Farbe der #Arbeiter! 

#CB0105",2,9,56
"Dr. Anton Friesen, MdB",@DrFriesenMdB,2021-05-02T07:54:23.000Z,"Infoveranstaltung mit 
@Rene_Springer
 in #Suhl: Arbeit und Soziales. Wir sind die Partei des arbeitenden Volkes, der Arbeiter u. Selbstständigen, des Handwerkers, der kleinen und mittelständischen Unternehmen! #1Mai #erstermai #1Mai2021",5,5,20
