User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
"Martin E. Renner, MdB",@Renner_AfD,2021-05-12T16:25:02.000Z,"(...) Mein Anliegen: Die geschichtliche, kulturelle & polit-philosophische Ertüchtigung der Bürger, damit sie zu fundierten politischen Bewertungen der Vergangenheit & der Gegenwart gelangen können. (...) #Aufstellungsversammlung #AfD #NRW #AfDNRW #Siegen https://facebook.com/permalink.php?story_fbid=2834554083465560&id=100007329880766…AfD NRW and Alternative für 
 Deutschland",,45,110
Piper at the Gates of Dawn,@PiperattheGate3,2021-05-14T10:28:12.000Z,"Bundesregierung plant Aufnahme illegaler Migranten aus Italien. Trotz Corona? Ich will das nicht von meinem Steuergeld bezahlen. Ich bitte also die Delegierten der AfD NRW, am WE in Siegen Top-Kandidaten auf ihre Liste zu wählen, die im Bundestag gegen illegale Migration kämpfen!",4,73,257
AfDFilme,@AfDFilme,2021-05-14T11:05:35.000Z,"Replying to 
@PiperattheGate3Achten wir mal darauf, welcher der Kandidaten Dich als Bürger NICHT unterstützt (das Mindeste: Retweet und Like). Warten wir mal einige Stunden. Dann sehen wir, wem das ein Herzensanliegen ist. Dies gilt es dann morgen u übermorgen zu berücksichtigen. #Migration #AfD #NRW #AfDNRW",1,9,18
Fridolin Forsch,@WirFuerUns63164,2021-05-13T17:22:26.000Z,"Die Probleme, die mit unkontrollierter Einwanderung aus bestimmten Kulturkreisen (zivilisierte und friedliche Menschen natürlich exkludiert) einhergehen, treten nun immer krasser zutage. #gelsenkirchen #stopptantisemitismus #deutschlandabernormal #FreiheitAfD Gelsenkirchen
@AfD_GE
 · May 13
Ekelhafte antisemitische Szenen aus #Gelsenkirchen!
 #Judenhass wie in dunkelsten Zeiten. Gegen die Täter muss hart durchgegriffen werden. #Muslime #Massenmigration #niewieder #Antisemitismus #Synagoge #AfD @inJAfD @AlternativeNRW https://facebook.com/658601644218340/videos/vb.658601644218340/556981282327645/… https://twitter.com/Schneider_AfD/status/1392791907449942016…",,22,35
Einzelfallinfos,@Einzelfallinfos,2021-05-13T17:50:03.000Z,"Tausende illegale Migranten landeten in den letzten Tagen in Italien, Maas stellt die Aufnahme von Migranten in Deutschland in Aussicht, Österreich lehnt Übernahme hingegen klar ab: ""Verteilung ist keine Lösung, sondern vielmehr Teil des Problems.""Italien: Heiko Maas stellt Aufnahme von Flüchtlingen in Aussicht - WELT
Heiko Maas hat mit seinem italienischen Amtskollegen über die wieder zunehmenden Flüchtlingsbewegungen über das Mittelmeer gesprochen. Der deutsche Außenminister rief die anderen EU-Staaten zur...
welt.de",51,159,284
Junge Freiheit,@Junge_Freiheit,2021-05-14T08:25:01.000Z,"Im englischen #Yorkshire klagt die Staatsanwaltschaft 29 Männer wegen sexuellen Mißbrauchs eines Kindes an. Die Tatverdächtigen, die alle arabisch-pakistanische Namen tragen, sollen ein Mädchen über Jahre hinweg vergewaltigt haben.England: Mißbrauchsbande soll Mädchen vergewaltigt haben
Im englischen Yorkshire klagt die Staatsanwaltschaft 29 Männer wegen sexuellen Mißbrauchs eines Kindes an. Den Tatverdächtigen, die alle arabisch-pakistanische Namen tragen, sollen ein Mädchen über...
jungefreiheit.de",15,139,169
AfD-Fraktion im Deutschen Bundestag,@AfDimBundestag,2021-05-12T10:25:47.000Z,"Zur Verabschiedung des Entwurfs für ein verschärftes #Klimaschutzgesetz erklären die Fraktionsvorsitzenden der #AfD im Deutschen #Bundestag 
@Alice_Weidel
 und Alexander #Gauland: ""Klimaschutzgesetz ist Sargnagel für Wohlstand und Wirtschaftskraft!"" #Klima https://afdbundestag.de/weidel-gauland-klimaschutzgesetz-ist-sargnagel-fuer-wohlstand-und-wirtschaftskraft/…",60,175,570
"Udo Hemmelgarn, MdB",@UdoHemmelgarn,2021-05-09T08:47:09.000Z,"Was nicht passt wird passend gemacht. Die Panik muss doch
aufrechterhalten bleiben!
Widerlich!Lauterbach in Erklärungsnot wegen Falschaussage: ""Corona-Intensivpatienten werden immer jünger""
SPD-Gesundheitsexperte Karl Lauterbach hatte jüngst behauptet, Corona-Patienten auf Intensivstationen seien im Durchschnitt 47 bis 48 Jahre alt. Dass diese Aussage an den Haaren herbeigezogen ist,...
epochtimes.de",2,13,22
AfD-Fraktion im Deutschen Bundestag,@AfDimBundestag,2021-05-12T14:34:47.000Z,"Zum Beschluss der #Bundesregierung, die Kosten der #CO2-Bepreisung aufzuteilen, erklärt 
@UdoHemmelgarn
: ""Hälftige Teilung der CO2-Abgabe zwischen #Mieter und #Vermieter wird die Krise am Wohnungsmarkt verschärfen!"" #AfD #Heizkosten #KlimaschutzgesetzHemmelgarn: Hälftige Teilung der CO2-Abgabe zwischen Mieter und Vermieter wird die Krise am...
Berlin, 12. Mai 2021. Zum Kabinettsbeschluss der Bundesregierung, die Kosten der CO2-Bepreisung hälftig zwischen Mieter und Vermieter zu teilen, erklärte der AfD-Bundestagsabgeordnete und Obmann im...
afdbundestag.de",15,38,106
AfD NRW,@AlternativeNRW,2021-05-10T07:23:45.000Z,"Rechenaufgabe: 
50- bis über 80-Jährige stellen 87,9 Prozent der COVID-19-Intensivpatienten
40 bis 49-Jährige stellen 8,2 Prozent
Wie hoch ist das Durchschnittsalter?
#Lauterbach: Im Durchschnitt 47 bis 48, das weiß ich aus persönlichen Gesprächen!

#Lauterbachluegt",36,69,282
