User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
BM der Justiz und für Verbraucherschutz,@BMJV_Bund,2020-09-30T13:57:19.000Z,"Wie lässt sich #Verbraucherpolitik für ländliche Regionen verbessern? Die Fachveranstaltung des BMJV – u. a. mit Staatssekretärin 
@RitaHaglKehl
, 
@NilsBehrndt
 (
@EU_Commission
) und 
@MariaNoichl
 (MdEP) – jetzt im 
Livestream.

https://bmjv.de/DE/Themen/Verbraucherpolitik/verbraucherpolitik_node.html…",4,2,1
BM der Justiz und für Verbraucherschutz,@BMJV_Bund,2020-09-30T07:33:37.000Z,"Schwerpunkte:
 Modellvorhaben zur Verbesserung der Verbraucherpolitik in ländlichen Regionen
 Herausforderungen der #Covid19-Pandemie
 Livestream und Programm: https://bmjv.de/DE/Themen/Verbraucherpolitik/verbraucherpolitik_node.html…",1,2,1
DsiN,@sicherimnetz,2020-06-25T10:05:01.000Z,"Um 12:15 startet das #DsiNJahresgespräch 2020: ""Wie gelingt der Digitale Bildungs-Wumms!"" live aus dem Haus der Bundespressekonferenz. U.a. mit einem Beitrag von 
@DoroBaer
 und Diskutand:innen 
@RitaHaglKehl
, 
@TSchipanski
, 
@theis_franziska
 und Henning Baden.DsiN-Jahresgespräch 2020: So gelingt der Digitale Bildungs-Wumms!
Kann Deutschland digitale Bildung? Diese Frage stellten sich nicht nur Schüler*innen, Eltern und Lehrkräfte im Corona-Lockdown. Auch mit der Corona-Warn-App werden Aufklärungsbedarfe gerade älterer
sicher-im-netz.de",1,4,5
Rita Hagl-Kehl,@RitaHaglKehl,2020-06-25T08:38:51.000Z,"Der #DsiN-Sicherheitsindex 2020 von 
@sicherimnetz
 zeigt uns vom 
@BMJV_Bund
 welche Ziele wir im Bereich der #digitalen Kompetenz verfolgen sollten und wo wir noch aktiv werden müssen. Verbraucher*innen erwarten zuverlässige und sichere digitale Dienste!",2,2,7
Christoph Israng,@velvyslanec_SRN,2020-06-23T14:10:16.000Z,"#Corona hat gezeigt, wie wichtig die etablierten 
 Foren wie #Zukunftsfonds und #Gesprächsforum sind. Heute Sitzung des Verwaltungsrats des Zukunftsfonds in Prag, u.a. mit 
@RitaHaglKehl
. Danke für die wichtige Arbeit.",3,2,2
Rita Hagl-Kehl,@RitaHaglKehl,2020-06-18T17:12:00.000Z,"#Mietmoratorium 
@Wirtschaft_SPD
: Das Gesetz zur Abmilderung der Folgen der #COVID-19-Pandemie trägt den außergewöhnlichen Umständen Rechnung, die durch die Corona-Pandemie entstanden sind und verhindert, dass aus der Corona-Krise eine #Wohnungslosigkeitskrise wird. 
@BMJV_Bund",3,1,1
Nando Strüfing,@NaStruefing,2020-01-28T08:45:10.000Z,"@Wirtschaft_SPD
lädt am Donnerstag zur verbraucherpolitischen Diskussionsrunde beim 
@handelsverband
. 

Mit dabei: 
@SteinekeCDU
@RitaHaglKehl
@k_willkomm
@TabeaRoessner
@SabineLeidigPodiumsdiskussion zur verbraucherschutzpolitischen Agenda der Bundesregierung mit PStS Rita...
Über die verbraucherschutzpolitische Agenda der Bundesregierung haben VertreterInnen von Bundesregierung und Opposition am 30. Januar bei einer öffentlichen Diskussionsrunde des Wirtschaftsforums der...
spd-wirtschaftsforum.de",2,1,4
Stefan Adamski,@StefanAdamski1,2020-01-27T19:02:24.000Z,"Abendessen mit 
@ruetzelbernd
 in der Deutschen Parlamentarischen Gesellschaft. Die Stärkung des Zolls hat in der 
@spdbt
 und bei 
@_verdi
 höchste Priorität. Dann noch  
@RitaHaglKehl
 und 
@BaerbelKofler
 getroffen. 
@SPDbewegt
 @verdi_beim_bund
 @UnsereNeueSPD",2,1,7
Klaus Müller,@Klaus_Mueller,2020-01-15T18:48:11.000Z,"Starkes Plädoyer für den Europäischen #GreenDeal von 
@TimmermansEU
 beim 
@BMJV_Bund
 Neujahrsempfang: Wir müssen das 1,5 Gradziel erreichen. 90% der Bürger haben die #Klimakrise verstanden, aber wir haben ein Problem der Governance.
@Gerdbillen
 @RitaHaglKehl
 @LangeMdB
 @LambrechtMdB",4,6,17
Klaus Müller,@Klaus_Mueller,2020-01-15T18:27:52.000Z,"Mietwucher bekämpfen, Faire Verbraucherverträgegesetz durchsetzen und den New Deal for Consumers verwirklichen, nennt BMin Christine Lambrecht beim 
@BMJV_Bund
 Neujahrsempfang als Schwerpunkte für 2020. Der 
@vzbv
 freut sich darauf!
@Gerdbillen
 @RitaHaglKehl
 @LangeMdB",2,4,16
Europäisches Verbraucherzentrum Deutschland,@EVZ_Deutschland,2020-01-08T10:31:25.000Z,"Eröffnungsfeier der Universalschlichtungsstelle des Bundes gestern in Kehl. Informatives Video: http://bit.ly/2N5Kxh7 #adr #Universalschlichtungsstelle 
@RitaHaglKehl
 @PeterHauck",,2,3
Europäisches Verbraucherzentrum Deutschland,@EVZ_Deutschland,2020-01-07T13:40:40.000Z," Die parlamentarische Staatssekretärin des 
@BMJV_Bund
, Frau 
@RitaHaglKehl
, und Herr Felix Braun eröffnen die Universalschlichtungsstelle in Kehl, wo auch die Europäischen Verbraucherzentren 
@ECCFrance
 und 
@EVZ_Deutschland
 sitzen. 
@SWRAktuellBW
 @spdbawue
 @spdbt
 @FechnerJohannesCEC France
@ECCFrance
 · Jan 7, 2020
L'#Allemagne s'est dotée d'un centre de médiation universelle compétent dans tous les secteurs de la consommation. Cette ""Universalschlichtungstelle"" 
 est à Kehl, à la frontière avec #Strasbourg , comme @ECCFrance et @EVZ_Deutschland , et a été inaugurée ce matin.",,1,6
Europäisches Verbraucherzentrum Deutschland,@EVZ_Deutschland,2020-01-07T13:20:12.000Z,"Die parlamentarische Staatssekretärin Frau 
@RitaHaglKehl
 des 
@BMJV_Bund
 ist heute unter anderem zu Besuch im Zentrum für Europäischen Verbraucherschutz e.V. in Kehl, um sich über grenzüberschreitenden Verbraucherschutz zu informieren 
@FechnerJohannes
 @spdbt
 @spdbawue
 @BayernSPDJohannes Fechner and Rita Hagl-Kehl",2,3,10
Rita Hagl-Kehl,@RitaHaglKehl,2020-01-07T10:11:06.000Z,"Neue #Schlichtungsstelle des #Bundes in 
@stadt_kehl
: gute Möglichkeit sowohl für Verbraucherinnen und Verbraucher als auch für Unternehmen, Streitigkeiten ohne Aufwand und langwierige Gerichtsverfahren beizulegen! 
@BMJV_Bund
 #verbraucherschutz",,2,5
Monika Büning,@MonikaBuening,2019-10-31T15:22:46.000Z,"Heute haben wir u.a. mit 
@wanderwitz
, 
@RitaHaglKehl
, 
@Klaus_Mueller
 das Projekt Verbraucher stärken im Quartier in Berlin Moabit-Ost offiziell gestartet. Die Verbraucherzentrale Berlin ist ab jetzt in Berlin Moabit-Ost unterwegs um Verbraucher_innen präventiv zu informieren.",,4,21
Klaus Müller,@Klaus_Mueller,2019-10-31T09:55:45.000Z,"Heute eröffnet die #Verbraucherzentrale #Berlin das 11. Quartier des 
@BMJV_Bund
 und 
@BMI_Bund
 Projektes „Verbraucher stärken im Quartier“ mit 
@RitaHaglKehl
 und 
@wanderwitz
. Bisher hat unsere aufsuchende Beratung bereits viele unangenehme Klassiker wie #Haustürgeschäfte erlebt.",,4,11
Bitkom,@Bitkom,2019-09-25T15:47:23.000Z,"„Wie machen wir neue digitale Angebote nicht nur sicher und effizient, sondern sorgen auch für mehr Energieeffizienz?“ 
@RitaHaglKehl
 vom 
@BMJV_Bund
 schlägt in ihrer Closing-Keynote auf der #drco19 die Brücke von Umwelt- zu Verbraucherschutz im Retailbereich",,5,3
Rita Hagl-Kehl,@RitaHaglKehl,2019-09-25T15:51:29.000Z,"„Verbraucherpolitik im digitalen Wandel“ - kein Prozess verändert derzeit unsere Lebens- und Arbeitswelt wie die Digitalisierung! Wichtig ist dabei, Sicherheit, Fairness und Selbstbestimmung in der digitalen Welt für die Verbraucherinnen und Verbraucher zu gewährleisten. 
@Bitkom",,,4
BM der Justiz und für Verbraucherschutz,@BMJV_Bund,2019-07-07T07:36:16.000Z,"""Es kann nicht sein, dass sich beispielsweise ein Mobilfunkvertrag um ein weiteres Jahr verlängert, nur weil man nicht rechtzeitig kündigt“, sagt BM Christine Lambrecht. „Wir werden bis Sommerende einen Gesetzentwurf gegen solche #Kostenfallen vorlegen.""Ministerin Lambrecht will besseren Schutz vor Kostenfallen
Verbraucherschutzministerin Christine Lambrecht (SPD) will den Schutz vor Kostenfallen verbessern. Der Gesetzentwurf soll bald kommen.
morgenpost.de",38,47,117
Bundesrat,@bundesrat,2019-06-07T10:13:48.000Z,In Kürze sprechen Minister Hauk und die Parlamentarische Staatssekretärin Hagl-Kehl im #Bundesrat zur Änderung bei der Schlichtung von Verbraucherstreitigkeiten (TOP 18) #Livestream: http://bundesrat.deBaden-Württemberg and Rita Hagl-Kehl,,1,3
BM der Justiz und für Verbraucherschutz,@BMJV_Bund,2019-06-06T13:42:09.000Z,"Herzlichen Glückwunsch! Die zehnte Klasse des Peutinger-Gymnasiums Augsburg hat den 
@bpb_de
-Wettbewerb zum Thema #Rechtsstaat gewonnen. Heute waren die Schüler*innen bei Staatssekretärin 
@RitaHaglKehl
 im BMJV zu Gast.",1,1,6
Bundesrat,@bundesrat,2019-06-06T12:37:30.000Z,"24 angekündigte Reden - Wer morgen in der Plenarsitzung des #Bundesrates spricht, erfahren Sie hier: https://bundesrat.de/SharedDocs/TO/978/to-node.html?cms_currentView=chronologisch…  #Redeliste #Livestream ab 9.30 UhrArmin Laschet and 7 others",2,3,3
BM der Justiz und für Verbraucherschutz,@BMJV_Bund,2019-06-04T15:50:53.000Z,"""
@warentest
 leistet mit dem Wettbewerb 'Jugend testet' einen wertvollen Beitrag zur Verbraucherbildung. Herzlichen Glückwunsch an alle Preisträger*innen des diesjährigen Wettbewerbs!"" Staatssekretärin 
@RitaHaglKehl
 hat die Nachwuchs-Tester ausgezeichnet. https://bmjv.de/SharedDocs/Artikel/DE/2019/060419_Jugend_testet.html…",1,6,12
Katarina Barley,@katarinabarley,2019-05-22T10:54:18.000Z,"Am Sonntag ist #Europawahl. 
 In Zeiten des wachsenden Rechtspopulismus ist diese Wahl wichtiger denn je! Deshalb: #Makeacross für ein vielfältiges, solidarisches und soziales Europa. #EuropaistdieAntwort 
#Europawahl2019",335,113,226
Katarina Barley,@katarinabarley,2019-05-20T16:48:25.000Z,"Ich habe einen deutschen und einen britischen Pass. Meine Familie verbindet mich mit den Niederlanden und Spanien. Ich lebe in Nachbarschaft von Luxemburg, Frankreich und Belgien. 
Zusammengefasst: Ich bin Europäerin vom Scheitel bis zur Sohle. #we2",581,256,1K
