User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Gerhard Schick,@SchickGerhard,2021-05-14T14:54:06.000Z,"Wer den Eindruck hat, Finanz- und Wirtschaftsthemen seien kompliziert, findet bei 
@wolfgangkessler
 Buch „Macht Wirtschaft!“ einen super Einstieg. Danach kann man sich in so manche spannende Diskussion begeben:Publik-Forum Shop: Macht Wirtschaft! (handsigniert) - Wolfgang Kessler - Online Kaufen!
Macht Wirtschaft! (handsigniert) von Wolfgang Kessler im Publik-Forum Shop - jetzt online Kaufen - handsignierte Bücher, Hörbücher, DVD, Videos
shop.publik-forum.de",,3,6
Gerhard Schick,@SchickGerhard,2021-05-11T09:32:41.000Z,"Ich habe die Petition von 
@Finanzwende
 @vzbv
 und 
@BdVeV
 unterzeichnet. Die Riester-Rente ist gescheitert, es braucht einen Neustart. Dazu müssen sich Armin Laschet, Annalena Baerbock und Olaf Scholz klar bekennen. Helft mit und unterstützt die Petition:Petition: Stoppt die Riester-Rente, rettet die Altersvorsorge!
Wir fordern von den drei Kanzlerkandidaten: Die Riester-Rente muss weg, Deutschland braucht einen Neustart! Jetzt Petition unterzeichnen.
finanzwende.de",1,4,19
Gerhard Schick,@SchickGerhard,2021-05-11T02:38:21.000Z,"Da hat 
@MatthiasHauer
 recht. 
@HHirte
 gehört mit seiner Integrität und Kompetenz zu den Top-MdBs. Sehr bedauerlich, wenn er dem nächsten Bundestag nicht mehr angehört.Matthias Hauer
@MatthiasHauer
 · May 9
Sehr bedauerlich, dass @HHirte nicht erneut als Kandidat für den Deutschen #Bundestag aufgestellt wurde. Ich habe ihn immer als Top-Kollegen erlebt - fachlich, menschlich und engagiert. Ein echter Verlust für die künftige @cducsubt. #CDU",3,1,20
Gerhard Schick,@SchickGerhard,2021-05-10T21:17:10.000Z,"Nach 20 Jahren wird es endlich Zeit einzugestehen, dass die #Riesterrente gescheitert ist - und es endlich eine Rentenpolitik braucht, die nicht auf die Finanzlobby hört. 
@finanzwende
 ⁦
@DorotheaMohn
⁩ ⁦
@a_kleinlein
⁩Geburtstagskrach um Riester
Die Riester-Rente ist vor 20 Jahren beschlossen worden. Sie muss ersetzt werden, fordern Verbraucherschutzorganisationen
sueddeutsche.de",4,8,48
Gerhard Schick,@SchickGerhard,2021-05-10T08:12:37.000Z,"Warum kann man so etwas eigentlich nicht vor der Pleite klären?    Jeder Verein muss wissen, wer seine Mitglieder sind. Warum schaffte das die #Einlagensicherung nicht? #GreensillGreensill Bank collapse pits German government against lenders
State-owned Hypo Real Estate says it is eligible for compensation from scheme funded by private banks
ft.com",,8,17
Gerhard Schick,@SchickGerhard,2021-05-09T07:51:31.000Z,"eine gewisse Genugtuung darf ich verspüren, oder? Bankeigentümer müssen offenbar Immobilien verkaufen, um Steuerrückzahlung wegen #CumEx zu leisten.Hamburger Privatbank: M.M. Warburg-Eigner verhandeln über Verkauf von Immobilien-Gesellschaften
Die Eigner der Hamburger Privatbank M.M. Warburg prüfen den Verkauf mehrerer ihrer Immobilienunternehmen. Dabei stehen zwei Gesellschaften im Mittelpunkt der Überlegungen.
wiwo.de",4,16,93
Gerhard Schick,@SchickGerhard,2021-04-22T09:52:33.000Z,"Genau das geht nicht: beim Staat die Hand erneut die Hand aufhalten, obwohl gerade erst genug Geld da war, um großzügig Gewinne an die Aktionäre zu verteilenFinanzwende
@finanzwende
 · Apr 22
Nachdem @Daimler trotz Staatshilfen 50% mehr #Dividende für 2020 an Aktionäre auszahlte und im Q1/2021 eine deutliche Gewinnsteigerung vorwies, nun das: #Daimler beantragt erneut Staatshilfe.

Kleinunternehmen & Selbstständige bangen derweil um Existenz & kommen schwer an Hilfe!
Show this thread",1,27,98
Gerhard Schick,@SchickGerhard,2021-04-20T21:12:49.000Z,"Fast noch schlimmer als die Fehler der Vergangenheit finde ich bei ⁦
@peteraltmaier
⁩ dass er bis heute kein nennenswertes Engagement zeigt, die Branche der Wirtschaftsprüfer für die Zukunft neu aufzustellen.Wirecard-Untersuchungsausschuss: Peter Altmaier wehrt sich gegen Vorwürfe
Bei der Befragung zu seiner Rolle im Wirecard-Skandal hat Wirtschaftsminister Peter Altmaier versucht, alle Schuld von sich zu weisen. Doch seine Verteidigungsstrategie ging nicht auf.
spiegel.de",1,8,49
Fabio De Masi (MdB),@FabioDeMasi,2021-04-20T11:42:27.000Z,". 
@DrJarass
 legt im 
@handelsblatt
 dar weshalb das „Abzugssteuer-Gesetz“ (AbzStEntModG) #CumEx ähnliche Gestaltungen nicht wirksam unterbindet. Prof. Jarass war unser Sachverständiger im Bundestag. https://handelsblatt.com/meinung/kolumnen/homo_oeconomicus/gastkommentar-homo-oeconomicus-der-gesetzentwurf-der-regierung-gegen-den-cum-ex-betrug-ist-untauglich/27102222.html… 
@buon_anni
 @OliverSchroem
 @finanzwende
 @SchickGerhardDer Gesetzentwurf der Regierung gegen den Cum-Ex-Betrug ist untauglich
Die Erstattung nicht gezahlter Kapitalertragsteuer ließe sich einfach und sicher verhindern. Die von der Regierung geplanten Melde- und Haftungspflichten sind überflüssig, kritisiert Lorenz Jarass.
handelsblatt.com",1,13,35
Gerhard Schick,@SchickGerhard,2021-04-15T06:38:08.000Z,"ein scheinbar skurriler Streit NRW gegen NRW. Aber ich fände es nur fair, wenn die Sparkassen einen Teil der Lasten aus den kriminellen Geschäften der WestLB tragen müßten. Denn sie haben damals auch von den Erträgen der WestLB profitiert. #CumExF.A.Z. exklusiv: NRW will Sparkassen für Cum-Ex-Risiken der West LB heranziehen
Die landeseigene Portigon hat die Erste Abwicklungsanstalt verklagt. Die beiden Nachfolgegesellschaften der gescheiterten Düsseldorfer Landesbank streiten bald vor Gericht, wer deren hinterzogene...
faz.net",1,2,8
Gerhard Schick,@SchickGerhard,2021-04-14T08:41:12.000Z,"Zu viel Macht bei einem Unternehmen: #BlackRock sollte aufgespalten werden.Finanzwende
@finanzwende
 · Apr 14
Die Macht und Systemrelevanz von #BlackRock und Co. nimmt besorgniserregend zu. Die Antworten der Politik darauf sind unzureichend!

Deshalb hat sich #Finanzwende das Thema genauer angesehen und konkrete Vorschläge ausgearbeitet 
https://finanzwende-recherche.de/unsere-themen/handlungsbedarf-bei-blackrock-und-co/…",,12,44
Gerhard Schick,@SchickGerhard,2021-04-13T06:28:45.000Z,"Offenbar haben ehemalige Spitzenpolitiker einen guten Riecher, für wen sie lobbyieren. Cameron bei #Greensill und Guttenberg bei #WirecardGreensill-Skandal: Boris Johnson lässt Rolle von Ex-Premier David Cameron prüfen
Gegen David Cameron wird eine Untersuchung im Fall der insolventen Greensill Capital eingeleitet. Der Ex-Premierminister von Großbritannien hatte im vergangenen Jahr als Lobbyist für den Finanzdien...
spiegel.de",4,13,49
Gerhard Schick,@SchickGerhard,2021-03-25T10:37:30.000Z,"Sehr berechtigte Kritik von 
@FabioDeMasi
 @florian_toncar
 und 
@DerDanyal
 So etwas darf man sich als Abgeordneter nicht gefallen lassen. Selbst wenn es keine Absicht sein sollte (was mich überraschen würde), verhindert es parlamentarische Kontrolle. #WirecardDanyal Bayaz
@DerDanyal
 · Mar 25
Über 100 Akten werden Last-Minute geliefert. Dabei ist seit Monaten bekannt, dass diese für die #Wirecard-Aufklärung relevant sind. Es entsteht der Eindruck, dass das BMF unsere Arbeit sabotieren möchte. ⁦@FabioDeMasi⁩ ⁦@florian_toncar⁩  https://sueddeutsche.de/bayern/finanzen-berlin-wirecard-ausschuss-vorwuerfe-gegen-finanzministerium-dpa.urn-newsml-dpa-com-20090101-210325-99-965294…",3,11,73
Gerhard Schick,@SchickGerhard,2021-03-24T09:19:03.000Z,"Eine sehr berechtigte Frage von 
@buon_anni
 Was hat das 
@BMF_Bund
 bisher eigentlich gegen die Steuertricks mit Phantomaktien, genannt #CumFake , gemacht? In USA wurden hohen Strafen verhängt und in D?Massimo Bognanni
@buon_anni
 · Mar 24
Die nächste, bitte! Die @SEC_Enforcement hat nun die niederländische Großbank #ABNAmro wegen umstrittener Geschäfte mit ""Phantom-Aktien"" zur Kasse gebeten. Was das mit möglichem #CumEx-Nachfolgemodell #CumFake zu tun haben könnte /1 https://sec.gov/news/press-release/2020-29…
Show this thread",,6,19
Gerhard Schick,@SchickGerhard,2021-03-18T15:52:32.000Z,"Eine sehr gute und mutige Initiative! #Lobbyismus ⁦
@KuehniKev
⁩Kevin Kühnert und fast 50 SPD-Kandidaten wollen alle Nebeneinkünfte spenden
Kevin Kühnert und mehrere Dutzend Genossen reagieren auf die Korruptionsaffäre in der Union: Einem Bericht zufolge verpflichten sie sich für den Fall eines Einzugs in den Bundestag zu vollständiger...
spiegel.de",6,4,37
Gerhard Schick,@SchickGerhard,2021-03-18T11:02:49.000Z,"Glückwunsch zu einer Beförderung, die hart erarbeitet wurde und sehr verdient ist! - und für #CumEx -Kriminelle eine schlechte Nachricht.Cum-Ex-Chefermittlerin Anne Brorhilker wird befördert
Die Kölner Oberstaatsanwältin ermittelt schon seit acht Jahren in Deutschlands größtem Steuerskandal. Nun bekommt sie eine eigene Hauptabteilung im Kampf gegen das Milliardengeschäft.
handelsblatt.com",2,10,81
Gerhard Schick,@SchickGerhard,2021-03-18T08:21:08.000Z,"Beim Staat um Krisenhilfe bitten und für dasselbe Jahr Gewinne ausschütten, das passt nicht zusammen. Helft mit und unterstützt unsere Petition:Petition: Keine Staatshilfen an Aktionäre | Jetzt unterzeichnen!
Viele Unternehmen, die von Staatshilfen profitierten, planen derzeit Gewinne an ihre Eigentümer auszuzahlen. Wir fordern: Erst die Hilfen zurückzahlen!
finanzwende.de",2,37,74
Gerhard Schick,@SchickGerhard,2021-03-05T11:32:35.000Z,"Bei manchen Menschen hätte mich eine solche Verquickung von persönlichen Interessen und Politik überrascht. Hier nicht. #Löbel #CoronaprofiteureCorona-Masken: CDU-Hinterbänkler kassierte 250.000 Euro Provision
Beim Milliardengeschäft mit Schutzmasken haben nach SPIEGEL-Recherchen mehr Parlamentarier mitgemischt als bisher bekannt. Ein CDU-Mann vermittelte Ware einer baden-württembergischen Firma – und...
spiegel.de",9,23,178
Gerhard Schick,@SchickGerhard,2021-03-04T17:27:36.000Z,"Interessante Studie zur #Bilanzpolizei . Genau deswegen müssen solche Interessenkonflikte von Personen in Aufsichtsinstitutionen verhindert werden. Sonst kann man sich Milde einkaufen.Wirecard-Aufsicht: Ungereimtheiten bei der ""Bilanzpolizei"" DPR
DPR-Vertreter sitzen in Aufsichtsräten von Firmen, die ihr Verein überwacht. Geht das ohne Interessenkonflikt? Eine Studie weckt Zweifel.
sueddeutsche.de",,3,15
Gerhard Schick,@SchickGerhard,2021-03-04T15:34:24.000Z,"Guter Text zur Einordnung des nächsten großen Finanzskandals in Deutschland #GreensillDer Greensill-Skandal: Dummes deutsches Geld
Wirecard ist noch längst nicht aufgearbeitet – und schon leistet sich der Finanzplatz Deutschland den nächsten Skandal. Ein Kommentar.
sueddeutsche.de",3,11,28
Gerhard Schick,@SchickGerhard,2021-03-04T06:30:01.000Z,"Leseempfehlung zu #Wirecard : Ich befürchte auch, dass es um mehr geht als Bilanzbetrug und wir vieles erschreckende längst noch nicht wissen, etwa über die Geldwäschefrage. ⁦
@florian_toncar
⁩  ⁦
@FabioDeMasi
⁩ ⁦
@DerDanyal
⁩Wirecard: „Erst die Spitze des Eisbergs“
Die US-Shortsellerin Fahmi Quadir berichtet, dass in den USA offenbar umfangreiche Ermittlungen gegen das Wirecard-Geflecht laufen.
berliner-zeitung.de",3,41,87
Gerhard Schick,@SchickGerhard,2021-02-25T17:35:39.000Z,"Topverdienste in der Finanzbranche, während andere kaum wissen, wie sie über die Runden kommen sollen. 2020 zeigt, wie Teile der Finanzbranche sich komplett von der Realwirtschaft abgekoppelt habenGeld: So viel verdienen Hedgefonds-Manager während der Corona-Pandemie
Sie wissen, wie man mit Geld umgeht: Hedgefonds-Manager! BILD zeigt die weltweite Top Ten. 
bild.de",1,10,27
Gerhard Schick,@SchickGerhard,2021-02-25T16:01:21.000Z,"Bericht gut, Umsetzung offen #SustainableFinance Wenn übliche Mechanismen in der Finanzmarktpolitik wirken, dann werden die Lobbyverbände das noch kräftig verwässern... Danke für gute Zusammenarbeit an 
@christophbals
 A.Schneeweiss 
@KristinaJeromin
 @WWF_Deutschland
 u.a.Germanwatch
@Germanwatch
 · Feb 25
2 Jahre, die sich gelohnt haben!
#SustainableFinanceBeirat übergibt Empfehlungen mit Lenkungswirkung.
So erreichen wir #Klimaziele:
https://sustainable-finance-beirat.de/wp-content/uploads/2021/02/210224_SFB_-Abschlussbericht-2021.pdf…
Freude über Ergebnis & auf #SustainableFinance-Strategie der #Bundesregierung.
Es wird Zeit!
@KristinaJeromin @SchickGerhard",1,4,18
Gerhard Schick,@SchickGerhard,2021-02-25T12:56:52.000Z,"Wie nützlich Hobbyaktionäre für clevere #Hochfrequenzhändler sind und andere Lehren aus #GameStop - ich empfehle die Diskussion “Roulette mit Aktien – Wird die Börse endgültig zur Spielbank?” auf SWR2, an der ich mitgewirkt habeRoulette mit Aktien – Wird die Börse endgültig zur Spielbank?
Günstige Online-Aktienbroker und die Langeweile im Lockdown locken immer mehr Menschen an die Börse. Die sorgen dort immer wieder auch für Kurssprünge. Bestimmen nicht mehr Unternehmenserfolg,...
swr.de",1,7,22
Gerhard Schick,@SchickGerhard,2021-02-18T19:56:26.000Z,"Das alte Spiel 
@BMF_Bund
 : für die Einhaltung der Regeln durch die BaFin hält man sich für nicht  zuständig - trotz Rechts- und Fachaufsicht.Neue Unterlagen: Wirecard-Affäre bringt Scholz in Bedrängnis
Der Untersuchungsausschuss nimmt immer stärker den Finanzminister ins Visier. Es geht um die Verantwortung für fragwürdige Entscheidungen der Bafin.
faz.net",12,46,129
Gerhard Schick,@SchickGerhard,2021-02-15T20:35:31.000Z,"Ich erinnere es etwas anders ⁦
@SchreiberDohms
⁩ : Großer Dank gebührt ⁦
@schneidercar
⁩ , dass sich damals - selten genug! - die für den Steuerzahler bessere Lösung durchsetzte.Hypo Real Estate: FMS Wertmanagement verkauft Depfa-Bank
Die irische Tochter der HRE spielte eine zentrale Rolle in der Finanzkrise. Der Verkauf bringt viel mehr Geld ein als einst gedacht.
sueddeutsche.de",1,2,15
Gerhard Schick,@SchickGerhard,2021-02-02T18:08:49.000Z,"So jemand bräuchten wir für die #BaFin Jemand, der Ahnung hat und die Bereitschaft und den politischen Auftrag, hart durchzugreifenUS-Börsenaufsicht SEC: Gary Gensler ist Joe Bidens Wolf für die Wall Street
Reich geworden bei Goldman Sachs, dennoch Lichtgestalt für die Linke: Gary Gensler soll als künftiger Chef der US-Börsenaufsicht hart durchgreifen – und Spekulationsblasen wie bei GameStop ein Ende...
spiegel.de",3,13,50
