User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
BÜNDNIS 90/DIE GRÜNEN,@Die_Gruenen,2021-05-12T07:08:34.000Z,"Ohne #Pflegepersonal geht nichts – nicht nur während der #Pandemie. Aber die wertvolle Arbeit von #Pflegekräften wird nicht gewürdigt. Stattdessen müssen sie unter widrigsten Bedingungen – Personalmangel, geringes Gehalt, schlechte Ausstattung – arbeiten. Wir wollen das ändern ",32,50,350
Dorothea Mohn,@DorotheaMohn,2021-05-10T13:42:05.000Z,"#Union torpediert BMF #Pläne für das #Vergleichsportal für #Bankgebühren. Auch für 
@Schmidt_MdB
 und 
@vzbv
 ist ein öffentlich-rechtlicher Anbieter für den Girokontenvergleich die einzige verbraucherfreundliche Lösung.Vergleichsportal für Bankgebühren: Union torpediert die Pläne des Finanzministeriums
Die Diskussion um das Vergleichsportal für Bankentgelte nimmt kein Ende. Die Finanzaufsicht Bafin wird das Angebot nun doch nicht aufbauen.
handelsblatt.com",2,6,13
Grüne im Bundestag,@GrueneBundestag,2021-05-07T13:35:16.000Z,"Klimaschutz ist nicht einfach nur Umweltpolitik. Klimaschutz ist: Sozialpolitik, Industriepolitik und Sicherheitspolitik – #KlimaschutzIstJetzt!
@ABaerbock
 erklärt unseren Plan für konsequenten Klimaschutz in Deutschland ",39,42,204
Grüne im Bundestag,@GrueneBundestag,2021-05-07T07:48:19.000Z,"#KlimaschutzIstJetzt: Wir dürfen nicht länger warten! 

Um die Klimakrise in den Griff zu kriegen, braucht es jetzt wirksame Maßnahmen. Unser Angebot 
https://dip21.bundestag.de/dip21/btd/19/292/1929294.pdf…",65,90,227
Stefan Schmidt,@Schmidt_MdB,2021-05-03T09:36:33.000Z,"Ist die Infrastruktur erst einmal kaputt gespart, lässt sich das Rad nicht zurückdrehen: Bund und Länder müssen Kommunen jetzt bei ihren Steuerausfällen unterstützen #kommunalfinanzen 
@competitionline",,,3
Annalena Baerbock,@ABaerbock,2021-05-01T11:23:26.000Z,"Solidarität heißt nicht nur angemessener Lohn, sondern auch gute Arbeitsbedingungen - in allen Branchen. #TagDerArbeit #SolidaritaetIstZukunft",519,399,5.2K
Stefan Schmidt,@Schmidt_MdB,2021-05-01T10:48:25.000Z,"Menschenwürdige und gute Arbeit für alle ist möglich und nötig. 
#SolidaritaetIstZukunft  #TagderArbeitBÜNDNIS 90/DIE GRÜNEN
@Die_Gruenen
 · May 1
Aus unserem Entwurf für ein Bundestagswahlprogramm #btw21:
 gesetzlichen Mindestlohn auf 12 Euro anheben
 ohne sachlichen Grund keine Befristung von Arbeitsverträgen mehr
 Tarifverträge und starke Mitbestimmung für mehr Beschäftigte
 Recht auf Homeoffice
#TagDerArbeit
Show this thread",1,,3
Stefan Schmidt,@Schmidt_MdB,2021-04-30T09:26:01.000Z,"Es ist unerträglich, dass die #Kommunen betteln müssen: Es braucht endlich neue Hilfen, um ihre Handlungsfähigkeit zu sichern. Städte und Gemeinden verantworten schließlich über die Hälfte der Investitionsausgaben. 
@Gemeindebund
 @staedtetagHandelsblatt
@handelsblatt
 · Apr 29
Die Städte und Gemeinden fordern von der Bundesregierung Milliardenhilfen in der Corona-Pandemie. Ansonsten drohten Kürzungen bei den Investitionen. Das bereitet auch der Bauindustrie Sorgen. https://handelsblatt.com/politik/deutschland/teure-corona-folgen-prekaere-finanzlage-kommunen-fordern-zweiten-rettungsschirm/27144546.html?ticket=ST-1485746-49Nvc09BmrQmjJLXvXeb-ap4&utm_term=organisch&utm_campaign=standard&utm_medium=social&utm_content=ne&utm_source=Twitter#Echobox=1619709166…",,,3
BÜNDNIS 90/DIE GRÜNEN,@Die_Gruenen,2021-04-29T17:33:49.000Z,"Es braucht ein Klimaschutzsofortprogramm:
 bis Mitte des Jahrzehnts jährl. doppelt so viel an Erneuerbaren ausbauen
 schneller aus der Kohle raus
 ab 2030 nur noch emissionsfreie Autos neu zulassen
 CO2-Preis, der Investitionen in klimaneutrale Produktionsweisen belohnt",18,26,286
Stefan Schmidt,@Schmidt_MdB,2021-04-30T06:35:40.000Z,"Mein April-Newsletter ist raus: Bundesnotbremse, grauer Kapitalmarkt, bayerische Landesdelegiertenkonferenz, Tunnel-Gutachten.  http://169431.seu2.cleverreach.com/m/12715117/",,,
Stefan Schmidt,@Schmidt_MdB,2021-04-29T09:18:14.000Z,"Wirklich revolutionär. Ein rechtzeitiger Übergang zu #Klimaneutralität ist Voraussetzung für die Wahrung der Freiheit künftiger Generationen.  #Klimaschutzgesetz #BundesverfassungsgerichtDanyal Bayaz
@DerDanyal
 · Apr 29
Das #Bundesverfassungsgericht hat soeben nichts weniger getan, als den Freiheitsbegriff neu zu deuten: Die #Freiheit von heute wird mit der Freiheit künftiger Generationen ins Verhältnis gesetzt. Das liest sich für mich so bestechend logisch wie revolutionär. #klimaschutzgesetz",,,2
Stefan Schmidt,@Schmidt_MdB,2021-04-29T06:57:59.000Z,"Die Debatte über die #Ungleichheit muss raus aus den ideologischen Schützengräben und rein in die Gesellschaft. #Reichtum #Gerechtigkeit
https://rnd.de/politik/wer-hat-der-gibt-bundnis-fordert-hohere-steuern-fur-reiche-offener-brief-an-bundesregierung-7YLLINLDCRHLTEIRHEZXQ6446M.html… via 
@RND_de„Wer hat, der gibt“: Bündnis fordert höhere Steuern für Reiche – offener Brief an Bundesregierung
Das Bündnis „Wer hat, der gibt“ wendet sich in einem offenen Brief an die Bundesregierung. Darin fordern mehr als 100 Künstler, Wissenschaftler und zivilgesellschaftliche Organisationen „eine...
rnd.de",,1,1
Klaus Müller,@Klaus_Mueller,2021-04-28T18:32:18.000Z,"„Kalt erwischt“? Nein, schon 2017 hat der 
@vzbv
 das Gespräch mit der Deutschen Kreditwirtschaft gesucht, bevor er geklagt hat. ⁦Sie wollten aber weiterhin den bequemen, intransparenten und verbraucherunfreundlichen Weg gehen. 
@siedenbiedel
 ⁦
@faznetBGH-Urteil: Desaster für die Banken
Die jüngste Entscheidung des Bundesgerichtshofs zu Girokonten könnte erhebliche Konsequenzen für Deutschlands Banken haben. Die Institute wurden kalt erwischt.
faz.net",2,6,12
Stefan Schmidt,@Schmidt_MdB,2021-04-28T07:12:41.000Z,"Keine Vertrags- und Preisanpassungen mehr durch die Hintertür! 
Ich freue mich über das Urteil des #BGH im Sinne des Verbraucherschutzes!Verbraucherzentrale
@vzbv
 · Apr 27
Der #BGH hat heute nach Klage des @vzbv geurteilt: Banken müssen Vertrags- und Preisanpassungen bereit klar und nachvollziehbar in den AGB regeln. - ""Gutes Urteil mit Signalwirkung für die Bankenbranche"", kommentiert @vzbv-Vorstand @Klaus_Mueller https://vzbv.de/urteile/bgh-weist-banken-die-schranken…",,1,8
Grüne im Bundestag,@GrueneBundestag,2021-04-21T09:23:46.000Z,"Es ist richtig, dass nun endlich zumindest eine bundeseinheitliche #Notbremse beschlossen wird. 

Aber diese Notbremse reicht nicht aus.

Die Verhandlungen für ein Paket mit entschlosseneren Maßnahmen, die die dritte Welle wirksam bremsen, müssen jetzt unverzüglich weitergehen.",284,202,1.4K
Klaus Müller,@Klaus_Mueller,2021-04-20T10:53:13.000Z,"Für mich der zentrale Satz des Gutachtens der #Verbraucherschutz-Weisen: So besteht ""die Tendenz, neuartigen Fragen und aktuellen Problemfeldern mit immer neuen Informationspflichten zu begegnen. Der #SVRV sieht diese Neigung, strukturelle Probleme zu negieren, kritisch"". 
@vzbvBM der Justiz und für Verbraucherschutz and 9 others",1,11,19
Dorothea Mohn,@DorotheaMohn,2021-04-19T12:36:43.000Z,"Weitere Maßnahmen sind erforderlich. 
@FDP
/
@f_schaeffler
 und 
@Die_Gruenen
/
@Schmidt_MdB
 sprechen sich für eine „cooling of“-Phase aus und unterstützen damit eine Forderung des vzbv, die Kreditvergabe und den Verkauf von Restschuldversicherungen zeitlich zu entkoppeln. 
@vzbvDorothea Mohn
@DorotheaMohn
 · Apr 19
Mit dem Provisionsdeckel wird das Ende der Sittenwidrigkeit wegen erhöhter Provisionen bei Restschuldversicherungen eingeleitet. Ein wichtiger Zwischenschritt!
https://bundestag.de/ausschuesse/a07/Anhoerungen/833322-833322… @vzbv",,6,7
