User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
"Jörg Schneider, MdB",@Schneider_AfD,2021-05-01T11:03:56.000Z,"Nur wer Zuwanderung steuert, kann den Sozialstaat erhalten und stärken! #1Mai #1Mai2021 https://facebook.com/JoergSchneiderMdB/photos/a.1575835505820688/5307110792693122/…Alternative für  Deutschland and 2 others",5,91,205
AfD_Muenster,@AfD_Muenster,2021-05-14T18:10:10.000Z,"Replying to 
@Schneider_AfD
 @AlternativeNRW
 and 13 othersAuch hier herzlichen Glückwunsch zum Geb., Jörg!| Zu den Kandidaten: diese sind Garanten für einen erfolgreichen Wahlkampf, v.a. online! Die Genannten ließen das Basis-Netzwerk der #AfD-Social-Media-Aktiven nie im Stich. Danke! Gemeinsam für #Deutschlandabernormal! #NRW #AfDNRW",8,70,104
Anna liebt Züge,@BaerlochAnna,2021-05-14T18:28:32.000Z,"Replying to 
@AfD_Muenster
 @Schneider_AfD
 and 22 othersAlles Gute ",,7,17
Der Chauffeur,@Chef_Fahrer,2021-05-14T18:12:18.000Z,"Replying to 
@AfD_Muenster
 @Schneider_AfD
 and 21 othersDamit es wieder aufwärts geht mit  #Deutschland  #deutschlandabernormal 
Für ein Land in dem WIR  gerne leben 
#AfD #NRWAfD",,4,19
"Jörg Schneider, MdB",@Schneider_AfD,2021-05-14T17:41:40.000Z,"Nach #Berlin mit einem starken Team. #deutschlandabernormal #AfDwirkt #AfD #Aufstellungsversammlung #Landeswahlversammlung #Wahlversammlung #NRWAfD #AfDNRW #NRW #Siegen #Gelsenkirchen #Bundestag 
@AlternativeNRW
 @AfD_GE
 @AfDBochum
 @afd_so
 @AfD_Muenster
 https://facebook.com/JoergSchneiderMdB/photos/a.1590246357712936/5376265595777641/…Berengar Elsner von Gronow, MdB and 9 others",2,32,83
Martin Schiller,@1MartinSchiller,2021-05-12T19:56:05.000Z,Es trifft die Klein- und Mittelständler mit voller Wucht. Schon vor #Corona stöhnten die Unternehmer unter der Abgabenlast. Die jetzige Situation geht an die ausgeMERKELten Finanzreserven unseres Mittelstands. #Coronabestimmungen #Münster #NRW #AfD #AfDNRW https://facebook.com/martinschillermuenster/posts/2714881068802861…AfD_Muenster and 9 others,3,281,431
Junge Freiheit,@Junge_Freiheit,2021-05-14T09:03:39.000Z,"#Linksextreme Gruppierungen wetteifern mit Straftaten um Punkte für den „Riot Award“. Auch für Attacken auf Polizisten und politische Gegner gibt es Punkte. Bundespolizeipräsident Dieter Romann äußert sich empört.Bundespolizeichef reagiert empört auf linksextreme „Riot Awards“
Linksextreme Gruppierungen wetteifern mit Straftaten um Punkte für den „Riot Award“. Auch für Attacken auf Polizisten und politische Gegner gibt es Punkte. Bundespolizeipräsident Dieter Romann äußert...
jungefreiheit.de",4,37,73
AfDFilme,@AfDFilme,2021-05-14T11:05:35.000Z,"Replying to 
@PiperattheGate3Achten wir mal darauf, welcher der Kandidaten Dich als Bürger NICHT unterstützt (das Mindeste: Retweet und Like). Warten wir mal einige Stunden. Dann sehen wir, wem das ein Herzensanliegen ist. Dies gilt es dann morgen u übermorgen zu berücksichtigen. #Migration #AfD #NRW #AfDNRW",2,9,20
Der Chauffeur,@Chef_Fahrer,2021-05-14T16:15:56.000Z,"Replying to 
@AfDFilme
 and 
@PiperattheGate3Am besten im September wählen viele Bürger die Abgeordneten der  #AfD Die wissen hoffentlich was gut für  #Deutschland und Ihre Bürger ist. 
Sicherlich keine  illegale und weitere  #Migration 
#deutschlandabernormal",1,6,16
Joseph Hellmesberger,@JHellmesberger,2021-05-14T11:47:07.000Z,"Replying to 
@PiperattheGate3Nicht nur wegen des Corona-Tamtams bleibt es eine Frage, wie eine Regierung, die das Interesse des eigenen Volkes auch nur einen Moment lang sieht, solch eine Entscheidung treffen kann. Es werden auch viele Antisemiten hereingelassen, die aktuell wieder zeigen, wer ihr Feind ist.",,3,13
