User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
"Sevim Dağdelen, MdB",@SevimDagdelen,2021-05-13T18:56:41.000Z,"Wer auf #Synagogen marschiert oder sie angreift, lässt einfach nur seinem #Antisemitismus freien Lauf und ist ein Fall für die Staatsanwaltschaft. Für diese unerträglich antisemitischen Angriffe kann es weder eine Rechtfertigung noch Entschuldigung geben. 
#Gelsenkirchen",2,19,80
Bernie Sanders,@SenSanders,2021-05-11T20:32:47.000Z,I am extremely concerned by the growing conflict in Israel and Palestine. Once again we are seeing how the irresponsible actions of government-allied right-wing extremists in Jerusalem can escalate quickly into devastating war.,2.4K,9.9K,60.7K
"Sevim Dağdelen, MdB",@SevimDagdelen,2021-05-10T11:10:18.000Z,"Was für ein Zynismus: Für die Länder des Südens ist es leichter an deutsche Waffen zu kommen als an deutschen Impfstoff. 

#Patentfreigabe #TRIPSwaiver #Impfstoffe #Merkel #Union #SPD  #BundesregierungEU und Merkel gegen Freigabe von Patenten
Seit Tagen wird über eine befristete Freigabe von Patenten für Corona-Impfstoffe diskutiert, um so die Produktion zu beschleunigen. Die Europäische Union und die Bundeskanzlerin gehen auf Distanz.
dw.com",2,12,41
"Sevim Dağdelen, MdB",@SevimDagdelen,2021-05-09T14:56:43.000Z,"Wer am #TagdesSieges nicht feiert, hat verloren! 
Спасибо! Thank you! Merci! Dank euch, ihr Sowjetsoldaten! 

Die Millionen Opfer des faschistischen Raub- und Vernichtungskriegs bleiben unvergessen. Ihrer gilt es auf immer würdig zu erinnern.
#NieWiederKrieg #NieWiederFaschismus",4,24,134
Jan Korte,@jankortemdb,2021-05-08T06:56:41.000Z,Leider aktuell: Der größte Lump im ganzen Land ist und bleibt der Denunziant. Gilt auch für den eigenen Laden.,42,34,290
"Sevim Dağdelen, MdB",@SevimDagdelen,2021-05-07T10:05:11.000Z,"Welch große Geschichtsvergessenheit: Der 
 Überfall auf die #Sowjetunion jährt sich zum 80. Mal. Doch die #Bundesregierung will nicht mit einem Gedenkakt an die Verantwortung 
 erinnern, der #Bundestag auch nicht. 
#Linke für ein würdiges Gedenken:Für ein würdiges Gedenken – Dank euch, ihr Sowjetsoldaten!
Sevim Dagdelen zu 80 Jahre Überfall auf die Sowjetunion. Welch große gefährliche Geschichtsvergessenheit: Am 22. Juni jährt sich der faschistische Überfall auf die Sowjetunion zum 80. Mal. Doch weder...
linksfraktion.de",17,42,122
linksfraktion,@Linksfraktion,2021-05-06T11:00:00.000Z,"+ + + Heute Abend namentliche Abstimmung im Bundestag + + + 
@jankortemdb
: Biden macht Unterschied zu Trump. Bundesregierung hat null Ausreden mehr. Keine Profitinteressen, Parteispenden und Abendessen mit Spahn dürfen im Weg stehen: Gebt die Patente frei! https://linksfraktion.de/themen/nachrichten/detail/patente-freigeben-nibelungentreue-zur-pharmaindustrie-aufgeben/…",27,77,382
"Sevim Dağdelen, MdB",@SevimDagdelen,2021-04-28T09:08:53.000Z,"Wer zahlt die Kosten der Krise? #Vermögensabgabe ?#Vermögenssteuer ? Erhöhung des Rentenalters, wie von Teilen der Union gefordert o. eine Mehrwertsteuererhöhung? Welche Konzepte tragen gegen die zunehmende Ungleichheit?Freue mich auf 
@UlrichSchneider
 @Fried_julia
 & 
@FabioDeMasi",8,22,77
"Sevim Dağdelen, MdB",@SevimDagdelen,2021-05-02T10:08:20.000Z,"⁦
@noz_de
⁩ berichtet exklusiv über meine Anfrage zu Kosten der Stationierung ausländischer Truppen in 
: mehr als 108 Mio. im letzten Jahr! 
Ich bleibe dabei wie die Mehrheit der Bevölkerung: US-Truppen samt #Atomwaffen aus 
 und Europa abziehen!Ausländische Truppen kosten den Bund mehr als 108 Millionen Euro
Osnabrück (ots) - Ausländische Truppen kosten den Bund mehr als 108 Millionen Euro Vor allem US-Streitkräfte profitieren davon - Linken-Abgeordnete Dagdelen kritisiert...
presseportal.de",13,34,69
"Sevim Dağdelen, MdB",@SevimDagdelen,2021-04-27T19:01:24.000Z,"‚Die #Türkei zählt als Profitzentrum deutscher Konzerne & geopolitisches Sprungbrett für den Nahen Osten. Damit das in Zukunft noch besser wird, ist die Bureg die treibende Kraft für eine Erweiterung der #Zollunion’ mein Fazit in der 
@jungewelt
 #KobaniErdogans Pakt
Türkei und islamistischer Terror
jungewelt.de",2,14,30
