User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Stephan Brandner,@StBrandner,2021-05-13T19:01:35.000Z,"Bundesregierung schmeißt über zwei Millionen Euro für peinliche Corona-Helden-Videos an #Staatsclowns raus!
https://brandner-im-bundestag.de/berlin/brandner-afd-bundesregierung-schmeisst-ueber-zwei-millionen-euro-fuer-peinliche-corona-helden-vid.html…
#AfD #Thüringen
#Deutschlandabernormal!
 
#wirholendasDirektmandat
#Gera #Greiz #AltenburgerLand #WK194 #Berlin #Bundestag #BrandnerBrandner (AfD): Bundesregierung schmeißt über zwei Millionen Euro für peinliche Corona-Helden-Vid...
brandner-im-bundestag.de",18,11,36
Stephan Brandner,@StBrandner,2021-05-13T18:46:29.000Z,"Wo gibt es verlogeneren/ verschweigenderen und teureren #Staatsfunk als in Deutschland 
?",59,78,328
Stephan Brandner,@StBrandner,2021-05-13T14:08:50.000Z,"#Meinungsfreiheit kennen viele nur noch aus dem #Geschichtsunterricht! Gegen #Zensur und #Löschzwang – für #Freiheit, #Demokratie, #Grundrechte!
https://youtu.be/l4teAlhplGw
#AfD #Thüringen
#Deutschlandabernormal!
 
#wirholendasDirektmandat
#Gera #WK194 #Berlin #Bundestag #Brandner",47,21,74
Stephan Brandner,@StBrandner,2021-05-13T12:29:51.000Z,"Neulich im #Reichstag...
#AfD #Thüringen
#Deutschlandabernormal!
 
#wirholendasDirektmandat
#Gera #Greiz #AltenburgerLand #WK194 #Berlin #Bundestag #Brandner",26,7,29
Stephan Brandner,@StBrandner,2021-05-13T12:27:35.000Z,"#AfD #Thüringen
#Deutschlandabernormal!
 
#wirholendasDirektmandat
#Gera #Greiz #AltenburgerLand #WK194 #Berlin #Bundestag #Brandner",15,10,49
Stephan Brandner,@StBrandner,2021-05-13T12:06:59.000Z,"Verfassungsschutzmanöver gegen die AfD in Thüringen ist durchschaubarer Wahlkampf für die SPD!
https://brandner-im-bundestag.de/thueringen/brandner-afd-verfassungsschutzmanoever-gegen-die-afd-in-thueringen-ist-durchschaubarer-wahlkampf.html…
#AfD #Thüringen
#Deutschlandabernormal!
 
#wirholendasDirektmandat
#Gera #Greiz #AltenburgerLand #WK194 #Berlin #Bundestag #BrandnerBrandner (AfD): Verfassungsschutzmanöver gegen die AfD in Thüringen ist durchschaubarer Wahlkampf...
brandner-im-bundestag.de",18,6,39
Stephan Brandner,@StBrandner,2021-05-12T16:23:55.000Z,"Stadtrat in der #GewinnerStadt (mit Ausgangsberechtigung nach 22 Uhr
). Ging los mit blödsinnigem Antrag von Grün
 - hoffentlich geht’s so nicht weiter.
#AfD #Thüringen
#wirholendasDirektmandat
#Gera #Greiz #AltenburgerLand #WK194 #Berlin #Bundestag #Brandner",12,7,42
Stephan Brandner,@StBrandner,2021-05-12T10:54:20.000Z,"„Es ist einer Demokratie unwürdig, dass ein Behördenleiter, der in FDP und CDU war und nun in der SPD ist,sein Amt schamlos ausnutzt,um Parteipolitik zu betreiben und um sich ein Mandat im Bundestag zu sichern.“
Ganze PM hier:
https://instagram.com/p/COxSVx2tget/?igshid=9rfztuwcso3b…
#Berlin #Bundestag #Brandner",41,77,192
Grundrechte retten,@Grund_gesetzt,2021-05-12T07:40:12.000Z,"Millionen in Deutschland verlieren ihre Existenzgrundlage.
Herzinfarkte, Schlaganfälle unversorgt. Krebsvorsorge vernachlässigt. Bildung ein Witz geworden. Weltweit hunderte Millionen Hungernde mehr ..aber der „Spiegel“ rechtfertigt seine Panik-Prognosen.Corona-Horror-Zahlen: „Spiegel“ rechtfertigt Panik-Prognosen
Hat der „Spiegel“ in der Pandemie bewusst mit Prognosen Angst schüren wollen? Aussagen des Wissenschaftsressorts deuten darauf hin.
m.bild.de",13,65,191
Stephan Brandner,@StBrandner,2021-05-12T09:02:18.000Z,"Wenn #Grüne #AfD-Anträgen zugestimmt haben... wird die Abstimmung einfach von Claudia Roth
 wiederholt. Solange, bis es paßt...",22,69,177
FOCUS Online,@focusonline,2021-05-12T08:39:14.000Z,"Attacke am Hauptbahnhof - Männergruppe prügelt mit Metallstange auf Opfer ein
Mit dem Bild aus einer Überwachungskamera fahndet die Bundespolizei nach einem Tatverdächtigen, der zusammen mit drei weiteren Männern einen 21-Jährigen aus Neu Isenburg lebensbedrohlich verletzt...
focus.de",15,10,14
Stephan Brandner,@StBrandner,2021-05-12T06:11:06.000Z,"Messerattacke in #Greiz lückenlos und transparent aufklären!
https://brandner-im-bundestag.de/thueringen/brandner-afd-messerattacke-in-greiz-lueckenlos-und-transparent-aufklaeren.html…
#AfD #Thüringen
#Gera #AltenburgerLand #WK194 #Berlin #Bundestag #BrandnerBrandner (AfD): Messerattacke in Greiz – lückenlos und transparent aufklären!
brandner-im-bundestag.de",18,4,38
