User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Stefan Kaufmann,@StefanKaufmann,2021-05-13T16:53:23.000Z,"Heute fallen #ChristiHimmelfahrt und das Ende des #Ramadan
 zusammen. Grund zum Feiern! Uns allen ein schönes Fest - in Toleranz und gegenseitigem Respekt. Gerne habe ich dieser Tage an einem virtuellen Fastenbrechen teilgenommen. #EidMubarak",2,1,40
Stefan Kaufmann,@StefanKaufmann,2021-05-13T07:43:24.000Z,"Ein morgendlicher Blick nach London kann nicht schaden. Schönen Feier- bzw. Vatertag allseits! #hydrogen #WasserstoffTom Bowell
@thomasbowell
 · May 12
Good ride on London's first hydrogen fuel cell double deck buses - first of which entered service today, between Oxford Circus & East Acton - operated by @MetrolineH from their garage in Perivale. This £12 million project will see 20 of these enter service on route 7. Nice buses!
Show this thread",3,1,20
Stefan Kaufmann,@StefanKaufmann,2021-05-12T16:06:11.000Z,"Vorstellung der Erg. der Denkfabrik #FactoryWisskomm des 
@bmbf_bund
 zu Wissenschaftsjournalismus iR der intern. Lecture-Reihe ""Science Journalism in The Digital Age"". Habe gerne als Berichterstatter für das Thema #Wissenschaftskommunikation der 
@cducsubt
 Statement abgegeben.",,,7
Stefan Kaufmann,@StefanKaufmann,2021-05-11T17:49:08.000Z,"Danke 
@axel_knoerig
 für die Einladung in Deinen Wahlkreis! Ich freue mich, dass auch in der Region Diepholz-Nienburg viele Unternehmen an Lösungen für unsere  #Wasserstoff-Zukunft arbeiten. Im Fokus: Mobilität & regionale #H2-Erzeugung aus EE. #Deutschlandtour #GreenHydrogen",,2,13
Stefan Kaufmann,@StefanKaufmann,2021-05-11T14:08:31.000Z,"Herzlichen Dank für die gute Diskussion und das Engagement der 
@EWE_AG
 in Sachen Wasserstoff!Christian Bloemer
@ChrBloemer
 · May 10
Grüner #Wasserstoff als GameChanger - Politik besucht geplanten Wasserstoffhub von @EWE_AG und @UniperGermany: Nds Wissenschaftsmin. #BjoernThuemler Innovationsbeauftr. Grüner Wasserstoff @BMBF_Bund @StefanKaufmann UniperCEO #DavidBryson und EWE-CEO @DohlerStefan @LeifaufSendung",1,2,12
Stefan Kaufmann,@StefanKaufmann,2021-05-10T16:23:42.000Z,"Die #Segnungsgottesdienste auch für gleichgeschlechtliche Paare freuen mich. Vielen Dank für diesen wundervollen Akt der #Nächstenliebe in vielen deutschen katholischen Kirchen! Denn: #liebegewinnt #queer #ehefüralle https://queer.de/detail.php?article_id=38826… 
@dbk_onlineAkt des Ungehorsams: Priester segnen gleichgeschlechtliche Paare
Der Vatikan hat Segnungen schwuler und lesbischer Ehepaare wegen ihrer sexuellen Orientierung verboten – doch viele katholische Gläubige in Deutschland verweigern den Gehorsam: ""Macht den Mund auf...
queer.de",,3,21
Stefan Kaufmann,@StefanKaufmann,2021-05-05T14:28:23.000Z,"Und noch mehr zum Thema #Wasserstoff ... 
 #Import #Innovationsbeauftragterenergate_de
@energate_de
 · May 5
Um die Nachfrage zu decken, wird Deutschland den Großteil des #Wasserstoffs importieren müssen. Dennoch ist auch der Aufbau eigener Elektrolysekapazitäten sinnvoll und wichtig, betonte @StefanKaufmann, Innovationsbeauftragter der Bundesregierung.
https://energate-messenger.de/themen/wasserstoff…",1,3,18
Stefan Kaufmann,@StefanKaufmann,2021-05-05T10:48:52.000Z,"Für jene, die (noch oder wieder) an der Zukunft der #Brennstoffzelle im LKW zweifeln. Mein Credo: wir müssen in Deutschland die Zukunft schon heute vorbereiten - und nicht nur den Markt abwarten. #HydrogenErfolgreich mit Wasserstoff: Täglich 10.000 Lkw-Kilometer in der Schweiz
In der Schweiz fahren jetzt 38 Wasserstoff-Lkw von Hyundai. Bis 2025 sollen es 1.000 Brennstoffzellenfahrzeuge sein.
eurotransport.de",11,5,37
Stefan Kaufmann,@StefanKaufmann,2021-05-05T09:31:45.000Z,"Abschluss des Webinars „Tunisian German Green #Hydrogen“ der 
@TUHamburg
, des Tunesischen Ingenieurvereins, des VDI Hamburg und der 
@HOOUHamburg
. Mit dabei auch die beiden Botschafter. Tunesien hat als #MENA-Staat großes Interesse und Potential, #H2-Exporteur zu werden. 
@VDI_News",,1,12
Stefan Kaufmann,@StefanKaufmann,2021-05-04T16:06:13.000Z,"Opel geht voran. Noch einmal: es geht um Optionen. Um Technologieoffenheit. Und auch um Wertschöpfung im Land.Vorstandschef Lohscheller verrät Opels Pläne mit Brennstoffzellen: Ende 2021 gehen in Rüsselsheim...
Neben Elektro setzt Opel auch auf Brennstoffzellen. Laut Opel-Chef Lohscheller gehen erste Wasserstoff-Autos noch in diesem Jahr in Serie.
businessinsider.de",9,3,21
Stefan Kaufmann,@StefanKaufmann,2021-05-04T05:06:46.000Z,"Entdeckung des Tages: Mini-Elektrolyseur für den Garten 
 Einen wunderschönen guten Morgen allseits aus dem Flieger nach Berlin!Wasserstoff aus dem eigenen Garten - Forscher entwickeln kleine Windanlagen mit Wasserstoff-Elekt...
Minikraftwerke für alle: Künftig könnten auch Privathaushalte klimafreundlichen Wasserstoff für den Eigengebrauch produzieren – die Technik dafür
scinexx.de",,1,23
Stefan Kaufmann,@StefanKaufmann,2021-05-03T20:29:15.000Z,"Vielen Dank 
@LSU_Bund
 für die Einladung zum #LSUTalk und den guten & wichtigen Austausch u.a. über das #Transsexuellengesetz und #Blutspendenverbot. Für die letzten Monate vor der #Wahl heißt es jetzt: Ziele der Koalition umsetzen. besonders im Fokus: #Reform TSG und Art. 3 GG.",1,,9
Stefan Kaufmann,@StefanKaufmann,2021-05-03T10:59:19.000Z,"Sehr gerne habe ich soeben eine kurze Welcome Address anlässlich des Workshops zum #H2AtlasAfrica gehalten - eine Kooperation des 
@BMBF_Bund
 mit afrikanischen Partnern in der Subsahara-Region zu #GreenH2. Vielen Dank für die Einladung! Mehr dazu: 
https://h2atlas.de/de/",,1,11
