User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Britta Haßelmann,@BriHasselmann,2021-05-14T06:41:06.000Z,"So ist Politik von CDU/CSU & SPD: nach dem #BVerG-Urteil zum #Klimaschutzgesetz schnell noch ankündigen,die Klimaziele zu schärfen ohne jedoch den Weg dahin aufzuzeigen,ohne klare Umsetzungsschritte & konkrete Maßnahmen zu benennen.Dabei ist Handeln jetzt.Klimaschutz: Schöne Ziele, aber keine Wege dorthin
Im Eiltempo schrauben Union und SPD die deutschen Klimaziele hoch. Doch damit allein ist noch kein Gramm Kohlendioxid eingespart.
sueddeutsche.de",2,19,74
Konstantin v. Notz,@KonstantinNotz,2021-05-13T07:10:17.000Z,"Ich bin ein frommer Mensch und finde,Religion,Weltanschauung und säkulare Überzeugungen gehören sichtbar in unsere Gesellschaft und unser Leben.Jesus Christus mit einem Parteilogo zu versehen und mit Wahlkampfsymbolik einzukringeln,ist allerdings im besten Fall geschmacklos. #CDU",208,312,2.7K
Konstantin v. Notz,@KonstantinNotz,2021-05-12T18:32:32.000Z,"Sich manipulativ einen politischen Vorteil in einem Bundestagswahlkampf verschaffen zu wollen, während Israel angegriffen, Jüdinnen und Juden angefeindet und jüdisches Leben in Deutschland attackiert wird, ist das politisch das Schäbigste,was ich in langer Zeit gesehen habe. #CSU",20,78,646
Omid Nouripour,@nouripour,2021-05-12T16:15:44.000Z,"Replying to 
@MarkusBlumeLieber Herr Blume, Ihre Umfrageergebnisse im allen Ehren: können Sie bitte aufhören, das wichtige Thema unserer unverbrüchlichen Verpflichtung für Israel, zu der alle demokratischen Kräfte in unsere Land stehen müssen, mit Fakenews in d Wahlkampf zu ziehen? #WeAllStandwithIsrael",12,63,834
SteffiLemke,@SteffiLemke,2021-05-10T20:15:57.000Z,"Oh. 
@reinerhaseloff
 erklärt hier, dass die Bundesregierungsnotbremse dazu führt, dass er in 4 Wochen Wählerstimmen verlieren wird. Wenn das mal nicht dazu führt, dass er Wählerstimmen verliert. RND
@RND_de
 · May 10
Knapp drei Wochen nach ihrer Verabschiedung kritisiert Sachsen-Anhalts Ministerpräsident Reiner #Haseloff die Bundes-#Notbremse scharf. Die bundesweiten Corona-Regeln hätten der #AfD geholfen. https://rnd.de/politik/haseloff-bundes-notbremse-hat-einen-schub-fuer-die-afd-gebracht-6G5UXMC65REGYMOXSXUZ5FGHPU.html…",,7,29
Sven Lehmann MdB,@svenlehmann,2021-05-08T14:17:57.000Z,"Den Wahlkampf 2017 als Kandidat im Kölner Süden habe ich als sehr fair in Erinnerung. Das lag auch an 
@HHirte
, der damals das Direktmandat gewann. Heute hat seine CDU ihn nicht wieder nominiert. Ich möchte mich bei ihm ausdrücklich für das stets kollegiale Miteinander bedanken!",15,30,485
René Engel,@Engel_Re,2021-05-07T20:28:46.000Z,"CSU-Generalsekretär 
@MarkusBlume
 heute (!) im Merkur-Interview: “Was die Grünen im Moment machen (..) ist toxisch für Deutschland.”

Auch heute:Markus Grill
@m_grill
 · May 7
Exklusiv: Die Tochter des ehem. CSU-Politikers Gerold #Tandler hat einen der größten Maskendeals mit deutschen Ministerien eingefädelt. Sie hat dafür wohl mehr als 30 Mio Euro Provision bekommen. #Emix #Spahn #Hohlmeier #FFP2. Recherche von #NDRWDRSZ  https://tagesschau.de/investigativ/ndr-wdr/maskengeschaefte-provisionen-105.html…",4,126,802
phoenix,@phoenix_de,2021-05-07T12:45:41.000Z,"#KlimaZiel|e ohne Lösungswege? ""Wer einen  Wald verspricht, muss auch 
 Bäume pflanzen"", mahnt 
@ABaerbock
 @die_gruenen
. Es brauche eine Ressort übergreifende #Politik für den #KlimaSchutz. Die #KanzlerKandidatin von 
@die_gruenen
 ruft zum gemeinsamen Handeln auf.",80,103,458
SteffiLemke,@SteffiLemke,2021-05-07T11:06:12.000Z,"Klimaschutzdebatte in https://bundestag.de beginnt jetzt.Grüne im Bundestag
@GrueneBundestag
 · May 7
Um den 1,5-Grad-Pfad zu erreichen, muss der #Klimaschutz in Deutschland jetzt nach ganz oben auf die Tagesordnung.

Dafür bringen wir gleich einen Antrag ein, um noch in dieser Legislaturperiode damit beginnen zu können, Versäumtes nachzuholen.

https://gruene-bundestag.de/themen/klimaschutz/klimaschutz-ist-jetzt…
Show this thread",1,4,13
JoernPL @ homeoffice,JoernPL @ homeoffice,2021-05-07T09:19:02.000Z,"das Problem ist riesig! Als ich 2008 im #Bundestag angefangen habe, haben wir sehr intensiv dafür gekämpft. 13 Jahre später dieser Beschluss! Manchmal bringt das Bohren dicker Bretter halt doch was! Glückwunsch an 
@SteffiLemke
. Hier der damalige Antrag! https://dip21.bundestag.de/dip21/btd/16/091/1609103.pdf…LN_Online
@LN_Online
 · May 7
Massen an Munitionsresten aus dem Zweiten Weltkrieg liegen auf dem Grund von Nord- und #Ostsee. Der Bundestag hat beschlossen, die gefährlichen #Kampfmittel zu beräumen. Wer die Mammutaufgabe finanziert, ist noch offen. https://ln-online.de/Nachrichten/Norddeutschland/Ostsee-Mit-Hightech-Plattformen-gegen-Weltkriegsmunition?utm_medium=Social&utm_source=Twitter#Echobox=1620320267…",1,6,17
Sebastian Striegel,@StriegSe,2021-05-07T06:18:57.000Z,"Andere zögern noch. 
@claudiadalbert
 jagt schon Mutanten! #verlässlichregieren #pandemie #corona https://mz.de/mitteldeutschland/sachsen-anhalt/wie-sachsen-anhalts-wissenschaftler-mutationen-schneller-erkennen-wollen-3167763…mz-web.de and GRÜNE Sachsen-Anhalt",2,8,29
Grüne im Bundestag,@GrueneBundestag,2021-05-07T07:48:19.000Z,"#KlimaschutzIstJetzt: Wir dürfen nicht länger warten! 

Um die Klimakrise in den Griff zu kriegen, braucht es jetzt wirksame Maßnahmen. Unser Angebot 
https://dip21.bundestag.de/dip21/btd/19/292/1929294.pdf…",65,90,227
Martin Häusling,@MartinHaeusling,2021-05-06T09:00:38.000Z,"EU-Gerichtshof weist die Klage von Bayer zurück. Das Verbot der drei gefährlichsten Bienengifte #Neonicotionide war rechtlich sauber. Ein guter Tag für die Bienen und die Natur. Danke 
@EsLebeDieBiene
, 
@greenpeace_de
, 
@EuropePAN
 ...",2,40,134
SteffiLemke,@SteffiLemke,2021-05-06T10:58:15.000Z,"Wir haben dem Antrag der Koalition zu #MunitionImMeer heute zugestimmt - trotz Leerstellen. Die Finanzierungsfrage bleibt völlig offen. Jetzt erwarte ich nach der Anhörung im Umweltausschuss zum gemeinsamen Antrag von 
@GrueneBundestag
 und 
@fdpbt
 auch Unterstützung der Koalition.Dr. Kim Detloff
@detloff_kim
 · May 6
#Bundestag Antrag #MunitionimMeer der @cducsubt @spdbt mit Unterstützung der Opposition angenommen
 Jetzt kann uns muss der nächste Schritt folgen: 100 Mio B/L-Fonds, Pilotprojekt naturverträgliche Bergung, Entsorgungskapazitäten ausbauen. https://nabu.de/natur-und-landschaft/meere/lebensraum-meer/gefahren/27276.html…",,1,6
SteffiLemke,@SteffiLemke,2021-05-05T14:50:29.000Z,"Ganz großes Kino: Pilz des Jahres 2021 ist der Grünling. #Fliegenpilz #GrünlingNABU
@NABU_de
 · May 5
Die CDU verhilft dem #Fliegenpilz zu neuer Prominenz 
. Wo wir schon beim Thema sind, hier ein paar wissenswerte Fakten aus der Mykologie 
. ""Pilz des Jahres 2021"" ist übrigens der Grünling 
. Foto: Wilfried Martin. https://nabu.de/tiere-und-pflanzen/sonstige-arten/pilze-flechten-moose/10155.html…
Show this thread",9,22,229
SteffiLemke,@SteffiLemke,2021-05-05T08:22:10.000Z,"CDU wird immer nervöser - schon 5 Monate vor der Bundestagswahl bei Fliegenpilzvergleichen für uns Grüne angekommen - frage mich was Herr Laschet im September macht?„Erinnert an Fliegenpilz“: CDU greift Baerbocks Wahlprogramm an
In einer Argumentationshilfe für Abgeordnete macht die CDU Stimmung gegen den Hauptgegner bei der Bundestagswahl. Das grüne Wahlprogramm hätte „fatale Folgen für Deutschland“.
faz.net",33,19,350
Agnieszka Brugger,@agnieszka_mdb,2021-05-04T14:30:04.000Z,"CDU & CSU werden immer unsouveräner & hysterischer. Man sieht es an den Tweets von 
@PaulZiemiak
 & 
@markusblume
 Würde mich auch nicht wundern, wenn es diesen von 
@rbrinkhaus
 zitierten grünen Abgeordneten gar nicht gibt. Ist mir jedenfalls noch nicht begegnet & ich kenn so paar...Paul Ronzheimer
@ronzheimer
 · May 4
CDU-Fraktionschef @rbrinkhaus malt gerade düstere Szenarien in der Fraktionssitzung: „Grüne Abgeordnete sagen zu mir: Wir schauen uns schon mal die Möbel an fürs Kanzleramt!“",2,9,80
Sebastian Striegel,@StriegSe,2021-05-03T14:33:30.000Z,"Zwischen #Maaßen und Vernunft. Die #CDU sucht sich und ihre Rolle. Gut, dass sich Basismitglieder aus Sachsen-Anhalt zu Wort melden und die CDU-Kandidat*innen zu klarer Positionierung bezüglich der #noAfD auffordern. #ltwlsaSachsen-Anhalt: CDU-Basis fordert Abgrenzung zur AfD
Teile der CDU in Sachsen-Anhalt liebäugeln mit einer AfD-Kooperation. Für einige Parteimitglieder wäre das »tiefgreifender Verrat«. In einem offenen Brief verlangen sie nun mehr Distanzierung.
spiegel.de",3,13,44
Cornelia Lüddemann,@Connylue,2021-05-03T06:58:19.000Z,"Was heißt hier ""aussetzen""? Mit uns Grünen hat es dazu keine Verständigung gegeben. Wie richtig zitiert. Wir halten den Weg Tullners für falsch. Die Änderungen sollen gar nicht kommen. #Schule #SachsenAnhaltProtest gegen Tullners Noten-Pläne
Minister will erschwerten Zugang zur Realschule offenbar vorerst aussetzen
volksstimme.de",1,9,22
Armin Bohnert,@bohnerta,2021-04-23T16:00:21.000Z,"Immer wenn man denkt, es geht nicht mehr schlimmer, dann kommt noch einer um die Ecke gebogen. In diesem Fall um die rechte Ecke.CDU-Fraktion LSA
@cdufraktion_LSA
 · Apr 23
Unser parlamentarischer Geschäftsführer und medienpolitischer Sprecher, Markus Kurze begrüßt die Video-Protestaktion #allesdichtmachen bekannter Schauspieler in Deutschland, u.a. mit Jan Josef Liefers und sagt:",1,7,33
Michelle Angeli,@mimiangeli10,2021-04-24T04:34:27.000Z,"Guten Morgen #Magdeburg 
Heute ist der digitale #lpt von 
@GRUENE_LSA
 mit der Debatte zum Wahlprogramm #verlässlichRegieren #ltwlsa #klimawahl 
Zuschauen könnt ihr auf Youtube 
https://m.youtube.com/watch?v=Xih-v5pCxtk…GRÜNE Sachsen-Anhalt and 7 others",,10,35
GRÜNE Sachsen-Anhalt,@GRUENE_LSA,2021-04-24T08:02:08.000Z,"Ab sofort im #Livestream:
Unser 44. #Landesparteitag! Sei dabei:
https://youtu.be/Xih-v5pCxtk

#verlässlichregieren #ltwlsa #klimawahl #fürunserezukunftVerlässlich für Sachsen-Anhalt | LPT 2021
#VerlässlichFürSachsenAnhalt: Unser 44. ordentlicher Landesparteitag beschließt das Landtagswahlprogramm zur Wahl am 6. Juni 2021. Aufgrund der pandemischen ...
youtube.com",,8,10
SteffiLemke,@SteffiLemke,2021-04-23T16:11:28.000Z,#plenarwochenfreitagsende,,,2
Cornelia Lüddemann,@Connylue,2021-04-23T07:37:44.000Z,"Wertebasierte verlässliche Politik mit klarer Haltung wird von den Menschen honoriert. Starke Grüne sichern mehr #Klimaschutz und mehr #Demokratie. Rückenwind für die nächste Phase des Wahlkampfs. Da geht noch mehr. #verlässlichregieren #noafdSachsen-Anhalt-Trend zur Landtagswahl: CDU, AfD und Linke verlieren – Grüne, SPD und FDP legen zu |...
Die Kenia-Koalition von CDU, SPD und Grünen könnte somit weiter regieren.
mdr.de",1,6,23
SteffiLemke,@SteffiLemke,2021-04-23T03:22:08.000Z,Wie kann man seinen Prominentenstatus nur für so eine giftige Brühe vergeuden anstatt irgendetwas Sinnstiftendes damit anzufangen.,6,,36
SteffiLemke,@SteffiLemke,2021-04-22T10:56:25.000Z,"Ministerpräsidententiefpunkt.Sarah Frühauf
@SarahFruehauf
 · Apr 22
#Haseloff fordert #Spahn im #Bundesrat auf, klar zu machen, ab wann das #Infektionsschutzgesetz nun eigentlich gilt. Im Ernst? Das wissen die Länder nicht?",2,2,19
SteffiLemke,@SteffiLemke,2021-04-19T21:41:56.000Z,"Unsere Sitzung ist jetzt übrigens beendet. Unser Abstimmungsverhalten zum GE der Koalition werden wir morgen in der Fraktion - vormittags Arbeitskreise - nachmittags Fraktionssitzung abschließend diskutieren und entscheiden. Wird ein intensiver Tag, deshalb - Gute Nacht an alle!",2,3,60
SteffiLemke,@SteffiLemke,2021-04-19T21:03:43.000Z,"Bei uns tagt übrigens zur Stunde der Vorstand von 
@GrueneBundestag
 via Telefonkonferenz. Zum Infektionsschutzgesetz.",24,72,721
Annalena Baerbock,@ABaerbock,2021-04-19T09:17:21.000Z,"Ich freue mich, dass Robert Habeck mich heute im Namen des Bundesvorstandes als Kanzlerkandidatin für 
@die_gruenen
 vorgeschlagen hat. #BTW21  !B",3.6K,5.2K,51.1K
BÜNDNIS 90/DIE GRÜNEN,@Die_Gruenen,2021-04-19T09:07:12.000Z,"„So ist heute der Moment zu sagen, dass die erste grüne Kanzlerkandidatin 
@abaerbock
 sein wird“, sagt Robert Habeck #AllesIstDrin",183,829,7.6K
SteffiLemke,@SteffiLemke,2021-04-19T09:06:21.000Z,"Großen Respekt an Robert Habeck wie er der Öffentlichkeit unsere Kanzlerkandidatin vorstellt! #allesistdrin Ich freue mich riesig auf diesen Wahlkampf mit 
@ABaerbock",2,25,441
SteffiLemke,@SteffiLemke,2021-04-16T15:07:24.000Z,#Plenarwochenfreitagsende,1,,9
Daniel Seikel,@DanielSeikel,2020-04-16T14:48:27.000Z,"NRW-Ministerin #Gebauer wird im Radio mit Sorge von Schülern konfrontiert, sie könnten sich in der Schule anstecken & risikobelastete Familienmitglieder infizieren. Antwort: Man erarbeite Leitfaden für Lehrer, wie Schülern Ängste genommen & mit Todesfällen umgegangen werden könne",670,3.5K,7.6K
SteffiLemke,@SteffiLemke,2021-04-16T08:06:00.000Z,"Da uns immer wieder vorgeworfen wird,wir würden in den Landesregierungen „nix“ machen - wir fordern klar von CDU und SPD dass die Schulen in den Distanzunterricht wechseln - allerspätestens ab Inzidenz 200 (ist schon zu hoch). Es ist verantwortungslos was da getrieben wird.",5,5,91
SteffiLemke,@SteffiLemke,2021-04-16T07:35:31.000Z,"Im Burgendlandkreis liegt die Inzidenz über 400. 
@reinerhaseloff
 weigert sich, dort die Schulen zu schließen. Er behauptet, sonst würde man infizierte Schüler ja nicht mehr identifizieren und sie könnten weiter andere anstecken. Es erschüttert, wenn ein MP nix verstanden hat.",21,101,421
Cornelia Lüddemann,@Connylue,2021-04-15T15:40:09.000Z,Im Burgenlandkreis liegt die Inzidenz bei 407! Wieso sind die Schulen dort nicht geschlossen? Das ist für alle Beteiligten eine drohende Kamikazefahrt. Wer übernimmt dafür die Verantwortung? #Corona #Schule https://gruene-lsa.de/es-braucht-konsequente-entscheidungen-zum-pandemiefesten-schulbetrieb/…,4,15,42
Grüne im Bundestag,@GrueneBundestag,2021-04-15T14:10:45.000Z,".
@SteffiLemke
 zur Bergung der Munitionsaltlasten in den Meeren:

Das Zeitfenster schließt sich. 

Es muss schnell und an einer praktischen Lösung orientiert gehandelt werden.

Und die Länder brauchen die Unterstützung des Bundes.",4,6,38
Janko,@JankoTietz,2021-04-15T10:37:17.000Z,"Das ist eine Bankrotterklärung eines Ministerpräsidenten. Politik als Selbstzweck: »Es geht nicht um persönliche Sympathie, Vertrauen oder Charaktereigenschaften.« ⁦
@reinerhaseloff
⁩ zu ⁦
@MelAmann
⁩ und ⁦
@vmedick
⁩ ⁦
@derspiegel
⁩Machtkampf in der Union: Reiner Haseloff will Kanzlerkandidatur an Umfragewerte knüpfen
Söder gegen Laschet – wer wird Kanzlerkandidat der Union? Als erster CDU-Ministerpräsident fordert Sachsen-Anhalts Reiner Haseloff, die Frage anhand der Umfragewerte zu klären.
spiegel.de",15,38,80
Sebastian Striegel,@StriegSe,2021-04-15T12:10:11.000Z,"Die Inzidenz in 
@sachsenanhalt
 liegt inzwischen bei über 200. #Distanzunterricht ist das Gebot der Stunde. Wir brauchen konsequente, wirksame Maßnahmen und eine #Niedriginzidenzstrategie, um die 3. Welle zu brechen und aus der #Pandemie zu kommen. #verlässlichregierenGRÜNE Sachsen-Anhalt
@GRUENE_LSA
 · Apr 15
Angesichts der im Land #SachsenAnhalt gestern über den Wert von 200 gestiegenen #Inzidenz fordern wir zügige und konsequente #Entscheidungen zum #pandemiefesten #Schulbetrieb.
Mehr dazu von @SusanSziborra unter:
https://gruene-lsa.de/es-braucht-konsequente-entscheidungen-zum-pandemiefesten-schulbetrieb/…

#verlässlichregieren #covid #ltwlsa",3,16,64
GRÜNE Sachsen-Anhalt,@GRUENE_LSA,2021-04-15T11:42:55.000Z,"Angesichts der im Land #SachsenAnhalt gestern über den Wert von 200 gestiegenen #Inzidenz fordern wir zügige und konsequente #Entscheidungen zum #pandemiefesten #Schulbetrieb.
Mehr dazu von 
@SusanSziborra
 unter:
https://gruene-lsa.de/es-braucht-konsequente-entscheidungen-zum-pandemiefesten-schulbetrieb/…

#verlässlichregieren #covid #ltwlsa",3,18,40
SteffiLemke,@SteffiLemke,2021-04-15T11:22:25.000Z,"Getrieben von der Angst vor dem Wechsel in die Opposition - nicht von Inhalten oder Verantwortung.Machtkampf in der Union: Reiner Haseloff will Kanzlerkandidatur an Umfragewerte knüpfen
Söder gegen Laschet – wer wird Kanzlerkandidat der Union? Als erster CDU-Ministerpräsident fordert Sachsen-Anhalts Reiner Haseloff, die Frage anhand der Umfragewerte zu klären.
spiegel.de",2,3,9
SteffiLemke,@SteffiLemke,2021-04-14T16:45:39.000Z,"Die CDU ist anderweitig beschäftigt.Hagen Eichler
@EichlerHagen
 · Apr 14
Katastrophale Zahlen: 
 Inzidenz in Sachsen-Anhalt jetzt über 200
 Stadt Halle und fünf Landkreise noch deutlich darüber 
 der Burgenkandkreis steuert auf die 400 (!) zu.

Gleichzeitig läuft der Schulbetrieb morgen und am Freitag ohne Testpflicht. ",1,1,33
SteffiLemke,@SteffiLemke,2021-04-13T15:18:50.000Z,"Kündigen hier CDU-Abgeordnete ihre Ablehnung des Gesetzentwurfs von 
@cducsubt
 und 
@spdbt
 zum Infektionsschutzgesetz an?Michael Bock
@mbock84340_bock
 · Apr 13
#CDU-Landesgruppe #SachsenAnhalt im #Bundestag  unterstützt mehrheitl. Ablehnung der @cdulsa geg. erweiterte Kompetenzen d. Bundes durch Änderung d. Infektionsschutzgesetzes: ""Dies würde grundlegenden föderalen Prinzipien entgegenstehen u. Ländern wichtige Kompetenzen entziehen.""",2,1,14
GRÜNE Sachsen-Anhalt,@GRUENE_LSA,2021-04-11T18:31:17.000Z,"Deutlich Worte von 
@Connylue
 im Gespräch mit 
@mzwebde
!

#corona #wieweiter #verlässlichregieren #sachsenanhalt #gruene #gruenelsa #ltwlsa #ltwlsa21 #cdulsaGrünen-Fraktionschefin Lüddemann will Modellprojekte stoppen
Grünen-Fraktionschefin Cornelia Lüddemann will Modellprojekte stoppen. Der Ministerpräsident verhalte sich wie ein Geisterfahrer, rügt sie.
mz.de",4,13,25
SteffiLemke,@SteffiLemke,2021-04-09T18:17:52.000Z,"Genau darum braucht es offensichtlich eine bundeseinheitliche gesetzliche Regelung:  „Haseloff gegen bundesweite Corona-Notbremse“Haseloff gegen bundesweite Corona-Notbremse
mz.de",2,3,50
SteffiLemke,@SteffiLemke,2021-04-09T17:33:16.000Z,"Und einen ebenso lieben Glückwunsch an 
@Oliver_Krischer
 @IreneMihalic
 @svenlehmann
 und 
@katdro
 ! 
 Das geht ja echt flott bei 
@gruenenrw
 - da verliere ich ja glatt den Überblick ",1,,22
SteffiLemke,@SteffiLemke,2021-04-09T17:21:38.000Z,"Herzlichen Glückwünsch liebe Britta! Ich freue mich mit dir und dem ganzen Laden!B'90/Die Grünen NRW
@gruenenrw
 · Apr 9
 Wir gratulieren @BriHasselmann zur Wahl auf Platz 1 unserer Liste zur Bundestagswahl.
 
#ldk21nrw #btw21 #nrw
Show this thread",,,36
GRÜNE Sachsen-Anhalt,@GRUENE_LSA,2021-04-09T08:48:17.000Z,"Der #ökologische Zustand der #Elbe und ihrer #Auen ist #besorgniserregend. MdB 
@SteffiLemke
 dazu in der SZ: 
https://sueddeutsche.de/wirtschaft/verkehr-magdeburg-stetig-weniger-gueterverkehr-auf-der-elbe-zu-wenig-wasser-dpa.urn-newsml-dpa-com-20090101-210409-99-135722…
#klimaschutz #gewässerschutz #umweltschutz #verlässlichregieren #ltwsa #btw21 #forourfuture #klimawahlStetig weniger Güterverkehr auf der Elbe: Zu wenig Wasser
Auf der Elbe in Sachsen-Anhalt werden immer weniger Güter transportiert. Etwa über die Stadtstrecke in Magdeburg seien im vergangenen Jahr 159 876 Gütertonnen...
sueddeutsche.de",,8,15
Markus Decker,@BerlinerNotizen,2021-04-07T07:45:29.000Z,"Es ist ein Zeichen für sich, dass die Grünen in die Kanzlerkandidaten-Kakophonie der Union hinein in aller Seelenruhe einen Termin für ihre Kandidatenkür nennen. Die Botschaft lautet: Wir sind der Hort der Stabilität. #Kanzlerkandidatur 
@Die_GruenenMichael Kellner
@MiKellner
 · Apr 7
Mit Annalena #Baerbock und Robert #Habeck haben wir ein starkes Spitzenduo für die #btw21 und am 19.4. stellen wir vor, wer von beiden die Kanzler*in-Kandidatur übernehmen soll. #AllesIstDrin",9,44,303
GRÜNE Sachsen-Anhalt,@GRUENE_LSA,2021-03-31T14:44:22.000Z,Der #Landesverband Sachsen-Anhalt verzeichnet aktuell einen #kontinuierlichen #Mitgliederanstieg. Mit durchschnittlich einem #Neumitglied pro Tag sehen wir mit #Freude der grünen Familie beim Wachsen zu. Du möchtest auch dazu gehören? Informiere dich hier: https://gruene-lsa.de/mitmachen/,4,25,67
SteffiLemke,@SteffiLemke,2021-03-31T09:15:32.000Z,"Nicht nur Australien. #dürre #klimakriseAustralian Academy of Science
@Science_Academy
 · Mar 31
Australia is highly vulnerable to the impacts of global warming.

In a landmark report, we synthesise the observed impacts of climate change on Australia and the risk to our future of a 3°C #WarmerWorld based on the current global trajectory. #AusPol
Show this thread",2,4,6
Sebastian Striegel,@StriegSe,2021-03-29T18:55:03.000Z,"Mit einem Virus kan man nicht verhandeln. Bitte kein Gerede mehr über Lockerungen, sondern verlässliche Bekämpfung der #Pandemie. Und das heißt zuerst einmal: #Notbremse konsequent ziehen. In allen Bundesländern.Merkels Drohung und die Folgen: Jeder kämpft jetzt für sich allein - WELT
Die Bundesregierung gibt vor – und die Länder müssen folgen: Die Kanzlerin droht den Ministerpräsidenten im Kampf gegen Corona mit Entmachtung. Nun formieren sich viel Unterstützung sowie heftiger...
welt.de",1,10,28
SteffiLemke,@SteffiLemke,2021-03-28T21:16:44.000Z,"Könnten Sie das bitte noch direkt an 
@MP_Haseloff
 und 
@cdulsa
 schicken?CDU Deutschlands
@CDU
 · Mar 28
""Die Bundesländer müssen die Maßnahmen, die wir gemeinsam in der #MPK beschlossen haben, mit großer Ernsthaftigkeit einhalten. Wir sind verpflichtet, das Infektionsgeschehen einzudämmen. Öffnen ist nicht das Gebot der Stunde."" Angela #Merkel bei #AnneWill
Show this thread",1,7,33
Sebastian Striegel,@StriegSe,2021-03-28T20:20:57.000Z,"#Merkel mit klarer Ansage an #Laschet, #Haseloff und Co. Auch schwierige Teile eines #MPK-Beschlusses müssen umgesetzt werden. Das Virus verhandelt nicht. #annewill #pandemie",2,9,22
ZDFheute,@ZDFheute,2021-03-28T20:58:23.000Z,"Kritik an Ländern und Firmen: Kanzlerin fordert härteren Corona-KursKanzlerin Merkel fordert härteren Corona-Kurs von Ländern
Kanzlerin Merkel fordert von den Ländern einen härteren Corona-Kurs. Der Montag sei eine Zäsur gewesen: ""So kann es nicht weitergehen.""
zdf.de",114,56,419
Stefan Brandenburg,@SBrandenburg_,2021-03-28T20:57:06.000Z,"Söder verwandelt, nachdem die Kanzlerin mit ihrer Klatsche gegen Laschet den Ball auf den Elfmeterpunkt gelegt hat: „Die Kernfrage ist, ob alle die Maßnahmen umsetzen“. Statt „lamentieren“ müsse konsequent gehandelt werden. Interessanter Abend für die CDU #AnneWill #Tagesthemen",12,41,315
Mourad Diouri | مراد الديوري,@e_arabic,2021-03-27T09:33:34.000Z,"My 11 yo son came up w/ some genuine alternative solutions to the #SuezCanal 2021 crisis 
He asked to share them w/ y'all 

#Suezblocked #Suez #Evergreenship  
#السويس",21,136,687
IÖW,@ioew_de,2021-03-27T10:05:34.000Z,"Wirtschaft und Umwelt können in natürlichen Flusslandschaften in Einklang gebracht werden, wenn die Politik den Schutz der Natur stärker berücksichtigt! - IÖW-Umweltökonomin Alexandra Dehnhardt beim 4. #Elbe-Symposium der 
@kircheanhalt
 

#Naturschutz #Biodiversität #KlimakriseSteffiLemke and 3 others",2,5,9
