User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Sebastian Steineke,@SteinekeCDU,2021-05-14T16:20:30.000Z,"Völlig inakzeptable Aussagen von Rolf #Mützenich. Gibt es noch irgendeinen funktionierenden Kompass bei der #SPD? #StandWithIsrealBericht aus Berlin
@ARD_BaB
 · 9h
SPD-Fraktionschef Mützenich will angesichts der antisemitischen Angriffe auf Synagogen in Deutschland auch auf die israelische Regierung einwirken. CDU-Außenexperte Röttgen betont dagegen, dass jüdische Gemeinden in Deutschland nichts mit dem Nahost-Konflikt zu tun hätten.
0:47
88.6K views",4,7,40
BMG,@BMG_Bund,2021-05-14T15:06:26.000Z,".
@jensspahn
 hat sich heute mit dem #Impfstoff von #AstraZeneca impfen lassen. „Alle bei uns zugelassenen #Impfstoffe wirken hervorragend & sind sicher. Ich kann nur allen empfehlen, die ein #Impfangebot bekommen, sich #impfen zu lassen. So schützen wir uns & andere.“ #ÄrmelHoch",158,62,558
Mike Schuster,@MikeSchuster_,2021-05-14T12:25:49.000Z,Mit Völkerrecht hat Frau Baerbock noch keine Milch für ihren Cappuccino. #RespektfürLandwirte,1,4,29
Ulf Poschardt,@ulfposh,2021-05-14T06:15:09.000Z,"so stelle ich mir humor im lehrerzimmer einer gesamtschule vorArgo Nerd
@argonerd
 · May 13
Sympathisch und unprätentiös!
Show this thread",259,234,2K
Felix M. Hauffe,@FMH_EU,2021-05-14T11:46:40.000Z,"Die Mär von der „altbackenen Union“: Laut #Deutschlandtrend wünschen sich 28% der jüngeren Bundesbürger eine unionsgeführte Bundesregierung. Eine grüngeführte Regierung wünschen sich 26% der Jüngeren. 
@CDU",21,49,288
Sebastian Steineke,@SteinekeCDU,2021-05-14T11:09:14.000Z,Das kommt sicher gut an im #ländlichenRaum - #Baerbock kann nicht so mit #Kühen. Sie kommt aus dem #Völkerrecht ,4,1,36
Frank Sarfeld,@sarfeld,2021-05-11T12:41:35.000Z,"  Augen auf bei der Motivauswahl. So wichtig!
 #Scholzrudert
„Also, wenn eine Partei mächtig rudert, dann ist es ja wohl auch die SPD“ - 
@MickyBeisenherz
  
@HouseofCards
 #Scholz #Underwood",6,7,85
Sebastian Steineke,@SteinekeCDU,2021-05-13T07:14:59.000Z,Ich wünsche euch einen schönen Feiertag #ChristiHimmelfahrt,2,,9
Sebastian Steineke,@SteinekeCDU,2021-05-12T16:50:20.000Z,"Sehr gutes CDU-LIVE der 
@CDU_Brandenburg
 mit 
@JuliaKloeckner
, unserem PStS 
@UweFe
 und natürlich 
@gordonhoffmann
 in Bestform!",1,,12
Sebastian Steineke,@SteinekeCDU,2021-05-12T14:33:55.000Z,Mit Amtsdirektorun Ilka #Lenke vor Ort in #Nennhausen. Die Gemeinde wünscht sich eine feste Tempo 30 Zone im Ortskern.,,,4
