User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
"Stephan Pilsinger, MdB",@StephPilsinger,2021-04-23T09:32:40.000Z,"2/2 Pflegekräfte, Ärzte und die über 80.000 Corona Tote in DE und deren Angehörigen werden hier verhöhnt. #allesdichtmachen #nichtganzdichtDieter Janecek
@DJanecek
 · Apr 22
Ich verstehe die Beiträge von @JanJosefLiefers @heike_makatsch u.a. als Satire und Kritik an der Corona-Diskurskultur in Deutschland. Muss man aushalten können. Die harschen Reaktionen hier auf Twitter zeigen, dass sie einen Nerv getroffen haben. #allesdichtmachen",5,,5
"Stephan Pilsinger, MdB",@StephPilsinger,2021-04-23T09:31:56.000Z,"1/2 Das ist kein Satire mehr, sondern ein Schlag ins Gesicht aller Menschen, die tagtäglich gegen die Corona Pandemie kämpfen! #allesdichtmachen #nichtganzdichtDieter Janecek
@DJanecek
 · Apr 22
Ich verstehe die Beiträge von @JanJosefLiefers @heike_makatsch u.a. als Satire und Kritik an der Corona-Diskurskultur in Deutschland. Muss man aushalten können. Die harschen Reaktionen hier auf Twitter zeigen, dass sie einen Nerv getroffen haben. #allesdichtmachen",5,,7
phoenix,@phoenix_de,2021-04-21T13:59:16.000Z,".
@StephPilsinger
, 
@cducsubt
, ist durch seine Erfahrungen auf der #Palliativstation davon überzeugt, dass man geeignete Alternativen zur #Sterbehilfe brauche. Er will den Wert des Lebens bewusst machen und Alternativen zur #SelbstTötung aufzeigen.  
@cdu
 @csu",7,6,11
"Stephan Pilsinger, MdB",@StephPilsinger,2021-02-10T21:30:15.000Z,"Meine Prognose: Dritte Welle kommt wg. heute beschlossener Teilöffnung und Mutationen Mitte März.

#lockdownverlaengerung #CoronaGipfel #Lockerungen #coronavirus #mutationen",8,7,15
phoenix,@phoenix_de,2021-01-13T14:15:29.000Z,"Wie schafft man es, Akzeptanz für die #Pandemie-Maßnahmen der Bunderegierung zu erhalten? ""Die Menschen brauchen eine Perspektive für Normalität nach 
 #Corona"", so 
@StephPilsinger
 @cducsubt
. Die #Impfststrategie sei 1 Baustein, #Schnelltests 1 weiterer. 
@csu
 @erhardscherfer",12,5,2
"Stephan Pilsinger, MdB",@StephPilsinger,2020-12-08T10:37:53.000Z,"Im Oktober wurde der Vorschlag 
@christophploss
 und mir 
@bild
 die Weihnachtsferien zu verlängern noch von Kommentatoren als absurd bezeichnet. Jetzt sagen es u.a das RKI und die Leopoldina. 
@AZ_Augsburg
 @SWRAktuell
 @BR24
  @merkur_de
 @Abendzeitung
 @PrienKarin
 @BllvSimone
 @Gong963",19,10,38
phoenix,@phoenix_de,2020-01-16T10:22:55.000Z,"""Angehörige werden nur entlastet, wenn sich der Betroffene geäußert hat, ob er seine #Organe spenden möchte"", so 
@StephPilsinger
 @cducsubt
. Er plädiert für die #Entscheidungslösung bei der #Organspende. Dies käme der Selbstbestimmung am nächsten, sagte er bei 
@ErhardScherfer
.",1,4,7
"Stephan Pilsinger, MdB",@StephPilsinger,2020-01-15T16:32:57.000Z,#Organspende ist ein großer Akt der Nächstenliebe. Die Entscheidung dazu muss einem selbst überlassen sein und sollte nicht vom Staat kommen. Daher stimme ich morgen für die #Entscheidungslösung,2,4,15
Heribert Hirte,@HHirte,2020-01-14T11:34:32.000Z,1/ Wie geht es weiter mit der #Organspende? Der Deutsche Bundestag entscheidet am Donnerstag zwischen zwei Gesetzesentwürfen. Ich mache mich für unseren überfraktionellen Entwurf zur Stärkung der Entscheidungsbereitschaft stark. Warum? Ein ThreadKarin Maag and 9 others,3,6,16
Peter Dabrock,@just_ethics,2020-01-09T07:32:45.000Z,"#Organspende: Eine Woche vor #Abstimmung im #Bundestag nimmt mediale Debatte erneut Fahrt auf.
Wichtiger Beitrag von Ralph Hertwig 
@mpib_berlin
 in 
@FAZ_Wissen
 gestern:
#Widerspruchsregelung = sieht gut aus, verspricht aber nach breiter Datenlage nicht, was es hält.",2,6,15
Peter Dabrock,@just_ethics,2020-01-09T07:29:06.000Z,"#Organspende: Bedauerlich, wie Kollege 
@ethikjena
 in @fazfeulleiton gestern m. falschen Zahlen operiert. Entkräftung s. Behauptungen + ernüchterndes Zahlenmaterial in meiner Stellungnahme für #Bundestag
https://t1p.de/w7rv
+ in 
@faznet
 m. S. Augsberg https://t1p.de/je0e",1,13,19
"Stephan Pilsinger, MdB",@StephPilsinger,2019-11-27T14:05:27.000Z,"Zusammen mit 
@MunichNetwork
 spreche ich heute Abend im Rahmen des TecEve bei 
@EY_Germany
 München darüber, wie die #Digitalisierung des Gesundheitswesens dazu beitragen kann, dass der Patient stärker in den Mittelpunkt rückt. #eHealth",1,3,4
