User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Stephan Thomae,@StephanThomae,2021-05-14T14:37:46.000Z,"Congratulations 
@c_lindner
 zur Wahl zum Bundesvorsitzenden und zum Spitzenkandidaten für die Bundestagswahl 2021. Mit dir haben wir den richtigen Captain für die vielen kommenden Herausforderungen . #bpt21 #vielzutunFDP
@fdp
 · 10h
Das Ergebnis steht fest: @c_lindner ist mit 93 % erneut zum Bundesvorsitzenden der Freien Demokraten gewählt worden – herzlichen Glückwunsch! #bpt21 #VielZuTun",,,9
Stephan Thomae,@StephanThomae,2021-05-14T12:21:18.000Z,"„Es reicht! Schauen Sie nicht weg, wenn sich dieser Judenhass entlädt.“ Es sind wichtige Worte von Dr. Josef Schuster, Präsident vom 
@ZentralratJuden
 auf dem #bpt21 der 
@fdp
. Wir als Freie Demokraten verpflichten uns: Wir stehen auf! Auf unserer Solidarität können Sie zählen.",3,4,47
Stephan Thomae,@StephanThomae,2021-05-14T11:32:57.000Z,"Jeder und jede soll Autor und Autorin des eigenen Lebens sein können. Wir wollen die Grundlage schaffen, dass Menschen ihrer Talente ausschöpfen können. So 
@c_lindner
 beim #bpt21 der 
@fdp
. #vielzutun",,5,28
Stephan Thomae,@StephanThomae,2021-05-14T11:07:41.000Z,"„Wenn es um #Bürgerrechte geht, ist auf die Freien Demokraten Verlass. Selbst wenn wir damit allein oder in der Kritik stehen.“ - 
@c_lindner
 auf dem #bpt21 der 
@fdp
 . #vielzutun",1,3,42
Stephan Thomae,@StephanThomae,2021-05-14T10:32:18.000Z,"„Wir waren die einzige Kraft im Deutschen Bundestag, die sich für differenzierte Maßnahmen eingesetzt hat und für die Achtung verfassungsmäßiger Rechte.“ - Wolfgang Kubicki auf dem #bpt21 der #fdp. #vielzutun",,,9
FDP,@fdp,2021-05-14T09:20:36.000Z,"Wir bleiben dabei: „#Bildung ist Bürgerrecht“ und deshalb müssen wir auf allen Ebenen dafür sorgen, dass jedes Kind dieses Bürgerrecht auch wahrnehmen kann, so Wolfgang #Kubicki auf dem #bpt21. #VielZuTun",1,7,44
FDP,@fdp,2021-05-14T08:37:29.000Z,"Wie es ist, darf es nicht bleiben! Das hat uns die Pandemie gezeigt. Deswegen heißt unser Programmentwurf zur #Bundestagswahl: Nie gab es mehr zu tun.  Jetzt reinschauen und ab 11 Uhr #live beim #Parteitag dabei sein   http://fdp.de/vielzutun #VielZuTun",3,9,45
Fraktion der Freien Demokraten,@fdpbt,2021-05-13T12:40:22.000Z,"+++ Deutschland darf nicht untätig bleiben, wenn #Israel angegriffen wird. Das gilt ebenso für Angriffe auf Juden und Synagogen in unserem Land. Der #Bundestag muss sich dringend damit befassen, deshalb: Antrag auf eine Aktuelle Stunde zum #Nahostkonflikt ! 
@MarcoBuschmann
 +++",77,94,799
Stephan Thomae,@StephanThomae,2021-05-13T09:52:13.000Z,"Die Bilder aus Gelsenkirchen ekeln einen an. Besonders perfide, wenn Leute diesen #Antisemitismus noch als „Protest“ bezeichnen. Polizei und Ordnungskräfte vor Ort dürfen so etwas nicht zulassen.Zentralrat der Juden in Deutschland
@ZentralratJuden
 · May 13
Judenhass mitten in #Gelsenkirchen vor der #Synagoge. Zeiten, in denen Juden auf offener Straße beschimpft werden, sollten längst überwunden sein. Das ist purer #Antisemitismus, sonst nichts!",,1,23
FDP,@fdp,2021-05-10T09:31:31.000Z,#VielzuTun: Am Freitag startet unser digitaler Parteitag! #bpt21 Und Du kannst vom heimischen Bildschirm aus dabei sein  auf http://fdp.de/live (auch in Gebärdensprache) und auf http://youtube.com/fdp  Einschalten und reinschauen. ,9,48,138
Legal Tribune Online,@lto_de,2021-05-10T13:17:51.000Z,"""Kein objektiver Sachwalter der Verfassung"": AfD kritisiert Unterstützung des 
@BVerfG
 für #Demokratie-Wettbewerb der 
@bpb_de
. 
@HassoSuliak
 mit Details u. Reaktionen, u.a. von 
@KatjaKeul
, 
@NiemaMovassat
 u. 
@StephanThomae
:Teilnahme an Demokratie-Projekt: AfD kritisiert BVerfG
Das BVerfG unterstützt einen Demokratie-Wettbewerb, der sich auch gegen Rechtspopulismus wendet. Die AfD wirft dem Gericht fehlende Objektivität vor.
lto.de",4,10,21
Fraktion der Freien Demokraten,@fdpbt,2021-05-06T08:59:22.000Z,Wir werden uns heute bei der Abstimmung über die neue Corona-Verordnung enthalten. Grundsätzlich geht die Verordnung in die richtige Richtung; es geht aber hinsichtlich der Regelungen für #Geimpfte und #Genesene nicht weit genug und ist nicht zu Ende gedacht.,215,54,172
Stephan Thomae,@StephanThomae,2021-05-05T19:34:37.000Z,"Es ist weiterhin offen, ob #Ausgangssperren mit dem Grundgesetz vereinbar sind. Das wird im Hauptsacheverfahren zu klären sein. Doch unsere #Verfassungsbeschwerde wirkt. Durch den Druck hat sich die Bundesregierung bewegt und räumt Geimpften und Genesen mehr Freiheiten ein.",167,40,346
Stephan Thomae,@StephanThomae,2021-05-04T09:19:57.000Z,"Die Festnahme im Fall #NSU20 ist ein Ermittlungserfolg. Beunruhigend bleibt, woher der mutmaßliche Täter die Daten hat. Es muss daher jetzt ermittelt werden, ob es nicht auch Kontakte in Behörden gegeben hat.SPIEGEL Top
@SPIEGEL_Top
 · May 4
»NSU-2.0«-Drohmails: Verdächtiger in Berlin festgenommen https://spiegel.de/panorama/justiz/nsu-2-0-drohmails-verdaechtiger-in-berlin-verhaftet-a-003e4725-8a46-4537-9867-372c202d4c33?utm_source=dlvr.it&utm_medium=%5Bderspiegel%5D&utm_campaign=%5Btwitter%5D#ref=rss…",,,2
Stephan Thomae,@StephanThomae,2021-05-03T12:02:35.000Z,"Kaum schlagen schlechte Umfrageergebnisse der #CSU auf den Magen, schwenkt #Söder|s Fähnchen um und er verteilt noch vor den Pfingstferien fleißig Geschenke.",5,4,59
Stephan Thomae,@StephanThomae,2021-04-30T18:17:07.000Z,"Die Bilder, die uns heute aus #Meron erreichen, machen traurig und bestürzen zutiefst. Trauer an einem Tag, der für viele Gläubige Anlass zur Freude sein sollte. Unsere Gedanken sind in #Israel bei den Opfern und Hinterbliebenen.",,2,18
Stephan Thomae,@StephanThomae,2021-04-28T11:43:02.000Z,"Nach dem Vorfall in #Schmalkalden und der kursierenden #Todesliste geht unzweideutig ein hohes Gewaltpotential von der #Querdenker-Szene aus. Ihre bürgerliche Maske kann nicht mehr darüber hinwegtäuschen, dass bei den meisten schon lange eine Affinität zum Extremismus besteht.",2,2,20
Stephan Thomae,@StephanThomae,2021-04-27T12:19:26.000Z,"Die Mitglieder der 
@fdpbt
 haben vor dem 
@BVerfG
 #Verfassungsbeschwerde gegen #Ausgangssperren und #Kontaktbeschränkungen eingereicht. Es ist weder angemessen noch zielführend, Ausgangssperren gegen alle zu verhängen, weil einige die Kontaktbeschränkungen nicht einhalten.",5,4,69
phoenix,@phoenix_de,2021-04-27T08:00:00.000Z,"#Infektionsschutzgesetz - Die 
@fdpbt
 will gegen die automatischen und pauschalen #Ausgangssperren #Verfassungsbeschwerde in Karlsruhe einreichen.  PK in der #BPK mit 
@MarcoBuschmann
 @StephanThomae
 @EUTheurer46:56
5.3K viewers
phoenix
@phoenix_de
#Infektionsschutzgesetz - Die @fdpbt will gegen die automatischen und pauschalen #Ausgangssperren #Verfassungsbeschwerde in Karlsruhe einreichen. PK in der #BPK mit @MarcoBuschmann @StephanThomae...
pscp.tv",20,37,100
Fraktion der Freien Demokraten,@fdpbt,2021-04-27T07:52:51.000Z,"Hier findet ihr übrigens die Verfassungsbeschwerde zum Nachlesen Downloads zur Pressekonferenz
fdpbt.de",2,25,93
Stephan Thomae,@StephanThomae,2021-04-27T07:41:27.000Z,"#Verfassungsbeschwerde gegen #Ausgangssperren live mitzuverfolgen u.a. auf  https://phoenix.de/sendungen/ereignisse/phoenix-vor-ort/ua-pressekonferenz-der-fdp-bundestagsfraktion-zur-verfassungsklage-gegen-das-infektionsschutzgesetz-a-2094920.html…Fraktion der Freien Demokraten
@fdpbt
 · Apr 27
Wir haben es angekündigt, heute kommt sie: Die #Verfassungsbeschwerde gegen die automatischen und pauschalen #Ausgangssperren. Live in der #BPK ab 10 Uhr mit @MarcoBuschmann @StephanThomae @EUTheurer
Show this thread",2,1,14
FDP Bayern,@fdpbay,2021-04-24T10:02:54.000Z,"Platz 6 geht an unseren Innen- und Rechtspolitiker 
@StephanThomae
. Herzlichen Glückwunsch!
#RichtungZukunft #LVV #MissionMutausbruchStephan Thomae",3,3,74
Stephan Thomae,@StephanThomae,2021-04-24T10:02:24.000Z,"Danke für das Vertrauen! Danke für den Glauben an meine Arbeit und danke für Listenplatz 6 der 
@fdpbay
. Ich verspreche, mich immer unermüdlich für unsere Bürger- und #Freiheitsrechte einzusetzen .",9,2,58
Stephan Thomae,@StephanThomae,2021-04-23T10:45:47.000Z,"„Die FDP hat sich als bürgerliche Brandmauer erwiesen. Das ist ein großer Dienst an der Demokratie.“ - vielen Dank, 
@fpiatov
 . Wir versprechen, uns unermüdlich dafür einzusetzen. Als nächstes mit dem Gang vors #Bundesverfassungsgericht.Kommentar zum Infektionsschutzgesetz - Danke, FDP!
Bald müssen sich Menschen überall in Deutschland vor der Polizei rechtfertigen, wenn sie abends auf die Straße gehen. 
bild.de",,,14
Stephan Thomae,@StephanThomae,2021-04-21T08:44:13.000Z,"Das #Infektionsschutzgesetz der Bundesregierung bleibt trotz Schadensbegrenzung durch die GroKo verfassungsrechtlich hochbedenklich. Sollte es in dieser Weise verabschiedet werden, ziehen wir als #FDP vor das #Bundesverfassungsgericht.",6,3,64
Stephan Thomae,@StephanThomae,2021-04-20T10:41:55.000Z,"Man darf Armin #Laschet nun doppelt gratulieren. Zum einen, weil er sich die #Kanzlerkandidatur erkämpft hat und zum anderen, weil er gegen #Söder Standfestigkeit bewiesen hat. Es wird ein spannender Wahlkampf, der zeigt, ob er die Partei hinter sich vereinen kann.",6,,14
Stephan Thomae,@StephanThomae,2021-04-19T12:21:21.000Z,"Glückwunsch an Annalena #Baebock zur #Kanzlerkandidatur. Die Grünen haben gezeigt, dass ein solches Findungsverfahren auch anständig und fair vonstatten gehen kann. Und sie haben mit Baerbock einen deutlichen Kontrast zum möglichen Unions-Kandidaten #Söder.",7,1,51
Fraktion der Freien Demokraten,@fdpbt,2021-04-18T08:15:22.000Z,"Heute erinnern wir an alle, die an #Covid19 verstorben sind. Unsere Gedanken sind bei den Angehörigen. #Gemeinsam möchten wir heute mit ihnen trauern.  #Gedenktag #gedenkenChristian Lindner and 9 others",37,32,160
Stephan Thomae,@StephanThomae,2021-04-17T19:23:17.000Z,"Wenn ich mir ansehe, wie #Söder mit seinem Koalitionspartner in Bayern umgeht und mit der Schwesterpartei #cdu, schätze ich, Söder kann nur dann #Kanzler werden, wenn die #csu die absolute Mehrheit holt. #LaschetvsSoeder #SOEDERvsLASCHET #Kanzlerkandidat",5,2,39
Stephan Thomae,@StephanThomae,2021-04-17T12:08:51.000Z,"Wir streiten uns oft sehr hart in der Debatte. Aber dieser Anschlag auf 
@Karl_Lauterbach
 und die einhergehende Bedrohung ist von jedem Demokraten klar zu verurteilen. Er hat da unsere volle Solidarität.Karl Lauterbach: Unbekannte kippen Farbe auf Privatauto des SPD-Politikers
Von einem Farbanschlag auf sein Auto lässt sich SPD-Politiker Karl Lauterbach nicht einschüchtern: »Wir werden nie aufgeben. Wir sind viele.« Zuspruch erhält er von Tausenden Twitter-Nutzern.
spiegel.de",,2,17
Stephan Thomae,@StephanThomae,2021-04-16T17:20:21.000Z,"Dass die Bundesregierung selbst auf Sachverständige des Wissenschaftlichen Dienstes nicht hören will, zeigt, dass ihr Handeln nur noch von Panik und Konzeptlosigkeit bestimmt ist. #Ausgangssperre #LindnerHasso Suliak
@HassoSuliak
 · Apr 16
#FDP-Chef ⁦@c_lindner⁩ droht mit Gang zum #BVerfG wg der nächtlichen #Ausgangssperren. 
Ein neues Gutachten des wiss. Dienst des Bundestages kommt ihm entgegen: #Bundesnotbremse #Lockdown  https://lto.de/recht/hintergruende/h/bundes-notbremse-ausgangssperre-wissenschaftlicher-dienst-bundestag-corona-dritte-welle-verfassungsbeschwerde/…",3,3,16
