User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
MDR THÜRINGEN,@mdr_th,2021-05-14T07:00:35.000Z,"Ansturm auf digitalen Impfausweis in Thüringen #impfung #coronavirusAnsturm auf digitalen Corona-Impfnachweis in Thüringen | MDR.DE
Die Nachfrage nach dem elektronischen Impfnachweis in Thüringen ist ungebrochen. Einen Tag nach der Freischaltung gab es laut Kassenärztlicher Vereinigung rund 60.000 Zugriffe auf die Unterseite des...
mdr.de",2,6,7
CDU Deutschlands,@CDU,2021-05-14T13:05:59.000Z,"Handlungsfähig und bürgernah – so soll unser #Europa sein.

Wie wir das am besten #zusammenmachen – darüber haben wir am Dienstag mit Experten und -gebern von „Dein Deutschland. Deine Ideen.“ an unserem runden Tisch diskutiert.  
https://youtube.com/watch?v=OK7u7pM73ew…",41,11,27
Heer,@Deutsches_Heer,2021-05-14T07:01:19.000Z,Der Hochgebirgsspähzug der #Gebirgsaufklärer #Heer aus #Füssen ist der einzige seiner Art in der #Bundeswehr. Geistige wie körperliche Fitness sind hier unabdingbar. So gehört im Ernstfall auch die Bergrettung verletzter Soldaten für die Spezialisten dazu. #HorridoJoho,1,9,105
Martin Debes,@Martin_Debes,2021-05-14T09:14:04.000Z,"Die Bundestagskandidatur eines amtierenden VS-Chefs war von Anfang an eine sehr schlechte Idee - und nicht erst, seitdem gewiss ist, dass es mit einem Mandat über die Liste nichts wird.MDR AKTUELL
@MDRAktuell
 · 11h
Thüringer Verfassungsschutz-Chef Kramer zieht Bundestagskandidatur für SPD zurück. Grund sind laut eigener Aussage die aktuellen Gefahren und die Bedrohungslage. Er wolle sich auf diese Aufgaben mit voller Aufmerksamkeit konzentrieren.",2,6,21
CDU Deutschlands,@CDU,2021-05-14T09:32:54.000Z,Ein neuer Impfrekord steht - so geht #Impfturbo ,65,29,117
Jens Spahn,@jensspahn,2021-05-14T07:29:46.000Z,"Großer Schritt nach vorn: Neuer Tagesrekord für Deutschland mit 1,35 Mio Impfungen am Mittwoch. So wurden am Mittwoch / Donnerstag fast 2% der Deutschen geimpft. Damit sind 35,9% (29,8 Mio) mindestens einmal geimpft und 10,6% (8,8 Mio) voll geschützt.",374,262,2K
BMBF,@BMBF_Bund,2021-05-11T08:29:50.000Z,"€1,1 Mrd. für #Quantentechnologie F&E. BM Anja #Karliczek: „Ich will, dass die Entwicklung & Anwendung v. Quantentechn. in  &  unseren Wohlstand mehrt, technol. Souveränität stärkt & der Hochtechnologie ‚Made in Germany‘ zu e. echten Sprung verhilft.“ http://ow.ly/tSmm50EJDGQ",,15,27
UNESCO DE,@unesco_de,2021-05-11T10:45:39.000Z,"Die digitale #Weltkonferenz „Learn for Our Planet. Act for Sustainability“ vom 17. bis 19. Mai ist der Startschuss für das neue #BNE2030-Programm der #UNESCO. 
@BMBF_Bund
 und 
@unesco_de
 laden am 19. Mai zur nationalen Konferenz ein.

Jetzt informieren   https://unesco.de/bildung/bildung-fuer-nachhaltige-entwicklung/internationale-und-nationale-konferenzen-im-mai…",,12,24
BMBF,@BMBF_Bund,2021-05-11T11:38:19.000Z,"Hier noch einmal die Highlights der PK zu #Quantentechnologien. 
@RegSprecher
  #Quantencomputer #Forschung",,3,8
BMBF,@BMBF_Bund,2021-05-11T07:32:11.000Z,"This broadcast is not available.
BMBF
@BMBF_Bund
Pk: Quantencomputing",2,4,8
