User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Tabea Rößner,@TabeaRoessner,2021-05-13T10:33:56.000Z,"Keine 5 Monate mehr bis zur #btw. Am Samstag stellen 
@gruene_rlp
 die Liste auf. Ich bewerbe mich für den ersten Listenplatz. 

Was mich antreibt, habe ich in einem Video zusammengefasst.
#allesistdrin #BTW210:59
560 views",3,5,36
Grüne im Bundestag,@GrueneBundestag,2021-05-07T14:39:22.000Z,"Ich weiß nicht, zum wievielten Mal die #noAfD beschwört, die Meinungsfreiheit sei in Gefahr.

Das ist Blödsinn!

Allein die Tatsache, dass Sie Ihre Meinungen hier so unverhohlen äußern können, zeigt doch, dass an den Behauptungen nichts dran ist. 

– 
@TabeaRoessner",41,14,97
Tabea Rößner,@TabeaRoessner,2021-05-07T11:05:33.000Z,"Es ist mir eine Ehrensache!Shiva§
@shivasokhan1
 · May 7
Danke Liebe Tabea 

سپاس تابیا عزیز
#iran #Menschenrechte #umwelt @TabeaRoessner @IGFM_DE twitter.com/IGFM_DE/status…",1,1,6
Tabea Rößner,@TabeaRoessner,2021-05-07T11:04:45.000Z,"Sehr gerne!Internationale Gesellschaft für Menschenrechte
@IGFM_DE
 · May 7
Die Bundestagsabgeordnete Tabea Rößner, Grüne, hat eine politische Patenschaft für Niloufar Bayani übernommen.

Vielen Dank für das erneute Einsetzen für die Freilassung politischer Gefangener @TabeaRoessner ! 

#Iran #HumanRights 

https://igfm.de/iran-tabea-roessner-wird-patin-fuer-politische-gefangene-niloufar-bayani/…",,4,14
Manuel Atug,@HonkHase,2021-05-05T23:17:02.000Z,"""In die gleiche Kerbe schlägt die Opposition: ""Das #ITSIG20 steht heute schon exemplarisch für das Scheitern der #Bundesregierung im Bereich der IT-Sicherheit. Die Kritik am Gesetz reicht von 
@Bitkom
 bis zum #CCC"", sagt 
@TabeaRoessner
"" /14",1,2,9
Tabea Rößner,@TabeaRoessner,2021-05-05T20:20:30.000Z,"In Litauen wird der #Fliegenpilz zum Einreibungen bei Gelenk– und Rückenschmerzen verwendet, in Finnland zur Behandlung von Prellungen und Stauchungen.",3,2,14
Tabea Rößner,@TabeaRoessner,2021-05-03T05:33:13.000Z,"Über die Situation von Journalist:innen, Angriffe insbes. gegen Frauen und was die #OSZE-Staaten zu ihrem Schutz tun müssen - zum #TagDerPressefreiheit hat der BR die neue Beauftragte für die Freiheit der Medien in der OSZE, Teresa Ribeiro, interviewt.Medienwächterin: Atmosphäre des Misstrauens beunruhigt mich
Teresa Ribeiro aus Portugal ist die neue Beauftragte für die Freiheit der Medien in der OSZE. Sie soll ein wachsames Auge auf das Handeln von 57 Regierungen haben und – wenn nötig – Alarm schlagen....
br.de",,,1
Tabea Rößner,@TabeaRoessner,2021-04-30T15:51:34.000Z,"Glückwunsch zu den erfolgreichen Koalitionsverhandlungen 
@gruene_rlp
. Auf weitere erfolgreiche 5 Jahre mit gestärkten #Grünen für konsequenten #Klimaschutz!B'90/DIE GRÜNEN RLP
@gruene_rlp
 · Apr 30
Anne Spiegel: „Wir wissen, dass unsere Ziele ehrgeizig sind. Aber die Zukunft gewinnt nur, wer sich traut, Veränderung zu wagen. Darauf freuen wir uns die nächsten fünf Jahre, den neuen Zukunftsvertrag für Rheinland-Pfalz mit Leben zu füllen.“",,,8
BVerfG,@BVerfG,2021-04-29T07:30:39.000Z,#BVerfG Verfassungsbeschwerden gegen das Klimaschutzgesetz teilweise erfolgreich http://bverfg.de/DE/bvg21-031,,1.1K,3.6K
Tabea Rößner,@TabeaRoessner,2021-04-29T07:44:08.000Z,"Deshalb muss diese Bundesregierung auch endlich abgelöst werden #KlimaschutzDietmar Neuerer
@dneuerer
 · Apr 29
Wieder mal eine juristische Bauchlandung für die Bundesregierung in Karlsruhe: Das deutsche #Klimaschutzgesetz ist in Teilen verfassungswidrig.
Show this thread",2,2,11
Frankfurter Allgemeine,@faznet,2021-04-28T10:21:00.000Z,"Über die Zukunft von ARD, ZDF und Deutschlandradio sollten nicht nur Sender, Politik und Experten verhandeln. Wir brauchen eine breite demokratische Debatte, schreibt im Gastbeitrag 
@TabeaRoessner
:Zukunft von ARD und ZDF: Mehr Mut und mehr Kreativität
Über die Zukunft von ARD, ZDF und Deutschlandradio sollten nicht nur Sender, Politik und Experten verhandeln. Wir brauchen eine breite demokratische Debatte. Ein Gastbeitrag.
faz.net",8,8,11
