User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Team #dieschmidt,@TeamDieSchmidt,2019-01-18T13:18:52.000Z,"I added a video to a 
@YouTube
 playlist http://youtu.be/eDT4AsBPg2o?a Wohnen ist ein Grundrecht!Wohnen ist ein Grundrecht!
Rede von Dagmar Schmidt am 18.01.2019 zum Thema Wohnkostenlücke.
youtube.com",,,1
Team #dieschmidt,@TeamDieSchmidt,2018-06-28T12:39:20.000Z,"7249237 h264 720 400 2000kb baseline de 2192: http://youtu.be/_LiTKHUqBBU?a via 
@YouTubeDagmar Schmidt - Rede im Deutschen Bundestag am 28.06.2018
Sanktionen bei Hartz IV und Sozialhilfe
youtube.com",,,1
Team #dieschmidt,@TeamDieSchmidt,2018-06-14T08:06:47.000Z,"Kinderarmut bekämpfen: http://youtu.be/8zpvI6hgZ0g?a via 
@YouTubeKinderarmut bekämpfen
youtube.com",,,
Team #dieschmidt,@TeamDieSchmidt,2018-04-20T13:55:53.000Z,"Ich habe ein Video zu einer 
@YouTube
-Playlist hinzugefügt: http://youtu.be/cWp9jaR8anM?a Kinderarmut bekämpfen!Kinderarmut bekämpfen!
Sehr geehrter Herr Präsident! Liebe Kolleginnen und Kollegen! Sehr geehrte Damen und Herren! Liebe Kolleginnen und Kollegen von der Partei Die Linke, Sie hab...
youtube.com",,,
Team #dieschmidt,@TeamDieSchmidt,2018-04-20T13:03:04.000Z,"Kinderarmut bekämpfen!: http://youtu.be/cWp9jaR8anM?a via 
@YouTubeKinderarmut bekämpfen!
Sehr geehrter Herr Präsident! Liebe Kolleginnen und Kollegen! Sehr geehrte Damen und Herren! Liebe Kolleginnen und Kollegen von der Partei Die Linke, Sie hab...
youtube.com",,,1
Team #dieschmidt,@TeamDieSchmidt,2018-04-04T10:04:01.000Z,stilltesting https://ift.tt/2q3QDTN,,,
Team #dieschmidt,@TeamDieSchmidt,2018-04-04T10:00:49.000Z,#ifttt und #buffer testing https://ift.tt/2q4mvrB,,,
Team #dieschmidt,@TeamDieSchmidt,2018-03-15T12:42:10.000Z,"Sorgsam mit Zeit umgehen / Rede zum Arbeitszeitgesetz: http://youtu.be/ToVuVXJ-T_A?a via 
@YouTubeSorgsam mit Zeit umgehen / Rede zum Arbeitszeitgesetz
Sehr geehrte Frau Präsidentin, ich bin das letzte Mal schon gewürdigt worden.Liebe Kolleginnen und Kollegen! Sehr geehrte Damen und Herren! Das Arbeitszeitge...
youtube.com",,,
Team #dieschmidt,@TeamDieSchmidt,2018-03-02T13:13:35.000Z,"Mit dem sozialen Arbeitsmarkt Perspektiven für langzeitarbeitslose Menschen schaffen: http://youtu.be/wWMNKijsJWM?a via 
@YouTubeMit dem sozialen Arbeitsmarkt Perspektiven für langzeitarbeitslose...
Sehr geehrte Frau Präsidentin! Liebe Kolleginnen und Kollegen! Meine Damen und Herren! Die Grünen haben ein Thema auf die Tagesordnung gesetzt, das uns - es ...
youtube.com",,,
Team #dieschmidt,@TeamDieSchmidt,2018-03-02T13:13:33.000Z,"Ich habe ein Video zu einer 
@YouTube
-Playlist hinzugefügt: http://youtu.be/wWMNKijsJWM?a Mit dem sozialen Arbeitsmarkt Perspektiven fürMit dem sozialen Arbeitsmarkt Perspektiven für langzeitarbeitslose...
Sehr geehrte Frau Präsidentin! Liebe Kolleginnen und Kollegen! Meine Damen und Herren! Die Grünen haben ein Thema auf die Tagesordnung gesetzt, das uns - es ...
youtube.com",,,
