User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Paul Ziemiak,@PaulZiemiak,2021-05-12T10:33:13.000Z,"Vorfahrt für Gründerinnen & Gründer! Wer Talente fördert, muss ihnen den Weg ebnen, damit aus Ideen reale Innovationen werden. Wir wollen als 
@CDU
 den #Gründergeist fördern & die 20er-Jahre zu einem Gründungsjahrzehnt machen. Mein Gastbeitrag dazu 
@weltErfindergeist: Die 20er-Jahre müssen ein Gründungsjahrzehnt für unser Land werden - WELT
Vor 80 Jahren erfand Konrad Zuse in Berlin den Computer. Wie kann die Politik heute Erfindergeist und neue Unternehmen fördern? Drei Voraussetzungen müssen geschaffen werden, schreibt CDU-Generalse...
welt.de",50,20,87
KlimaUnion,@klimaunion,2021-05-09T21:17:53.000Z,"Der 1,5-Grad-Pfad ist keine technische Frage, sondern eine Frage des gesellschaftlichen Zusammenhalts. 

Diesen #Zusammenhalt kann 
@ArminLaschet
 schaffen, das hat er heute bei #AnneWill gezeigt. 

Wir stehen hinter ihm, #wegenmorgen.  
@CDU
 @cducsubt
 @CSUPaul Ziemiak and 9 others",164,62,213
Thomas Heilmann #NEUSTAAT,@ThomasHeilmann,2021-05-09T15:23:00.000Z,"Der Zusammenhang ist 3x um die Ecke gedacht. Armin Laschet wird sicher der Bundeskanzler, der Deutschland auf den Weg zum erfolgreichen und klimaneutralen Industrieland führt. Bewusst und umsichtig! #wegenmorgenKlimaUnion
@klimaunion
 · May 9
Hr @ArminLaschet, ab wann gilt Ihre Aussage, dass Schluss mit der Kohle ist, sobald es nicht mehr wirtschaftlich sei.

Stottert: ""Das tritt nach meiner Kenntnis ... ist das sofort, unverzüglich."" 
Solarstrom seit 2018 billiger als Kohlestrom.

#VorzeitigerKohleausstieg @faznet
Show this thread",8,5,27
Thomas Heilmann #NEUSTAAT,@ThomasHeilmann,2021-05-09T11:03:03.000Z,"Happy #EuropeDay #Europatag 
#Europa ist für uns nicht nur ein Staatenverbund, sondern #Heimat. Es brachte und bringt uns die Verpflichtung zu #Frieden, #Wohlstand und #Sicherheit. 
Außerdem gedenken wir heute #SophieScholl100 und ehren ihre Werte! CDU Berlin
@cduberlin
 · May 9
#Berlin lebt europäische #Freiheit, #Vielfalt und #Weltoffenheit - das beweisen rund 417.000 EU-Bürger, die in Berlin ihr zu Hause gefunden haben. Jetzt bekennt sich auch unsere Berliner Verfassung zu #Europa. @hildebentele @CDUBerlin_AGH #Europatag",,1,2
Thomas Heilmann #NEUSTAAT,@ThomasHeilmann,2021-05-07T13:39:36.000Z,"@TagesspiegelCDU Berlin stellt neues Schüler-Testkonzept vor
Die seit Mitte April gültige Testpflicht an Berliner Schulen sorgte immer wieder für Kritik. Die CDU fordert nun eigene Testzentren für Bildungseinrichtungen.
m.tagesspiegel.de",,,1
Ursula Heinen-Esser,@HeinenUlla,2021-04-26T07:09:11.000Z,"Top-Initiative: 1. Höhere Einnahmen aus CO2-Preis gehen an die Bürger/Wirtschaft (via EEG-Umlage), 2. höherer CO2-Preis macht fossile Energien unattraktiver, aber niedrigere Strompreise machen Ökostrom attraktiver.The following media includes potentially sensitive content. Change settings
View",1,2,6
inforadio,@rbbinforadio,2021-04-25T11:18:13.000Z,"Homeoffice und remote Arbeiten: Die Corona-Pandemie hat gezeigt, dass es geht. Wie verändern sich unsere Arbeitswelten dadurch in #Zukunft? 
Wir disktuieren mit 
@Bitkom_NewWork
, 
@MFratzscher
 , 
@AnkeHassel
, 
@ThomasHeilmannHomeoffice only oder zurück ins Büro? Die Zukunft der Arbeit
Homeoffice und remote Arbeiten: Die Corona-Pandemie hat gezeigt, dass es geht. Wie verändern sich unsere Arbeitswelten dadurch in Zukunft? Ute Holzhey bringt Wirtschaftsexperten, Arbeitsrechtler,...
inforadio.de",3,1,4
Lutz van der Horst,@LutzvanderHorst,2021-04-23T13:28:45.000Z,#allesdichtmachen - Ich bin auch dabei ,3.5K,9.1K,50.3K
Thomas Heilmann #NEUSTAAT,@ThomasHeilmann,2021-04-24T13:30:51.000Z," https://cdu.de/mitglied-werden

Jetzt deutschlandweit* online Mitglied werden und Thomas Heilmann und  #NEUSTAAT unterstützen!

*Bayern ausgenommen ",6,6,45
Kai Whittaker,@Kai_Whittaker,2021-04-22T12:46:55.000Z,"Nachhaltigkeit ist mehr als Klimaschutz. Am #TagDerErde
 ist es mir wichtig, auch soziale und wirtschaftliche Aspekte zu bedenken. Die von uns vorgeschlagene #GrüneNull ist dabei erst der Anfang. 
 
@cducsubt
 @ThomasHeilmann
 @n_roettgen",1,6,42
