User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Christian Waldheim,@ChWaldheim,2021-05-07T16:15:26.000Z,"@JoanaCotar
 mit einer klaren Ansage in Richtung Regierungsbank, dass es um die #Meinungsfreiheit in #Deutschland nicht gut bestellt ist. Daher: Am 26.09. zur #Bundestagswahl die 
@AfD
 wählen. Wir sind Ihre Stimme der Freiheit. #btw2021 #AfDAfD-Fraktion im Deutschen Bundestag
@AfDimBundestag
 · May 7
+++Es steht schlecht um die #Meinungsfreiheit in #Deutschland!+++
@JoanaCotar, digitalpolitische Sprecherin der #AfD-Fraktion im #Bundestag, stellt in ihrer Rede klar: ""Die falsche Meinung zu äußern kann schnell das berufliche und gesellschaftliche Aus bedeuten!""
5:43
54.7K views",1,14,38
Joana Cotar,@JoanaCotar,2021-05-06T22:33:30.000Z,"Die #AfD will die Bürger nicht stärker mit Steuern und Abgaben belasten. Analog zur Schuldenbremse wollen wir eine verbindliche Steuer- und Abgabenbremse im Grundgesetz, um die maximale Summe der Belastung auf einen bestimmten Prozentsatz festzuschreiben.Alexander Kissler
@DrKissler
 · May 6
Im Land mit der weltweit höchsten Steuern- und Abgabenlast könnte man statt des Mietendeckels auch mal einen Staatsdeckel fordern.",5,74,293
Edward Franiel,@Politleben,2021-04-15T13:51:20.000Z,"Thomas Ehrhorn: „Ja, wir sind immer noch gegen rot-grüne #Quotenträume. Die Stellen bei der Müllabfuhr sind auch nicht mit 50 Prozent #Parität mit Frauen besetzt.“
@Thomas_Ehrhorn
 #AfD #Bundestag
https://politwelt.de/2021/04/15/thomas-ehrhorn-rede-vom-15-04-2021/… via 
@PolitweltThomas Ehrhorn – Rede vom 15.04.2021
Thomas Ehrhorn – Errichtung der Bundesstiftung Gleichstellung Ja, wir sind immer noch gegen rot-grüne Quotenträume. Die Stellen bei der Müllabfuhr sind auch nicht mit 50 Prozent Parität mit F…
politwelt.de",1,2,4
"Jürgen Braun, MdB",@JuergenBraunAfD,2021-05-05T17:26:59.000Z,"4 Jahre Aufbau der 
@AfDimBundestag
 waren erst der Anfang!
Ich trete wieder für den #Bundestag an.
#NurdieAfD rettet unser Land vor dem #totalitären grünlinken Verbotsstaat! Nur wir stehen für Freiheit + Demokratie!
Sehen Sie mein persönliches Video: #AfDJürgen Braun - Vorstellung für die Landesliste Baden-Württemberg
Jürgen Braun, Menschenrechtspolitischer Sprecher der AfD-FraktionWahlkreis WaiblingenInformieren Sie sich über mich auf:Facebook https://www.facebook.com/bra...
youtube.com",24,83,353
Joana Cotar,@JoanaCotar,2021-05-05T15:04:43.000Z,"Annalena #Baerbock - der Liebling der Globalisten. Sie steht für alles, gegen was ich kämpfe. #AfD",146,488,1.5K
Steinhoefel,@Steinhoefel,2021-02-03T10:39:33.000Z,"Ich habe es gerade mit einer Kanallöschung auf YouTube zu tun, die wegen eines Videos erfolgte, das im wesentlichen aus Originaltönen von Merkel, Spahn, Drosten usw aus ZDF und phoenix bestand. ""Medizinische Fehlinformationen"" seien das. Das wird unterhaltsam.",165,1.2K,5.2K
Joana Cotar,@JoanaCotar,2021-01-11T08:34:37.000Z,"Bereit für den #Überwachungsstaat? Mit der #CSU ist das durchaus möglich. Nicht einmal ansatzweise akzeptabel!15-Kilometer-Regel: Brandl fordert Auswertung von Handy-Daten
Uwe Brandl, Präsident des Bayerischen Gemeindetags, hält den ab heute coronabedingt geltenden 15-Kilometer-Bewegungsradius für schwer kontrollierbar. Als Alternative schlägt der Abensberger Bürgerm...
br.de",54,136,446
AfD-Fraktion im Deutschen Bundestag,@AfDimBundestag,2021-01-10T16:15:32.000Z,"Angesichts der Tatsache, dass nahezu kein Tag in Deutschland vergeht, an dem nicht in irgendeinem Alten- und Pflegeheim ein Coronaausbruch eintritt, fordert #AfD-MdB 
@Thomas_Ehrhorn
: ""Alten- und Pflegeheime endlich wirksam schützen!"" #CoronaEhrhorn: Alten- und Pflegeheime endlich wirksam schützen
Berlin, 10. Januar 2021. Zu den Pressemeldungen, nach denen sich bereits geimpfte Personen in Alten- und Pflegeheimen mit Corona angesteckt haben teilt der AfD-Bundestagsabgeordnete und Mitglied im...
afdbundestag.de",39,15,85
BILD,@BILD,2021-01-11T06:49:42.000Z,"Anschläge auf Landesbehörde - Pistorius warnt vor Links- TerrorAnschläge auf Landesbehörde: Pistorius warnt vor Links-Terror
„Wir haben das mörderische Abschiebesystem angegriffen“, posteten sie anonym nur Stunden nach dem verheerenden Brandanschlag.
bild.de",23,29,40
Jan Schäfer,@schaefer_j,2021-01-11T10:05:30.000Z,"Wie Autoren des zwangsfinanzierten 
@ZDF
 über Politikerinnen einer demokratischen Partei richten, die mit einem privaten Medium sprechen... 
@SchwarzK_
 @BILDMiguel Robitzky
@miguelrausa
 · Jan 11
Richtig wäre: Da geht man einmal zu einem menschenfeindlichen Boulevardblatt und wirbt für menschenfeindliche Politik - schon muss man mit Kritik umgehen.",28,35,288
"Thomas Ehrhorn, MdB",@Thomas_Ehrhorn,2021-01-11T10:49:03.000Z,"Warum ist Boris Pistorius überrascht? Die Antifa hatte solche Terrorakte doch bereits Ende 2020 angekündigt. . Warum wurden keine Schutzmaßnahmen ergriffen?Feuer an LAB Braunschweig: Noch keine Hinweise auf Täter
Nach dem Brandanschlag auf die Landesaufnahmebehörde (LAB) in Braunschweig haben die Ermittler von LKA und Generalstaatsanwaltschaft Celle weiterhin noch keine Hinweise auf die Täter.
ndr.de",1,,
Tomasz Froelich,@TomaszFroelich,2020-10-18T16:09:04.000Z,"Auf die ist Verlass: 
@jungeliberale
 erkennen mal wieder die größten Bedrohungen unserer Freiheit. Was wären wir nur ohne die?",30,43,234
AfD-Fraktion im Deutschen Bundestag,@AfDimBundestag,2020-10-09T12:23:25.000Z,"+++Respektloses Gelächter während sie spricht!+++ - 
@Beatrix_vStorch
, stellv. Vorsitzende der #AfD-Fraktion, stellt in der Debatte zum Frauenanteil im #Bundestag klar: ""Wer ins Parlament gewählt wird, der repräsentiert das ganze Volk und nicht nur irgendeine Gruppe!""",100,195,578
Phil,@gephiltert,2020-10-09T15:07:06.000Z,"Sozialismus vs. Kapitalismus

Choose your home.",901,1.1K,2.1K
"Thomas Ehrhorn, MdB",@Thomas_Ehrhorn,2020-10-12T12:56:57.000Z,"Die Welt wäre gerechter ohne die SED!Kandidatin für Linken-Vorsitz hält Enteignungen für gerechtfertigt
Die Kandidatin für die Spitze der Linkspartei, Janine Wissler, hat Enteignungen als ein mögliches Mittel der Politik gerechtfertigt. Bei bestimmten Immobilienkonzernen, aber auch im öffentlichen...
jungefreiheit.de",4,1,2
Meister Becker,@becker_meister,2020-10-10T21:53:48.000Z,"Das kapitalistische Schweinesystem verbreitet Fakebilder aus #Liebig34 , um die Räumung zu rechtfertigen. CIS Journalisten verbreiten diese bereitwillig auf heteronormativen Kanälen. Wir zeigen die wahren Innenaufnahmen 1h vor der Räumung.",218,604,2.8K
Edward Franiel,@Politleben,2020-10-07T15:24:33.000Z,"Thomas Ehrhorn: „Sollten sie tatsächlich einen Rest von politischer #Vernunft und #Verantwortung für dieses Land entdeckt haben, dann sollten sie sich von der ideologischen E-Mobilität und der #Energiewende verabschieden!“
@Thomas_Ehrhorn
https://dieafd.de/2020/10/07/thomas-ehrhorn-rede-vom-07-10-2020/… 
@PolitweltThomas Ehrhorn – Rede vom 07.10.2020
Thomas Ehrhorn – Aktuelle Stunde – Mobilität als Rückgrat unseres Wohlstandes Sollten sie tatsächlich irgendwo einen Rest von politischer Vernunft und Verantwortung für dieses Land entd…
politwelt.de",1,4,6
AfD-Fraktion im Deutschen Bundestag,@AfDimBundestag,2020-10-02T14:06:41.000Z,".
@Thomas_Ehrhorn
: ""Schutz von Kindern endlich oberste Priorität einräumen – Forderungen des #UBSKM unterstützen!""Ehrhorn: Schutz von Kindern endlich oberste Priorität einräumen – Forderungen des UBSKM unterstützen
Berlin, 2. Oktober 2020. Der Unabhängige Beauftragte der Bundesregierung für Fragen des sexuellen Kindesmissbrauchs (UBSKM), Johannes-Wilhelm Rörig, hat sich mit einem Positionspapier 2020 unter...
afdbundestag.de",5,24,60
"Thomas Ehrhorn, MdB",@Thomas_Ehrhorn,2020-10-01T16:22:58.000Z,"Heute besuchte ich mit meinen Kollegen 
@DirkSpaniel
 und 
@Ulrich_Oehme
 den Chemieanlagenbau Chemnitz.",1,1,3
"Thomas Ehrhorn, MdB",@Thomas_Ehrhorn,2020-10-01T09:43:29.000Z,"Es ist der kalte Sozialismus mit seiner Planwirtschaft von Armin Laschet selbst, der die Arbeitsplätze vernichtet. Dieser Lügenbaron. #continentalConti-Aufsichtsratschef wettert: ""Man zerstört politisch die Autoindustrie""
finanzen100.de",2,8,34
"Thomas Ehrhorn, MdB",@Thomas_Ehrhorn,2020-09-29T10:56:07.000Z,Heute mal wieder Filmaufnahmen in Berlin,1,1,1
"Thomas Ehrhorn, MdB",@Thomas_Ehrhorn,2020-09-27T13:59:53.000Z,"#BlumenfuerDeutschland
https://m.facebook.com/story.php?story_fbid=3280766712020477&id=430190603744783&sfnsn=scwspmo&extid=uefJMVZoKFiHTi8P…",2,1,2
AfD-Fraktion im Deutschen Bundestag,@AfDimBundestag,2020-09-18T10:46:22.000Z,"Die #AfD-Fraktion im Deutschen #Bundestag bringt in dieser Woche einen Antrag ein, der dem Ansinnen der Bundesländer, #Motorradfahrer massiv zu beschränken, entschieden entgegentritt. 
@Thomas_Ehrhorn
: ""Generalangriff auf die #Biker umgehend beenden!""Ehrhorn: Generalangriff auf die Biker umgehend beenden
Berlin, 18. September 2020. Die AfD-Bundestagsfraktion bringt in dieser Woche einen Antrag ein, der dem Ansinnen der Bundesländer, Motorradfahrer massiv zu beschränken, entschieden entgegentritt. Der...
afdbundestag.de",8,24,65
AfD-Fraktion im Deutschen Bundestag,@AfDimBundestag,2020-09-17T10:34:54.000Z,"Um die 
 Wirtschaft von unnötigen Belastungen zu befreien & dem #Grundgesetz Rechnung zu tragen, bringen wir den Antrag auf Änderung d. Aktiengesetzes ein. 
@Thomas_Ehrhorn
: ""Frauenquoten sind mit 
 Verfassung nicht in Einklang zu bringen!"" #AfD #BundestagEhrhorn: Frauenquoten sind schädlich für die Wirtschaft und mit der Verfassung nicht in Einklang zu...
Berlin, 17. September 2020. Um die deutsche Wirtschaft von unnötigen Belastungen zu befreien und dem Grundgesetz Rechnung zu tragen, bringt die AfD-Fraktion in dieser Woche ihren Antrag auf Änderung...
afdbundestag.de",11,15,49
