User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Marco Buschmann,@MarcoBuschmann,2021-05-08T06:58:03.000Z,"Wow! Die Aktion „Flaggen der Einheit“ der 
@fdpbt
 hat gestern jede Menge Preise beim Art Directors Award abgeräumt. Großes Kompliment an 
@HEIMATBerlin
 für das kreative Konzept und unsere Mitarbeiter für die Umsetzung! ",9,23,188
Lukas Köhler,@koehler_fdp,2021-05-06T10:42:01.000Z,"""Die #FDP will keinen #Klimaschutz, das interessiert die einen Dreck."" 
Als populistischer Lügner könnte Jürgen Trittin auch in der #AfD Karriere machen. Wisst ihr noch, als er versprochen hat, dass die #EEG-Umlage nicht mehr als eine Kugel Eis im Monat kosten würde!?",47,87,880
Georgi Ambarzumjan,@Ambarzumjan,2021-04-15T18:14:34.000Z,".
@DuezenTekkal
 & ich haben mit der 
@BILD
 über den Tempel des Hasses in #Aserbaidschan gesprochen:

Armenier werden von Aserbaidschan schon seit Anfang des 20. Jhd entmenschlicht, verfolgt & getötet. Die Figuren sehen aus wie lebendige Karikaturen aus dem Nazi-Blatt ‚Der Stürmer‘BILD
@BILD
 · Apr 15
Kriegsausstellung - Aserbaidschan verhöhnt armenische Kriegsopfer https://bild.de/politik/ausland/politik-ausland/aserbaidschan-verhoehnt-armenische-kriegsopfer-geschmacklose-ausstellung-76077016.bild.html…",3,14,43
Till Mansmann,@TillMansmann,2021-04-08T11:00:53.000Z,"Bundeskanzlerin Merkel und weitere Vertreter der Union wollen das #Infektionsschutzgesetz verschärfen & die Bundesländer entmachten. Ich finde: Nach über einem Jahr Gewurschtel der Exekutive wäre es Zeit, die Entscheidungskompetenz endlich wieder den Parlamenten zu überlassen!",1,4,8
Marco Buschmann,@MarcoBuschmann,2021-04-05T19:43:19.000Z,"#Brueckenlockdown ? Die Debatte ist zu wichtig, um sie mit solchen Schlagworten zu führen. Offenbar eher ein Akt im Drama um die CDU-Kanzlerkandidatur als ein durchdachter Plan gegen das Virus. Meine Kritik in 
@derspiegelBrücken-Lockdown-Vorschlag von Armin Laschet: Ein Brückenschlag zur Kanzlerin
CDU-Chef Armin Laschet fordert einen raschen Brücken-Lockdown, bis genügend Menschen geimpft sind. Es ist ein Zugeständnis an Angela Merkel, wirft jedoch viele Fragen auf. Von FDP, der Linken und SPD...
spiegel.de",39,38,292
phoenix,@phoenix_de,2021-03-26T09:13:26.000Z,"Bessere Vorschläge! Es braucht mehr Parlamentarismus in der #Coronakrise, wirbt 
@MarcoBuschmann
 @fdpbt
. Den Fehler mit der #Osterruhe hätte eine #BundestagsArbeitsgruppe vorab abgewendet, ""weil wir hier sorgfältiger beraten können und #QualitätsSicherungsMechanismen haben."" 
@fdp",6,14,64
Till Mansmann,@TillMansmann,2021-02-09T12:14:08.000Z,"Im Kern handelt es sich bei den Grauen Wölfen um eine faschistische Bewegung. Rund um den Bergkarabachkrieg haben sich Drohungen gegen Armenier hierzulande gehäuft. Wir müssen Nationalismus und #Rassismus die Stirn bieten!Bundestag fordert Verbot: Der finstere Einfluss der Grauen Wölfe - Hintergrund - RNZ
Die Türkische Nationalisten-Bewegung wird für Anschläge und Drohungen verantwortlich gemacht.
rnz.de",,2,7
Till Mansmann,@TillMansmann,2021-02-06T12:35:35.000Z,"Null Toleranz für weibliche Genitalverstümmelung! #FGMZeroToleranceDay2021 

Weltweit sind 200 Mio Frauen und Mädchen Opfer der Beschneidung. Die Folgen sind gravierend: #EndFGM! Als Mitglied des Beirats der 
@dsw_de
 werde ich mich weiterhin für die Beendigung der FGM einsetzen!",,3,10
Julia von Buttlar,@juliavonbuttlar,2021-01-30T11:09:12.000Z,"Politik wird kommunal gemacht. 
#DAgehtnochwas
@starkwatzinger
 @nicolabeerfdp
 @MoritzPromny
 @maximhauk
 @TillMansmann
 @florian_toncar
 

Mehr Infos und Videos der Kandidaten unter
http://fdp-darmstadt.de",2,4,6
Till Mansmann,@TillMansmann,2021-02-03T11:03:17.000Z,"Liebe 
@cducsubt
, liebe 
@spdbt
, heute wäre ein guter Tag den steuerlichen #Verlustrücktrag im #Koalitionsausschuss zu beschließen. Die Unternehmen müssen entlastet werden, um weitere Insolvenzen zu verhindern! Das fordern wir 
@fdpbt
 bereits seit Monaten: https://dip21.bundestag.de/dip21/btd/19/236/1923696.pdf…",,,4
Till Mansmann,@TillMansmann,2021-02-01T12:54:42.000Z," 
Wir 
@fdpbt
 werden weiterhin unseren kritischen Blick auf diesen laufenden Prozess im Auswärtigen Amt richten und darauf achten, wer in dieser sensiblen Struktur Einfluss erhält. #AuswaertigesAmt #ZMD 

https://juedische-allgemeine.de/religion/auswaertiges-amt-will-beratung-zu-religionsfragen-neu-aufstellen/…Jüdische Allgemeine
@JuedischeOnline
 · Jan 29
Kritik hatte zuvor die Berufung der Vize-Vorsitzenden des Zentralrats der Muslime hervorgerufen. Ihr war unter anderem vorgeworfen worden, sich nicht ausreichend von Antisemitismus und Islamismus zu distanzieren. @AuswaertigesAmt https://juedische-allgemeine.de/religion/auswaertiges-amt-will-beratung-zu-religionsfragen-neu-aufstellen/…",,,2
Till Mansmann,@TillMansmann,2021-01-26T10:33:57.000Z,".
@HBraun
 schlägt eine Grundgesetzänderung zum Aussetzen der #Schuldenbremse auf Kosten künftiger Generationen vor. Damit hat sich die #CDU nun endgültig von vernünftiger #Finanzpolitik verabschiedet. Wir 
@fdpbt
 sind die letzte verbliebene Bastion haushaltspolitischer Vernunft.",,2,7
"Karsten Klein, MdB",@MdBKlein,2021-01-25T22:15:03.000Z,"@HBraun
 will #Schuldenbremse auf Kosten zukünftiger Generationen aussetzen. Gut, dass es einen Weg der Mitte gibt 
@fdpbt
. Setzen wir bei der wirtschaftlichen Erholung auf die Menschen und weniger auf den Staat. 
@fdplgbyRobin Alexander
@robinalexander_
 · Jan 25
Oha! Kanzleramtschef @HBraun schlägt im morgigen @handelsblatt Grundgesetzänderung vor, um nach Corona #Schuldenbremse temporär aufgeben zu können. Damit verliefe die Schlachtlinie im Wahlkampf so: Mehr Schulden mit der CDU oder höhere Steuern mit der SPD. (via: @fneuhann)",,1,4
Marco Buschmann,@MarcoBuschmann,2021-01-17T16:41:42.000Z,"Wen halten die Deutschen für die besten Politiker? Laut 
@insa_mafo
 steht 
@c_lindner
 auf Platz 5. Sehr starkes Ergebnis! Das beste für einen Oppositionspolitiker.",156,58,422
Till Mansmann,@TillMansmann,2021-01-13T13:07:39.000Z,"Von „historischem Versagen“ zu sprechen trifft sich gut, wenn man als Spitzenkandidat die Landtagswahl in #NRW verloren, seinen Verband im Stich gelassen und sich nun auch noch ins Aus beim #CDU Vorsitz geschossen hat. #Röttgen #FDP",,,5
Till Mansmann,@TillMansmann,2021-01-13T12:58:39.000Z,"So spricht nur jemand, der die Frage der Regierung ausschließlich nach Machtgesichtspunkten stellt – egal mit welchem Inhalt. Ich frage mich schon seit Wochen, für welche Inhalte #Röttgen den #CDUVorsitz will. Es geht ihm nur ums Regieren.Als Selbstzweck.Röttgen hat Vorbehalte gegen Koalition mit FDP - Laschet sieht das anders - WELT
„Auf eine Partei, die mal Lust hat zu regieren und dann wieder nicht, kann man sich nicht verlassen“: Der CDU-Vorsitzkandidat Norbert Röttgen hat sich gegen eine Koalition mit der FDP nach der...
welt.de",,1,4
Lukas Köhler,@koehler_fdp,2021-01-13T09:50:43.000Z,"Natürlich würde 
@n_roettgen
 mit der 
@fdp
 regieren, denn ihm geht's immer nur ums Regieren - für Opposition ist er sich viel zu schade, wie wir seit 2012 wissen. Dass er nicht versteht, warum der #FDP Wahlversprechen wichtiger sind als Ministerposten, glaube ich ihm sofort.",18,58,615
OttO Fricke,@Otto_Fricke,2021-01-12T07:11:25.000Z,"Start in den Tag: Haushälter und Finanzpolitiker der 
@fdpbt
 im Gespräch mit 
@Isabel_Schnabel
 zur Geldpolitik der 
@ecbChristian Dürr and 7 others",3,3,43
Till Mansmann,@TillMansmann,2021-01-06T12:08:51.000Z,".
@c_lindner
 beim #3k21 der 
@fdp
: Wir sind bereit zur Übernahme von Verantwortung für unser Land. Mehr noch: Wir haben Lust zur Gestaltung. Wir haben Lust darauf, nach dem Ende der Ära Merkel am nächten Kapitel unseres Landes mitzuschreiben, im Geiste der #Freiheit. #liberal #fdpChristian Lindner and 2 others",,1,11
Till Mansmann,@TillMansmann,2021-01-06T10:37:19.000Z,"Die Spitzenkandidat der 
@FDPBW
 @ruelke
 macht deutlich: Wer die Energiewende und die Verkehrswende schaffen will, braucht Wasserstofftechnologie. Wagen wir #innovation #3k21 Es geht uns alle an!Hans-Ulrich Rülke and 2 others",1,1,12
Marco Buschmann,@MarcoBuschmann,2020-12-05T08:30:13.000Z,"Wilde Mischung bei den #Querdenkern, von der die 
@welt
 heute berichtet. #FDP-Anhänger sind nicht dabei. Eine gute Nachricht. Sollten insbesondere die zur Kenntnis nehmen, die unsere seriöse Kritik an bestimmten Elementen der Corona-Strategie gerne unsachlich diffamieren.",80,64,387
Marco Buschmann,@MarcoBuschmann,2020-11-26T08:22:35.000Z,"Beim Schutz vulnerabler Gruppen macht es sich Kanzlerin zu leicht. Sie sagt, es seien 27 Mio, die könne man nicht wegsperren. Niemand will wegsperren (Polemik)! Es gibt besonders schutzbedürftige Menschen zB in Alten- und Pflegeheimen. Dort konsequent schützen und testen!",21,18,207
Till Mansmann,@TillMansmann,2020-11-18T12:47:25.000Z,"Es geht besser, also machen wir einen besseren Vorschlag!Fraktion der Freien Demokraten
@fdpbt
 · Nov 18, 2020
Wir legen Alternative zu #Infektionsschutzgesetz vor, die: 
 Rechtssicherheit schafft
 Ausnahmen für Betriebe mit Hygienekonzept zulässt 
 keine unverhältnismäßigen Maßnahmen enthält
 Entschädigungsanspruch für Selbstständige schafft 
Details 
https://dip21.bundestag.de/dip21/btd/19/243/1924375.pdf…",,,1
Fraktion der Freien Demokraten,@fdpbt,2020-11-18T12:17:37.000Z,"""Es geht keine Infektionsgefahr vom Vor-die-Tür-Treten aus. Für uns wäre ein #Hausarrest unverhältnismäßig und sollte im #Infektionsschutzgesetz gar nicht erst erwähnt werden!"": 
@c_lindner",59,98,612
