User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Steffen Seibert,@RegSprecher,2021-05-13T18:34:43.000Z,"Seit dem Update auf Version 2.0 besitzt die #CoronaWarnApp die Funktion zur Eventregistrierung. Damit lässt sich künftig in Gastronomie, Einzelhandel oder bei Veranstaltungen per QR-Code einchecken. #IchAppMit http://bpaq.de/cwa-update So funktioniert's:1:18
20.2K views",98,117,325
Paul Ziemiak,@PaulZiemiak,2021-05-13T06:34:00.000Z,"„Dann führte er sie hinaus in die Nähe von Betanien. Dort erhob er seine Hände und segnete sie. Und es geschah, während er sie segnete, verließ er sie und wurde zum Himmel emporgehoben.“ - Lukas 24, 50-51.
Ich wünsche Ihnen einen gesegneten Feiertag.",38,16,132
Tino Sorge,@TinoSorge,2021-05-12T09:05:37.000Z,"Am heutigen internationalen Tag der Pflegenden danke ich allen Beteiligten, die - nicht erst seit #Corona - Großartiges leisten und oft unter hoher Belastung stehen. #Pflegende verdienen eine bessere #Anerkennung für diese fordernde Tätigkeit. #Danke",,2,6
Tino Sorge,@TinoSorge,2021-05-11T16:46:05.000Z,"Am vergangenen #Donnerstag hielt ich im Plenum  eine #Rede zur abschließenden Beratung des Gesetzes zur digitalen #Modernisierung von Versorgung & Pflege (#DVPMG). 

Hier könnt ihr meine Rede anschauen  https://fb.watch/5qrtXbjyN8/

#CDUCSU #Digitalisierung #Pflege",,,4
Tino Sorge,@TinoSorge,2021-05-10T09:40:34.000Z,"Heute ist der „Tag der #Kinderbetreuung“ - Darum bedanke mich herzlich bei all jenen, die in diesem wichtigen Bereich der Kinderbetreuung arbeiten und dort Tag für Tag Großes leisten. 
#Danke #Kinder #Zukunft #Erziehung",,1,1
Tino Sorge,@TinoSorge,2021-05-10T08:18:19.000Z,"Seit heute steht fest: #Priorisierung beim J&J-#Impfstoff wird bei Arztpraxen & Betriebsärzten aufgehoben. Beim #Impfen geht es immer schneller voran. Insgesamt ist 1/3 der Bevölkerung mind. 1x geimpft. Wir sind auf einem guten Weg aus der Pandemie. 
@cdulsa
 @cducsubt
 @BMG_Bund",,1,8
Tino Sorge,@TinoSorge,2021-05-05T07:48:00.000Z,"Heute im #Gesundheitsausschuss: abschließende Beratung des Gesetzes zur digitalen Modernisierung von #Gesundheitsversorgung & #Pflege #DVPMG 
@cducsubt
 @cdulsa",1,3,9
Tino Sorge,@TinoSorge,2021-05-04T07:51:58.000Z,"Ich teile die (sehr lesenswerte) Einschätzung meines Kollegen ⁦
@thorsten_frei
⁩ : Unions-Fraktionsvize: Baerbocks Asylprogramm ist Bombe für Sozialstaat - WELTUnions-Fraktionsvize: Baerbocks Asylprogramm ist Bombe für Sozialstaat - WELT
Was die Grünen in ihrem Wahlprogramm zum Thema Zuwanderung fordern, ist letztlich eine Einladung zum Asylbetrug und zutiefst ungerecht, während andere EU-Länder jubeln würden. In einem schwarz-grünen...
welt.de",1,1,7
Tino Sorge,@TinoSorge,2021-04-30T11:32:24.000Z,"... denn es gibt ja für die Landtagswahl ein sehr gutes Programm 
@cdulsa
 mit unserem Spitzenkandidaten MP 
@reinerhaseloff
 - wie bei Landtagswahlen und Landesthemen üblich . 
@CDU
 #SachsenAnhalt #UnsereHeimatunsereVerantwortungRalf Schuler
@drumheadberlin
 · Apr 30
CDU-Generalsekretär @PaulZiemiak hat auf der Mitglieder-Veranstaltung CDU-connect erklärt, dass es vor der Wahl in Sachsen-Anhalt (6. Juni) kein Wahlprogramm der Union geben werde @BILD_Politik",,1,8
CDU Deutschlands,@CDU,2021-04-30T10:36:23.000Z,"Noch 37 Tage bis zur Landtagswahl in Sachsen-Anhalt. Jetzt Briefwahl beantragen & für eine starke 
@cdulsa
 unter Ministerpräsident 
@reinerhaseloff
  sowie eine verantwortungsvolle Politik für die Menschen in Sachsen-Anhalt stimmen! ",70,19,76
CDU Sachsen-Anhalt,@cdulsa,2021-04-25T17:20:13.000Z," Armin Müller ist neuer Oberbürgermeister von #Naumburg/Saale!!! Herzlichen Glückwunsch 
#UnsereHeimatUnsereVerantwortung",5,5,65
Tino Sorge,@TinoSorge,2021-04-26T06:53:57.000Z,"Beim heutigen #Impfgipfel müssen sich #Bund & #Länder zügig auf mehr Freiheiten für #Geimpfte sowie eine Aufhebung der #impfpriorisierung einigen. Einerseits ist dies verfassungsrechtlich geboten, andererseits kommen wir so schneller durch #Corona bei gleichzeitiger Akzeptanz.",,,4
Tino Sorge,@TinoSorge,2021-04-23T10:24:27.000Z,"Der #digitale #Impfpass stand im #Bundestag zur Diskussion. Er soll zur Jahresmitte bereitstehen, um einen #Impfschutz gegen #Corona nachzuweisen. 
Am #Montag findet der #Impfgipfel statt, auch dort dürfte das ein Thema sein.

Hier gehts zur Rede https://bit.ly/3gDc35h",1,,4
Tino Sorge,@TinoSorge,2021-04-22T15:41:57.000Z,"Kurz nach der #Debatte zum #Impfpass , in der ich auch geredet hatte, war heute Vormittag kurzzeitig „Eiszeit“ im #Bundestag - ging aber schnell vorüber phoenix
@phoenix_de
 · Apr 22
Eiszeit im #Bundestag | Das gab es noch nie. Aufgrund eines Stromausfalles sind alle Fenster aufgesprungen und die Klimaanlage brummte auf höchster Stufe. Die Sitzung musste unterbrochen werden & die Winterjacken feiern ein Debüt im Bundestag.
1:16
34K views",,,3
Tino Sorge,@TinoSorge,2021-04-21T16:30:26.000Z,"Morgen halte ich ab ca. 10:10 Uhr eine Rede zum digitalen Impfpass. Wie gewohnt, könnt Ihr die #Debatte im Plenum, auf  
@phoenix_de
 oder auch als Livestream  verfolgen. 

#Digitalisierung #Impfpass #Corona #Pandemie #Impfen #cdu 
@cducsubt",,1,4
connect,@connectcdu,2021-04-21T07:42:58.000Z,"Ein Wahlkampf ist keine One-Man-Show, sagt 
@PaulZiemiak
 in den 
@tagesthemen
. 

So ist es: Als #eineUnion brauchen wir deshalb auch Dich! Sei dabei und registriere Dich auf http://cdu-connect.de und lade Dir unsere App auf http://cdu-connect.de/download runter. ",31,15,49
ZDF Landesstudio Sachsen-Anhalt,@ZDFmagdeburg,2021-04-20T08:21:06.000Z,Vorstellung der Landtags-Wahlplakate des #cdulsa Landeschef Schulze: akzeptieren Entscheidung des Bundesvorstandes und wünschen uns Friedrich Merz im Wahlkampf. #Merz #ltwlsa21,7,30,15
Tino Sorge,@TinoSorge,2021-04-15T13:54:27.000Z,Die Richtung stimmt: Dank Einbezug der #Hausarztpraxen zünden wir den #Impfturbo. Seit gestern sind insgesamt 20 Mio. Impfdosen verabreicht. Diesen guten Trend müssen wir jetzt festigen. Aktuelle Daten täglich unter http://Impfdashboard.de,5,2,11
Tino Sorge,@TinoSorge,2021-04-14T12:53:02.000Z,Jetzt im #Gesundheitsausschuss: #Anhörung zum #Gesetz zur digitalen Modernisierung von #Versorgung & #Pflege #DVPMG. Unser Ziel: #Gesundheitswesen & medizinische #Forschung zukunftsfähig machen.,,4,15
Tino Sorge,@TinoSorge,2021-04-04T10:26:56.000Z,"#Christen erinnern heute an die Auferstehung #Jesu und voller österlicher #Hoffnung bin ich, dass sich auch unsere Situation schrittweise bessern wird.

In diesem Sinne wünsche ich Euch und Euren Lieben ein frohes #Osterfest. 

#Ostern #Pandemie #Hoffnung #magdeburg #cdu",1,1,8
Tino Sorge,@TinoSorge,2021-03-29T09:22:07.000Z,"Am #Donnerstag hielt ich eine #Rede zum #Entwurf des #Gesetzes zur digitalen #Modernisierung von Versorgung & Pflege (#DVPMG). 

Hier könnt ihr meine Rede anschauen  https://bit.ly/31tCOk4

#CDUCSU #Bundestag #Gesundheit #Digitalisierung #Pflege #versorgung #TelemedicineMeine Rede zum
Am vergangenen Donnerstag hielt ich eine Rede zum Entwurf eines Gesetzes zur digitalen Modernisierung von Versorgung und Pflege (DVPMG). Wenn ihr die...
facebook.com",,,3
Tino Sorge,@TinoSorge,2021-03-28T17:35:57.000Z,"Anstelle ständiger Mutmaßungen über weitere Sonder-MPKs oder Knallhart-#lockdown s sollten wir stärker #Digitalisierung als Chance aus der #Coronakrise #COVID19 begreifen & diese Möglichkeit konsequent nutzen. Das habe ich im 
@handelsblatt
 klar gemacht. Digitale Anwendungen sind ein besseres Mittel als Lockdowns
Statt eines Dauer-Lockdowns muss Deutschland bei der Pandemiebekämpfung viel mutiger auf digitale Lösungen setzen, fordert der CDU-Gesundheitspolitiker Tino Sorge.
app.handelsblatt.com",1,2,21
Tino Sorge,@TinoSorge,2021-03-27T10:22:13.000Z,"Herzlichen Glückwunsch, lieber 
@schulzeeuropa
 zur überzeugenden Wahl zum neuen Landesvorsitzenden 
@cdulsa
 - viel Erfolg & auf weiterhin gute Zusammenarbeit ! #LPTCDULSA #SachsenAnhalt 
@CDU
 @cducsubtSven Schulze and Tino Sorge",1,2,27
Tino Sorge,@TinoSorge,2021-03-27T08:40:17.000Z,"Gleich startet der digitale #Landesparteitag #LPTCDULSA 
@cdulsa
 mit Wahl eines neuen Vorsitzenden. Viel Erfolg 
@schulzeeuropa
 für seine Kandidatur als neuer CDU-Landesvorsitzender #SachsenAnhalt. Ihr könnt den Parteitag mitverfolgen CDU Sachsen-Anhalt
youtube.com",,1,5
Tino Sorge,@TinoSorge,2021-03-26T11:19:27.000Z,Mein neuer Newsletter ist da! Schaut gern mal auf meiner Homepage vorbei und findet interessante Beiträge u.a. zur Impfsituation und Gesprächen mit Gastronomen & Einzelhändlern aus #Magdeburg.  http://tino-sorge.de #politikvorort,,,
Tino Sorge,@TinoSorge,2021-03-26T07:05:53.000Z,"Leben und Gesundheit der Menschen in Deutschland könnten besser geschützt werden, wenn endlich die Möglichkeiten der Digitalisierung im Gesundheitswesen verantwortlich und wissenschaftlich sinnvoll genützt würden.",,1,2
Tino Sorge,@TinoSorge,2021-03-25T08:07:12.000Z,"Heute halte ich eine Rede zur digitalen #Modernisierung von Versorgung und Pflege #DVPMG. Ihr könnt die #Debatte im #Plenum ab ca. 16:10 Uhr live verfolgen. 

#Bundestag #Digitalisierung #Gesundheitswesen #Versorgung #magdeburg #sachsenanhalt #CDU #cducsubt  #Gesundheit #Pflege",,,5
Tino Sorge,@TinoSorge,2021-03-24T16:27:10.000Z,"Gut & richtig, dass 
@jensspahn
 die Länder gerade gebeten hat, weitestmöglich auf #Rückstellungen von #Impfstoff zu verzichten. So können kurzfristig mehr #Erstimpfungen durchgeführt werden. Wir müssen den #Impfturbo zünden und flexibler werden. 
@cducsubt
 @cdulsa
 @BMG_Bund",14,13,82
Tino Sorge,@TinoSorge,2021-03-24T12:58:03.000Z,"Heute bei #insta: Ich freue mich, ab 19Uhr den BuVo der 
@Junge_Union
 @TKuban96
 auf eine ‚Runde 1/2 Stunde’ zum #instalive zu treffen. Wir wollen mit Euch diskutieren, z.B. zu #Corona-Beschlüssen o Ausrichtung der 
@CDU
.  Schickt jetzt Eure Fragen & Anregungen! #zeitfürjungeköpfe",,,2
Tino Sorge,@TinoSorge,2021-03-23T07:35:42.000Z,"@cducsubt
 @cducsubt
 @cdulsa
 @JU_LSA",2,1,7
Tino Sorge,@TinoSorge,2021-03-23T07:35:41.000Z,"Statt Bürgerinnen & Bürger mit immer neuen #Lockdown-Verlängerungen zu verunsichern, müssen vorhandene lnstrumente – #Impfstoffe, #Tests, #Apps – genutzt werden. So könnte regional in so manchen Bereichen geöffnet werden, statt #Ostern im völligen Lockdown zu verbringen. (7/7)",8,6,26
Tino Sorge,@TinoSorge,2021-03-23T07:35:40.000Z,"Wir stehen im Begriff, unsere #Wirtschaft & #Kultur zu ruinieren – noch ganz zu schweigen von sozialen & gesundheitl. Kollateralschäden, die jede Woche im #Lockdown mit sich bringt. Das Land so herunterzufahren, richtet mittlerweile mehr Schaden an, als es Nutzen bringt. (3/7)",1,2,23
Tino Sorge,@TinoSorge,2021-03-23T06:19:53.000Z,"Wurde im Rahmen der #MPK überhaupt mal ernsthaft über Möglichkeiten der #Digitalisierung #Apps Kontaktverfolgung etc. zur Bekämpfung des #CoronaVirusDE gesprochen? Finde im Beschluss nicht mal ansatzweise etwas dazu. Frage für einen Freund...Steffen Seibert
@RegSprecher
Regierungsvertreter*in aus Deutschland
 · Mar 23
Der Bund-Länder-Beschluss der #Ministerpräsidentenkonferenz ist hier nachzulesen: http://bundesregierung.de/beschluss-mpk (pdf)“
Show this thread",9,9,28
