User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Alice Weidel,@Alice_Weidel,2021-05-13T08:05:55.000Z,"Wir wünschen allen Vätern einen schönen #Vatertag & danken allen, die heute nicht mit dem #Bollerwagen, sondern für unser aller Wohl unterwegs sind. Ob im Taxi, Rettungswagen, Polizeiauto oder einfach nur an der Kasse in der Tanke: Danke für euren Einsatz! 
 #AfD #Feiertag",95,272,1.7K
Alice Weidel,@Alice_Weidel,2021-05-12T09:00:52.000Z,"Die Probleme sind längst da, Herr #Seehofer: Jedes Jahr drängen #Migranten in Großstadt-Stärke nach #Deutschland, Wohnraum-Knappheit, eine katastrophale Situation in den #Schulen und Milliardenkosten für das Sozialsystem sind die unmittelbaren Folgen. #AfD https://facebook.com/aliceweidel/posts/4338121026199099…",69,336,1.2K
Tino Chrupalla,@Tino_Chrupalla,2021-05-12T06:52:59.000Z,"Hätte nie gedacht, dass ich mit Marco #Wanderwitz mal einer Meinung bin. Er sagt: „Ich würde Herrn #Maaßen nicht wählen.“ Ich auch nicht, sondern immer das Original: #AfD Volkspartei! 
@HGMaassen",89,196,937
Tino Chrupalla,@Tino_Chrupalla,2021-05-11T15:28:30.000Z,"Herr 
@LarsPatrickBerg
, geben Sie Ihr durch die #AfD errungenes Mandat zurück.Lars Patrick Berg verlässt AfD: AfD verliert weiteren Europa-Abgeordneten
Seit März 2013 in der Partei, sieht Lars Patrick Berg die AfD zur „Protestbewegung abdriften“. Jetzt zieht er die Konsequenz.
stuttgarter-nachrichten.de",118,127,553
Tino Chrupalla,@Tino_Chrupalla,2021-05-11T13:20:52.000Z,"Der #Ärztetag will tief in das Recht von Eltern und Kindern auf ein selbstbestimmtes Leben eingreifen. Bisher gibt es keinen wissenschaftlichen Beleg dafür, dass Kinder und Jugendliche Treiber der Pandemie sind. #DeutschlandAberNormalJörg Meuthen und Tino Chrupalla zur Forderung des Deutschen Ärztetages nach einer faktischen...
Berlin, 10. Mai 2021. Auf dem Deutschen Ärztetag, der Hauptversammlung der Bundesärztekammer, haben rund 250 Abgeordnete der 17 deutschen Ärztekammern die Bundesregierung aufgefordert, „unverzüglich...
afd.de",80,216,603
"Rüdiger Lucassen, MdB",@MdB_Lucassen,2021-05-11T08:16:12.000Z,#AfD #Wahl #NRW,7,11,79
AfD Sachsen-Anhalt,@AfD_LSA,2021-05-06T16:20:11.000Z,"Viel Erfolg an unser #AfD-Spitzenteam, 
@Alice_Weidel
 und 
@Tino_Chrupalla
, für die Kandidatur als Spitzen-Duo zur #Bundestagswahl #BTW2021

Der Landesvorstand #SachsenAnhalt.Alternative für 
 Deutschland and 7 others",19,59,215
Tino Chrupalla,@Tino_Chrupalla,2021-05-06T14:22:04.000Z,"Gut, dass das #Grünen-Wahlprogramm umbenannt werden soll. Denn was drin steht, hat mit #Deutschland nichts zu tun: Wohlfühlpolitik zugunsten der Wohlhabenden, Ausbau der EU-Bürokratie und aus „Klimaaußenpolitik“ resultierende internationale Konflikte!Grüne wollen „Deutschland“ aus ihrem Wahlprogramm streichen
Die Grünen wollen ans Wahlprogramm ran, um ein Wort zu streichen: Deutschland! Unter den Unterzeichnern sind auch Bundestagskandidaten.
bild.de",102,344,965
Alice Weidel,@Alice_Weidel,2021-05-04T09:13:57.000Z,"Nicht verpassen: Heute Abend um 23:30 Uhr bin ich bei #MarkusLanz zu Gast. Teilen, einschalten und mitfiebern! #AfD",719,890,3.2K
Tino Chrupalla,@Tino_Chrupalla,2021-05-04T11:45:27.000Z,"In Deutschland tobt die linke Gewalt. Wer das nicht wahrhaben will, kriegt es nun schwarz auf weiß: Laut heute vorgestellter #BKA-Statistik stieg Anzahl „links motivierter Gewalttaten“ um 45% im Vergleich zum Vorjahr. Regierung & Medien können nicht länger wegschauen!",267,549,1.8K
