User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
"Udo Hemmelgarn, MdB",@UdoHemmelgarn,2021-05-12T06:50:59.000Z,"Sie sind und bleiben ein Panikmacher, Herr Drosten.
Was haben Sie den Menschen in den
letzten  Monaten für einen Mist erzählt und wie oft haben Sie Ihre
Meinung geändert?
#Impfzwang #COVID19 #LauterbachluegtDrosten: Wer sich nicht impfen lässt, infiziert sich unweigerlich
Je mehr Menschen geimpft sind, desto weiter werden die Corona-Maßnahmen zurückgefahren. Virologe Christian Drosten warnt in seinem Podcast 'ohne jede Wertung' vor den Folgen für Ungeimpfte. 
t-online.de",5,20,31
Roland Tichy,@RolandTichy,2021-05-10T06:04:46.000Z,"Bei #AnneWill: Unbelegter Vorwurf des Antisemitismus an die Adresse von Hans Georg Maaßen. Die Moderatorin schweigt, wo sie hätte eingreifen müssen. So wird daraus ein Fall Will/ARD.Versuchter Rufmord mit und bei Anne Will
Der Hauptgegner für das öffentlich-rechtliche Fernsehen im kommenden Bundeswahlkampf ist Laschet. Denn nur eine geschwächte Union bringt Merkels Wunschnachfolgerin Baerbock auf den Thron. Anne Will...
tichyseinblick.de",59,361,1.3K
"Udo Hemmelgarn, MdB",@UdoHemmelgarn,2021-05-09T08:47:09.000Z,"Was nicht passt wird passend gemacht. Die Panik muss doch
aufrechterhalten bleiben!
Widerlich!Lauterbach in Erklärungsnot wegen Falschaussage: ""Corona-Intensivpatienten werden immer jünger""
SPD-Gesundheitsexperte Karl Lauterbach hatte jüngst behauptet, Corona-Patienten auf Intensivstationen seien im Durchschnitt 47 bis 48 Jahre alt. Dass diese Aussage an den Haaren herbeigezogen ist,...
epochtimes.de",2,13,22
"Udo Hemmelgarn, MdB",@UdoHemmelgarn,2021-04-29T22:18:00.000Z,"Da ich mir nur sehr selten den öffentlich-rechtlichen Staatsfunk
ansehe, wo Menschen  wie Herr
Rohde allimentiert werden, bleibe ich
von dieser Kleingeistigkeit, Gott sei gedankt, verschont!
#allesdichtmachten #Anstand
#GEZ""Frage mich als Staatsbürger: Wer wird verarscht?""
Er gehört zur deutschen Schauspielelite. Doch neben seinem Beruf interessiert sich der 66-Jährige auch für sein Land. Besonders die politischen Verhältnisse sind ihm seit der Corona-Pandemie negativ...
t-online.de",,2,6
"Udo Hemmelgarn, MdB",@UdoHemmelgarn,2021-04-29T19:48:05.000Z,"Replying to 
@focusonlineJetzt warte ich auf die
Dreifach-Mutante aus Absurdistan!
#Liefers #allesdichtmachten #Querdenker #Plandemie #COVID19",1,2,11
Daniel Haseloff,@DanielHaseloff,2021-04-23T19:05:56.000Z,"So sieht übrigens der neutrale Journalismus in #Deutschland aus. Da steht einer freien und objektiven Meinungsbildung nichts im Weg. 
Deswegen nur noch #AfD. #Höcke",108,401,1.2K
Neverforgetniki,@nikitheblogger,2021-04-25T10:41:28.000Z,"Die Grünen sind nun auch in der aktuellen Emnid-Umfrage stärkste Kraft. Unfassbar.
Die Menschen wollen nach der Corona-Krise also wirklich Steuererhöhungen, Verbote, Preiserhöhungen und illegale Migration in das Sozialsystem.",168,460,2.1K
Norbert Bolz,@NorbertBolz,2021-04-25T09:22:51.000Z,"Diskriminierungs-, Rassismus- und Sexismusvorwürfe leben von der Umkehrung der Beweislast.",6,84,466
Tino Chrupalla,@Tino_Chrupalla,2021-04-26T12:11:26.000Z,"Beim heutigen #Impfgipfel wird darüber gesprochen, welche Corona-Beschränkungen für #Geimpfte wegfallen könnten. 
Das heißt im Umkehrschluss: Die immer bestrittene „indirekte Impfflicht“ kommt doch.",181,359,1.5K
Boris Reitschuster,@reitschuster,2021-04-26T16:21:32.000Z,"Beim ""Impfgipfel"" geht es darum, ob Geimpfte mit der Rückgabe von ein paar Grundrechten belohnt werden. Doch über Extra-Rechte für Geimpfte nachzudenken, ist falsch. Es beinhaltet den Abschied vom Grundrechtsgedanken schlechthin. Sie müssen für alle gelten.Verfassungswidrige Ideen auf dem Impfgipfel?
Beim „Impfgipfel“ geht es darum, ob Geimpfte mit der Rückgabe von ein paar Grundrechten belohnt werden. Doch über Extra-Rechte für Geimpfte nachzudenken, ist falsch. Es beinhaltet den Abschied vom...
reitschuster.de",134,631,2K
