User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
phoenix,@phoenix_de,2021-05-12T13:54:16.000Z,"#Finanzminister 
@OlafScholz
 verurteilt #Hamas-Angriffe auf 
 #Israel. Sicherheit Israels gehöre zur deutschen Staatsräson. Lösung des #Nahost|konfliktes nur am Verhandlungstisch. Angriffe auf 
 #Synagogen in #Bonn & #Münster sind zu ahnden. 
 #Palästina 
@BMF_Bund
 @spdde
#Gaza1:12
95.3K views",137,240,931
Ulli Nissen,@UlliNissen,2021-05-13T09:36:11.000Z,Zum Ende des Fastenmonats Ramadan wünschen wir allen Muslim*innen ein frohes Zuckerfest! Bayraminiz kutlu olsun. #EidMubarak,2,,13
Ulli Nissen,@UlliNissen,2021-05-12T12:43:37.000Z,"Heute haben ich und die ASF Hessen-Süd die deutsche Kapitänin und politische Aktivistin Carola Rackete sowie die gesamte Crew der Sea-Watch für den Gustav-Heinemann-Bürgerpreis der SPD vorgeschlagen.Sea-Watch Kapitänin und Crew für Verleihung mit dem Gustav-Heinemann-Bürgerpreis vorgeschlagen
ulli-nissen.de",,1,5
Ulli Nissen,@UlliNissen,2021-05-10T09:39:53.000Z,"Eine sehr wichtige und gute Entscheidung für Eltern!
@spdbt
 @spddeFamilien-, Senioren-, Frauen- & Jugendministerium
@BMFSFJ
 · May 10
Der Rechtsanspruch auf Ganztagsbetreuung verbessert die #Vereinbarkeit von Familie und Beruf. Letzte Woche wurde der Gesetzesentwurf vom Bundeskabinett beschlossen. Franziska #Giffey erklärt, wie der #Ganztag der Zukunft gelingen soll. #TagDerKinderbetreuung",1,1,4
Sören Bartol,@soerenbartol,2021-05-09T14:53:28.000Z,"Kompetenz, Führungsstärke, Solidarität - Das war eine starke Rede von 
@OlafScholz
  Er hat die Ideen und die Erfahrung die unser Land, die Deutschland und die Menschen brauchen! #ausRespekt #spdbpt21 #spd",6,4,65
Ulli Nissen,@UlliNissen,2021-05-09T14:53:35.000Z,"Lieber 
@OlafScholz
 - DANKE für Deine großartige Rede und GRATULATION zu dem super Ergebnis bei der Nominierung!
@spdbt
 @spddeOlaf Scholz
@OlafScholz
Regierungsvertreter*in aus Deutschland
 · May 9
Der Mindestlohn von 12 Euro ist längst überfällig - und ich werde ihn in meinem ersten Jahr als Bundeskanzler durchsetzen! #spdbpt21",,,8
SPD Parteivorstand,@spdde,2021-05-08T13:37:26.000Z,Nie wieder! #8Mai #TagderBefreiung #NieWiederOlaf Scholz,35,54,292
SPD-Fraktion im Bundestag,@spdbt,2021-05-07T12:35:32.000Z,"Für M. Miersch ist das #Klimaschutzgesetz eine der größten Errungenschaften, die energiepolitisch tatsächlich (!) erreicht wurde. Jede Regierung ist Zielen verpflichtet; Schlüssel der massive Ausbau Erneuerbarer. Was hat BaWü in letzten 5 Jahren geleistet? ""Ein Armutszeugnis!""",3,18,48
SPD-Fraktion im Bundestag,@spdbt,2021-05-07T13:01:43.000Z,"Schritt 1: #Habeck fordert Ziel 65% für 2030.
Schritt 2: 
@SvenjaSchulze68
 legt Ziel 65% für 2030 vor.
Schritt 3: #Hofreiter ist fassungslos, dass das nicht genug sei. 
@KlausMindrup
: ""Sind wir denn hier Marktschreier oder was ist das hier für eine Veranstaltung?""",23,61,238
Ulli Nissen,@UlliNissen,2021-05-07T16:25:03.000Z,"Ein guter Tag für Mieterinnen und Mieter - ein schlechte für ""Miethaie""SPD-Fraktion im Bundestag
@spdbt
 · May 7
Mietshaus kaufen, Mieter:innen rechtlich rausdrängen und die Wohnungen gewinnbringend verkaufen - ein beliebtes Geschäft vieler Immobilienhaie.
 Mit solchen Umwandlungen ist jetzt Schluss! Das haben wir gegen großen Widerstand der Union durchgesetzt. #Baulandmobilisierungsgesetz",2,,5
Svenja Schulze,@SvenjaSchulze68,2021-05-07T12:16:44.000Z,"Im #Bundestag habe ich erneut für die Novelle des #Klimaschutzgesetz geworben. Mit den höheren Klimazielen haben wir jetzt die Chance, den Umbau von Wirtschaft und Gesellschaft hin zur Klimaneutralität zu gestalten - verbindlich, generationengerecht und sozial fair.",42,26,104
Ulli Nissen,@UlliNissen,2021-05-07T09:02:13.000Z,"Hier meine Rede zum Stadtentwicklungsbericht 2020Stadtentwicklungsbericht 2020
youtube.com",1,,1
Ulli Nissen,@UlliNissen,2021-05-07T08:08:16.000Z,"Am 8. Mai ist Tag der Städtebauförderung. Die Städtebauförderung ist 1971 von uns Sozialdemokraten eingeführt worden. Herzlichen Glückwunsch zum 50.!50 Jahre Städtebauförderung – gut für Frankfurt
ulli-nissen.de",,,1
Ulli Nissen,@UlliNissen,2021-05-07T05:14:42.000Z,"In diesen ""heiligen Hallen"" darf ich heute meine 41.Rede in dieser Legislaturperiode halten - heute geht es um das wichtige Thema Stadtentwicklung.
Euch wünsche ich einen wunderbaren Tag aus #Berlin!",1,,6
CARE Deutschland,@care_de,2021-05-05T09:06:31.000Z,"300.000 Frauen weltweit sterben jährlich während der Schwangerschaft oder Geburt. Durch #COVID19 könnte die Zahl dramatisch ansteigen, in manchen Ländern ist die Sterblichkeit bei Müttern & Neugeborenen schon jetzt 30% höher.
Mehr Infos 
 https://bit.ly/3b37Owt
#hebammentagCARE International and 9 others",,12,28
Ulli Nissen,@UlliNissen,2021-05-06T05:14:54.000Z,"Mit einem Blick auf einen heute ""besonnten"" #Reichstag wünsche ich Euch einen wunderbaren aus #Berlin",4,1,9
SPD Parteivorstand,@spdde,2021-05-05T14:37:24.000Z,"Armin Laschet hätte die Flanke nach rechts schließen müssen. Hans-Georg Maaßen ist ein Türöffner zu den extremen Rechten. Warum das so ist, haben wir nochmal schnell für euch gesammelt. ",59,83,289
SPD-Fraktion im Bundestag,@spdbt,2021-05-05T15:01:56.000Z,"Wir legen nach beim #Klimaschutzgesetz! Das haben 
@OlafScholz
 und 
@SvenjaSchulze68
 heute verkündet. ""Es ist wichtig, dass wir jetzt ein Zeichen setzen!"", sagte Olaf. ",38,22,83
Ulli Nissen,@UlliNissen,2021-05-05T13:39:59.000Z,"Darüber freue ich mich sehr - dafür haben wir lange gekämpft. 
Die ""Immobilien #Haie"" - auch in #Frankfurt - werden fluchen - deren miesen ""Geschäftsmodelle"" werden erheblich erschwert.",10,3,8
Ulli Nissen,@UlliNissen,2021-05-04T13:08:43.000Z,Wichtige Telefonnummern - bitte den Hinweis weiter teilen - DANKE!,2,2,3
Petition Mietenstopp für Alle,@Pet_Mietenstopp,2021-05-03T14:06:04.000Z,"„Gerade in der Pandemie merken wir, wie wichtig unsere Wohnung ist. Damit die Miete auch in Zukunft bezahlt werden kann, muss der Anstieg gestoppt werden. Deshalb fordere ich einen Mietenstopp!“
@UlliNissen
 Mitglied des Bundestages 
@spdbt
 
Jetzt 
 auf http://petition-mietenstopp.deSPD Hessen and 2 others",,1,7
Ulli Nissen,@UlliNissen,2021-05-03T07:43:54.000Z,"Bitte beteiligt Euch!
Elf PUNKTE –
CHARTA DER MEINUNGSFREIHEIT

Elf PUNKTE vereint die Charta der Meinungsfreiheit, die zum Schutz und zur Förderung der offenen Debattenkultur beiträgt.Woche der Meinungsfreiheit - Mehr als meine Meinung!
Gemeinsam wollen wir während der Woche der Meinungsfreiheit mit der Charta der Meinungsfreiheit sowie Aktionen, Veranstaltungen und Projekten ein Bewusstsein schaffen und offen diskutieren.
woche-der-meinungsfreiheit.de",1,,2
Ulli Nissen,@UlliNissen,2021-05-02T09:25:25.000Z,,,,1
Nicolas Zimmer,@NicolasZimmer,2021-04-30T18:09:16.000Z,"Nach über 30 Jahren, in denen ich auch Abgeordneter, Fraktionsvorsitzender und Staatssekretär war, bin ich heute aus der 
@cdu
 ausgetreten: Eine Partei, die #Maaßen nominiert, ist nicht mehr meine (1/3)",1.1K,2.5K,23.2K
Ulli Nissen,@UlliNissen,2021-05-02T09:15:07.000Z,"Leider habe ich damit gerechnet, dass #Maaßen Bundestagskandidat der #CDU wird. 
Dann wird wohl ein weiterer rechter Hetzer in den Bundestag kommen - GRAUSIG!Seda Başay-Yıldız
@SedaBasay
 · May 1
Der Tabubruch rückt näher... #noafd 
https://n-tv.de/politik/Maassen-haelt-CDU-AfD-Koalition-fuer-moeglich-article21088455.html…",,2,10
Ulli Nissen,@UlliNissen,2021-05-01T12:24:09.000Z,"""Solidarität ist Zukunft"" - der Leitspruch des diesjährigen Tag der Arbeit. In Frankfurt haben ca. 4000 Menschen an der heutigen Kundgebung des DGB teilgenommen. #gema1nsam setzen wir uns für höhere Löhne und bessere Arbeitsbedingungen ein ",1,2,14
Ulli Nissen,@UlliNissen,2021-04-30T07:17:19.000Z,,1,1,8
Ulli Nissen,@UlliNissen,2021-04-29T09:25:55.000Z,"Kein gutes Gefühl, auf einer #Todesliste  zu stehen. 

Aber klare Ansage - davon lasse ich mich nicht beeindrucken!Infektionsschutzgesetz: Nach Abstimmung im Bundestag tauchen „Todeslisten“ auf - WELT
Nach der namentlichen Abstimmung über die Neufassung des Infektionsschutzgesetzes im Bundestag sind bei dem Messenger-Dienst Telegram „Todeslisten“ mit den Namen deutscher Politiker aufgetaucht. Das...
welt.de",1,1,4
Ulli Nissen,@UlliNissen,2021-04-28T14:50:51.000Z,"150 Jahre Widerstand gegen §218 StGB - es reicht! 
Schwangerschaftsabbruch raus aus dem Strafgesetzbuch 
Kundgebung 15.5.2021 Römerberg 11-12:30 Uhr 
(natürlich unter strengen Corona Bedingungen)

ASF Frankfurt Fischerfeldstr.7-11  60311 Frankfurt",2,2,7
Ulli Nissen,@UlliNissen,2021-04-27T15:34:14.000Z,"Lieber Thomas, heute wärst du 67 Jahre alt geworden. Du fehlst. ",,1,52
Ulli Nissen,@UlliNissen,2021-04-27T08:18:38.000Z,"Das vergisst man/frau glaube ich nie!birgit battmer-holz
@BBattmer
 · Apr 26
Replying to @UlliNissen
Ich war im April 1986 im 4. Monat. Meine Ärztin verordnete mir sofort nur Milchpulver statt Frischmilchprodukten. Die Frankfurter Rundschau veröffentlichte regelmäßig die Becquerel-Werte der Lebensmittel.",1,,2
Ulli Nissen,@UlliNissen,2021-04-27T08:11:33.000Z,"Nach wie vor ärgere ich mich über die Aktion #allesdichtmachen u.a. mit dem Schauspieler  #janjosefliefers.
Für die Reaktion von Ärzt*innen und Krankenhauspersonal #allemalneschichtmachen habe ich großes Verständnis.",,,2
SPD-Fraktion im Bundestag,@spdbt,2021-04-23T11:13:10.000Z,"Geschlossene Kitas, Schulen und Freizeiteinrichtungen - Kinder und Jugendliche müssen gerade viel einstecken. Wir dürfen nicht zulassen, dass die pandemiebedingten Einschränkungen ihre Zukunftschancen verbauen. Deshalb wollen wir sie mit einem #Aufholpaket über 2 Mrd. € stärken.",17,15,47
Ulli Nissen,@UlliNissen,2021-04-23T15:10:37.000Z,"Ich habe letzten Samstag in Frankfurt auf einer Mahnbescheid für Nazdar #Ecevit gefordert, dass #Nazdar Asyl bekommt und hier in Deutschland bleiben darf!IPPNW Germany
@IPPNWgermany
 · Apr 23
Die drohende Abschiebung der kurdischen Aktivistin Nazdar Ecevit in die #Türkei wirft ein erschreckendes Licht auf die deutsche Asylpraxis. Demokratieabbau und staatliche Repression in der Türkei dürfen nicht ignoriert werden! https://fr.de/meinung/gefaehrliche-asylpraxis-90471504.html…",,2,9
