User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Christof Stein,@SteinzeitChris,2021-05-12T12:23:38.000Z,"Statiker: Wenn ich die Baupläne nicht prüfen kann, könnte das Haus später einstürzen.

Kommentarspalte des SPIEGEL: Meine Güte, die Statiker sind immer solche Bremser. Die Statiker gehen einem langsam wirklich auf den Sa...Corona: Digitaler Impfnachweis soll vielen per Post zugestellt werden
Doppelt Geimpfte sollen ihren Impfstatus künftig per »CovPass«-App belegen können. Wer bei deren Einführung bereits zwei Impfungen hatte, soll den Nachweis per Post bekommen. Datenschützer üben...
spiegel.de",3,8,46
Stiftung Datenschutz,@DS_Stiftung,2021-05-12T08:04:06.000Z,"Im 
@FAZ_einspruch
-#podcast diskutieren 
@CBudras
 & 
@CoBvL
 mit 
@UlrichKelber
, ob #Datenschutz effektivere Pandemiebekämpfung verhindert hat, ob die #CoronaWarnApp ein Erfolg oder ein Misserfolg ist, und wie es mit der elektronischen #Patientenakte weitergehtF.A.Z. Einspruch Podcast: Die Pandemie und der Datenschutz
In der aktuellen Sendung diskutieren wir mit dem Bundesdatenschutzbeauftragten Ulrich Kelber über die Rolle, die der Datenschutz in der Pandemiebekämpfung gespielt hat.
faz.net",1,20,24
Ulrich Kelber,@UlrichKelber,2021-05-05T16:43:47.000Z,"Da kann ich ⁦
@Facebook
⁩ gut verstehen: Diese Werbung hätte vielen die Augen geöffnet, was Facebook an Daten über sie durch das Ausspionieren überall im Netz sammelt. Das muss aufhören!Instagram, Whatsapp: Facebook sperrt Signal für transparente Werbung - Golem.de
Das Signal-Team wollte Werbung schalten, die zeigt, wie personalisierte Facebook-Anzeigen funktionieren. Der Werbe-Account wurde deaktiviert.
golem.de",8,108,328
Der Gazetteur,@dergazetteur,2021-05-05T11:55:38.000Z,Konsequent.,46,699,4.7K
Henning Tillmann,@henningtillmann,2021-05-02T10:26:41.000Z,"1/ Das wohl nützlichste Update seit Release der #CoronaWarnApp ist da: die App kann nun auch Schnelltests verwalten. Das sollte man wissen:
 Erfassung/Verwaltung Schnelltests
 Negative Ergebnisse können angezeigt werden (zum Nachweis). Bis zu 48 Stunden (sehr lang).",5,62,235
Müterich,@AngrrryBert,2021-05-01T13:18:26.000Z,"Der ganze Thread in einem Bild.
#DieSchuleBrennt #WasDarfSatire #LockdownJetzt #YesToNoCovid #LaschetVerhindern #SchwereSchuld #allenichtganzdicht",57,458,1.7K
Der Postillon,@Der_Postillon,2021-04-23T11:04:53.000Z,"Klinikpersonal würde Schauspielern gerne für ihren Mut applaudieren, hat aber leider VERFICKT NOCHMAL ZU VIEL ZU TUN!!!!! 
#allesdichtmachen #SchauspielerKlinikpersonal würde Schauspielern gerne für ihren Mut applaudieren, hat aber leider VERFICKT...
Berlin (dpo) - Was für eine starke Aktion! Nachdem 53 Schauspieler gestern in einer koordinierten Aktion ironische Protestvideos gegen die Corona-Maßn
der-postillon.com",122,1.7K,9.4K
Ulrich Kelber,@UlrichKelber,2021-04-23T14:38:36.000Z,"Ich setze noch einen drauf: Auch die Datenschutzseite ist bei der #CoronaWarnApp vorbildlich gelöst. Ich nutze sie seit dem ersten Tag!Arne Schönbohm
@ArneSchoenbohm
 · Apr 23
Das @rki_de berichtet weiter von steigenden Neuinfektionen mit #Covid-19. Darum bleibt die Bedeutung der mit neuen Funktionen ausgestatteten #CoronaWarnApp hoch. Nutzen Sie sie, so wie ich es auch tue! Sie bietet Höchstmaß an Informationssicherheit. #DeutschlandDigitalSicherBSI",15,94,364
Ruprecht Polenz,@polenz_r,2021-04-22T21:20:54.000Z,Warum mußte man bei der Aktion #allesdichtmachen beim Verstand anfangen?,179,508,7.3K
Igor Levit,@igorpianist,2021-04-22T20:13:32.000Z,"Die stumpfste Waffe gegen die Pandemie, gegen eine noch immer viel zu hohe Anzahl von Menschen, die sterben, gegen schlechte Politik, ausbleibende Hilfen, etc: 
Schlechter, bornierter Schrumpfsarkasmus, der letztendlich bloß fader Zynismus ist, der niemandem hilft. Nur spaltet.",179,1.3K,9.7K
Peter Schaar,@Peter_Schaar,2021-04-22T11:41:46.000Z,"Gut, dass die #CoronaWarnApp endlich die versprochene #CheckIn-Funktion hat. Die Länder sollten in ihren #Corona-Verordnungen klarstellen, dass der #CWA-CheckIn die Registrierungspflichten bei Geschäften und Veranstaltungen erfüllt",6,101,272
Ulrich Kelber,@UlrichKelber,2021-04-22T11:13:18.000Z,"Nur eine kleine Korrektur: Wir sind schon > 260 Kolleginnen und Kollegen beim BfDI … und können weiter einstellen, da noch eine ganze Reihe offener Stellen da sind 
@gabonn",3,2,11
Ulrich Kelber,@UlrichKelber,2021-04-22T07:32:25.000Z,"Interview mit Ulrich Kelber: „Natürlich ist der Datenschutz eingeschränkt“
Der Bundesdatenschutzbeauftragte und Bonner Ulrich Kelber spricht über den Vorwurf, er stehe der Pandemie-Bekämpfung im Weg, über die Eindämmungspolitik der Stadt - und warum sich die Corona-App...
ga.de",1,3,27
CCC Updates,@chaosupdates,2021-04-21T17:48:25.000Z,"Frankreich: Höchstes Gericht kippt #Vorratsdatenspeicherung – die im Land noch praktizierte VDS ist rechtswidrigFrankreich: Höchstes Gericht kippt Vorratsdatenspeicherung
Der Conseil d'État widersetzt sich den Wunsch der Regierung und besteht auf Umsetzung der EuGH-Urteile zur Vorratsdatenspeicherung. Paris gibt noch nicht auf.
heise.de",6,178,447
Ulrich Kelber,@UlrichKelber,2021-04-21T13:01:44.000Z,"Funktioniert. #coronawarnapp Und ja, es waren mehrere Personen im realen Raum",6,17,131
Ulrich Kelber,@UlrichKelber,2021-04-16T09:09:20.000Z,"Leseempfehlung, Interview mit dem wunderbaren Henning Tillmann: “Bilanz der Corona-Warn-App - ""Dann hat man irgendwie das Interesse verloren""” https://netzpolitik.org/2021/bilanz-der-corona-warn-app-dann-hat-man-irgendwie-das-interesse-verloren/…",3,37,93
Ulrich Kelber,@UlrichKelber,2021-04-15T20:43:07.000Z,"Sorry, 
@Markus_Soeder
, aber die „helle Seite der Macht“ ist schon besetzt",18,47,626
Ulrich Kelber,@UlrichKelber,2021-04-15T14:18:56.000Z,"Mein Interview mit dem 
@SWRpresse
 zu Datenschutz und PandemiebekämpfungKontakt-Nachverfolgung in der Corona-Pandemie: Datenschutz bleibt ein...
Sollten wir auf Datenschutz im Kampf gegen die Corona-Pandemie verzichten? Diesem Ansinnen hat der Datenschutzbeauftragte der Bundesregierung, Ulrich Kelber, eine Absage erteilt. ""Das hört sich in...
swr.de",1,14,39
Ulrich Kelber,@UlrichKelber,2021-04-14T16:27:56.000Z,"EZB: Verbraucher verlangen beim digitalen Euro Datenschutz https://tagesschau.de/wirtschaft/verbraucher/digitaler-euro-ezb-101.html… Gute Aktion der EZB. Die Bürgerinnen und Bürger sind halt weiter als die TalkshowsVerbraucher verlangen beim digitalen Euro Datenschutz
Wenn der digitale Euro kommt: Was ist Verbrauchern und Experten dann am wichtigsten? Dazu hat die EZB Bürger und Verbände, aber auch Fachleute befragt. Die klare Antwort: der Datenschutz.
tagesschau.de",3,11,50
Ulrich Kelber,@UlrichKelber,2021-04-14T07:40:54.000Z,"Als Vater eines 10er-Schülers, kriege ich mit, wie belastend für die Jugendlichen die Situation nach 13 Monaten Stop-and-Go in den Schulen vor den Prüfungen ist. Wenn schon zentrale Prüfungen, dann mit Freischuss, sonst ist das eine echte Benachteiligung",5,23,183
Ulrich Kelber,@UlrichKelber,2021-04-13T12:48:59.000Z,"Die Satzteile „Expert*in“ und „der Datenschutz darf nicht mehr absolut gesetzt werden“ können nicht in einem Satz verwendet werden, weil sie sich fundamental widersprechen #ausgruenden #beirat",3,27,215
Bonner Tage der Demokratie,@demokratie_lebt,2021-04-12T07:52:12.000Z,"„Wir müssen unsere demokratischen Werte und die Grundrechte ins Digitale übertragen“, vertritt 
@UlrichKelber
, der Bundesbeauftragte für #Datenschutz und Informationssicherheit. Ulrich Kelber ist eine unserer Stimmen zur Demokratie 
https://t1p.de/BfDI #demokratiebonn #BonnBundesdatenschutzbeauftragter
Drei Fragen zur Demokratie an Ulrich Kelber, Bundesbeauftragter für den Datenschutz und die Informationsfreiheit. Ein Interview über die demokratischen Werte in der digitalen Welt.
demokratie-bonn.de",1,9,24
Ulrich Kelber,@UlrichKelber,2021-04-05T14:40:24.000Z,"Danke, 
@facebook
. Bin übrigens schon seit 2018 kein Nutzer mehr. Was hatten meine Daten noch 2019 bei Euch zu suchen?",27,59,390
Ulrich Kelber,@UlrichKelber,2021-04-05T07:40:25.000Z,"Sehr gut, ich werde das durch Nachfragen im 
@EU_EDPB
 nächste Woche flankierenDietmar Neuerer
@dneuerer
 · Apr 5
Hamburger #Datenschützer fordert von irischer #Datenschutz'behörde Aufklärung über #Datenleck bei #Facebook. https://handelsblatt.com/27066630.html?share=twitter… @UlrichKelber @Peter_Schaar @DS_Stiftung @BfDI_info",3,29,122
Telekom Baskets Bonn,@TelekomBaskets,2021-04-04T16:07:01.000Z,"3. | 13 :0 - Blitzstart der Baskets gegen 
@albaberlin
 ! Berlin muss nach drei Minuten die erste Auszeit nehmen. 

#HEARTBERG #easyCreditBBL",,1,5
Ulrich Kelber,@UlrichKelber,2021-04-04T11:10:39.000Z,Frohe Ostern!,3,1,40
Ulrich Kelber,@UlrichKelber,2021-04-03T14:40:38.000Z,"Noch ohne Zuschauer, aber endlich wieder Baseball in #Bonn:Dortmund Wanderers@Bonn Capitals
Testspiele Bundesliga Nord
youtube.com",1,,5
Peter Schaar,@Peter_Schaar,2021-04-03T08:10:09.000Z,"Replying to 
@winfriedveil
 @UlrichKelber
 and 
@faznetEs sind nach meiner Wahrnehmung gerade die Datenschutzverächter, die den #Datenschutz zum Fetisch verklären (#Klingelschildgate, #Abmahnwelle, #Fotoende) und ihn als Ausrede für eigenes Versagen missbrauchen",5,17,90
Bonner SC 01/04 e.V.,@bonner_sc,2021-04-01T16:53:24.000Z,"Heimsieg! Der BSC gewinnt mit 2:0!
 #keinaprilscherz",9,5,35
Ulrich Kelber,@UlrichKelber,2021-03-30T14:22:05.000Z," Dringende Leseempfehlung Berliner Zeitung
@berlinerzeitung
 · Mar 30
Der Datenschutz bremse Innovationen und nun die Pandemiebekämpfung, so der Vorwurf. Doch stimmt das überhaupt? Über Talkshow-Mythen, Tracking und die @_lucaApp . @anked @schroeder_k @Nida_Ruemelin @jselzer @UlrichKelber @chaosupdates https://berliner-zeitung.de/wirtschaft-verantwortung/hemmt-der-datenschutz-die-pandemiebekaempfung-li.147271?utm_medium=Social&utm_source=Twitter#Echobox=1617112871…",7,46,142
Aufschneiderin (auch Wiederzunäherin),@sterntaler1970,2021-03-27T17:21:39.000Z,"Habe heute im Impfzentrum in 5 Stunden 67 Dosen Biontech verimpft. Die Menschen waren durchweg dankbar und freundlich.40 sind leider nicht zum Termin erschienen, wir durften 65-jährige Begleitpersonen nicht impfen. Wir bürokratisieren uns zu Tode. #impffreigabe #covidwegimpfen",515,3.1K,19.3K
Ulrich Kelber,@UlrichKelber,2021-03-26T23:10:33.000Z,"Und wieder ein reißerischer Artikel gegen Datenschutz, der Prüfung nicht standhält: Fall Niedersachsen war keiner, Datenschutz kein Grund für ePA-Verspätung und auch in D Einladung zur Impfung ohne vorherige Einwilligung. Recherchieren vor dem Schreiben!Kampf gegen Covid-19: Dänemark impft schneller – wie schaffen die das?
Unser Nachbarland Dänemark ist uns beim Impfen um etwa zwei Wochen voraus. Das liegt daran, dass es vieles unkomplizierter handhabt – auch das Thema Datenschutz.
spiegel.de",10,94,291
Saskia Esken,@EskenSaskia,2021-03-26T13:28:20.000Z,"Replying to 
@anncathrin87
 and 
@UlrichKelberSeufz. Dabei hatten wir das erst neulich wieder besprochen.",5,3,61
Henning Tillmann,@henningtillmann,2021-03-26T13:29:31.000Z,"Replying to 
@EskenSaskia
 @anncathrin87
 and 
@UlrichKelberIch saß mit ihm 2x auf einem Podium. Ich habe ihm 2x die Technik der CWA erklärt. Er hört nicht zu. Fakten stören sein Meinungsbild. Dass er unreflektiertes Podium bekommt ist schon fast sträflich.",6,8,111
Ann Cathrin Riedel,@anncathrin87,2021-03-26T09:16:27.000Z,"Jetzt mal ernst: ICH WÜSSTE NOCH NICHT MAL  WER DAS IST WENN DER NICHT DAUERND DUMMES ZEUG ZUM DATENSCHUTZ ERZÄHLEN WÜRDE!Coronavirus Keine erhöhte Infektionsgefahr im Nahverkehr
Die Gefahr einer Coronavirus-Infektion ist im öffentlichen Nahverkehr nicht höher als etwa im eigenen Auto. Das teilte das Verkehrsministerium Baden-Württembergs mit und beruft sich dabei auf eine...
deutschlandfunk.de",46,30,305
Bundesrat,@bundesrat,2021-03-26T11:21:32.000Z,"Bundesratspräsident 
@ReinerHaseloff
 nahm heute den 29. Tätigkeitsbericht zum #Datenschutz vom Bundesbeauftragten für den #Datenschutz und die #Informationsfreiheit #BfDI, 
@UlrichKelber
, entgegen. Mehr zum Bericht: https://bfdi.bund.de/SharedDocs/Publikationen/Taetigkeitsberichte/TB_BfDI/29TB_20.html…",1,9,18
phoenix,@phoenix_de,2021-03-25T11:59:05.000Z,"#BPK: Vorstellung der Tätigkeitsberichte des Bundesbeauftragten für den #Datenschutz und die Informationsfreiheit (BfDI), Prof. 
@UlrichKelber
. 
@BfDI_infophoenix
@phoenix_de
#BPK: Vorstellung der Tätigkeitsberichte des Bundesbeauftragten für den #Datenschutz und die Informationsfreiheit (BfDI), Prof. @UlrichKelber. @BfDI_info
pscp.tv",,14,25
Ulrich Kelber,@UlrichKelber,2021-03-25T11:47:56.000Z,"Kurz vor Beginn meiner Pressekonferenz, bei der sicherlich auch Corona-Apps zur Sprache kommen, macht ein Hersteller auf der Spree noch Schleichwerbung ",8,5,164
