User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
AfD-Fraktion im Deutschen Bundestag,@AfDimBundestag,2019-11-09T16:02:39.000Z,"#9November - Gedenken an die Opfer des SED-Regimes!

Kranzniederlegung durch die #AfD-Fraktion zum dreißigsten Jahrestag der Maueröffnung am 9. November in #Berlin. 
@Ulrich_Oehme
 @Beatrix_vStorch
 @GtzFrmming
 @StefanKeuterAfD9. November: Gedenken an die Opfer des SED-Regimes! - AfD-Fraktion im...
Folge uns auch auf Telegram: https://t.me/afdfraktionimbundestag Kranzniederlegung zum dreißigsten Jahrestag der Maueröffnung am 9. November 2019.Offizieller...
youtube.com",31,46,182
AfD-Fraktion im Deutschen Bundestag,@AfDimBundestag,2019-11-14T11:59:02.000Z,"+++Impfung ohne staatlichen Zwang!+++
#AfD-MdB 
@Ulrich_Oehme
 zur Masern-Impfpflicht: ""Eltern lassen 97 Prozent ihrer Kinder freiwillig gegen Masern impfen. Bei Erwachsenen hilft Überzeugung, kein staatlicher Zwang."" #BundestagImpfung ohne staatlichen Zwang! - Ulrich Oehme - AfD-Fraktion im...
Folge uns auch auf Telegram: https://t.me/afdfraktionimbundestag Offizieller Kanal der AfD-Fraktion im Deutschen BundestagJetzt abonnieren ► https://www.yout...
youtube.com",5,7,34
AfD-Fraktion im Deutschen Bundestag,@AfDimBundestag,2019-02-12T11:39:35.000Z,"#AfD-MdB Ulrich #Oehme:
»Erschreckend, dass Scharia-Recht weitaus mehr in nicht-islamischen Ländern des #Europarates wie 
, 
 und neuerdings auch in 
 – wie zum Beispiel die #Kinderehe – als Paralleljustiz praktiziert beziehungsweise geduldet wird.«Oehme: Schleichender Einführung der Scharia in Deutschland einen Riegel vorschieben
Berlin, 12. Februar 2019. Zu der Abstimmung des Europarates zur Vereinbarkeit der Kairoer Erklärung und der Europäischen Menschenrechtskonvention äußert sich AfD-Bundestagsabgeordneter Ulrich Oehme:...
afdbundestag.de",16,86,175
Initiative gegen Kinderehen,@GegenKinderehen,2019-02-12T12:00:53.000Z,"Replying to 
@AfDimBundestagDANKE an die #AfDimBundestag (v.a. 
@Ulrich_Oehme
 & 
@Nicole_Hoechst
), ohne deren Hilfe unser Engagement gegen #Kinderehen mundtot
 gemacht worden wäre! Während die GEZ-finanzierte R.I.-Sekte von #Böhmermann uns einzuschüchtern versuchte! https://philosophia-perennis.com/2018/05/29/r-i-p-eine-neue-buergerinitiative-gegen-kinderehen/… 
@OlgaHebel
 @AfDrus",,27,35
AfD-Fraktion im Deutschen Bundestag,@AfDimBundestag,2019-02-08T14:00:32.000Z,"Zur seiner Kleinen Anfrage zum #UNMigrationspakt erklärt der #AfD-#Bundestagsabgeordnete Ulrich #Oehme.
»Die Antwort wurde über die eigentliche Frist der Beantwortung verlängert, nur um dann eine weitere nichtssagende Antwort zu erhalten.«
#MigrationspaktOehme: Bundesregierung war offenbar nicht an der Information der Bevölkerung zum Global Compact for...
Berlin, 8. Februar 2019. Zur Antwort der Bundesregierung auf eine Kleine Anfrage zum Global Compact for Migration (GCM) erklärt der AfD-Bundestagsabgeordnete Ulrich Oehme: „In einer Nachfrage auf...
afdbundestag.de",4,7,35
"Martin Vincentz, AfD",@Vincentz_AfD,2019-02-05T01:46:13.000Z,"Zukunft ohne Jugend oder doch eher Jugend ohne Zukunft? Heute ab 18 Uhr! Diskutieren Sie mit uns!
 
Dr. @EspendillerM & ich laden in den Düsseldorfer #Landtag ein.
Anmeldung an: Bernd.rummler@landtag.nrw.de #AfD #LtNRW 
@janrw__
 @JA_Koeln
 @JABVDuesseldorfAfD-Fraktion NRW
@AfD_FraktionNRW
 · Feb 1, 2019
Eine Zukunft ohne Jugend oder doch eher eine Jugend ohne Zukunft? 
05. Februar, 18 Uhr, #LtNRW
Diskutieren Sie mit uns! 
 #AfD
https://facebook.com/events/966149440439291/…",8,12,24
"Nicole Höchst, MdB",@Nicole_Hoechst,2019-02-04T20:00:58.000Z,"+++ Im April 2019!
 +++
Mehr Infos zum #AfD-#Mädchenkongress (Anmeldung zum Kongress & Teilnahme am ""MUTIGE MÄDCHEN""-Wettbewerb bis 31.03.):
 https://facebook.com/hoechstpolitisch/…
 https://instagram.com/hoechstnicole/
 https://twitter.com/Eliza_AfD
#AfDwirkt #Berlin #EUropawahl #EU
https://facebook.com/hoechstpolitisch/photos/a.366340413843040/545381959272217/…Alternative für 
 Deutschland and 7 others",5,46,93
"Frank Pasemann, MdB",@Frank_Pasemann,2019-02-03T14:34:58.000Z,"Eine weitere Stimme des konservativen Journalismus ist bei 
@Twitter
: Herzlich willkommen Deutschland Kurier 
@Deu_Kurier
! Wir brauchen die gegenseitige Unterstützung, um unsere politische Meinung trotz übermächtiger Mainstreammedien zu verbreiten.
@AfDimBundestag
 @AfD
 @AfDKompakt",2,17,32
"Nicole Höchst, MdB",@Nicole_Hoechst,2019-02-08T03:10:12.000Z,"Erneute #Zensur gegen mich, weil die #NZZ-Kritik an der #SPD gepostet wurde: https://facebook.com/hoechstpolitisch/photos/p.546824769127936/546824769127936/… Meinungsfreiheit adé!AfD-Fraktion im Deutschen Bundestag 
 and 7 others",8,67,93
"Nicole Höchst, MdB",@Nicole_Hoechst,2019-02-06T00:38:17.000Z,"An dieser Stelle einfach mal ein Lob+Dankeschön an alle, die bei der #Mädchenkongress-Vorbereitung mithelfen! Die Resonanz ist erfreulich positiv, denn die #AfD verschafft den Anliegen von Mädchen & jungen Frauen Gehör, macht ihnen Mut & prämiert die Mutigen. Mitmachen! #AfDwirktRusslanddeutsche AfD and 7 others",3,41,77
