User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Uwe Kekeritz,@UweKekeritz,2021-05-13T13:47:29.000Z,"Die Antwort der Botschaft auf unseren ersten Brief:Cancillería Colombia
@CancilleriaCol
 · May 7
Cancillería, a través de la Embajada de Colombia en Alemania, respondió a parlamentarios alemanes que enviaron comunicación al Gobierno nacional",,,
Uwe Kekeritz,@UweKekeritz,2021-05-13T13:47:28.000Z,"In #Kolumbien hält die #Polizeigewalt weiter an. Gestern schrieben Kolleginnen und ich erneut an die kolumbianische Regierung, als Antwort auf das Schreiben der kol Botschaft, das wir letzte Woche erhielten. 
@CancilleriaCol
, 
@IvanDuque
, #SOSColombiaDDHHGonzalo Guillén
@HELIODOPTERO
 · May 13
Respuesta de los parlamentarios alemanes, entre ellos cuatro de la coalición de gobierno, a las mentiras crimínales de la canciller Claudia Blum y el embajador de Duque en Berlín.",1,1,1
Uwe Kekeritz,@UweKekeritz,2021-05-11T08:59:36.000Z,"Die Sicherheitslage in #Westafrika bleibt heikel. Auch in #Nigeria bekommt die Regierung die Lage nicht in den Griff.Gewaltausbruch in Nigeria: „Am Rande des Zusammenbruchs“
In Nigeria erfasst Gewalt das ganze Land, nicht mal die Hauptstadt Abuja gilt mehr als sicher. Präsident Buhari steht unter Druck wie nie zuvor.
taz.de",,,
Europagruppe GRÜNE,@Gruene_Europa,2021-05-11T07:38:50.000Z,"Seit zehn Jahren gibt es die #Istanbul-Konvention zum Schutz von Frauen & Mädchen vor Gewalt & Diskriminierung. Und mindestens genauso lange ist die Konvention heftigen Anfeindungen ausgesetzt. Das ist ein fatales Signal! 1|5

#IstanbulConventionSavesLives 
#IstanbulConventionTerry Reintke and 9 others",2,16,35
Grüne im Bundestag,@GrueneBundestag,2021-05-07T07:48:19.000Z,"#KlimaschutzIstJetzt: Wir dürfen nicht länger warten! 

Um die Klimakrise in den Griff zu kriegen, braucht es jetzt wirksame Maßnahmen. Unser Angebot 
https://dip21.bundestag.de/dip21/btd/19/292/1929294.pdf…",65,90,227
Ramona Lenz,@LenzRamona,2021-05-05T08:14:38.000Z,"Mindestens 2.000 Tote infolge von Pushbacks an EU-Grenzen:Revealed: 2,000 refugee deaths linked to illegal EU pushbacks
A Guardian analysis finds EU countries used brutal tactics to stop nearly 40,000 asylum seekers crossing borders
theguardian.com",1,68,88
Uwe Kekeritz,@UweKekeritz,2021-05-05T08:51:36.000Z,"Tragisch: Die Gewalt in #BurkinaFaso nimmt weiter zu. Der Fokus auf militärische Ansätze hat die #Sahel-Zone alles andere als sicherer gemacht.Trauer nach neuer Gewalttat in Burkina Faso
Im westafrikanischen Burkina Faso sind Medienberichten zufolge mindestens 30 Menschen bei einem Angriff auf ihr Dorf getötet worden. Schon Ende April hatten mutmaßliche Islamisten ein Blutbad in dem...
dw.com",,,
Ärzte ohne Grenzen,@msf_de,2021-05-04T10:30:20.000Z,"#Mosambik: Seit 2017 wird die Provinz #CaboDelgado im Norden des Landes von schwerer Gewalt erschüttert. Wir leisten medizinische Hilfe für Vertriebene. Im März haben neue Angriffe auf die Küstenstadt Palma Hunderte Menschen erneut zur Flucht gezwungen.From 
MSF Australia",,6,15
Martin Häusling,@MartinHaeusling,2021-05-03T10:34:24.000Z,"Die Verluste am Amazonas Regenwald sind drastischer als angenommen. Statt co2 zu binden, werden fast 20% mehr CO2 freigesetzt. Für das globale Klima ist das eine dramatische Umkehr, die in Brasilien von der Regierung #Bolsonaro auch noch befeuert wird.Brazilian Amazon released more carbon than it absorbed over past 10 years: study
International team of researchers also found that deforestation rose nearly four-fold in 2019. EURACTIV's media partner The Guardian, reports.
euractiv.com",8,24,37
Annalena Baerbock,@ABaerbock,2021-04-29T09:19:36.000Z,"Historische Entscheidung des #BVerfG. #Klimaschutz schützt unsere Freiheit und die Freiheit unserer Kinder und Enkel. Deshalb konkreter Auftrag für das Hier und Heute: Klimaschutzgesetz jetzt überarbeiten. Die nächsten Jahre sind entscheidend für konsequentes Handeln.SPIEGEL EIL
@SPIEGEL_EIL
 · Apr 29
»Fridays for Future« hatte gegen das #Klimaschutzgesetz des Bundes geklagt – es geht ihnen nicht weit genug. Nun hat Karlsruhe der Verfassungsbeschwerde teilweise recht gegeben.
https://spiegel.de/politik/deutschland/bundesverfassungsgericht-deutsches-klimaschutzgesetz-in-teilen-verfassungswidrig-a-141ff3a9-da38-4d46-b9ce-eda97b9dc4bb…",275,612,5.2K
