User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
DIE LINKE. Hamburg,@DieLinke_HH,2021-05-13T13:09:38.000Z,"Gerade am Jungfernstieg: Über 200 Menschen demonstrieren für Versammlungsfreiheit und gerechte Arbeitsbedingungen! 
 #hh1305  #ReichtumUmverteilenŻaklin Nastic, MdB and 9 others",,5,22
"Żaklin Nastic, MdB",@ZaklinNastic,2021-05-12T16:29:40.000Z,"Bei unserem letzten Live-Talk hatten wir ein technisches Problem und mussten unseren Landessprecher:innen Talk vorzeitig beenden. Am Freitag, den 14.05. werden wir den Talk nun wiederholen und freuen uns auf eine spannende Veranstaltung mit unserem Gast Oliver Riek.
@DieLinke_HH",,,1
"Żaklin Nastic, MdB",@ZaklinNastic,2021-05-12T16:25:37.000Z,"""Zeit für linke Politik! Was wären ideale Bedingungen für Arbeitnehmer:innen in Gastronomie und Einzelhandel?""
Landessprecher:innen Talk #13.2 am Freitag,
den 14.05.21 um 19:00Uhr.

Im Facebook-Livestream: DIE LINKE Hamburg oder bei YouTube unter https://youtu.be/nKdwzhUOjaw",1,3,5
"Żaklin Nastic, MdB",@ZaklinNastic,2021-05-12T11:04:12.000Z,"Um einen noch drastischeren #Pflegekräftemangel zu verhindern, müssen wir die Kommerzialisierung unseres Gesundheitssystems stoppen! Bestmögliche gesundh. Versorgung ist ein #Menschenrecht, kein Privileg! Die 
@Linksfraktion
 kämpft für Systemwechsel in der #Pflege!
 
#TagDerPflege",,10,19
"Żaklin Nastic, MdB",@ZaklinNastic,2021-05-11T17:16:46.000Z,"Als Menschen am #1Mai in #Hamburg für soziale Rechte demonstieren wollten, wurden sie geschlagen & mit Wasserwerfern attackiert. Doch sozialer Protest lässt sich nicht verbieten! Deshalb bin ich am Donnerstag, 13. Mai, ab 14 Uhr am #Jungfernstieg dabei. Ihr auch?
@DieLinke_HHWerHatDerGibt
@WerHatDerGibt
 · May 10
Sozialer Protest lässt sich nicht verbieten: Wir tragen unsere sozialen Forderungen, die Forderungen nach #ReichtumUmverteilen, auf die Hamburger Straßen - infektionsschutzkonform.

Der 13. Mai ist unser 
Show this thread",1,2,5
"Żaklin Nastic, MdB",@ZaklinNastic,2021-05-10T08:33:32.000Z,"Hier die #Arbeitslosenzahlen für #Hamburg im April 2021. Anstatt die Statistik Monat für Monat zu beschönigen, ist es endlich an der Zeit, wirksame Hilfen für #Arbeitslose zu beschließen und durch eine Investitionsoffensive gut bezahlte #Arbeitsplätze zu schaffen!
@DieLinke_HH",,3,3
"Żaklin Nastic, MdB",@ZaklinNastic,2021-05-05T16:49:16.000Z,"60 % der Deutschen halten die Rüstungsexportpolitik der Bundesregierung für unmoralisch & falsch! #Bundesregierung,aber auch 
@Die_Gruenen
 sollten die Mehrheitsmeinung ernst nehmen!

Für die 
@Linksfraktion
 ist klar: #Rüstungsexporte stoppen und abrüsten - auch der #Umwelt zuliebe!Greenpeace e.V.
@greenpeace_de
 · May 5
Mythos restriktive Rüstungsexportpolitik: Klare Mehrheiten in D
, ES
, FR
, und IT
 sehen ethisch-moralische Grundsätze bei #Waffenexporten laut EU-Umfrage nicht ausreichend beachtet: https://greenpeace.de/themen/umwelt-gesellschaft/frieden/eu-buergerinnen-gegen-waffenexporte… #EntrüstungJetzt #StopptWaffenexporte ",1,5,10
"Żaklin Nastic, MdB",@ZaklinNastic,2021-05-05T11:46:34.000Z,"Heute vor 203 J. wurde #KarlMarx geboren. Seine Feststellung „Nach mir die Sintflut! ist der Wahlruf jedes Kapitalisten und jeder Kapitalistennation“ bewahrheitet sich. Ärmere werden ihrer Existenz beraubt, der Rüstungsetat steigt, unsere Umwelt wird zerstört.
@Linksfraktion",2,17,56
DIE LINKE. Hamburg,@DieLinke_HH,2021-05-05T11:23:56.000Z,"Unsere Kundgebung ""Solidarische Pandemiebekämpfung statt Ausgangssperren"" verpasst? Alle Reden jetzt auf unserem Youtube-Kanal: https://bit.ly/2RoIQRc 
Mit 
@keyvan_taheri
, 
@ZaklinNastic
, 
@DenizCelikhh
, 
@DavidStoopHH
, Angelika Traversin. #Hamburg #Corona #Solidarität ""Für eine solidarische Pandemiebekämpfung - gegen Ausgangssperren"" - Kundgebung der Hamburger...
youtube.com",,2,1
"Żaklin Nastic, MdB",@ZaklinNastic,2021-05-03T15:27:49.000Z,"Wo bleibt der mutige Einsatz von 
@HeikoMaas
 z.B. für #Assange? Er ist krank & ihm droht lebenslange Haft.

Warum liefern wir weiter Waffen z.B. an #Erdogan?

Für die 
@Linksfraktion
 ist klar: die #Pressefreiheit muss konsequent verteidigt werden – egal ob im Osten oder im Westen.Auswärtiges Amt
@AuswaertigesAmt
Regierungsorganisation aus Deutschland
 · May 3
„Journalismus ist kein Verbrechen und darf auch kein lebensbedrohliches Wagnis sein. Dafür müssen wir sorgen, wenn Information ein öffentliches Gut sein soll.“ – Außenminister @HeikoMaas am Internationalen Tag der #Pressefreiheit",1,16,41
"Żaklin Nastic, MdB",@ZaklinNastic,2021-05-02T11:13:27.000Z,"Ich wünsche allen orthodoxen Christinnen und Christen ein gesegnetes, friedliches und besinnliches Osterfest! Feiert schön, bleibt gesund und genießt die freien Tage!
@Linksfraktion
#Пасха #Пасха2021 #Srbija #србија #Россия #Беларусь #Украина",,2,15
"Żaklin Nastic, MdB",@ZaklinNastic,2021-05-01T13:15:08.000Z,"Die rote Fahne auf dem Bild halte ich, während Polizisten mir vorwarfen ich würde damit der Anlass der Demo sein .Linksfraktion Hamburg
@LinksfraktionHH
 · May 1
Wegen ""Infektionsschutz"" unterbindet die @PolizeiHamburg rigide die Kundgebung von @WerHatDerGibt auf der Moorweide. Wenn irgendwo #Abstandhalten gut möglich ist, dann wohl hier.  #hh0105 #TagderArbeit",2,5,10
"Żaklin Nastic, MdB",@ZaklinNastic,2021-05-01T10:15:39.000Z,"Der diesjährige 1.Mai ist gezeichnet durch eine zunehmende Verarmung großer Teile unserer Gesellschaft. Fast jede(r) fünfte Vollzeitbeschäftigte arbeitet im #Niedriglohnsektor.

Also: Heraus zum #1Mai:

https://die-linke-hamburg.de/aktuelles/nachrichten/detail/news/heraus-zum-ersten-mai/…
@Linksfraktion
 @DieLinke_HH
 #1Mai2021 #TagderArbeit",1,6,14
"Żaklin Nastic, MdB",@ZaklinNastic,2021-04-30T12:35:30.000Z,"Ich bin am Dammtor dabei, du auch?DIE LINKE. Hamburg
@DieLinke_HH
 · Apr 30
Heraus zum 1. Mai in #Hamburg! 
Trotz Corona könnt Ihr an zahlreichen Aktionen teilnehmen. Alle Infos findet Ihr auf unserer Webseite: https://die-linke-hamburg.de/aktuelles/nachrichten/detail/news/heraus-zum-ersten-mai/… #Hamburg #Solidarität #1Mai #1Mai2021",,1,4
Peter Gutzeit,@gutzeit_eims,2021-04-29T17:58:39.000Z,"#Grüne lehnen Antrag der Linksfraktion #Eimsbüttel ab, den #8Mai endlich in #Hamburg zum Feiertag zu machen. Ohne jegliche Diskussion...",,4,6
DIE LINKE. Hamburg,@DieLinke_HH,2021-04-29T17:18:59.000Z,"Einschränkungen für Privatleute, aber in den Betrieben wird ganz normal gearbeitet? Auf dem Rathausmarkt haben wir heute unsere Position klargemacht:
• #Pandemie solidarisch bekämpfen!
• #Unternehmen in die Pflicht nehmen!
• #Ausgangssperren weg!
https://die-linke-hamburg.de/aktuelles/termine/detail/news/solidarische-pandemiebekaempfung-statt-ausgangssperren/…David Stoop and 2 others",2,11,25
"Żaklin Nastic, MdB",@ZaklinNastic,2021-04-29T11:10:53.000Z,"Eindruck verfestigt sich: Freie Hand für Auskunfteien und Banken. Freier Markt > #Menschenrechte & #Datenschutz. 
#Systemwechsel muss her: #Schufa & Co. Riegel vorschieben: Bonitätsauskünfte begrenzen, mehr #Transparenz, bessere Kontrolle der Auskunfteien!
@LinksfraktionŻaklin Nastic, MdB
@ZaklinNastic
 · Apr 22
Die Daten von Millionen Menschen dürfen nicht zum Spekulationsobjekt werden! Sollte die #SCHUFA zum Verkauf stehen, muss die #Bundesregierung die Chance nutzen & zuschlagen! Antwort auf meine zweite Frage dazu steht noch aus. Wir machen weiter Druck!",,5,15
"Żaklin Nastic, MdB",@ZaklinNastic,2021-04-22T16:27:13.000Z,"Die Daten von Millionen Menschen dürfen nicht zum Spekulationsobjekt werden! Sollte die #SCHUFA zum Verkauf stehen, muss die #Bundesregierung die Chance nutzen & zuschlagen! Antwort auf meine zweite Frage dazu steht noch aus. Wir machen weiter Druck!
@Linksfraktion
 @wischmeyer_n",1,14,21
"Żaklin Nastic, MdB",@ZaklinNastic,2021-04-22T12:52:12.000Z,"""Rote Zelte"": #Mietenwahnsinn und Verdrängung stoppen – Demo am Samstag, 24. April 11-13:00 Uhr vor dem Museum der Arbeit

Wir fordern: Keine Profite mit #Miete - Gutes Zuhause für alle!
#Mietendeckel bundesweit!
@DieLinke_HH
 @DieLinke_HHnord
 @LAG_StuWoDIE LINKE. Hamburg-Nord
@DieLinke_HHnord
 · Apr 19
Mietenwahnsinn und Verdrängung stoppen! 
 Kommt zu unser ersten #RoteZelte-Kundgebung am kommenden Samstag, 24.04. von 11 bis 13 Uhr auf dem Bert-Kaempfert-Platz in #Barmbek! Mit Redebeiträgen u.a. von der Volksinitiative ""Keine Profite mit Boden und Miete"". 

#Hamburg #HH2404",1,6,8
"Żaklin Nastic, MdB",@ZaklinNastic,2021-04-21T14:43:28.000Z,"Auf Initiative von 
@UllaJelpke
 und mir fordert die 
@Linksfraktion
 die sofortige Freilassung von Mumia Abu Jamal & aller anderen polit. Gefangenen. 
Die auch nach Einschätzung des #UN-Menschenrechtsrats unmenschliche Isolationshaft & die Todesstrafe in den #USA gehören abgeschafftlinksfraktion
@Linksfraktion
 · Apr 21
Die #Linksfraktion fordert in einer Erklärung die sofortige Freilassung von Mumia Abu Jamal und aller anderen politischen Gefangenen wie Leonard Peltier oder Sundiacata Acoli – gerade in Zeiten von Covid-19. https://tinyurl.com/7u9c3hvv #USA #BLM",5,18,36
"Żaklin Nastic, MdB",@ZaklinNastic,2021-04-21T13:05:51.000Z,"Nein zu diesem „#Infektionsschutzgesetz“, nein zu #Ausgangssperren! Wir brauchen umfassenden #Gesundheitsschutz, der auch Großbetriebe in die Pflicht nimmt, statt die Verantwortung ins Private zu verlagern! Zudem fordert 
@Linksfraktion
 die Freigabe von Impfstoffpatenten!",1,5,19
