User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
DIE LINKE,@dieLinke,2021-05-10T13:14:44.000Z,"Für einen Wandel, der niemanden zurücklässt. 
Der Hoffnung gibt und sozial gerecht ist.
Gemeinsam machen wir das Land gerecht. Jetzt!
#MachtdasLandgerecht #jetzt1:37
15.7K views",47,292,564
Cornelia Möhring,@Conni_Moehring,2021-05-14T07:10:12.000Z,"Schwangerschaftsabbrüche müssen als Teil der Gesundheitsversorgung gelten, überall in Deutschland möglich sein und die Kosten haben die Krankenkassen zu tragen. #wegmit218 #150JahreWiderstand #218abwählen",4,37,166
Fridays for Future Germany,@FridayForFuture,2021-05-05T09:07:25.000Z,"Die Klimakrise lässt sich nicht bekämpfen ohne die darunterliegenden Ungerechtigkeiten anzugehen! Das #Aufbruchsklima in der Kooperation mit 
@_verdi
 und 
@Unteilbar_
 macht die grundlegende Veränderung möglich, die wir für klimagerechtigkeit brauchen. ver.di and 2 others",9,77,303
Jules El-Khatib,@ju_khatib,2021-05-05T09:29:35.000Z,"Am Freitag soll im Bundesrat das neue Beamtengesetz verabschiedet werden, dieses beinhaltet die Möglichkeit der Einführung eines #Kopftuchverbot durch die Hintertür. Die Grünen haben die Möglichkeit diesen Teil aus dem Gesetz streichen zu lassen. 
(Thread)",3,17,73
Christine Buchholz,@ch_buchholz,2021-05-03T13:56:19.000Z,"Nach 20 Jahren Krieg zieht die #Bundeswehr aus #Afghanistan ab. Für den Westen ist das heftige Niederlage. Demokratie läßt sich nicht herbeibomben. Hier mein Kommentar zum Afghanistan-Abzug. 
@Linksfraktion
 @dieLinkeAfghanistan: Demokratie lässt sich nicht herbeibomben
Der Abzug der Bundeswehr und der internationalen Truppen aus Afghanistan hat begonnen. Die Taliban haben gewonnen. Damit ist klar: Demokratie, Frauenrechte und gesellschaftlicher Fortschritt können...
links-bewegt.de",1,9,16
Jules El-Khatib,@ju_khatib,2021-04-28T15:04:01.000Z,"Argentinien hat als erstes Land der Welt eine Vermögensabgabe eingeführt um die Folge der Corona-Krise zu bewältigen. Durch Abgaben der 12.000 reichsten Argentinier, werden 3.5 Milliarden Euro generiert. Deutschland sollte sich daran mal ein Beispiel nehmen.
#ReichtumUmverteilen",23,68,313
"Hubertus Zdebel, MdB",@ZdebelHubertus,2021-04-06T12:03:27.000Z,"+++ Diskussionsveranstaltung heute 19h online +++

Solidarisch aus der Krise – Sozial-ökologischer Umbau mit LINKS

von 
@SaschaHWagner
 und 
@mir
 steht zum Download bereit:

 http://hubertus-zdebel.de/solidarisch-au…

++ Neue Broschüre ++

#Klimakrise #Corona #sozialökologischerumbau",,2,1
DIE LINKE. NRW,@DieLinkeNRW,2021-04-05T15:53:20.000Z,"Kleine und mittlere Einkommen entlasten? Das Versprechen alle, wirkliche Entlastung bringt aber nun das Konzept von uns, wie die Berechnung von 
@iw_koeln
 zeigt!",1,23,56
"Kathrin Vogler, MdB",@voglerk,2021-04-02T12:25:11.000Z,"An der #UAA in Gronau 150 Leute beim #ostermarsch2021-Auftakt, die gegen #Atomwaffen und für den vollen Ausstieg aus der #atomkraft demonstrieren.",4,13,32
"Hubertus Zdebel, MdB",@ZdebelHubertus,2021-03-31T10:00:09.000Z,"+++ Neue Broschüre +++

Solidarisch aus der Krise – Sozial-ökologischer Umbau mit LINKS

von 
@SaschaHWagner
 und 
@mir
 steht zum Download bereit:

 https://hubertus-zdebel.de/solidarisch-aus-der-krise-sozial-oekologischer-umbau-mit-links/…

++ Diskussionsveranstaltung++ 6.4.2021 ab 19:00Uhr online

#Klimakrise #Corona #sozialökologischerumbau",,4,5
SofA Münster,@SofA_MS,2021-03-13T13:34:08.000Z,"#Ostermarsch 2021
#Schulze und #Maas zum 02.04. nach #Gronau eingeladen ? - Hier steht Deutschlands einzige #UAA - #Urenco.. vom #Atomausstieg ausgenommen!

Hier mehr:Zeitbombe Atomkraft
Die Erinnerung an die Atomkatastrophe in Fukushima betont die Gefahren der Atomenergie. Gleichzeitig darf die Verknüpfung von Atomanlagen und dem Atomwaffenbau nicht vergessen werden. Dabei steht...
energiezukunft.eu",,2,3
"Hubertus Zdebel, MdB",@ZdebelHubertus,2021-03-29T11:40:42.000Z,Am kommenden Wochenende finden bundesweit Ostermärsche für Frieden und Abrüstung statt. Dies ist im Jahr der Bundestagswahl umso wichtiger um ein deutliches Signal gegen die Aufrüstungsfantasien unserer Regierung.,,2,1
