User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Berîvan Aymaz,@berivan_aymaz,2021-05-13T12:20:17.000Z,"So viele Jüdinnen und Juden in meiner Timeline, die trotz der massiven Raketenangriffe der Hamas auf #Israel, trotz ihrer Angst um ihr Leben oder das ihrer Angehörigen, sich sehr deutlich gegen Hass & die Abwertung von Palästinensern stellen. Respekt & Dank diesen Stimmen!",1,17,123
Agnieszka Brugger,@agnieszka_mdb,2021-05-13T10:36:21.000Z,"Danke für diese schöne Initiative 
@LamyaKaddor
 #EidMubarakLamya Kaddor
@LamyaKaddor
 · 13h
Ich werde oft gefragt:Sag mal Lamya,wie gratuliert man Euch eigentlich zum Fest?Freue mich sehr,dass viele prominente grüneFreund:innen für Vielfalt stehen und diese sichtbarer machen!Wir wünschen allen Muslim:innen ein schönesRamdanfest<3

https://facebook.com/599358231/videos/10159234527793232/…

@Die_Gruenen
Show this thread",,,5
Katrin Göring-Eckardt,@GoeringEckardt,2021-05-12T12:16:28.000Z,"Es ist unerträglich, wenn der erneut eskalierte Konflikt im Nahen Osten benutzt wird, um Jüdinnen und Juden auch in Deutschland anzugreifen. Das dürfen wir als Gesellschaft nicht akzeptieren!B'90/Die Grünen NRW
@gruenenrw
 · May 12
Es ist eine Schande, dass in NRW israelische Flaggen brennen und Synagogen angegriffen werden. Gegen jeden Antisemitismus!",131,41,298
Konstantin v. Notz,@KonstantinNotz,2021-05-13T07:10:17.000Z,"Ich bin ein frommer Mensch und finde,Religion,Weltanschauung und säkulare Überzeugungen gehören sichtbar in unsere Gesellschaft und unser Leben.Jesus Christus mit einem Parteilogo zu versehen und mit Wahlkampfsymbolik einzukringeln,ist allerdings im besten Fall geschmacklos. #CDU",202,296,2.5K
Frank Sauer,@drfranksauer,2021-05-12T15:49:10.000Z,"As of today, the 
@ICRC
, the ""guardian"" of international humanitarian law, is calling for new international law to regulate autonomy in weapons systems. This is a significant new development and will have a lasting impact on the international conversation on this issue 
@UNGeneva
.iPRAW.org and 9 others",4,50,71
Agnieszka Brugger,@agnieszka_mdb,2021-05-12T16:40:54.000Z,"Man mag noch verstehen, dass Markus Blume sehr, sehr verzweifelt ist. Aber infame & unwahre Unterstellung zu machen - das ist ein neuer Tiefpunkt, sogar für die CSU. Und das angesichts der Raketen, die auf die Menschen in Israel abgeschossen werden. Es ist wirklich erbärmlich.Markus Blume
@MarkusBlume
 · May 12
#Baerbocks Zaudern und Zögern, wenn es um Israels Recht auf Selbstverteidigung geht, läuft der deutschen Staatsräson zuwider. Wer Zweifel daran lässt, dass er an der Seite Israels steht, ist nicht regierungsfähig.(1/2)
Show this thread",7,29,248
Agnieszka Brugger,@agnieszka_mdb,2021-05-10T09:12:11.000Z,"Nobody is safe until everybody is safe. Bundesregierung & EU sollten Kursewechsel der Biden/Harris Administration folgen. Wir müssen jetzt alles tun, um global schneller Impfstoffe herzustellen & fair zu verteilen. Alles andere ist egoistisch, gefährlich & unvernünftig.",1,6,39
Malte Kreutzfeldt,@MKreutzfeldt,2021-05-09T11:50:09.000Z,"Deutschland ist mit gut 1 % der Weltbevölkerung für 2 % der globalen CO2-Emissionen verantwortlich. Wieso manche
diese Zahl als Argument gegen ambitionierten Klimaschutz in Deutschland nutzen wollen, habe ich noch nie verstanden.Friedrich Merz
@_FriedrichMerz
 · May 7
„Manche glauben, man könne einfach das System auf den Kopf stellen für das #Klima, dabei beträgt Deutschlands Anteil am globalen #CO2-Ausstoß nur 2%. Und wir können mit Wind und Sonne nicht die Arbeitsplätze kompensieren, die in anderen Branchen verloren gehen.“ (tm) #Merz #Lanz
Show this thread",32,165,1.2K
Irene Mihalic,@IreneMihalic,2021-05-08T14:03:17.000Z,"Ok, wann wollt ihr denn damit anfangen 
@csu
 und 
@MarkusBlume
? Ihr hattet immerhin die letzten 16 Jahre Zeit. #GroKo #DieLuftIstRaus #BTW21",74,86,1K
Konstantin v. Notz,@KonstantinNotz,2021-05-08T12:43:24.000Z,"Lieber Fliegenpilz 
 als SpaltPilz #CSUMarkus Blume
@MarkusBlume
 · May 8
Wir arbeiten mit Hochdruck am gemeinsamen Wahlprogramm. Die große Enttäuschung über den Ausgang der Personalentscheidung spiegelt sich in den Umfragen wider. Viele, nicht nur in #Bayern, hätten sich Markus Söder gewünscht.
Show this thread",16,25,308
