User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Bernd Riexinger,@b_riexinger,2021-05-14T11:02:58.000Z,Die Eskalationsspirale im Nahen Osten muss aufhören. Die #Bundesregierung muss hier mehr für die Vermittlung tun als Außenminister #Maas. Gewalt ist keine Lösung!,4,3,33
Bernd Riexinger,@b_riexinger,2021-05-14T08:38:47.000Z,"Eine Gesellschaft, die sich um die Qualität ihres Essens mehr sorgt als um die Menschen, die sie produzieren, macht etwas sehr, sehr falsch.Polinnen aus der Spargelhof-Quarantäne packen aus
Auf einem der größten Spargelhöfe Deutschlands ist das Coronavirus ausgebrochen. Mittlerweile haben sich 131 Menschen infiziert. Polnische Erntehelferinnen berichten von Bedingungen ""wie im Horrorf...
dw.com",1,6,45
Jules El-Khatib,@ju_khatib,2021-05-12T06:15:29.000Z,"Menschen in Gaza haben Angst, Menschen in Tel Aviv haben Angst. Wir sollten verstehen, dass die Zivilbevölkerung auf beiden Seiten leidet. Wer in Deutschland sitzt und nur die Toten einer Seite betrauert, dem geht es nicht um Frieden, nicht um die Lösung des Konfliktes.",49,345,2.6K
Katja Kipping,@katjakipping,2021-05-12T13:44:44.000Z,"Steuertrickserei am Limit:

#Amazon verbucht im Pandemiejahr 2020 in der EU Rekordumsatz: 44 Mrd.€
 
Fällige Steuern in der EU: 0,00 €

SteuerGUTSCHRIFT: 56,6 Mio.€",58,193,762
Bernd Riexinger,@b_riexinger,2021-05-12T19:05:43.000Z,Viele ermutigende Aktionen heute zum #TagderPflege. Eine der wichtigsten Botschaften der Pflegenden: Endlich die Fallpauschalen (DRGs) abschaffen. Recht haben sie!,1,15,72
Nicole Gohlke,@NicoleGohlke,2021-05-10T16:10:29.000Z,"Ich sage: wer #Baerbock wählt, bekommt vielleicht #Laschet, #Merz und #Maaßen.

Lieber auf Nummer sicher gehen und gleich die #Linke wählen für #Umverteilung, Mietenstopp, Solidarität und Klimagerechtigkeit.",16,36,275
Bernd Riexinger,@b_riexinger,2021-05-12T11:50:37.000Z,Das #Klimaschutzgesetz ist etwas besser für die Mieter. Sehr schön. Für das #Klima ist es aber bei weitem zu wenig. Wir haben keine andere Zukunft als diese eine. Das hat die #Bundesregierung offenkundig nicht verstanden.,5,1,41
Bernd Riexinger,@b_riexinger,2021-05-11T11:45:44.000Z,"20 Jahre #Riester-Rente sind 20 Jahre Bereicherung der Versicherungswirtschaft. Diese Kumpelei von Rot-Grün mit den Millionären bleibt unvergessen, weil die gesetzliche #Rente gleich mit geschliffen wurde.",11,26,152
DIE LINKE,@dieLinke,2021-05-10T21:12:03.000Z,"Wir wollen einen Systemwechsel hin zu mehr sozialer Gerechtigkeit und zu mehr Demokratie. Wir wollen, dass nicht in Konzernzentralen, sondern wirklich demokratisch entschieden wird. 
@Janine_Wissler
 im 
@heutejournal
-Interview:
https://zdf.de/nachrichten/politik/linke-wissler-spitzenkandidatin-100.html…
#MachtdasLandgerechtJanine Wissler: ""Es geht immer um die politischen Inhalte""
Linken-Spitzenkandidatin Wissler fordert im ZDF einen Politikwechsel, aber nur wenn die Linke ihr Wahlprogramm durchsetzen kann.
zdf.de",19,40,202
Bernd Riexinger,@b_riexinger,2021-05-09T10:48:30.000Z,"Mit einem guten Ergebnis hat mich 
@die_linke_bw
 soeben zu ihrem Spitzenkandidaten für den #Bundestag gewählt. Ich werde mich mit aller Kraft für ein sozial gerechtes, nachhaltiges und friedliches Land einsetzen! Vielen Dank für das Ergebnis.",12,8,95
Dierk Hirschel,@DierkHirschel,2021-05-09T07:33:28.000Z,"Wer nach 1945 nicht vom #Kapitalismus reden wollte, sprach von der sozialen Marktwirtschaft. Ihr Vater Ludwig Erhard wollte die #Gewerkschaften unters Kartellrecht stellen, kämpfte gegen die Mitbestimmung und wollte die umlagefinanzierte Rente verhindern. Sozialstaat geht anders!WELT
@welt
 · May 8
Panne im Bundestag: Baerbock schreibt Soziale Marktwirtschaft SPD zu – Grüne sprechen von ""Versehen"" http://to.welt.de/0VZXPCt",9,34,145
Bernd Riexinger,@b_riexinger,2021-05-09T06:56:56.000Z,Heute gilt der Dank insbesondere den sowjetischen Befreiern Nazideutschlands. Sie haben einen riesigen Blutzoll gezahlt um den deutschen Hitlerfaschismus in die Knie zu zwingen. #TagdesSieges,19,25,220
Bernd Riexinger,@b_riexinger,2021-05-08T07:39:03.000Z,"Danke an die Befreier Deutschlands. Der 8. Mai ist uns eine Mahnung, dass nie wieder #Faschismus und Krieg von deutschem Boden ausgehen darf. Kein Fußbreit den Faschisten. #TagderBefreiung #8Mai",10,28,172
Bernd Riexinger,@b_riexinger,2021-05-07T13:24:55.000Z,"Willkommen Genosse #Altmaier. Jetzt mit vollem Schwung für eine #Wirtschaft, die den Menschen hilft, nicht andersrum.Corona-Impfstoff: Peter Altmaier stimmt versehentlich für Linken-Antrag zu Patentfreigabe
Die Linke forderte im Bundestag eine Freigabe der Corona-Impfstoffpatente. Die Bundesregierung lehnt das ab. Wirtschaftsminister Peter Altmaier unterstützte den Vorstoß dennoch – Absicht war das...
spiegel.de",8,16,149
Bernd Riexinger,@b_riexinger,2021-05-07T11:32:31.000Z,"Wer, wie der ""#Verfassungsschutz"", #Pegida nach ganzen 7 Jahren als rechtsradikal einstuft, zeigt deutlich, was er für eine rechtsoffene #Blitzmerkertruppe ist.",15,27,145
Bernd Riexinger,@b_riexinger,2021-05-07T07:51:49.000Z,"Friedrich #Merz interessiert sich mehr für #Gendern als die Zustände in den deutschen Krankenhäusern. Kein Wunder, diese Zustände hat er mit seiner neoliberalen Privatisierungsagenda nämlich mitverantwortet. #Pflegenotstand #Privatisierung #Pflege",8,41,240
Bernd Riexinger,@b_riexinger,2021-05-06T11:48:35.000Z,"Offenkundig braucht jede Stadt in #Deutschland ab und an mal eine Diskussion über den #Mietendeckel oder ein #Volksbegehren zur Enteignung der Großvermieter. Plötzlich sehen die Immobilienkonzerne mal von drastischen Mieterhöhungen ab. #DWenteignenBerlin: Deutsche Wohnen kündigt an, dieses Jahr auf Mieterhöhungen zu verzichten
Der größte private Vermieter in der Hauptstadt will die Kosten für Mieter in der Pandemie nicht weiter steigern.
berliner-zeitung.de",6,9,27
Bernd Riexinger,@b_riexinger,2021-05-06T07:43:59.000Z,"Was ich mir anhören durfte, weil ich vor dem 
#Biontech-Werk in #Marburg für die #Lizenzfreigabe demonstriert habe. Nun fordert es die #USA. Die sind des #Kommunismus unverdächtig. Vielleicht kommt die #Bundesregierung jetzt endlich zur Vernunft. #Patentschutz aufheben!",121,257,1.8K
"Dr. Achim Kessler, MdB",@AchimKesslerMdB,2021-05-05T15:33:58.000Z,"Morgen stimmt der Bundestag über unseren Antrag der Linken zum Patentverzicht während der Pandemie ab. Jetzt Druck erhöhen!COVID-19: Impfpatente aussetzen - (unser) Leben retten
Die Pandemie ist ein globales Problem und kann nur global gelöst werden. **Um das Virus unter Kontrolle zu bekommen, müssen wir durch eine weltweite Impfung eine Immunisierung eines Großteils der...
weact.campact.de",2,20,74
Bernd Riexinger,@b_riexinger,2021-05-05T13:03:00.000Z,"Beim #Koalitionsvertrag von #Kretschmann könnte man denken, dass jemand anderes in den letzten 10 Jahre Ministerpräsident war. Für #Klimaschutz gibt es kein Geld. #Mieten, #Pflege, #Arbeitsplätze und Bildung kommen nicht vor. Ein Totalausfall.""Jetzt für morgen"": Baden-Württemberg: Grün-Schwarzer Koalitionsvertrag vorgestellt
Grüne und CDU in Baden-Württemberg haben am Mittwoch ihren Koalitionsvertrag vorgestellt, mit dem sie den Südwesten zum ""Klimaschutzland Nummer eins in Deutschland und Europa"" machen wollen.
n-tv.de",17,23,66
Bernd Riexinger,@b_riexinger,2021-05-05T08:39:42.000Z,"""Die Gedanken der herrschenden Klasse sind in jeder Epoche die herrschenden Gedanken"" - gab uns das heutige Geburtstagskind #KarlMarx auf den Zettel. Wir arbeiten daran genau das zu ändern. Aber erstmal: Glückwunsch zum Geburtstag lieber Karl #Marx! #Marx203 #5Mai",16,24,115
Pascal Meiser,@pascalmeiser,2021-05-03T08:21:41.000Z,"Gemeinsam mit den Berliner #Thalia-Beschäftigten gegen die Kündigung ihres Betriebsratsvorsitzenden!

Die Kündigung ist Teil einer windigen Umstrukturierung zur #Tarifflucht & zur Zerschlagung eines starken Betriebsrats. Höchste Zeit, solchen Methoden einen Riegel vorzuschieben.",1,20,72
Bernd Riexinger,@b_riexinger,2021-05-04T11:13:13.000Z,"Unentwegt reden die Immobilionlobbyisten davon, dass der #Mietendeckel nichts bringt und nur ""Bauen, Bauen, Bauen"" hilft. In #Berlin kostet jede zweite Neubauwohnung übrigens 16€ pro Quadratmeter - kalt. So viel zum Thema ""nur Bauen hilft.""",73,35,172
Bernd Riexinger,@b_riexinger,2021-05-04T09:54:20.000Z,"Angela #Merkel lobt mal wieder die #Pflegekräfte. In ihrer Kanzlerschaft haben sich die Arbeitsbedingungen der Pflegekräfte massiv verschlechtert und in der #Pandemie schmeißen immer mehr Pflegekräfte hin. Wer Menschen so hängen lässt, sollte kein falsches Lob verteilen!",9,37,162
Bernd Riexinger,@b_riexinger,2021-05-03T16:59:11.000Z,"Nun beginnt der #Afghanistan-Abzug. Angeblich sollte dort die ""Freiheit am Hindukusch"" verteidigt werden. Das Ergebnis: Unzählige Menschen sind gestorben oder wurden verwundet, Abermilliarden wurden verpulvert. Nichts erreicht. Ein Desaster, dass allen eine Lehre sein sollte!",7,6,78
