User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Lisa Badum,@badulrichmartha,2021-05-13T17:10:00.000Z,"Der Raketenbeschuss aus dem #Gaza Streifen hält weiter an, sogar auf Flughäfen, um Israel den Luftweg abzuschneiden. Währenddessen sind jüdische Einrichtungen in Deutschland noch mehr in Gefahr als sonst. Das dürfen wir nie akzeptieren. #StandWithIsraelCem Özdemir
@cem_oezdemir
 · 3h
Überall werden die Sicherheitsvorkehrungen für jüdische Einrichtungen verschärft. Es gab Attacken auf Synagogen, brennende Israel-Fahnen. Arabische Sprechchöre, in denen Juden mit dem Tod gedroht wird. Ich bin nicht bereit, das als multikulturellen Kollateralschaden hinzunehmen.
Show this thread",1,2,17
Britta Haßelmann,@BriHasselmann,2021-05-12T12:30:59.000Z,"Ich bin erschüttert über Angriffe auf #Synagogen bei uns in NRW. Jede Form von #Antisemitismus ist aufs Schärfste zu verurteilen.Staatsschutz ermittelt: Israelische Flaggen vor Synagogen in Münster und Bonn angezündet
Der Staatsschutz ermittelt nach Angriffen auf jüdische Einrichtungen in NRW: Vor Synagogen in Münster und Bonn wurden am Dienstagabend israelische Flaggen angezündet.
wdr.de",5,9,154
Lisa Badum,@badulrichmartha,2021-05-12T09:09:54.000Z,"Ist jetzt alles gut im #Klimaschutz? So sehr wir uns freuen, dass die #Klimaziele angehoben werden, so sehr fehlt die Phantasie wie man sie mit fortgesetzter Verweigerung von Windkraftausbau oder einem Kohleausstieg 2038 umsetzen will! Mehr in meinem Interview 
mit 
@klimareportklimareporter°
@klimareport
 · May 12
Den Grünen geht es beim Klima um Maßnahmen, die möglichst schnell möglichst viel CO2 einsparen, betont Lisa Badum, klimapolitische Sprecherin, zum neuen Klimagesetz. Der Koalition attestiert sie Panik angesichts grüner Umfragewerte. @badulrichmartha https://klimareporter.de/deutschland/union-und-spd-betreiben-beim-klimaschutz-rosinenpicken…",4,6,19
klimareporter°,@klimareport,2021-05-12T07:17:44.000Z,"Den Grünen geht es beim Klima um Maßnahmen, die möglichst schnell möglichst viel CO2 einsparen, betont Lisa Badum, klimapolitische Sprecherin, zum neuen Klimagesetz. Der Koalition attestiert sie Panik angesichts grüner Umfragewerte. 
@badulrichmartha""Union und SPD betreiben Rosinenpicken""
Der grünen Fraktion geht es beim Klimaschutz vor allem um Maßnahmen, die möglichst schnell möglichst viel CO2 einsparen, betont Lisa Badum, klimapolitische Sprecherin der Grünen im Bundestag,...
klimareporter.de",3,38,102
Lisa Badum,@badulrichmartha,2021-05-10T11:02:08.000Z,"Es wird Zeit die Phrase vom “schlafenden Riesen” Wärmewende zu entsorgen und endlich konkret mit der Energie- und CO2-Einsparung in Gebäuden zu beginnen!@julia_verlinden 
@GrueneBundestag
 zeigen wie 
. #fairewärme #wärmewende #KlimakriseDr. Julia Verlinden, MdB
@julia_verlinden
 · May 10
Mehr Infos (Studie von ifeu, grünes Konzept #FaireWärme etc.) hier: https://julia-verlinden.de/studie-sanierung-aelterer-wohnhaeuser-kann-klima-schatz-heben/…
Show this thread",1,2,18
phoenix,@phoenix_de,2021-05-07T12:45:41.000Z,"#KlimaZiel|e ohne Lösungswege? ""Wer einen  Wald verspricht, muss auch 
 Bäume pflanzen"", mahnt 
@ABaerbock
 @die_gruenen
. Es brauche eine Ressort übergreifende #Politik für den #KlimaSchutz. Die #KanzlerKandidatin von 
@die_gruenen
 ruft zum gemeinsamen Handeln auf.",80,103,458
Lisa Badum,@badulrichmartha,2021-05-05T15:05:14.000Z,"Nachdem 
@peteraltmaier
 seit Jahren den Ausbau von Erneuerbaren bremst und den #CO2Preis bekämpft hat, ist er nach der Ohrfeige aus Karlsruhe und kurz vor der Wahl auf einmal an Klimaschutz interessiert. Bisher aber nur Ankündigungen. Taten?#klimaklage",2,3,28
Lisa Badum,@badulrichmartha,2021-05-04T10:33:11.000Z,"Positiv: Neue Klimazusagen der Staaten können die Erderhitzung reduzieren. Ansporn: Für den 1,5 Grad müssen wir noch ambitionierter werden. Regierungen können den Unterschied machen! #GameChange #ParisAgreement #klimaklageClimateActionTracker
@climateactiontr
 · May 4
THREAD: Projected end of century warming from #ParisAgreement pledges has dropped by 0.2˚C to 2.4˚C: our latest analysis of all the new #NDC's since September.  The ""optimistic"" (incl all #netZero) targets drops to 2˚C (with 50:50 probability).  http://bit.ly/CAT_global_May21…
Show this thread",,3,9
Lisa Badum,@badulrichmartha,2021-05-03T12:34:18.000Z,"Und mal wieder lädt die #AfD einen Klimaleugner zu einer Anhörung ein, diesmal zum Thema Carbon Leakage beim #CO2Preis. Ganz schön dreist sich laufend öffentlich gegen Artikel 20a unserer Verfassung zu stellen. 
 Grundgesetz #Klimaklage 
@GrueneBundestag
 @lgbeutin",2,2,29
Lisa Badum,@badulrichmartha,2021-04-30T13:22:51.000Z,"„Diese Bundesregierung ist zu echtem Klimaschutz nicht in der Lage“, meinte die klimapolitische Sprecherin von 
@GrueneBundestag
 Lisa Badum.Entscheidung zum Klimaschutzgesetz: Karlsruhe for Future
Das Bundesverfassungsgericht erklärt das deutsche Klimagesetz für verfassungswidrig – und fordert „Entwicklungsdruck“ für klimaneutrale Lösungen.
taz.de",5,3,48
