User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Bärbel Bas,@baerbelbas,2021-05-12T07:27:51.000Z,"Wir wollen mehr Personal und bundesweit verbindliche und bedarfsgerechte Personalschlüssel und wir wollen den Pflegberuf attraktiver machen, indem wir den Pflegekräften auch mehr Entscheidungsverantwortung anvertrauen. #TagderPflegenden #PflegeHolger Mann
@HolgerMannLE
 · May 12
Gute Pflege braucht neben Anerkennung, bessere Bedingungen und Bezahlung. Auf http://spd.de/zukunftsprogramm/#m77477… findest Du unsere Forderungen u.a. nach einem Pflegetariftreuegesetz, mehr Unterstützung für die Angehörigen und weniger Bürokratie. 2/3
#TagDerPflegenden #Pflege
@SPDLeipzig
Show this thread",1,,10
Karl Lauterbach,@Karl_Lauterbach,2021-05-11T08:29:14.000Z,"Dr. Jördis Frommhold ist PionierIn im Kampf gegen #LongCovid. Während für die meisten Pandemie jetzt gefühlt zu Ende geht, dürfen wir die vielen Menschen mit LongCovid nicht zurücklassen. Für sie hat der Kampf gegen Covid oft gerade begonnen. Wir brauchen mehr Forschung und RehaManuela Schwesig
@ManuelaSchwesig
 · May 11
 Take- Over 

Mein Name ist Dr. med. Jördis Frommhold, ich bin 39 Jahre alt und seit Mai 2020 Chefärztin der Abteilung Atemwegserkrankungen der Median Klinik Heiligendamm. 
 /1
Show this thread",100,221,2K
vorwärts Verlag,@vorwaerts,2021-05-09T10:54:03.000Z,"Die beiden Vorsitzenden 
@NowaboFM
  und 
@EskenSaskia
  stellen auf dem #SPDBPT21 das #Zukunftsprogramm vor. Hier geht's zum Live Ticker: https://vorwaerts.de/artikel/spd-parteitag-tag-eins-unserer-aufholjagd-bundestagswahl…

#ausRespekt #zukunftfürdich",2,8,32
Bärbel Bas,@baerbelbas,2021-05-09T09:19:05.000Z,"Aus Respekt vor Deiner Zukunft: Sei live dabei! Sonntag, 9. Mai ab 11 Uhr
Aufbruch und Mut – darum geht es auf dem Parteitag. Wir beschließen das Zukunftsprogramm. Und Kanzlerkandidat Olaf Scholz stellt seinen Plan für die Zukunft vor.
parteitag.spd.de",,1,1
Marc Latsch,@LatschMarc,2021-04-29T07:54:38.000Z,"In der #SPD hat sich in der #Corona-Pandemie eine besondere Arbeitsteilung entwickelt. 
@baerbelbas
 aus Duisburg spricht im Bundestag zu Gesundheitsthemen, 
@Karl_Lauterbach
 bei 
@Markus__Lanz
. Wie es dazu kam, habe ich für 
@rponline
 aufgeschrieben.Duisburger Abgeordnete Bärbel Bas: In Karl Lauterbachs Schatten
Die Duisburger Bundestagsabgeordnete Bärbel Bas ist als SPD-Fraktionsvize für Gesundheitsthemen zuständig. Das bekommt in der Öffentlichkeit nur kaum jemand mit – weil ein Dauer-Talkshowgast alle...
rp-online.de",2,1,10
Olaf Scholz,@OlafScholz,2021-04-28T12:54:46.000Z,"Willy Brandt hat vor 60 Jahren das umweltpolitische Denken in Deutschland angestoßen - lange bevor es die Grünen gab. Umwelt- und Klimaschutz, der funktioniert, das ist sozialdemokratisch. Das ist der Anspruch der #SPD – und meine Zukunftsmission als Kanzlerkandidat.",238,209,517
Patrick Kulhei,@patrickkulhei,2021-04-28T09:23:23.000Z,"Unser Vizekanzler & Kanzlerkandidat 
@OlafScholz
 kommt nach Duisburg - zumindest virtuell. Im Zentrum des Gesprächs sollen unsere Duisburger Themen stehen. Er möchte hören, wo bei uns in Duisburg der Schuh drückt. 
Mit dabei: 
@baerbelbas
 & 
@oezdemir_spd
. #ZukunftsGesprächSPD Duisburg and 2 others",7,5,30
SPD-Fraktion im Bundestag,@spdbt,2021-04-27T15:13:59.000Z,"Wir wollen ein #Corona-#Aufholprogramm für Kinder und Jugendliche! Dazu gehört ein 100-Euro-Bonus für Kinder aus Familien mit kleinen Einkommen. Dass CDU/CSU gerade hier blockieren, empört 
@KatjaMast
: ""Die Zeit rennt, Familien in Deutschland brauchen Unterstützung beim Aufholen!""",38,16,64
Bärbel Bas,@baerbelbas,2021-04-27T15:46:52.000Z,"""Es gibt Zweifelsfälle, aber die Mehrheit der Abgeordneten hat einfach ihren Job gemacht, kommentiert RND-Reporter Jan Sternberg.""Maskenaffäre und Maskenchaos: Abgeordnete zu Recht über Spahn verärgert
40 Abgeordnete stehen auf der Liste derer, die Bundesgesundheitsminister Jens Spahn (CDU) wegen Maskengeschäften kontaktierten. Wird die Maskenaffäre der Union noch viel größer? Es gibt Zweifelsfäl...
rnd.de",3,3,14
SPD-Fraktion im Bundestag,@spdbt,2021-04-27T09:23:39.000Z,"Heute wärst du 67 Jahre alt geworden. 
Du fehlst, Thomas.SPD-Fraktion im Bundestag
@spdbt
 · Oct 28, 2020
""And when the broken hearted people living in the world agree,
there will be an answer, let it be.
For though they may be parted, there is still a chance that they will see, there will be an answer, let it be.""

Du wirst uns fehlen, Thomas.
Show this thread
4:28
108.4K views",13,39,553
