User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Stefan Liebich,@berlinliebich,2021-01-14T15:54:56.000Z,"Fasse Dich kurz. 
Ein Rekordversuch.0:37
30K views",24,64,839
Stefan Liebich,@berlinliebich,2021-05-14T08:39:49.000Z,"Das ist Maria Kalesnikava aus #Belarus. Sie wurde eingesperrt, obwohl sie keine international anerkannte Straftat begangen hat. Ihr drohen 12 Jahre Haft wegen angeblicher „Gefährdung staatlicher Sicherheit“. Auch wenn der Nachrichtenzyklus schon woanders ist: #FreeBelarus",5,11,67
STRG_F,@STRG_F,2021-05-11T19:14:24.000Z,"Ingo Hasselbach war in den Wendejahren der bekannteste Neonazis Ostdeutschlands. Zusammen mit #Neonazi-Kadern aus dem Westen kämpfte er für eine braune Revolution. 
@bwaernke
 hat Aussteiger Hasselbach getroffen und gefragt: Wie kam es dazu?Neonazi-Aussteiger: ,,Wir wollten den Umsturz"" | STRG_F
Er war der bekannteste Neonazi Ostdeutschlands. Die Medien nannten ihn den „Führer von Berlin“: Ingo Hasselbach, zur Zeit der Wende war er Anfang 20. Hasselb...
youtube.com",,6,17
Stefan Liebich,@berlinliebich,2021-05-13T07:38:04.000Z,"„Ich habe immer geglaubt, dass die Mehrheit der Menschen Frieden will und bereit ist, für den Frieden Risiken einzugehen. Gewalt unterhöhlt die Basis der israelischen Demokratie. Sie muss verurteilt und isoliert werden. Das ist nicht der Weg des Staates #Israel.“ Jitzchak Rabin",4,12,98
Bernie Sanders,@SenSanders,2021-05-12T19:26:15.000Z,"Rep. Liz Cheney and I disagree on nearly every major issue. But she deserves credit for saying, ""I will not sit back and watch in silence while others lead our party down a path that abandons the rule of law and joins the former president’s crusade to undermine our democracy.”",907,4.2K,44.2K
Stefan Liebich,@berlinliebich,2021-05-12T17:54:14.000Z,"„Wir wollen mit der neuen Sendung die grassierende Cancel-Kultur durchbrechen. Wir werden auch denen eine Bühne bieten, die sonst nicht oder nicht mehr im TV zu sehen sind“.
Roland Tichy  

Cancel Culture mit eigener Talkshow. Merkt ihr selber, oder?",1,,32
Stefan Liebich,@berlinliebich,2021-05-12T12:36:19.000Z,"Patentschutz für Comirnaty von Biontech: Bundesregierung betont Notwendigkeit von Patentschutz
Nach dem Vorstoß der USA für eine mögliche Freigabe der Patente auf Corona-Impfstoffe hat Berlin die Notwendigkeit des Patentschutzes betont. Für die deutschen Impfstoff-Entwickler Biontech und...
manager-magazin.de",,,1
Stefan Liebich,@berlinliebich,2021-05-11T08:03:00.000Z,"Schade, dass Sie ihren „Freund“ (C. Lindner), den Honorarkonsul von #Belarus, nicht nach einem Bekenntnis zur freiheitlich-demokratischen Grundordnung in dem Land, das er vertritt, gefragt haben. Oder haben Sie? Die Antwort interessiert mich. Christian Lindner
@c_lindner
 · May 10
Schade, dass Herr #Kleber im @heutejournal des @zdf die Spitzenkandidatin der @dieLinke nicht nach einem Bekenntnis zur freiheitlich-demokratischen Grundordnung befragt hat. Bei @DietmarBartsch hätte mich das nicht interessiert, bei Frau Wissler schon. CL",12,170,1.2K
Stefan Liebich,@berlinliebich,2021-05-11T06:31:41.000Z,"Bei den letzten Bundestagswahlen war 
@dielinke
 nach der CDU und der AfD auf Platz 3 in dem Wahlkreis, in dem jetzt #Maaßen kandidiert. Der Gewerkschafter 
@SandroWitt
 ist 2021 eine sehr gute Alternative zu dem Rechtsausleger. #BTW21Sandro „Antimaaßen“ Witt
@SandroWitt
 · May 8
Meine Partei @dieLinke in Südthüringen hat mich vorhin mit 100 Prozent zum Direktkandidaten für den Wahlkreis 196 gewählt. Mit dieser Geschlossenheit & Entschlossenheit spielen wir auf Sieg. Es geht darum Veränderungen gemeinsam mit den Menschen zu gestalten. Auf gehts. #btw21",2,4,35
Stefan Liebich,@berlinliebich,2021-05-11T06:00:15.000Z,"Für alle Kritiker*innen: Ich habe hier keine Bewertung des Nahostkonflikts mit all seinen Facetten vorgenommen, sondern an die Bevölkerung meiner Partnerstadt gedacht. So viel Empathie darf doch noch sein, oder? 

Die hatte ich übrigens auch beim Besuch in #Gaza. 

#Menschen",5,3,84
Stefan Liebich,@berlinliebich,2021-05-10T20:50:32.000Z,"Die Partnerstadt von Pankow, #Ashkelon im Süden von #Israel,  wird seit gestern angegriffen, gerade wieder. Bisher wurde zum Glück niemand verletzt oder getötet. Meine Gedanken sind bei den 130.000 Einwohnerinnen und Einwohnern. כאן חדשות
@kann_news
 · May 10
תיעוד: יירוט של כיפת ברזל במטח האחרון על אשקלון
@pozailov1 
(צילום: אייקון אשקלון)
Show this thread",26,29,291
Michaela Zimmermann,@gedankenwind,2021-05-10T15:51:35.000Z,"-Tipp: Eine sehr ehrliche Reflexion von 
@KatjaSuding
 und Stefan Liebich (
@berlinliebich
) über ihre Mandatstätigkeit. 
 https://berufpolitik.podigee.io/5-suding-liebich…

Es geht um (Macht-)Strukturen, #Diversität in Parteien und Exit-Strategien für Politiker*innen.Katja Suding und Stefan Liebich
Normalerweise geht es darum, wie man in die Politik reinkommt - diesmal spricht Elisabeth Niejahr mit zwei Aussteigern: Katja Suding und Stefan Liebich.
berufpolitik.podigee.io",,2,6
Stefan Liebich,@berlinliebich,2021-05-10T14:48:07.000Z,"Oder die CSU. Oder die CDU. Oder die FDP. Oder die SPD. 

Die grüne Wundertüte. ",6,7,117
Stefan Liebich,@berlinliebich,2021-05-10T14:12:01.000Z,"Und dafür brauchen wir: DICH. 

JETZT. 

#MachtdasLandgerechtDIE LINKE
@dieLinke
 · May 10
Für einen Wandel, der niemanden zurücklässt. 
Der Hoffnung gibt und sozial gerecht ist.
Gemeinsam machen wir das Land gerecht. Jetzt!
#MachtdasLandgerecht #jetzt
Show this thread",2,1,11
Stefan Liebich,@berlinliebich,2021-05-10T13:50:17.000Z,"Menschen vor Profite. #freethevaccineMarcel Fratzscher
@MFratzscher
 · May 10
#Biontech 2021 mit €6 Milliarden Gewinn — Die Ablehnung der Bundesregierung einer WTO Freigabe des Patentschutzes für Impfstoffe ist einer der schwersten Fehler der Kanzlerschaft Merkels. Sie schützt Profite der Pharmaunternehmen zulasten der Gesundheit.

https://handelsblatt.com/unternehmen/industrie/biotechfirma-impfstoff-boom-biontech-steuert-auf-jahresgewinn-von-mehr-als-sechs-milliarden-euro-zu/27176714.html?utm_source=red&utm_medium=nl&utm_campaign=hb-update&utm_content=10052021…",1,2,4
Stefan Liebich,@berlinliebich,2021-05-10T11:55:03.000Z,"Und jetzt, nachdem das Personal auch klar ist: Kämpfen!

#MachtdasLandgerecht",2,4,42
Stefan Liebich,@berlinliebich,2021-05-10T10:10:37.000Z,"Der Arbeiter aus Sachsen-Anhalt und die Fridays-for-Future-Aktivistin aus Berlin sind für uns kein Gegensatz. Und anders als Grüne und SPD können wir versprechen, dass eine Stimme für uns nicht am Ende die Union oder die FDP in die Bundesregierung holt.

#WirmachendasLandgerecht",4,6,59
Stefan Liebich,@berlinliebich,2021-05-10T10:00:02.000Z,"Schaut rein!DIE LINKE
@dieLinke
 · May 10
Gemeinsam machen wir das Land gerecht: Wir kämpfen mit @Janine_Wissler und @DietmarBartsch an der Spitze für eine starke LINKE im Bundestag. Livestream der Präsentation der Spitzenkandidat*innen. #MachtdasLandgerecht #BTW21  https://twitter.com/i/broadcasts/1BRKjBvlYYoKw…",1,1,21
Stefan Liebich,@berlinliebich,2021-05-07T13:13:02.000Z,"And again, I cannot stress this enough, this is not about undermining intellectual property rights as a whole, this is about saving lives and a return to normalcy. #FreeTheVaccine (2/2)",,,12
Stefan Liebich,@berlinliebich,2021-05-07T13:05:25.000Z,"The #TRIPSwaiver is essential in a world where global problems can only be solved globally. The Federal government not following our proposal and the example of the US administration is a bad idea, I told 
@dwnews
/
@11ers
. (1/2)",1,,19
Stefan Liebich,@berlinliebich,2021-05-07T12:58:15.000Z,Übrigens: In den 50er Jahren des letzten Jahrhunderts entwickelten der US-Wissenschaftler Albert Sabin und sein sowjetischer Kollege Michail Tschumakow gemeinsam einen Impfstoff gegen Polio. Ohne Debatten über Patente und Profite. An staatlichen Einrichtungen. #GebtDiePatenteFrei,1,16,91
Rosa-Luxemburg-Stiftung - Geneva Office,@rosaluxgeneva,2021-05-07T09:36:46.000Z,"To all policy makers who are now talking about #patents: We need to remove #patent barriers to ensure #Global access to #vaccines! 
#patentwaiver 
#Patentfreigabe 
#VaccineForAll 
Watch our video on the Right to #Health (Social Rights Series) https://rosalux-geneva.org/health-is-a-human-right/…",1,7,16
Stefan Liebich,@berlinliebich,2021-05-07T09:32:29.000Z,"Übrigens befinden sich CDU, SPD und FDP nicht nur im Widerspruch zur US-Regierung, sondern auch zu unseren polnischen und französischen Nachbarn, zum UNO- und zum WHO-Generalsekretär. Alle sind für #TRIPSwaiver. Wer ist der Geisterfahrer?

#GebtDiePatenteFrei",7,30,166
