User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Benjamin Strasser,@bstrasser,2021-05-14T14:48:07.000Z,"Nach einer starken Rede und einer super Arbeitsbilanz wurde gerade 
@c_lindner
 mit 93 % zum Vorsitzenden der 
@fdp
 wiedergewählt. Herzlichen Glückwunsch! #vielzutun #bpt21",,,30
Benjamin Strasser,@bstrasser,2021-05-14T12:29:59.000Z,Mahlzeit! Parteitags-Catering ist in Ordnung.  #vielzutun #bpt21,8,,87
Benjamin Strasser,@bstrasser,2021-05-14T10:53:26.000Z,"Parteitag mal anders. Nie gab es mehr zu tun!  #vielzutun #bpt21 
@fdp",3,,35
Benjamin Strasser,@bstrasser,2021-05-14T10:28:10.000Z,".
@c_lindner
 startet seine Rede beim #fdpbpt mit einem starken Statement zum Existenzrecht #Israel|s und den antisemitischen Übergriffen der letzten Tage. Eindeutig und notwendig in diesen Tagen!  #fdp #StandWithIsrael #IsraelUnderAttack ",1,8,58
Fraktion der Freien Demokraten,@fdpbt,2021-05-13T12:40:22.000Z,"+++ Deutschland darf nicht untätig bleiben, wenn #Israel angegriffen wird. Das gilt ebenso für Angriffe auf Juden und Synagogen in unserem Land. Der #Bundestag muss sich dringend damit befassen, deshalb: Antrag auf eine Aktuelle Stunde zum #Nahostkonflikt ! 
@MarcoBuschmann
 +++",77,94,799
Benjamin Strasser,@bstrasser,2021-05-13T08:58:46.000Z,"Zurzeit werden ja viele Israel-Flaggen gehisst. Besonders gerne vor Parteizentralen. Wenn es um echte #Solidarität mit #Israel geht, ducken sich im Alltag leider Viele weg. Interessant wie die 
@cducsubt
 abgestimmt hat, lieber 
@PaulZiemiak
 & 
@MarkusBlume
.Deutscher Bundestag - FDP-Antrag zum Verhal­ten bei Israel-Ab­stimmungen in der Uno...
Der Bundestag hat am Donnerstag, 14. März 2019, in namentlicher Abstimmung einen Antrag der FDP-Fraktion für eine stärkere Unterstützung Israels bei Abstimmungen im Rahmen der Vereinten...
bundestag.de",5,8,55
Okan Bellikli,@okbelli,2021-05-12T17:51:59.000Z,"""Warum haben wir in den Bundesländern gemeinsame Rundfunkanstalten,aber keine gemeinsamen Sicherheitsbehörden?Das leuchtet mir nicht ein"": 
@bstrasser
 über nötige Veränderungen u.a. beim #Verfassungsschutz  & wie man sie erreichen könnte (z.B Aufgabenteilung/Fusionen). #Amri #NSUMartin Fischer
@FreiheitPotsdam
 · May 12
Wir freuen uns sehr, heute @bstrasser, @FlorianFlade und Claudia Kling im Truman Haus begrüßen zu können! Sie diskutieren über Benjamin Strassers Ideen zur Verbesserung der deutschen Sicherheitsarchitektur, die er in seinem neuen Buch „Sicherheitsrisiko Staat“ beschrieben hat.",2,4,5
phoenix,@phoenix_de,2021-05-07T09:08:19.000Z,"Die  technische Umsetzung der #Überwachung der Chats von Gefährdern & Terroristen lasse die #GroKo offen, meint 
@bstrasser
 @fdpbt
. Eine Quellen-TKÜ plus  sei nur möglich, wenn Sicherheitslücken offen bleiben. ""Ihre #Politik ist ein Sicherheitsrisiko für #Deutschland.""
@fdp",1,15,45
Benjamin Strasser,@bstrasser,2021-05-04T20:14:03.000Z,"Ich bin es so langsam leid. Kein Wort zu Zuständigkeiten nach den Osloer Verträgen und dem Verhalten der Palästinensischen Autonomiebehörde. 
@Lokoschat
 klärt nochmal auf. Danke! Timo Lokoschat
@Lokoschat
 · May 4
""Aber es gibt ein Land, da sieht die Lage ganz anders aus: Palästina."" Das Funk-Magazin StrgF erklärt die Impfsituation im Nahen Osten. Der Titel zeigt leider schon, wohin die Reise geht...
Show this thread",2,11,124
Benjamin Strasser,@bstrasser,2021-05-04T11:52:43.000Z,"Es ist schön, dass es offensichtlich bei „NSU 2.0“ erste Erfolge gibt. Der Fall kann aber keineswegs zu den Akten gelegt werden. Es bleiben Fragen. Hatte der Verdächtige Kontakte zur Polizei? Wie leicht gelangen externe Dritte an vertrauliche Daten? #NSU #RechtsextremismusAugsburgerAllgemeine
@AZ_Augsburg
 · May 4
@fdp-Innenexperte @bstrasser betont, dass auch nach der Festnahme eines Hauptverdächtigen bei den „NSU  2.0“-Drohbriefen viele Fragen offen sind. https://augsburger-allgemeine.de/politik/FDP-sieht-weiter-Aufklaerungsbedarf-ueber-Rolle-der-Polizei-bei-NSU-2-0-Drohbriefen-id59621976.html…",,2,13
Benjamin Strasser,@bstrasser,2021-05-04T08:20:13.000Z,"Heute beginnen in Baden-Württemberg die schriftlichen #Abitur|prüfungen.Ich wünsche allen Schüler*innen dabei viel Erfolg!Als 
@fdpbt
 setzen wir uns übrigens dafür ein, dass die #Corona-Jahrgänge nicht mit langfristigen Nachteilen zu kämpfen habenAntrag zu Chancen-Aufholprogramm: Lernrückstände erheben, Corona-Nachteile für Kinder und Jugendl...
Antrag zu Chancen-Aufholprogramm: Lernrückstände erheben, Corona-Nachteile für Kinder und Jugendliche verhindern
fdpbt.de",2,3,19
Benjamin Strasser,@bstrasser,2021-05-03T17:11:27.000Z,"Mit 
@KonstantinKuhle
 spreche ich morgen ab 21:00 Uhr bei Instagram über die Baustellen innerhalb unserer Sicherheitsarchitektur und darüber, welche Reformen endlich angestoßen werden müssen, um diese zu beheben. Wir freuen uns, wenn ihr dabei seid!",2,6,58
BILD,@BILD,2021-05-03T05:38:07.000Z,"FDP-Chef 
@c_lindner
 rechnet mit dem Taschenrechner vor, wie viel der von den Grünen geforderte CO2-Preis von 60 Euro eine Familie kosten würde. #DieRichtigenFragen 
@BILD_Politik1:32
111.2K views",225,366,946
Jan Fleischhauer,@janfleischhauer,2021-05-01T20:02:14.000Z,"Wie wäre es damit: Die LGBT-Aktivisten, die durch Berlin laufen, um Israel als Apartheidsstaat zu beschimpfen, ziehen in 4 Wochen mit der Regenbogenflagge durch Ramallah, Teheran oder Riad, um ihre Solidarität zu zeigen. Ich bin sicher: Das wird ein Riesenerfolg.",136,791,4K
