User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Karlheinz Busen,@busen_mdb,2021-05-10T11:58:03.000Z,"In 
 werden 85% der Entscheidungen an den Schulen getroffen. In 
 nur 13%. Dabei kennen Schulen vor Ort Schülerschaft und Eltern am besten. Unsere Lösung findet ihr hier Volle Autonomie für starke Schulen
Volle Autonomie für starke Schulen
fdpbt.de",,,3
Karlheinz Busen,@busen_mdb,2021-05-10T11:56:46.000Z,"Heute wurde der Deutsche #Schulpreis vergeben. 
 Glückwunsch an die Gesamtschule Münster-Mitte zur Auszeichnung! 
 Wir als 
@fdpbt
 wollen allen Schulen mehr radikal mehr Freiheiten für passgenaue Lösungen geben. 
 #twlz",,1,5
Christian Lindner,@c_lindner,2021-04-15T09:18:48.000Z,"Jetzt stellen Referate des Kanzleramts Verhältnismäßigkeit von #Ausgangssperren in Frage...Wenn selbst Experten der #Bundesregierung rechtliche Bedenken haben, sollte das #Kanzleramt diesen Schritt prüfen. Verfassungsbedenken sollte man ernst nehmen, siehe #Mietendeckel....CL",191,177,1.5K
Karlheinz Busen,@busen_mdb,2021-04-15T07:36:04.000Z,Der Bund hat erschöpfend von seiner Gesetzgebungskompetenz im Mietrecht Gebrauch gemacht. Für einen wirkungslosen und eigentumsfeindlichen #Mietendeckel aus Berlin ist da kein Platz. #BVerfG,,1,4
Karlheinz Busen,@busen_mdb,2021-02-22T09:48:56.000Z,"Als gläubiger Katholik und ehem. Messdiener bin ich sehr enttäuscht über Herrn #Woelki. Ein Rücktritt wäre der richtige Schritt, um wieder Vertrauen zu schaffen. Die Geheimhaltung des Gutachtens gibt Anlass zur Vermutung, dass der #Bischof selbst belastet wird.",,,2
Karlheinz Busen,@busen_mdb,2020-11-19T11:01:43.000Z,"Auch die #Grüne #Gentechnik findet im Labor statt. Wenn sich 
@GrueneBundestag
 mal über die Chancen neuer Züchtungsmethoden informiert haben, können wir sachlich weiter diskutieren. Das #Halbwissen der #Grünen hemmt leider Innovationen. #CRISPR #GenschereGrüne im Bundestag
@GrueneBundestag
 · Nov 19, 2020
Die FDP betreibt hier billige Polemik statt seriöser Debatte. 

Sie wirft unterschiedliche Anwendungen der #Gentechnik in einen Topf: Die eine findet, streng kontrolliert im Labor statt, die andere in der freien Natur.

Das ist ein grundlegender Unterschied!

- @ebner_sha",,,15
Karlheinz Busen,@busen_mdb,2020-10-29T07:47:11.000Z,"Den Kommentar von 
@m_doebler
 kann ich nur unterschreiben. Der #WellenbrecherShutdown zur Eindämmung von #Corona ist unverhältnismäßig, also falsch.Rheinische Post
@rponline
 · Oct 28, 2020
Bund und Länder verschärfen die #Corona-Maßnahmen drastisch. Das ist trotz der hohen Infektionszahl nicht gerechtfertigt. Der Grundsatz der Verhältnismäßigkeit ist nicht gewahrt, kommentiert @m_doebler https://rp-online.de/panorama/coronavirus/corona-beschlussvorlage-unverhaeltnismaessig-also-falsch_aid-54289967…",,,4
Karlheinz Busen,@busen_mdb,2020-10-28T14:47:02.000Z,"Der #Shutdown ist unnötig, weil Infektionen gerade nicht dort stattfinden, wo jetzt heruntergefahren werden soll. Es gibt Alternativen und die müssen im Parlament debattiert werden!Christian Lindner
@c_lindner
 · Oct 28, 2020
Es gibt Alternativen zum #WellenbrecherShutdown, die mehr Freiheiten erhalten und die soziale Folgeschäden mindern. 
 Man muss die Position dieser Fachleute nicht teilen. Es ist aber ein Fehler, dass sie momentan nicht einmal ernsthaft debattiert wird. CL twitter.com/handelsblatt/s…",,,8
Karlheinz Busen,@busen_mdb,2020-10-27T08:30:38.000Z,"Mobile löchrige Zäune halten die Afrikanische #Schweinepest nicht auf. Deshalb brauchen wir stabile Zäune an der Grenze zu Polen. TBGegen Afrikanische Schweinepest : FDP will stabilen Zaun an der Grenze
Die Sorge der deutschen Bauern wird immer größer! Der Grund? Die Afrikanische Schweinepest. 91 Fälle sind in Brandenburg bestätigt.
bild.de",,1,3
Karlheinz Busen,@busen_mdb,2020-09-30T08:04:27.000Z,"Unser Land hat sich in eine Selbstfesselung verstrickt. Das ist der Grund, warum Mittel aus dem #Digitalpakt nicht abfließen. Wir brauchen ein Entfesselungpaket statt neuer Bürokratie. #Haushalt2021 #Bundestag #Generaldebatte",,1,12
