User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
FDP,@fdp,2021-05-14T12:01:54.000Z,"Für Antisemitismus gibt es in unserem Land keinen Platz. Jeder Angriff auf Juden in 
 ist ein Angriff auf uns alle. Niemand darf wegsehen oder schweigen. Wir müssen aufstehen. Wir Freie Demokraten stehen auf, auf uns können Sie zählen, so 
@c_lindner
. #bpt21 #vielzutun",3,13,56
FDP NRW,@fdp_nrw,2021-05-14T11:54:32.000Z,"""Wir wissen: Nie gab es mehr zu tun als jetzt. Und nun ist die Zeit gekommen zu handeln!"", so 
@c_lindner
. ""Wir Freie Demokraten sind der Anwalt all derjenigen, die eine Richtung von Freiheit, Vernunft und Fortschritt für unser Land wollen."" #bpt21",,3,15
Lukas Köhler,@koehler_fdp,2021-05-14T11:15:40.000Z,"""Der #Klimaschutz kann kein Anwendungsfeld für antikapitalistische Ideologien sein. Er muss ein Anlass sein für eine ökologische, für eine nachhaltige Wachstums- und Erneuerungsagenda unseres Landes."" 
@c_lindner
 #bpt21 #vielzutun",9,20,113
FDP,@fdp,2021-05-14T11:14:40.000Z,"Unser Weg ist nicht immer mehr den Staat in die Verantwortung zu nehmen, sondern den Menschen zu vertrauen und ihnen auch wieder Freiheit zu geben,  so 
@c_lindner
 #bpt21 #VielZuTun",14,16,141
Prof. Martin Neumann MdB,@_MartinNeumann,2021-05-14T11:12:32.000Z,"Wir brauchen keine #Klimapolitik nach dem Prinzip Hoffnung, sondern ein festes #CO2-Limit, um die Pariser #Klimaziele zu erreichen - mit #Marktwirtschaft und #Wettbewerb. Eingebettet in einen europäischen #Emissionshandel. Nur so geht es, richtig 
@c_lindner
. #bpt21",10,8,45
FDP,@fdp,2021-05-14T10:59:58.000Z,"Wir Freie Demokraten haben höchsten Respekt vor der Leistung der Menschen, die es zu etwas gebracht haben. Aber unser Herz, unsere Leideschaft gehört denjenigen, die noch etwas erreichen wollen,  so 
@c_lindner
 #bpt21 #VielZuTun",8,16,103
Hauke Hilz,@HaukeHilz,2021-05-14T10:59:48.000Z,"@c_lindner
: Leistungsgerechtigkeit muss dort ansetzen, wo der Sozialstaat den Menschen ihre Selbstbestimmung zurückgibt, satt sie wie ein Magnet in seine Abhängigkeit zieht. #bpt21 #fdp",3,6,38
Bettina Stark-Watzinger,@starkwatzinger,2021-05-14T10:54:03.000Z,"Unsere Sozialpolitik beginnt nicht erst im Sozialetat. Unser Aufstiegsversprechen beginnt im Bildungssystem. Der Zufall der Geburt darf nicht über die Chancen im Lebenslauf entscheiden. 
@c_lindner
 #bpt21 #vielzutun",4,9,57
FDP,@fdp,2021-05-14T10:55:00.000Z,"Im Zentrum unserer #Sozialpolitik steht jede und jeder Einzelne. Jeder soll Autor der eigenen Biografie sein können und dabei möchten wir die Menschen unterstützen, so 
@c_lindner
. #bpt21 #VielZuTun",6,10,57
Daniel Föst,@DFoest,2021-05-14T10:44:33.000Z,"""Unser Ziel ist es, so stark zu werden, dass #Deutschland aus der Mitte heraus regiert werden kann.""
@c_lindner
 auf dem #bpt21 
Auch für uns bleibt noch #vielzutun",9,6,93
Marco Buschmann,@MarcoBuschmann,2021-05-14T10:49:32.000Z,"Es muss wieder möglich sein, sich in Deutschland mit einem normalen Einkommen ein eigenes Haus oder eine eigene Wohnung zu erarbeiten. Sagt 
@c_lindner
 beim #bpt21 #vielzutun",44,32,371
