User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Christian Dürr,@christianduerr,2020-06-29T10:32:22.000Z,"Die #AfD versucht nicht mal im Ansatz, Oppositionsarbeit zu machen. Das macht sie im #Bundestag überflüssig!0:33
23.2K views",108,70,466
Christian Dürr,@christianduerr,2021-05-09T16:58:41.000Z,"Wir wollen einen Investitionspakt mit der Wirtschaft schließen: Für jeden Euro Entlastung durch den Staat schafft die Wirtschaft zwei Euro an Investitionen. So könnten in den nächsten 5 Jahren 600 Mrd. EUR an privaten Investitionen ausgelöst werden, um das Land zu modernisierenFAZ Wirtschaft
@FAZ_Wirtschaft
 · May 9
In einem Positionspapier plant der Vorstand der FDP-Fraktion massive Steuererleichterungen für Unternehmen. Parteichef Lindner betont den Modernisierungsschub, der mit den Entlastungen einhergehen soll. http://faz.net/aktuell/wirtschaft/fdp-chef-lindner-plant-steuersenkungen-fuer-die-wirtschaft-17333555.html…",7,7,45
Christian Dürr,@christianduerr,2021-05-05T14:54:12.000Z,"Fraktion der Freien Demokraten
@fdpbt
 · May 5
""Die Bundesregierung will mit Aktion #Abendsonne kurz vor Ende der Amtszeit in eigenen Reihen Stellen ausweiten und Personen befördern. Liebe Regierung, wie erklären Sie das den Menschen, die in Kurzarbeit sind oder wegen #Corona ihre Jobs ganz verloren haben!?"" @christianduerr",2,13,45
Christian Dürr,@christianduerr,2021-05-04T17:13:09.000Z,"Die Stellen-Klüngelei der GroKo ist ein Schlag ins Gesicht für alle, die in der Krise um ihren Job bangen. Union und SPD müssen sich wirklich fragen, ob eine Wirtschaftskrise der richtige Zeitpunkt für eine Beförderungsoffensive ist.
@HolznagelReiner
 @BILDBeförderungen in Ministerien: Steuerzahlerbund will Machtwort von Merkel
In der Bundesregierung steht fünf Monate vor der Wahl eine große Beförderungsoffensive an. Der Steuerzahlerbund ist auf den Barrikaden.
bild.de",7,8,54
Christian Lindner,@c_lindner,2021-05-02T11:53:28.000Z,"In der 
@WELTAMSONNTAG
 macht 
@Markus_Soeder
 Grüne und FDP jeweils zu „Radikalen“. Das ist ein Versuch von #Framing aus dem Lehrbuch der CSU, aber zu offensichtlich ohne Substanz in der Sache. Denn wir wollen z.B. ein CO2-Limit, um Klimaschutz und Marktwirtschaft zu verbinden. CL",128,81,995
Christian Dürr,@christianduerr,2021-05-02T08:39:27.000Z,"Viele kleine Unternehmer und Selbstständige wissen nicht, ob sie die Krise überstehen, während in den Ministerien die Beamtensessel vergoldet werden. Kein Wunder, wenn das Vertrauen in die Regierung schwindet.Operation Abendsonne: Regierung schafft 71 Top-Stellen für Beamte
„Operation Abendsonne“! CDU, CSU und SPD schaffen kurz vor der Wahl noch schnell sichere Jobs für engste Mitarbeiter.
bild.de",45,128,504
FDP Niedersachsen,@fdp_nds,2021-04-23T12:02:15.000Z,"@christianduerr
 kritisiert #Haushalt der Regierung: „Es wäre viel besser gewesen, die negative Gewinnsteuer umzusetzen und den steuerlichen Verlustrücktrag deutlich auszuweiten. Das wären echte Unternehmenshilfen für den Mittelstand in Deutschland.“ phoenix
@phoenix_de
 · Apr 23
Der #Haushalt sei nicht leergelaufen, so @christianduerr @fdpbt. Beim Thema #UnternehmensHilfen würde es eher an der Umsetzung mangeln. Besser wäre eine negative #Gewinnsteuer, so wie es die #FDP fordert, gewesen. Mit der GMA werde dem #SPD-KK #Scholz nur der #WahlKampf versüßt.",,2,6
phoenix,@phoenix_de,2021-04-23T09:30:22.000Z,"Der #Haushalt sei nicht leergelaufen, so 
@christianduerr
 @fdpbt
. Beim Thema #UnternehmensHilfen würde es eher an der Umsetzung mangeln. Besser wäre eine negative #Gewinnsteuer, so wie es die #FDP fordert, gewesen. Mit der GMA werde dem #SPD-KK #Scholz nur der #WahlKampf versüßt.",1,3,7
Christian Dürr,@christianduerr,2021-04-23T07:52:29.000Z,"Den Stand der ausgezahlten Mittel kann man hier sehen 
 https://dashboard-deutschland.de/#/indicator/data_corona_hilfen_unternehmen_neu…",,1,11
Christian Dürr,@christianduerr,2021-04-23T07:49:59.000Z,"Finanzminister Scholz behauptet heute im #Bundestag, 95 Milliarden EUR Corona-Hilfen seien bereits ausgezahlt. Das stimmt überhaupt nicht. Die Wahrheit ist: Ein Großteil der ausgezahlten Mittel sind Kredite, die der Mittelstand Cent für Cent zurückzahlen muss!",5,12,65
