User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Dietlind Tiemann,@dr_tiemann,2019-11-16T19:37:48.000Z,"Alles Gute für die neue Aufgabe und vielen Dank für die kollegiale Zusammenarbeit.Manja Schüle
@ManjaSchuele
 · Nov 16, 2019
Ich habe mit vielen tollen Leuten dafür gekämpft, direkt in den Bundestag einzuziehen. Nie habe ich außerhalb des Privaten so viel Glück verspürt, wie in dem Moment, in dem das Ergebnis feststand.Mein Wahlkreis ist der beste der Welt. Dennoch werde ich den Bundestag verlassen.1/3
Show this thread",,,3
Dietlind Tiemann,@dr_tiemann,2018-11-05T21:23:49.000Z,"Na was für ein Zufall Marion Kaufmann
@KaufmannMarion
 · Nov 5, 2018
Zuwachs für die @ostkurve: #Brandenburg s Wirtschaftsminister  Jörg Steinbach @joergstb ist am Montagabend in die #SPD eingetreten, @PNN_de 
https://pnn.de/brandenburg/brandenburger-kabinett-wirtschaftsminister-steinbach-tritt-in-spd-ein/23462582.html…",1,,5
Dietlind Tiemann,@dr_tiemann,2018-10-09T12:47:09.000Z,"Danke für den Besuch,wichtig, der direkte Austausch.Bedingung das Land BRB muss seiner Pflicht der Mitfinanzierung der Wasserstraßen nachkommen, wenn der Bund gibt, für touristische Nutzung und zur industriellen Beförderungsleistung!Julia Pollok
@jvpollok
 · Oct 8, 2018
Heute Austausch zum Thema #Wassertourismus mit MdBs @dr_tiemann und Dr. Klaus-Peter Schulze gemeinsam mit @IHK_Ostbrandenb @IHKCottbus  Wassertourismus wird noch zu wenig als Wirtschaftsfaktor betrachtet, trotz jährl Bruttoumsatz von 200 Mio EUR in Brandenburg/Berlin",,2,4
MHB Fontane,@MHB_Fontane,2018-10-06T08:18:16.000Z,"Am 13. Oktober sind angehende Ärzte von der Medizinische Hochschule Brandenburg „Theodor Fontane“ zu Besuch in Guben. Die Stadt will sich vorstellen, um die Studenten für eine Landarzttätigkeit zu interessieren.
#mhbfontane
http://mhb-fontane.deVeranstaltung: Junge Ärzte zu Besuch in der Neißestadt
Aktuelle Nachrichten aus Guben, den Ortsteilen und Gemeinden mit Bildern und Videos. Aus den Bereichen Lokales, Wirtschaft, Kultur und Sport.
lr-online.de",,2,4
CDU/CSU,@cducsubt,2018-10-02T12:54:43.000Z,"„Wir müssen als Parlamentarier mehr Wertschätzung zeigen für die Arbeit, die hier geleistet wird“, forderte 
@rbrinkhaus
 nach seinem Gespräch mit den Soldatinnen und Soldaten vor Ort.Ralph Brinkhaus and 2 others",1,9,60
Dietlind Tiemann,@dr_tiemann,2018-09-05T14:02:03.000Z,"Herrn #Gerber zur Info. Alexander Fröhlich
@alx_froehlich
 · Sep 5, 2018
Wenn jetzt geschrieben wird, der Pharmaskandal in #Brandenburg weite sich aus:
Falsch, liebe Kollegen, der Skandal ist schon groß, das hat die Behörde bislang nur nicht erkannt.
@CarolineWalterB @ARDKontraste @rbb24 @dpa @epd_news @maz_online @lassiwe @Tagesspiegel @PNN_de",,,1
Jan Penkawa,@JanPenkawa,2017-12-29T09:08:02.000Z,"#Woidke ist mit seinem #Kreisreform-Debakel der #Verlierer des Jahres.
Wer jahrelang gegen die Bürger in den Städten, Kreisen und Gemeinden wettert, braucht sich nicht zu wundern, wenn die Menschen ihm vor Ort nicht trauen!
https://facebook.com/petke.landtag/videos/2006921232668427/…",1,4,5
WELT AM SONNTAG,@WELTAMSONNTAG,2017-12-27T09:33:07.000Z,"SPD rutscht unter 20 Prozent, Grüne verteidigen PositionNeue Umfrage: SPD rutscht unter 20 Prozent, Grüne verteidigen Position - WELT
Mit dem Start ins neue Jahr könnte eine Neuauflage der großen Koalition blühen. Während die Union im Ansehen der Wähler steigt, verliert die SPD weiter an Zustimmung. Auch SPD-Vorsitzender Martin...
welt.de",77,46,83
Ralf Weniger,@RalfWeniger,2017-12-24T19:53:00.000Z,"Wir,in Mein Brandenburg an der Havel gehen neue Wege  https://fb.me/97eCSYsw5",,1,1
Britta Haßelmann,@BriHasselmann,2017-12-13T14:54:33.000Z,"Die #AfD muss früher aufstehen, wenn sie das #Parlament vorführen will.
#Diäten",228,790,2.1K
