User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Agnieszka Brugger,@agnieszka_mdb,2021-05-12T16:40:54.000Z,"Man mag noch verstehen, dass Markus Blume sehr, sehr verzweifelt ist. Aber infame & unwahre Unterstellung zu machen - das ist ein neuer Tiefpunkt, sogar für die CSU. Und das angesichts der Raketen, die auf die Menschen in Israel abgeschossen werden. Es ist wirklich erbärmlich.Markus Blume
@MarkusBlume
 · May 12
#Baerbocks Zaudern und Zögern, wenn es um Israels Recht auf Selbstverteidigung geht, läuft der deutschen Staatsräson zuwider. Wer Zweifel daran lässt, dass er an der Seite Israels steht, ist nicht regierungsfähig.(1/2)
Show this thread",7,29,248
Konstantin v. Notz,@KonstantinNotz,2021-05-12T18:32:32.000Z,"Sich manipulativ einen politischen Vorteil in einem Bundestagswahlkampf verschaffen zu wollen, während Israel angegriffen, Jüdinnen und Juden angefeindet und jüdisches Leben in Deutschland attackiert wird, ist das politisch das Schäbigste,was ich in langer Zeit gesehen habe. #CSU",20,77,643
Omid Nouripour,@nouripour,2021-05-12T16:15:44.000Z,"Replying to 
@MarkusBlumeLieber Herr Blume, Ihre Umfrageergebnisse im allen Ehren: können Sie bitte aufhören, das wichtige Thema unserer unverbrüchlichen Verpflichtung für Israel, zu der alle demokratischen Kräfte in unsere Land stehen müssen, mit Fakenews in d Wahlkampf zu ziehen? #WeAllStandwithIsrael",12,62,823
Harald Ebner,@ebner_sha,2021-05-08T14:22:00.000Z,„Baden-Württemberg bleibt #gentechnikfreie Region. ... In Baden-Württemberg werden keine gentechnisch veränderten Pflanzen angebaut“. #Koalitionsvertrag #jetztfürMorgen #CDUBW #GrüneBW #herrlich,16,23,67
Harald Ebner,@ebner_sha,2021-05-07T10:49:50.000Z,"Nicht länger warten. #Klimaschutz jetzt statt weiterer Worthülsen.Grüne im Bundestag
@GrueneBundestag
 · May 7
#KlimaschutzIstJetzt: Wir dürfen nicht länger warten! 

Um die Klimakrise in den Griff zu kriegen, braucht es jetzt wirksame Maßnahmen. Unser Angebot 
https://dip21.bundestag.de/dip21/btd/19/292/1929294.pdf…
Show this thread",1,2,9
Harald Ebner,@ebner_sha,2021-05-06T10:20:39.000Z,"Die EU-KOM hat zur Neuen #Gentechnik zudem einfach die Behauptungen der Chemie- und Biotechindustrie 1:1 übernommen und stellt mit ihrer Zielsetzung das primärrechtlich verankerte #Vorsorgeprinzip in Frage.UmweltinstitutM e.V.
@UmweltinstitutM
 · May 6
Neue #Gentechnik: EU-Kommission will geltendes Recht aufweichen und stellt damit Konzerninteressen über #Umweltschutz, Wahlfreiheit und Gesundheit! Unsere Einschätzung des Kommissionsberichts:  http://umweltinstitut.org/aktuelle-meldungen/meldungen/2021/gentechnik/eu-kommission-will-gentechnik-recht-aufweichen.html… #Landwirtschaft",7,8,18
Renate Künast,@RenateKuenast,2021-05-05T10:14:56.000Z,"Also im #Agrarausschuss leider Ministerin wieder sehr allgemein quer durch Umbau #Nutztierhaltung. Keine konkreten Vorlagen für #Gesetz #Verordnung #Haltungsbedingungen. Stockt! #Tierhaltung 
@ebner_sha
 @OpheliaNick
 @RupertEbner
 @GruenMeyer
 @Die_Gruenen",8,10,83
Britta Haßelmann,@BriHasselmann,2021-04-03T09:16:49.000Z,"Kurz nachgerechnet: in den letzten 16 Jahren zwischen 2005-2021 gab es dreimal 4 Jahre #GroKo - also CDU/CSU und SPD.Jan Böhmermann
@janboehm
 · Apr 2
Hä, ich dachte, wenn man SPD wählt, bekommt man die CDU?! twitter.com/europeika/stat…",19,21,220
GrueneBW,@GrueneBW,2021-04-03T16:23:37.000Z,"Wir wissen sehr genau was wir wollen, aber haben es uns nicht leicht gemacht. Es zeichnet uns aus, dass wir Entscheidungen von dieser Tragweite ernsthaft diskutieren. Wir sagen klar: dieser Neustart mit der 
@CDU_BW
 ist die richtige Entscheidung.
https://gruene-bw.de/wp-content/uploads/2021/04/2021.04.03-Sondierungsergebnis-GrueneBW-und-CDU-BaWue.pdf…",264,107,246
Harald Ebner,@ebner_sha,2021-03-30T11:47:35.000Z,"Ökolandbau ist Klöckners Stiefkind. Es braucht mehr Engagement für Öko-Züchtung, Forschung und regionale Vermarktung. #Zukunftsstrategie_Ökolandbau endlich aus der Schreibtischschublade holen. Schlüssel bei Christian Schmidt? https://t1p.de/bmyr #ÖkolandbauLandwirtschaft: Öko-Ziel noch weit entfernt
Der Ökolandbau soll deutlich wachsen. Von diesem Ziel der Bundesregierung ist Deutschland noch weit entfernt. Experten fordern nun unter anderem, die Nachfrage nach Bio in öffentlichen Küchen...
tagesschau.de",2,,1
