User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Frank Schäffler,@f_schaeffler,2021-05-14T11:58:25.000Z,"Josef Schuster: „Schauen Sie nicht weg. Wir brauchen alle die Menschen, die den Hass nicht mitmachen.“ Starke Worte gegen Antisemitismus. #bpt21",,2,22
Frank Schäffler,@f_schaeffler,2021-05-14T11:50:51.000Z,"Die Linke hat ihre extremistischen Flügel nicht abgestoßen, sondern an die Spitze gewählt. Linken-Chefin Wissler sieht Hausbesetzungen als „legitime“ Protestform via 
@weltLinken-Chefin Wissler sieht Hausbesetzungen als „legitime“ Protestform - WELT
Janine Wissler, die neue Vorsitzende der Partei Die Linke, kritisiert den Verfassungsschutz für die Beobachtung der Gruppe „Marx21“. Auch die Antifa habe viel für den Kampf gegen rechte Strukturen...
welt.de",9,19,116
Frank Schäffler,@f_schaeffler,2021-05-14T10:44:37.000Z,"Die Zeit der Negativzinsen wird noch lange andauern. Gut, dass es Alternativen gibt. Und zwar private, politischer Manipulation entzogen. Via 
@PrometheusInstDigitaler Euro: Operation am offenen Herzen - Prometheus
Für viele Enthusiasten leiten Kryptowährungen eine währungspolitische Evolution ein, die das Monopol der Notenbank beim Geldwesen durchbricht. Seit einiger Zeit prüfen jedoch Zentralbanken, selbst...
prometheusinstitut.de",,1,8
Prometheus - Das Freiheitsinstitut,@PrometheusInst,2021-05-14T09:38:12.000Z,"Dass sich Zentralbanken gerade in den Bereich der #Kryptowaehrungen einschleichen, birgt viele Gefahren. Private Währungsanbieter wollen stabile Geldanlagen ermöglichen. Das kann bei politisch getriebenen Akteuren ganz anders aussehen, meint 
@f_schaefflerDigitaler Euro: Operation am offenen Herzen - Prometheus
Für viele Enthusiasten leiten Kryptowährungen eine währungspolitische Evolution ein, die das Monopol der Notenbank beim Geldwesen durchbricht. Seit einiger Zeit prüfen jedoch Zentralbanken, selbst...
prometheusinstitut.de",,1,5
European Citizens Bank,@eucitizensbank,2021-05-13T06:50:24.000Z,"Heute um 18 Uhr:
""Ein digitaler Euro: Vorteilhaft für europäische Verbraucher?""
zusammen mit 
@PeterBofinger
, 
@philippsandner
 und 
@f_schaeffler
. 

Schaut vorbei: https://zoom.us/webinar/register/WN_BVhPxzhnT5-jCUkx2qmJ3A…Louisa Rademacher-Gorka and 9 others",,5,13
Frank Schäffler,@f_schaeffler,2021-05-13T10:58:31.000Z,"Klar, es soll wieder eine Einkommensfrage sein, wer in den Urlaub fliegen darf. Das ist eine ganz neue Interpretation der sozialen Gerechtigkeit. Scholz will Billigflüge abschaffen 
@BILDSPD: Olaf Scholz will das Fliegen teurer machen
Klare Worte von Olaf Scholz: Der SPD-Kanzlerkandidat will Billigflüge abschaffen und eine Preisgrenze einführen. Was uns das Fliegen künftig mindestens kosten soll, lesen Sie mit BILDplus.  
bild.de",3,11,77
Frank Schäffler,@f_schaeffler,2021-05-09T15:33:08.000Z,"Es gibt noch keinen elektronischen Impfausweis, aber die Regierung macht sich schon einmal Gedanken über mögliche Fälschungen. Anstatt 80% zu machen, wird über die 100 % ellenlang diskutiert.Lambrecht warnt vor Fälschung von Impfausweisen
Bleiben Sie immer auf dem Laufenden. Mit den aktuellen Kurz-Meldungen von BR24. Alle Nachrichten im Überblick.
br.de",8,4,69
Frank Schäffler,@f_schaeffler,2021-05-08T21:51:17.000Z,"Auch Obama in Bünde trauert um Bo. R.I.P.SPIEGEL Ticker
@SPIEGEL_alles
 · May 8
»First Dog«: Barack und Michelle Obama trauern um Familienhund Bo http://dlvr.it/RzLgzM",,,20
Frank Schäffler,@f_schaeffler,2021-05-08T20:32:16.000Z,"Ich meine, auch die Rolle von Karl Marx beim weltweiten Erfolg des Kapitalismus wird völlig unterschätzt.BILD
@BILD
 · May 8
Ludwig Erhard plötzlich in der SPD? - Baerbock irritiert mit Aussage über Soziale Marktwirtschaft https://bild.de/politik/inland/politik-inland/annalena-baerbock-irritiert-mit-aussage-ueber-soziale-marktwirtschaft-76326578.bild.html…",5,3,67
Frank Schäffler,@f_schaeffler,2021-05-08T16:25:56.000Z,"„Zum Unterschied vom Liberalismus mit seinem grundlegenden Glauben an die sich schließlich durchsetzende Kraft der Ideen, ist der Konservativismus auf die zu einer gegebenen Zeit ererbten Ideen beschränkt.“ Friedrich A. von Hayek, Verfassung der Freiheit #HappyBirthday",4,10,84
