User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Franziska Brantner,@fbrantner,2021-04-10T12:05:20.000Z,"Herzlichen Dank für euer Vertrauen, liebe 
@GrueneBW
  Als Spitzenduo mit 
@cem_oezdemir
 werden wir mit Euch gemeinsam für ein großartiges grünes Ergebnis mit vielen Mandaten aus BaWü kämpfen! Für klimagerechten Wohlstand für alle, mehr Europa und Demokratie #allesistdrin #ldkbwGrueneBW
@GrueneBW
 · Apr 10
Herzlichen Glückwunsch an unser großartiges Spitzenduo für die #btw21: @fbrantner und @cem_oezdemir 
 
Sie sind gerade mit super Ergebnissen auf der #ldkbw als Spitzenkandidat*in gewählt worden.
#allesistdrin",37,25,315
Katrin Göring-Eckardt,@GoeringEckardt,2021-05-12T10:32:46.000Z,"Die Raketenangriffe gegen #Israel und die Eskalation der Gewalt sind inakzeptabel und müssen sofort beendet werden.
Die Bundesregierung und die EU müssen sich nun dringend für die Wiederaufnahme von Friedensverhandlungen einsetzen.",60,17,211
S Mueller-Kraenner,@sascha_m_k,2021-05-11T15:13:42.000Z,"Das neue #Klimaschutzgesetz liefert die Überschriften. Aber es fehlen konkrete Maßnahmen wie #Kohleausstieg 2030, 100% Erneuerbare und Stopp fossiler Monsterprojekte wie #NordStream2. Im Thread die Stellungnahme der 
@Umwelthilfe
 dazu.Deutsche Umwelthilfe
@Umwelthilfe
 · May 11
Unsere Stellungnahme zum neuen #Klimaschutzgesetz: Einige Verbesserungen im Detail, aber neue Klimaziele nicht konform mit #Klima-Beschluss des @BVerfG. Deshalb: Nachbessern, liebe #Bundesregierung! Und nicht vergessen: Parallel konkrete Minderungsmaßnahmen auf den Weg bringen!
Show this thread",2,19,60
Reinhard Bütikofer,@bueti,2021-05-12T09:03:02.000Z,"Unsinn und schiefe Polemik, Verehrtester! 
@ABaerbock
 redet nicht von Verhandlungen mit Terroristen; das ist eine bösartige Unterstellung. Verhandlungen zwischen Israel und der palästinensischen Autorität sollten u.a. dazu beitragen, dem Terrorismus den Boden zu entziehen.Thomas Erndl
@TErndl
 · May 11
Das hat lange gedauert, liebe @ABaerbock, & ist trotzdem schief gegangen: Mit Terroristen wie #Hamas verhandelt man nicht. Sie wollen Israel vernichten & kennen keine Kompromisse. #Israel hat unsere volle Unterstützung & Solidarität! Die Bilder aus 
 schmerzen enorm. @cducsubt twitter.com/ABaerbock/stat…",24,15,216
Omid Nouripour,@nouripour,2021-05-12T08:31:22.000Z,"Replying to 
@TErndl
 @ABaerbock
 and 
@cducsubtIhre Position zu #Israel als Staatsräson findest du hier: https://twitter.com/baks_bund/status/1389258856761597957?s=21….

Ich bitte dich und alle Umfrage-Nervösen in demokratischen Parteien: Thema ist zu ernst für Wahlkampf-Fakes. Lasst uns uns zusammen für Sicherheit Israels und dauerhaften Frieden einsetzen. (2/2)",2,12,90
phoenix,@phoenix_de,2021-05-07T12:45:41.000Z,"#KlimaZiel|e ohne Lösungswege? ""Wer einen  Wald verspricht, muss auch 
 Bäume pflanzen"", mahnt 
@ABaerbock
 @die_gruenen
. Es brauche eine Ressort übergreifende #Politik für den #KlimaSchutz. Die #KanzlerKandidatin von 
@die_gruenen
 ruft zum gemeinsamen Handeln auf.",80,103,458
Franziska Brantner,@fbrantner,2021-05-07T14:50:35.000Z,"Das sind gute Nachrichten der 
@EU_Commission
 !
Zwangslizenzen sind schnell anwendbar und können sofort einen Unterschied machen (im Gegensatz zu TRIPS Waiver Verhandlungen)

Jetzt aber auch machen 
@vonderleyen
!EU-Kommission zur Prüfung von Zwangslizenzen bei Corona-Impfstoffen bereit ⋆ Nürnberger Blatt
nuernberger-blatt.de",4,2,6
Franziska Brantner,@fbrantner,2021-05-07T13:40:45.000Z,"Wenn sich das als korrekt bewahrheiten sollte, dann handelt 
@EmmanuelMacron
 grob unsolidarisch und sollte sofort seine Entscheidung ändern. 
L'Europe, c'est la solidarité! 
@CBeauneKampf gegen Corona: Frankreich blockiert neue Impfstoff-Bestellung der EU - WELT
Die Europäische Union verhandelt mit Biontech über die Lieferung von bis zu 1,8 Milliarden Impfdosen. Es geht um zukünftige Auffrischungen und um Vakzine für Kinder. Der Vertrag liegt unterschrifts...
welt.de",,1,3
Franziska Brantner,@fbrantner,2021-05-07T12:02:47.000Z,"Grüne im Bundestag
@GrueneBundestag
 · May 7
#KlimaschutzIstJetzt: Wir dürfen nicht länger warten! 

Um die Klimakrise in den Griff zu kriegen, braucht es jetzt wirksame Maßnahmen. Unser Angebot 
https://dip21.bundestag.de/dip21/btd/19/292/1929294.pdf…
Show this thread",,,3
Franziska Brantner,@fbrantner,2021-05-07T12:00:30.000Z,"Klimaschutz ist Freiheitsschutz! 
@ABaerbock
 fordert im #Bundestag konkrete Schritte statt nur Zielvorgaben: ""Wer einen Wald verspricht, muss auch Bäume pflanzen."" Bundesregierung muss jetzt ihren Plan für den EU-Aufbaufonds an die neuen Klimaziele anpassen! #KlimaschutzIstJetztGrüne im Bundestag
@GrueneBundestag
 · May 7
Wir müssen den Ausbau der Erneuerbaren Energien beschleunigen.

Das können wir gern fraktionsübergreifend heute hier machen.

Ohne Ausbau von Wind und Solar sind alle Klimaziele nichts!

#KlimaschutzIstJetzt

– @ABaerbock",2,2,29
Franziska Brantner,@fbrantner,2021-05-07T06:54:26.000Z,"Union versteckt ihre europapolitische Ambitionslosigkeit hinter polemischen Vorwürfen. Doch wir fordern für Europa keine Schulden-, sondern eine Investitionsgemeinschaft für einen echten Green Deal und einen starken Euro.",1,2,19
Rachel Rizzo,@RachelRizzo,2021-05-06T15:38:42.000Z,".
@ABaerbock
 is so impressive at #EUFF2021. Very strong points on Russia, China, the Transatlantic relationship, Nord Stream 2, NATO, and climate. To me, her entire message was that the Greens are on the main stage now. They have serious policy proposals and are here to stay. ",,48,256
Alfred Herrhausen Gesellschaft,@AHG_Berlin,2021-05-06T15:14:36.000Z,"Warum braucht es neue EU-Grundrechte? „Wir haben in der Europäischen Union schon heute eine tolle Grundrechte-Charta. Deren Nachteil ist, dass sie bis jetzt nur angewandt wird für europäisches Recht & nicht für nationales Gesetz.“ 
@fbrantner
, europapolit. Sprecherin 
@Die_GruenenFranziska Brantner",1,4,7
