User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Reichsbanner,@Reichsbanner,2021-05-13T11:03:24.000Z,"Die Vorfälle von antisemitischen Parolen und Aktionen vor deutschen Synagogen sind beschämend. Antisemitismus darf keinen Platz in Deutschland haben. Das zu erreichen, ist und bleibt Aufgabe von Demokratinnen und Demokraten. #GegenJedenAntisemitismus #Antisemitismus",2,26,125
Fritz Felgentreu,@fritzfelgentreu,2021-05-12T13:26:40.000Z,"Richtige Entscheidung!Fabian Fischer
@FabsFisch
 · May 12
Sehr gut. #Neukölln wird erster Bezirk für sog. #Schwerpunktimpfungen, u.a. in HighDeck-Siedlung und Weiße Siedlung. Wichtiger Schritt, um mehr Menschen zum #Impfen gegen #Covid19 zu motivieren. https://berlin.de/ba-neukoelln/corona/schwerpunktimpfung-gegen-corona-1084362.php#:~:text=Bei%20dieser%20Schwerpunktimpfung%20handelt%20es,Johnson%20sowie%20der%20Firma%20Moderna….",,,4
Ralf Fuecks,@fuecks,2021-05-11T20:38:27.000Z,"Israel heute Nacht. Die Hamas hat Gaza in eine Raketenabschussrampe gegen den jüdischen Staat verwandelt. Wehe, wenn Iran, Hizbollah und Hamas je die militärische Hoheit gewinnen. Solidarität mit Israel bedeutet auch das Recht zur Selbstverteidigung. /1Israel Defense Forces
@IDF
 · May 11
Every red dot marks sirens in Israel over the last 30 minutes: Israel is under attack.",26,105,582
Heiko Maas,@HeikoMaas,2021-05-11T18:15:08.000Z,Der Raketenbeschuss Israels ist absolut inakzeptabel und muss sofort beendet werden. #Israel hat in dieser Situation das Recht auf Selbstverteidigung. Diese Eskalation der Gewalt ist weder zu tolerieren noch zu akzeptieren.,1.1K,654,3.5K
Fritz Felgentreu,@fritzfelgentreu,2021-05-11T15:21:03.000Z,"26 Monate sind es geworden.Olga Misik
@thorkiman
 · May 11
Дали 2 года и 2 месяца.",5,,7
Fritz Felgentreu,@fritzfelgentreu,2021-05-11T15:19:21.000Z,"Die Staatsanwaltschaft hat 3 Jahre Freiheitsentzug gegen Olga Missik beantragt. Die 19-jährige hatte den Polizeikräften bei den Sommerprotesten in Moskau die Verfassung der Russländischen Föderation vorgelesen.Настоящее Время
@CurrentTimeTv
 · May 7
“Невозможно бояться, когда знаешь, что ты прав. Но Россия учит нас бояться постоянно”.

11 мая суд огласит приговор 19-летней Ольге Мисик, которая во время летних протестов в Москве читала силовикам Конституцию России. Обвинение требует для нее 3 года лишения свободы",2,9,37
Nariman Hammouti,@NariR5,2021-05-07T19:26:45.000Z,"Kurzer zwischendurch Gruß von #UNMISS das Land ist traumhaft schön, die Motivation hoch und mehr als ein Monat ist schon rum. 
#womaninpeacekeeping #WirsindMarine #wirdienendeutschland",6,15,252
Fritz Felgentreu,@fritzfelgentreu,2021-05-08T08:17:59.000Z,Das erste Gedenken am 8. Mai gilt in diesem Jahr den Gefallenen der Sowjetunion. Zur Kranzniederlegung hat die Russische Botschaft an das Sowjetische Ehrenmal nach Schönholz eingeladen. Вечная память!,2,6,42
Fritz Felgentreu,@fritzfelgentreu,2021-05-07T17:33:10.000Z,"Gratuliere! Das nächste Jubiläum wird dann der #Tornado...Soldat & Technik
@soldat_technik
 · May 7
50 Jahre #Schützenpanzer #Marder in der #Bundeswehr: Am 7. Mai 1971 wurden die ersten Serienfahrzeuge des Schützenpanzer Marder zeitgleich in Kassel und Kiel an die Truppe übergeben.

https://soldat-und-technik.de/2021/05/mobilitaet/26905/50-jahre-schuetzenpanzer-marder-in-der-bundeswehr/…",5,2,28
Fritz Felgentreu,@fritzfelgentreu,2021-05-07T16:24:24.000Z,"Eine der großen Nationen der Sowjetunion hat heute schon ihrer Gefallenen gedacht. Es war mir eine Ehre dabei zu sein. #UkraineVolksbund
@Volksbund
 · May 7
Gedenkzeremonie der ukrainischen #Botschaft am Sowjetischen Ehrenmal in #Berlin mit @MelnykAndrij @fritzfelgentreu und Claudia #Roth. @Bundestag #8Mai #Gedenken Foto: Zucchi",2,4,48
Fritz Felgentreu,@fritzfelgentreu,2021-05-07T15:36:36.000Z,"Es war nass, aber richtig.Volksbund
@Volksbund
 · May 7
„Tot ist nur, wer vergessen ist.“ Zum #8Mai gedenkt der Volksbund aller Opfergruppen des Zweiten Weltkrieges – heute während eines Gedenkspaziergangs auf der #Kriegsgräberstätte 
in der Lilienthalstraße. 
https://bit.ly/3uv02Tw Foto: Zucchi
#Gedenken #Berlin @fritzfelgentreu",5,1,76
Fritz Felgentreu,@fritzfelgentreu,2021-05-07T06:37:42.000Z,"#lesenswert #TürkeiDeutschland und die Türkei - An engeren Beziehungen zur Türkei führt kein Weg vorbei
Die deutsch-türkischen Beziehungen sind angespannt. Das hat das Treffen von Heiko Maas mit seinem Amtskollegen Mevlüt Cavusoglu gezeigt. Deutschlands Zurückhaltung in der Außenpolitik sei ein Fehler,...
cicero.de",1,1,1
Fritz Felgentreu,@fritzfelgentreu,2021-05-06T17:03:43.000Z,"Lesetipp aus aktuellem Anlass: „The #cockroach“ von Ian #McEwan. Der Seekrieg mit Frankreich wird in dieser Kafka-Persiflage bereits vorausgesehen.The Cockroach by Ian McEwan review – a Brexit farce with legs
Ian McEwan’s scabrous satire, in which an insect is transformed into the PM, is a comic triumph
theguardian.com",,,4
Fritz Felgentreu,@fritzfelgentreu,2021-05-06T16:43:06.000Z,@RegBerlin,,1,1
Fritz Felgentreu,@fritzfelgentreu,2021-05-06T16:17:06.000Z,"Die 
 Botschaft beklagt, dass Nikolai Massalow (Vorbild der Monumentalskulptur des Treptower Ehrenmals), ehem. Ehrenbürger von Ost-Berlin nicht wieder in die Ehrenbürgerliste aufgenommen wird. Als Kronzeuge gegen Senat und Abgeordnetenhaus lässt sich 
@AlexanderSNeu
 zitieren.Botschaft der Russischen Föderation
@RusBotschaft
Regierungsorganisation aus Russland
 · May 6
 Н.И.Масалов прошел всю войну, стал прообразом памятника в #Трептов-парке, но власти Берлина отказываются восстанавливать его в звании почетного гражданина города.
 https://ntv.ru/novosti/2548561/…",2,,4
Fritz Felgentreu,@fritzfelgentreu,2021-05-06T12:09:35.000Z,Der historische Normalfall europäischer Nachbarschaft ist gerade vor #Jersey mitzuerleben. Und schlimmer geht immer. Das mit der #EU ist vielleicht doch keine so schlechte Idee. #Brexit,2,8,71
