User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Hermann Gröhe,@groehe,2021-05-13T18:26:04.000Z,"Unfassbarer #Antisemitismus! Ein Grund zur Scham und zum harten Durchgreifen unseres Rechtsstaats!Zentralrat der Juden in Deutschland
@ZentralratJuden
 · May 13
Judenhass mitten in #Gelsenkirchen vor der #Synagoge. Zeiten, in denen Juden auf offener Straße beschimpft werden, sollten längst überwunden sein. Das ist purer #Antisemitismus, sonst nichts!
0:27
752.9K views",64,6,72
Paul Ziemiak,@PaulZiemiak,2021-05-13T11:44:40.000Z,"Heute Nacht haben zwei bisher  unbekannte Täter die Flagge Israels 
 vor unserem Konrad-Adenauer-Haus 
@CDU
 gestohlen. Wir haben diese heute Morgen umgehend ersetzt. 
Ihr könnt uns zwar die Flagge nehmen, aber nicht unsere Haltung! 

#standwithisrael #Israel #IsraelUnderAttack",423,375,2.7K
Hermann Gröhe,@groehe,2021-05-13T12:07:05.000Z,"Freue mich auf das Gespräch!CBM Politische Arbeit
@CBM_Advocacy
 · May 11
Veranstaltungstipp: Do 13.5. 17h: CBM-Livegespräch+Fragerunde mit dem stellv. Vorsitzenden der CDU/CSU-Bundestagsfraktion, MdB Hermann Gröhe, über aktuelle entwicklungspolitische Themen, Auswirkungen der Corona-Pandemie & Inklusion. Noch schnell anmelden: https://register.gotowebinar.com/register/7761019785984861198…",,1,4
Ralph Brinkhaus,@rbrinkhaus,2021-05-13T07:51:46.000Z,"Die heutige Zeit ist oft schnelllebig. Vieles sieht man mehr nicht mehr bewusst. #Schauthin ist deshalb ein gutes Motto für den 3. #oekt, der die Gelegenheit bietet, innezuhalten, sich infrage zu stellen und wieder mehr Achtsamkeit für andere zu entwickeln. 
@OekumenischerKT",19,8,38
CDU/CSU,@cducsubt,2021-05-13T08:13:20.000Z,"Der 3. #oekt steht unter dem Leitwort #schauthin. Denn #Hinschauen ist mehr als sehen. Hinschauen heißt, die Perspektive wechseln, Sorgen und Ängste wahrnehmen und aktiv werden. Wir haben unsere Abgeordneten gefragt: Wo müssen wir mehr hinschauen? 
 http://cducsu.cc/oekt21Ökumenischer Kirchentag and 8 others",25,10,11
Hermann Gröhe,@groehe,2021-05-12T16:24:26.000Z,"CDU verurteilt auf das Schärfste den Terror gegen Israel 
!#StandWithIsraelCDU verurteilt Terror gegen Israel: Flagge vor Adenauer-Haus gehisst - WELT
Die CDU verurteilt die Angriffe der Hamas auf Israel. Aus Solidarität wurde vor dem Konrad-Adenauer-Haus in Berlin Israels Flagge gehisst. Sie soll bis zum Jahrestag Israels dort wehen, wie General...
welt.de",12,3,40
Adenauer-Stiftung,@KASonline,2021-05-03T18:00:23.000Z,"Unsere #Gesellschaft & #Politik stehen nicht erst seit #Corona vor Herausforderungen & Veränderungen. 
@CDU
-Generalsekretär 
@PaulZiemiak
 & KAS-Fellow 
@ArminNassehi
 diskutieren darüber, wie alles anders bleibt! #zukunftgestaltenAdenauer-Stiftung
@KASonline
Online-Diskussion zwischen Paul Ziemiak und Armin Nassehi: Was anders bleibt. Wie Politik und Gesellschaft herausgefordert werden",11,24,31
Paul Ziemiak,@PaulZiemiak,2021-05-01T09:06:14.000Z,"Das Kurzarbeitergeld ist auch in der Corona-Pandemie unsere Brandmauer gegen Massenarbeitslosigkeit. Das Signal an diesem 1. Mai ist eindeutig: Die 
@CDU
 steht für die Arbeitnehmerinnen und Arbeitnehmer in diesem Land ein. #TagderArbeitZiemiak: Kurzarbeitergeld ist „Brandmauer gegen Massenarbeitslosigkeit“
Das Kurzarbeitergeld hat sich nach Auffassung von CDU-Generalsekretär Paul Ziemiak bewährt. Es stelle eine „Brandmauer gegen Massenarbeitslosigkeit“ dar. Viele Länder beneideten Deutschland um dieses...
rnd.de",170,47,124
Hermann Gröhe,@groehe,2021-04-29T20:24:06.000Z,"Herzlichen Glückwunsch, Europäisches Jugendparlament!Deutsche Nationalstiftung
@DNStiftung
 · Apr 29
Der diesjährige Förderpreis der Stiftung – ausgestattet mit einem Preisgeld von 20.000 Euro – geht an ein Projekt, das den demokratischen Zusammenhalt und die aktive Teilhabe am politischen Geschehen stärkt: Das Europäische Jugendparlament in Deutschland e.V.
@eyp_network",,1,2
Hermann Gröhe,@groehe,2021-04-29T20:22:24.000Z,"Herzlichen Glückwunsch!Deutsche Nationalstiftung
@DNStiftung
 · Apr 29
Unsere Nationalpreisträgerin 2021 ist @alena_buyx. Als Vorsitzende des @ethikrat stellt sich die Medizinethikerin den schwierigsten Fragen, vor denen die Gesellschaft während der Pandemie steht. Für ihr herausragendes Engagement wird sie nun ausgezeichnet. 
#Nationalpreis",,1,5
